Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-5.085269e+02,-4.997890e+02,-5.107129e+02,-5.098645e+02,-4.651380e+02,-3.680025e+02,-2.524182e+02,-1.474425e+02,-7.702344e+01,-7.721530e+01,-1.330696e+02,-1.360100e+02,-1.368856e+02,-1.274455e+02,-1.320311e+02,-1.341654e+02,-1.311481e+02,-1.181817e+02,-9.339009e+01,-6.991917e+01,-5.580933e+01,-4.469717e+01,-4.459247e+01,-4.996236e+01,-8.698196e+01,-1.621760e+02,-2.142737e+02,-2.887757e+02,-3.925099e+02,-4.703606e+02,-5.068953e+02,-5.122063e+02,-5.195345e+02,-5.176017e+02,-5.170782e+02,-5.143677e+02,-5.162773e+02,-5.210789e+02,-5.223899e+02,-5.201460e+02,-5.259348e+02
5.105721e+01,5.735490e+01,4.972644e+01,5.070773e+01,7.493570e+01,8.587816e+01,1.030824e+02,7.257312e+01,5.251890e+01,4.122343e+01,2.188831e+01,2.309238e+01,2.737925e+01,2.538791e+01,2.727118e+01,1.910249e+01,1.785025e+01,2.513982e+01,2.027076e+01,1.589060e+01,1.645367e+01,1.769832e+01,3.128260e+01,5.215352e+01,6.546854e+01,8.246328e+01,7.948775e+01,8.157310e+01,9.461847e+01,7.067117e+01,5.117712e+01,5.030067e+01,4.444391e+01,4.557372e+01,4.493307e+01,4.722681e+01,4.561711e+01,4.194686e+01,4.150366e+01,4.376405e+01,3.828262e+01
1.586658e+01,1.220134e+01,1.398958e+01,1.422788e+01,-3.667447e-01,-3.703618e+01,-4.653474e+01,-2.442868e+01,-1.622798e+01,-1.619361e+01,-2.335813e+00,-2.655347e+00,-3.348243e+00,-8.809153e+00,-1.479079e+01,-2.051100e+01,-3.025478e+01,-4.248273e+01,-5.865005e+01,-7.097577e+01,-7.505867e+01,-8.728860e+01,-9.767053e+01,-1.117002e+02,-1.082043e+02,-7.986504e+01,-6.508201e+01,-5.149641e+01,-4.064243e+01,-1.767604e+01,7.769281e+00,1.717598e+01,1.904552e+01,1.662002e+01,1.396155e+01,1.471509e+01,1.530346e+01,1.667723e+01,1.792506e+01,1.781178e+01,1.742179e+01
8.466537e+00,2.574676e+00,5.962614e-01,-7.561512e-01,-4.210543e+00,1.855198e+01,1.839316e+01,-1.199913e+01,-4.225959e+01,-5.498573e+01,-5.292539e+01,-5.215097e+01,-5.647761e+01,-5.666545e+01,-5.363856e+01,-5.232136e+01,-5.044300e+01,-4.751972e+01,-4.506362e+01,-3.738992e+01,-2.471452e+01,-2.852559e+01,-3.987350e+01,-4.735595e+01,-4.402709e+01,-4.348744e+01,-4.882833e+01,-4.954139e+01,-4.520744e+01,-2.823880e+01,-9.186315e+00,2.323900e-01,4.151806e+00,-4.771035e-01,-3.029195e+00,-4.906260e-01,1.437380e+00,3.366601e+00,3.326119e+00,5.159513e-01,2.407637e+00
1.986588e+01,1.917671e+01,1.125023e+01,7.587878e+00,7.401310e+00,-8.489115e-01,-5.055153e+00,-1.494003e+01,-2.186562e+01,-1.875937e+01,-4.112202e-01,9.003376e+00,9.525650e+00,4.990832e+00,5.492018e+00,5.826628e+00,5.784712e+00,3.971146e+00,-3.728335e+00,-2.673085e+00,2.536593e+00,-1.112731e+00,-8.687555e+00,-1.149265e+01,-6.367385e+00,7.027967e+00,1.059511e+01,2.157453e+01,3.179066e+01,1.726429e+01,4.810321e+00,5.867145e+00,6.374598e+00,3.695033e+00,2.338107e+00,6.984746e+00,8.572618e+00,7.236886e+00,4.451423e+00,1.831741e-01,4.471230e-01
1.817814e+01,2.272223e+01,1.910562e+01,1.398880e+01,8.432379e+00,1.263801e+01,1.533527e+01,2.083390e+01,1.769984e+01,1.917443e+01,3.484879e+01,4.574166e+01,3.954913e+01,4.410843e+01,5.070553e+01,5.255334e+01,5.119146e+01,4.814666e+01,4.953771e+01,5.315471e+01,5.706262e+01,5.812320e+01,5.646993e+01,5.101098e+01,4.880482e+01,4.218345e+01,3.568921e+01,2.619996e+01,2.465547e+01,3.386308e+01,1.841152e+01,1.436050e+01,1.294479e+01,1.505256e+01,1.356836e+01,1.648306e+01,1.678444e+01,1.400043e+01,1.067054e+01,7.041598e+00,5.125286e+00
4.164513e+00,9.268479e+00,1.182571e+01,7.839130e+00,8.638947e+00,9.888031e+00,-9.218764e+00,-2.821392e+01,-3.062648e+01,-2.750698e+01,-2.138600e+01,-2.202147e+01,-2.460279e+01,-2.931505e+01,-3.045173e+01,-3.016941e+01,-3.224231e+01,-3.063356e+01,-2.964483e+01,-3.060922e+01,-3.078747e+01,-3.524257e+01,-4.148784e+01,-4.409221e+01,-4.212786e+01,-2.895974e+01,-2.671401e+01,-2.631351e+01,-1.010072e+00,1.317627e+01,1.404058e+01,1.114992e+01,1.145540e+01,1.636785e+01,1.421867e+01,1.373839e+01,1.313778e+01,1.264885e+01,1.100290e+01,9.310467e+00,7.342362e+00
-2.030237e-01,1.063807e+00,1.645404e+00,6.610527e-01,5.061017e+00,-4.272776e+00,3.009603e+00,3.420483e+01,4.135309e+01,4.058577e+01,4.655424e+01,4.215417e+01,3.597535e+01,3.296298e+01,3.504285e+01,3.614414e+01,3.740400e+01,3.786818e+01,3.658691e+01,3.552443e+01,3.790334e+01,3.226387e+01,2.919596e+01,2.437874e+01,2.065663e+01,1.652137e+01,1.413617e+01,1.106311e+01,3.288190e+00,-8.229059e-02,3.481634e+00,2.415879e+00,3.404562e+00,6.352334e+00,5.439559e+00,4.911159e+00,4.768987e+00,6.892504e+00,6.318556e+00,6.027543e+00,5.160314e+00
6.271179e+00,3.519011e+00,-5.090008e-01,6.013305e-01,4.129986e+00,2.829692e+00,-1.961588e+01,-2.606844e+01,-1.426759e+01,-9.119757e+00,-5.138388e+00,-1.133965e+01,-1.559406e+01,-1.900006e+01,-1.682671e+01,-1.580316e+01,-1.604832e+01,-1.855730e+01,-2.241009e+01,-1.983437e+01,-2.131616e+01,-2.932037e+01,-3.175295e+01,-3.405048e+01,-3.481683e+01,-3.140461e+01,-2.482243e+01,-1.751299e+01,-4.320693e+00,4.226095e-01,-4.586357e-01,-5.905384e-01,-2.515996e+00,-3.924737e+00,-2.280441e+00,4.070640e-01,2.014088e+00,4.101625e+00,3.219109e+00,2.875048e+00,2.238347e+00
7.861013e+00,5.149165e+00,1.528072e+00,2.120780e+00,4.642998e-01,-9.117687e+00,-2.296448e+01,-7.792177e+00,2.039953e+00,6.083056e+00,8.754686e+00,1.017171e+01,1.029273e+01,1.377875e+01,1.433253e+01,1.866055e+01,1.331686e+01,5.481881e+00,1.801046e+00,1.777065e+00,-3.768329e-01,-9.037576e-01,3.362756e-01,1.972447e+00,-1.493274e+00,-1.185686e+01,-1.066900e+01,-6.022451e+00,-1.043567e+01,-5.286707e+00,-8.909767e-01,1.620875e+00,-3.032191e+00,-7.131984e+00,-4.589443e+00,1.965305e-01,3.536217e+00,3.595319e+00,2.786088e+00,1.916651e+00,9.175396e-01
