Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44
-5.245405e+02,-5.097969e+02,-5.095484e+02,-5.051346e+02,-5.048542e+02,-5.055964e+02,-5.025771e+02,-4.948293e+02,-4.350574e+02,-3.109391e+02,-1.833676e+02,-1.166917e+02,-9.788479e+01,-1.109128e+02,-1.353943e+02,-1.452741e+02,-1.449310e+02,-1.404597e+02,-1.326814e+02,-1.211699e+02,-1.113905e+02,-1.069705e+02,-1.079610e+02,-9.493243e+01,-8.437311e+01,-7.695091e+01,-7.282642e+01,-7.077840e+01,-6.261493e+01,-4.146066e+01,-5.618710e+01,-1.174873e+02,-1.897306e+02,-2.644349e+02,-3.508582e+02,-4.355188e+02,-4.886647e+02,-5.007483e+02,-4.859431e+02,-4.686911e+02,-4.599069e+02,-4.632353e+02,-4.744016e+02,-4.882912e+02
3.567392e+01,4.799717e+01,4.761262e+01,5.263782e+01,5.566520e+01,5.464931e+01,5.570771e+01,6.144777e+01,4.504767e+01,2.804833e+01,5.155413e+01,5.726782e+01,5.214418e+01,4.654931e+01,4.590054e+01,5.527772e+01,5.540013e+01,4.865142e+01,4.103933e+01,4.463670e+01,4.867613e+01,4.792466e+01,5.044466e+01,4.983704e+01,4.821659e+01,4.514297e+01,4.099998e+01,3.765944e+01,4.020679e+01,4.621705e+01,5.559583e+01,6.829453e+01,9.357350e+01,1.142298e+02,1.176250e+02,1.005187e+02,6.451302e+01,5.711237e+01,6.658949e+01,7.185812e+01,7.311472e+01,7.036713e+01,6.768549e+01,6.697938e+01
1.715697e+01,1.413848e+01,1.241717e+01,1.478648e+01,2.103889e+01,2.024480e+01,1.601919e+01,1.373369e+01,2.128981e+01,2.329803e+01,1.446317e+01,-6.025784e+00,-2.288182e+01,-1.425112e+01,-6.266463e+00,-2.985714e+00,-2.454192e+00,-3.211241e+00,-7.736138e+00,-1.256371e+01,-2.346246e+01,-3.400396e+01,-3.585445e+01,-4.137570e+01,-4.491514e+01,-4.963603e+01,-5.857696e+01,-6.378677e+01,-6.869508e+01,-8.022170e+01,-8.063247e+01,-6.846268e+01,-5.063912e+01,-3.424889e+01,-2.203107e+01,-7.285923e+00,8.484919e+00,1.593643e+01,1.431550e+01,1.110612e+01,7.911040e+00,7.541251e+00,6.385612e+00,1.581333e+01
9.564327e+00,1.279530e+00,-1.182524e+00,-9.769665e-01,3.318816e+00,1.962835e+00,-2.483397e+00,-5.854100e+00,-1.089357e+01,-6.065627e+00,-1.958728e+01,-2.880352e+01,-2.518311e+01,-3.014585e+01,-3.147120e+01,-3.152633e+01,-3.138247e+01,-3.065396e+01,-2.892620e+01,-2.451244e+01,-2.521618e+01,-3.183687e+01,-2.875091e+01,-2.642365e+01,-2.815000e+01,-2.362613e+01,-1.874313e+01,-2.093796e+01,-2.681229e+01,-2.298517e+01,-2.296010e+01,-1.964054e+01,-1.849307e+01,-2.372349e+01,-3.038064e+01,-2.301975e+01,-1.077528e+01,-1.538847e+00,-5.105555e-03,-3.904389e+00,-4.487937e+00,-2.581261e-01,-3.910643e+00,-2.440972e+00
1.314585e+01,1.172770e+01,9.512862e+00,9.261344e+00,9.010592e+00,5.388062e+00,5.788134e+00,8.872509e+00,1.949998e+01,1.342381e+01,1.753525e+00,-8.556398e+00,-1.600185e+01,-1.667777e+01,-9.760170e+00,-3.106669e+00,1.195631e+00,-6.895051e-01,-6.122006e-01,-1.527859e+00,-6.530780e+00,-1.156284e+01,-1.081807e+01,-1.322620e+01,-1.136876e+01,-1.032839e+01,-1.422587e+01,-1.994356e+01,-1.939629e+01,-1.907507e+01,-1.780994e+01,-8.260849e+00,2.059216e+00,9.972389e+00,1.135296e+01,1.088701e+01,6.060245e+00,9.187600e+00,1.513049e+01,1.919323e+01,2.203744e+01,2.303520e+01,1.566892e+01,7.492781e+00
1.384137e+01,1.928861e+01,1.870684e+01,1.920744e+01,1.766923e+01,1.294407e+01,1.630674e+01,2.372236e+01,-8.370491e-01,-8.562932e+00,-8.137062e+00,2.593272e+00,1.711611e+01,2.596987e+01,3.342653e+01,3.713426e+01,4.007890e+01,4.125967e+01,4.377407e+01,4.553052e+01,4.507568e+01,4.449191e+01,5.077165e+01,5.285468e+01,5.291380e+01,5.289834e+01,5.427718e+01,5.172922e+01,5.309402e+01,5.122288e+01,4.895736e+01,4.824619e+01,3.852853e+01,2.376199e+01,1.437019e+01,1.806261e+01,1.880262e+01,1.991140e+01,1.873149e+01,1.092261e+01,8.487013e+00,5.458254e+00,1.102392e+01,1.577866e+01
6.490178e+00,1.116645e+01,1.307840e+01,1.374163e+01,1.454910e+01,1.289609e+01,1.393680e+01,1.970144e+01,2.959563e+01,1.884291e+01,-6.027175e+00,-2.626947e+01,-3.185965e+01,-3.172105e+01,-2.889163e+01,-2.383448e+01,-2.292922e+01,-3.216147e+01,-3.596861e+01,-3.325788e+01,-3.405096e+01,-3.303051e+01,-3.073457e+01,-3.389997e+01,-3.429055e+01,-3.396406e+01,-3.229197e+01,-3.046648e+01,-3.086702e+01,-3.199280e+01,-3.031392e+01,-2.442696e+01,-2.093976e+01,-1.615428e+01,-1.172230e+00,1.457530e+01,1.387216e+01,1.439094e+01,1.123782e+01,1.095486e+01,1.284163e+01,1.116881e+01,1.172724e+01,1.350108e+01
-6.965914e-01,6.190730e-01,3.217638e+00,3.118570e+00,5.715756e+00,7.790514e+00,5.925638e+00,7.429114e+00,6.739997e-01,-1.335946e+01,4.564880e+00,2.887354e+01,4.306136e+01,4.234859e+01,3.310724e+01,3.197943e+01,3.780492e+01,4.331856e+01,4.231633e+01,4.366274e+01,4.176189e+01,4.424387e+01,4.870323e+01,4.692619e+01,5.022779e+01,5.011672e+01,4.940873e+01,5.003975e+01,4.655860e+01,3.970959e+01,3.282494e+01,3.036621e+01,3.238467e+01,2.758351e+01,2.002574e+01,1.739923e+01,5.829788e+00,2.875649e+00,1.550183e+00,2.713506e+00,7.861653e+00,1.026956e+01,5.668348e+00,4.813024e+00
-2.121548e+00,-2.426599e-01,-8.600622e-02,-1.273928e-01,1.400048e+00,2.466443e+00,1.787424e+00,1.499756e+00,-5.512293e+00,-2.263749e+01,-2.787566e+01,-2.116964e+01,-1.918088e+01,-1.340174e+01,-1.327393e+01,-1.059253e+01,-1.213361e+01,-1.748689e+01,-1.821588e+01,-1.873720e+01,-2.070496e+01,-1.932589e+01,-1.876445e+01,-1.946618e+01,-2.078700e+01,-2.403083e+01,-2.443892e+01,-2.178672e+01,-2.392749e+01,-2.486063e+01,-2.833765e+01,-2.458924e+01,-1.848307e+01,-1.442687e+01,-1.012716e+01,4.981200e+00,5.897947e-01,-1.968540e+00,-2.483278e+00,4.336910e-01,5.364352e+00,2.928625e+00,-2.221767e+00,-1.887755e+00
-1.696024e+00,2.413469e+00,1.629249e-01,6.665388e-01,7.394947e-01,-1.952957e+00,7.322094e-01,6.330552e-01,6.203127e+00,3.788484e-01,-1.366898e+01,-7.075882e+00,3.510098e+00,1.366385e+00,2.005715e+00,7.140685e+00,7.196310e+00,7.386985e+00,6.938647e+00,6.328415e+00,5.885361e+00,1.016613e+01,1.105298e+01,1.027172e+01,9.840137e+00,7.090233e+00,7.066880e+00,7.011050e+00,9.132742e+00,4.952834e+00,-5.979939e+00,-1.580694e+01,-1.867970e+01,-1.902908e+01,-1.598675e+01,-1.357621e+01,-5.945619e+00,-1.612478e+00,-2.169475e+00,-7.057368e+00,-7.248708e+00,-7.040184e+00,-2.313404e+00,1.035421e+00
