Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.363246e+02,-4.847945e+02,-3.592171e+02,-2.306185e+02,-1.517284e+02,-1.287419e+02,-1.403457e+02,-1.673559e+02,-2.059798e+02,-2.563128e+02,-3.166705e+02,-3.650201e+02,-4.080719e+02,-4.541860e+02,-4.904861e+02,-5.177925e+02,-5.300020e+02,-5.378035e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02,-5.378406e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.603896e+00,3.354565e+01,1.285630e+02,1.831005e+02,1.935751e+02,2.023014e+02,2.225643e+02,2.409309e+02,2.415322e+02,2.342029e+02,2.094731e+02,1.773607e+02,1.404913e+02,9.604417e+01,5.859483e+01,2.736587e+01,1.088115e+01,5.147968e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.571886e-01,-2.448586e+01,-3.862482e+01,-8.444104e+01,-1.107384e+02,-1.163369e+02,-1.036629e+02,-7.785211e+01,-4.557809e+01,-1.003528e+01,2.080268e+01,3.991126e+01,4.728426e+01,4.565918e+01,3.832606e+01,2.457331e+01,1.027984e+01,4.885556e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.215173e+00,-2.527694e+01,-3.908508e+01,-5.021535e+01,-4.086153e+01,-4.637043e+01,-6.024398e+01,-7.154219e+01,-7.561781e+01,-8.227856e+01,-7.505675e+01,-5.065071e+01,-2.523320e+01,1.036580e+00,1.682544e+01,2.042372e+01,9.315686e+00,4.458066e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.071105e+00,-7.030567e+00,1.571563e+00,-9.313816e+00,-2.595818e+01,-4.143226e+01,-4.631410e+01,-4.608902e+01,-5.182812e+01,-5.682364e+01,-5.587690e+01,-4.950116e+01,-3.955235e+01,-1.629465e+01,2.581421e+00,1.551607e+01,8.042580e+00,3.879942e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.883195e+00,-1.447232e+01,-2.841037e+01,-3.263053e+01,-2.591628e+01,-2.851379e+01,-3.311966e+01,-3.570411e+01,-2.594180e+01,-1.242013e+01,-4.069904e+00,-9.297131e+00,-1.682845e+01,-1.137439e+01,-2.912687e+00,1.043643e+01,6.529964e+00,3.170719e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.523701e-01,-1.843834e+01,-4.779624e+01,-4.476913e+01,-3.984094e+01,-3.034700e+01,-1.632881e+01,-7.696496e+00,3.714217e+00,6.457196e+00,7.135997e+00,5.067959e+00,8.133829e-02,-3.170378e+00,-3.442248e+00,5.625362e+00,4.857511e+00,2.354361e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.472340e-01,-1.032219e+00,-2.505628e+01,-3.605689e+01,-3.382403e+01,-2.845390e+01,-2.780171e+01,-3.202728e+01,-3.167813e+01,-2.789171e+01,-2.176060e+01,-1.192448e+01,-5.302959e+00,-2.748508e+00,-3.046242e+00,1.320040e+00,3.109137e+00,1.458450e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.861226e+00,8.845278e+00,-1.559327e+01,-3.078925e+01,-2.487217e+01,-2.499047e+01,-3.198542e+01,-4.499333e+01,-4.567365e+01,-3.805902e+01,-3.169023e+01,-2.527033e+01,-1.674233e+01,-6.169518e+00,-3.147619e+00,-2.419097e+00,1.366937e+00,5.132604e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.035268e+00,2.727322e+00,-2.418187e+01,-7.951888e+00,-4.678741e+00,-9.875852e-01,2.050074e-01,-5.764526e-01,-1.688728e+00,-4.659250e+00,-1.122496e+01,-1.716013e+01,-1.581926e+01,-5.623642e+00,-3.595287e+00,-5.623297e+00,-2.944753e-01,-4.492722e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.190733e+00,-6.222345e-01,-2.560708e+01,-1.496809e+01,-4.495190e+00,6.551579e+00,7.661058e+00,5.512855e+00,2.514966e+00,-4.247884e-01,3.394098e-01,-2.961256e+00,-5.129096e+00,-1.690833e+00,-4.783768e+00,-8.320312e+00,-1.812651e+00,-1.396624e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.407210e-01,1.680009e+00,-1.974321e+01,-3.535016e+01,-3.577544e+01,-3.126297e+01,-3.047154e+01,-2.376044e+01,-1.636164e+01,-9.818577e+00,-2.176902e+00,-1.613913e+00,-4.521012e-02,-1.954106e+00,-7.720673e+00,-1.047679e+01,-3.140746e+00,-2.296785e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.537997e+00,2.443082e+00,-1.226550e+01,5.215588e+00,8.020052e+00,6.721528e+00,2.383748e+00,-7.814041e-01,2.997858e-01,-5.867288e-01,-1.120364e+01,-1.176440e+01,-7.303906e+00,-1.009620e+01,-1.234354e+01,-1.200242e+01,-4.249346e+00,-3.119341e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
