Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.511079e+02,-4.282548e+02,-3.714952e+02,-3.856444e+02,-4.563201e+02,-5.116980e+02,-5.035700e+02,-4.056595e+02,-2.354169e+02,-1.155698e+02,-8.049796e+01,-1.014478e+02,-1.170652e+02,-1.479577e+02,-2.018703e+02,-2.625738e+02,-3.399484e+02,-4.055173e+02,-4.445209e+02,-4.814050e+02,-5.166895e+02,-5.434916e+02,-5.591299e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02,-5.629826e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.782701e+00,8.176142e+01,1.094728e+02,1.099299e+02,9.109216e+01,4.886097e+01,9.915769e-01,2.355875e+01,1.429629e+02,1.669300e+02,1.653045e+02,1.811068e+02,2.015367e+02,2.168924e+02,2.155757e+02,2.122984e+02,1.933069e+02,1.636389e+02,1.282553e+02,9.165995e+01,5.613343e+01,2.608150e+01,5.325601e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.030568e+00,-3.266454e+01,-4.590554e+01,-3.800980e+01,1.115380e+00,1.364704e+01,-8.720861e+00,-2.899331e+01,-6.257156e+01,-8.275351e+01,-9.227905e+01,-1.077575e+02,-9.823898e+01,-7.251775e+01,-4.188889e+01,-1.475198e+01,1.867303e+01,4.165107e+01,4.393037e+01,3.998423e+01,3.438712e+01,2.208759e+01,4.966601e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.274122e+00,-1.586291e+01,-1.395927e+01,-1.953260e+01,-1.924728e+01,5.129264e+00,1.559158e+01,4.951419e+00,-2.268113e+01,-3.949620e+01,-4.310545e+01,-3.603334e+01,-3.971705e+01,-3.897592e+01,-3.832192e+01,-5.113579e+01,-5.488774e+01,-4.211316e+01,-1.985224e+01,-1.338048e+00,1.350376e+01,1.667154e+01,4.399526e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.583754e+00,-3.102070e+00,-1.020915e+01,-9.010712e+00,-4.557921e+00,7.288579e+00,2.348321e+01,6.147670e+00,-1.941457e+01,-3.353717e+01,-4.207494e+01,-6.694446e+01,-8.005501e+01,-8.426841e+01,-8.095610e+01,-7.471365e+01,-5.953043e+01,-4.427536e+01,-2.964109e+01,-1.198852e+01,2.701068e+00,1.095266e+01,3.667576e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.913822e+00,1.255063e+00,-4.531925e+00,-4.275744e+00,-5.347989e-01,2.760167e+00,-1.712490e+01,-2.669547e+01,-2.198956e+01,-1.488425e+01,-1.228439e+01,-9.243559e+00,-5.455420e+00,-1.084902e+01,-1.866436e+01,-1.676266e+01,-6.865494e+00,-5.079610e+00,-6.772941e+00,-2.956730e+00,1.086083e+00,5.620020e+00,2.824397e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.766299e-01,6.545691e-01,6.303185e+00,6.674639e+00,7.930756e-01,-1.602512e+00,-4.352379e+00,-9.726875e+00,-4.619312e+01,-4.680100e+01,-3.622846e+01,-2.187445e+01,-6.356043e+00,3.212704e+00,1.031748e+01,1.766258e+01,1.707090e+01,1.464860e+01,8.197694e+00,3.100801e+00,1.471524e+00,9.212162e-01,1.928267e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.134699e+01,-3.012164e+01,-2.413682e+01,-1.278137e+01,-5.342396e-01,-3.418220e+00,6.207104e-02,-3.838243e+00,-3.970047e+01,-3.070989e+01,-2.605408e+01,-2.476730e+01,-2.642745e+01,-2.968157e+01,-2.521404e+01,-2.015885e+01,-1.003841e+01,1.615989e+00,2.780728e-01,-2.865583e+00,-1.177186e+00,-3.010195e+00,1.036026e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.070626e+01,-2.234548e+01,-1.167119e+01,-5.605206e+00,-7.725681e+00,-8.641688e+00,3.044534e+00,4.216476e-01,-1.654659e+01,-2.558416e+01,-2.550583e+01,-2.825888e+01,-3.520163e+01,-3.481210e+01,-3.715942e+01,-3.938717e+01,-2.959070e+01,-1.764304e+01,-1.418072e+01,-1.215198e+01,-5.629344e+00,-5.886218e+00,1.974273e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.995696e-01,9.850863e+00,7.227528e+00,5.730226e+00,-7.293772e+00,-1.391019e+01,-7.094934e+00,-1.587862e+01,-1.132366e+01,-4.207696e+00,9.426361e-01,-1.964442e+00,-1.195715e+01,-2.370471e+01,-2.957674e+01,-2.667057e+01,-2.113628e+01,-1.972516e+01,-1.561273e+01,-1.332764e+01,-7.755062e+00,-7.352748e+00,-5.493224e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
