Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-5.910865e+02,-5.856041e+02,-5.896525e+02,-5.916154e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.905299e+02,-5.766907e+02,-4.486113e+02,-2.777418e+02,-1.959030e+02,-1.569553e+02,-1.503178e+02,-1.749987e+02,-2.087512e+02,-2.406719e+02,-2.331535e+02,-2.316049e+02,-2.461087e+02,-2.952400e+02,-3.890604e+02,-4.876223e+02,-5.573436e+02,-5.863420e+02,-5.909659e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02,-5.917775e+02
9.517081e-01,8.462576e+00,2.945787e+00,2.187015e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.493817e-01,6.385768e+00,6.723743e+01,1.600196e+02,2.019743e+02,2.125983e+02,2.163837e+02,2.104377e+02,1.998523e+02,1.856344e+02,2.023405e+02,2.220927e+02,2.327370e+02,2.319250e+02,1.929789e+02,1.144587e+02,4.395231e+01,7.327925e+00,1.101484e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
8.776369e-01,7.709524e+00,2.771669e+00,1.909260e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.524438e-01,-1.139618e+01,-5.236315e+01,-7.022499e+01,-8.987886e+01,-1.006405e+02,-1.022107e+02,-9.133035e+01,-6.988554e+01,-5.253896e+01,-4.966969e+01,-3.300694e+01,-2.485297e+01,-1.034371e+01,2.162405e+01,4.107259e+01,3.181606e+01,6.304647e+00,9.673978e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
7.614616e-01,6.605212e+00,2.494638e+00,1.554173e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.862289e-01,-6.225433e+00,-8.813520e+00,-3.608543e+00,-2.328194e+01,-3.168381e+01,-3.585399e+01,-3.623751e+01,-2.843381e+01,-2.205913e+01,-4.173122e+01,-5.177781e+01,-6.125417e+01,-8.010670e+01,-7.459103e+01,-2.092503e+01,1.709008e+01,4.763914e+00,7.587408e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
6.133159e-01,5.319762e+00,2.133043e+00,1.224990e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.112233e-01,1.202245e+00,-6.504396e+00,-1.704462e+01,-3.145813e+01,-4.221558e+01,-4.757895e+01,-4.702565e+01,-5.084726e+01,-5.708646e+01,-7.603802e+01,-9.150513e+01,-9.250812e+01,-8.479416e+01,-7.265010e+01,-3.912128e+01,4.156561e+00,2.909635e+00,4.960117e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.459123e-01,4.006468e+00,1.709958e+00,9.814315e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.595955e-01,-3.111884e+00,-1.774885e+01,-2.241244e+01,-1.145461e+01,-5.824725e+00,-1.555805e+00,2.934597e+00,1.715179e+00,3.965894e+00,-2.106215e+00,-1.341679e+01,-2.322595e+01,-2.429502e+01,-2.299642e+01,-2.371228e+01,-5.112894e+00,9.579260e-01,2.046516e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.732950e-01,2.765963e+00,1.251015e+00,8.124691e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.192102e+00,-2.655395e+00,-6.528984e+00,-4.023817e+01,-3.606010e+01,-3.166784e+01,-2.872923e+01,-1.951487e+01,-1.323463e+01,-3.311646e+00,3.364817e+00,-8.736818e-01,-2.091713e+00,2.918640e+00,2.178464e+00,-8.023381e+00,-1.105434e+01,-9.006813e-01,-8.774799e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.093966e-01,1.641335e+00,7.821221e-01,6.478739e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.594826e-02,5.086662e+00,-7.238218e+00,-4.886155e+01,-5.077442e+01,-4.673393e+01,-4.838754e+01,-4.407887e+01,-3.825892e+01,-3.383887e+01,-3.110390e+01,-3.774120e+01,-4.444971e+01,-3.738286e+01,-2.419784e+01,-1.171044e+01,-1.455210e+01,-2.521131e+00,-3.544460e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-3.330061e-02,6.410480e-01,3.273885e-01,4.022444e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.466816e+00,5.772063e+00,5.621459e-01,-1.257092e+01,-2.004069e+01,-2.257065e+01,-2.345905e+01,-2.497849e+01,-2.646137e+01,-2.590360e+01,-2.481126e+01,-2.952710e+01,-3.333689e+01,-3.809005e+01,-4.433492e+01,-2.579607e+01,-1.600657e+01,-3.804575e+00,-5.723992e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.450048e-01,-2.274642e-01,-9.259725e-02,2.724897e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.955418e-01,5.355998e-01,-1.049262e+01,-8.720175e+00,-8.309353e+00,1.419028e-01,-3.647064e-01,-4.798772e+00,-1.063926e+01,-1.488750e+01,-1.463875e+01,-1.255847e+01,-1.089408e+01,-1.501908e+01,-3.227928e+01,-3.032232e+01,-1.566509e+01,-4.687404e+00,-7.246405e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
