Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-5.098363e+02,-4.932581e+02,-4.933362e+02,-4.936188e+02,-4.934276e+02,-4.927978e+02,-4.038903e+02,-2.599609e+02,-1.396359e+02,-7.692471e+01,-6.948123e+01,-5.896304e+01,-6.414354e+01,-6.350598e+01,-4.685538e+01,-4.745580e+01,-7.080302e+01,-1.194954e+02,-2.044195e+02,-2.940883e+02,-3.795635e+02,-4.412075e+02,-4.771539e+02,-4.922178e+02,-4.994097e+02
5.155926e+01,6.530906e+01,6.368975e+01,6.463420e+01,6.617955e+01,6.408089e+01,1.958877e+00,-3.467883e+01,9.824732e+00,5.038956e+01,5.146892e+01,3.329152e+01,3.195191e+01,3.371475e+01,4.895620e+01,7.537897e+01,1.019682e+02,1.190540e+02,1.207369e+02,1.311545e+02,1.307115e+02,1.044798e+02,7.449239e+01,6.403694e+01,5.709567e+01
2.098241e+01,2.001923e+01,1.651579e+01,1.714389e+01,2.064801e+01,1.750895e+01,4.602590e+01,4.138783e+01,1.426322e+01,-2.809304e+01,-4.084811e+01,-4.388618e+01,-3.919798e+01,-4.507038e+01,-5.645036e+01,-5.007613e+01,-3.453606e+01,-1.676087e+01,2.521132e+00,6.439407e+00,3.232660e+00,3.386106e+00,8.606147e+00,1.573237e+01,1.515137e+01
3.246722e+00,2.336712e-01,-1.804858e+00,-5.161094e+00,-2.244576e+00,3.343643e-01,-2.191483e+01,-9.369572e+00,-2.070221e+01,-2.214141e+01,-4.772466e+00,5.806448e+00,-4.408487e+00,-1.596270e+01,-3.098748e+01,-4.891693e+01,-5.585142e+01,-5.855714e+01,-4.824427e+01,-4.008191e+01,-3.986423e+01,-2.752405e+01,-1.204987e+01,-1.244009e+00,1.554875e+00
5.070185e+00,6.828814e+00,7.863613e+00,4.185636e+00,4.507423e+00,7.963923e+00,1.115863e+01,-8.316851e-01,-1.021103e+01,-1.612217e+01,-3.220592e+01,-2.917173e+01,-2.383263e+01,-2.381903e+01,-2.916441e+01,-4.359344e+01,-5.122778e+01,-4.844101e+01,-3.709557e+01,-2.349115e+01,-8.775308e+00,2.811060e-01,5.367620e+00,9.471190e+00,1.046357e+01
1.207074e+01,1.360125e+01,1.405179e+01,1.547113e+01,1.577417e+01,1.222978e+01,1.544674e+01,1.692262e+01,1.826990e+01,2.476946e+01,4.895401e+01,6.986919e+01,8.133386e+01,8.284790e+01,8.347961e+01,7.625436e+01,6.935449e+01,6.590366e+01,5.792355e+01,4.319239e+01,2.005838e+01,1.077773e+01,1.282474e+01,1.455415e+01,1.181120e+01
1.316713e+01,1.086620e+01,7.051319e+00,1.059738e+01,1.437210e+01,1.074304e+01,9.203188e+00,1.313428e+01,2.537182e+00,-5.810958e+00,-3.078913e+01,-4.604871e+01,-4.651369e+01,-4.980635e+01,-4.600393e+01,-5.237301e+01,-5.899704e+01,-6.694764e+01,-6.849109e+01,-4.898855e+01,-2.110375e+01,-4.626708e+00,3.738149e+00,8.081120e+00,3.759641e+00
1.060566e+01,5.895150e+00,7.621306e-02,2.023282e-01,5.389191e+00,1.157171e+01,1.597844e+01,1.542455e+01,-3.808643e+00,-6.300135e-01,2.364454e+01,3.787782e+01,3.742866e+01,3.511619e+01,3.586087e+01,3.381341e+01,2.832435e+01,2.401154e+01,1.912827e+01,1.504343e+01,1.145689e+00,-4.649912e+00,1.420457e+00,5.220301e+00,1.719569e+00
8.373203e+00,3.777502e+00,8.731849e-01,-1.397200e+00,3.580947e-01,9.565441e+00,-1.903071e+00,-1.309988e+01,-2.806842e+01,-2.433880e+01,-2.718301e+01,-1.358171e+01,-7.561206e+00,-3.298564e+00,-4.681897e+00,-5.141984e+00,-5.188025e+00,-9.820495e-01,7.054720e-01,4.388299e+00,1.047323e+01,1.395215e+01,8.661308e+00,8.345993e+00,5.724056e+00
4.502275e+00,3.236848e+00,4.421472e+00,3.314083e+00,1.617910e+00,1.591157e+00,1.099796e+01,1.212032e+01,-6.020760e+00,-1.128914e+01,-1.352417e-01,5.391056e+00,1.122866e+01,1.199034e+01,9.160746e+00,7.609312e+00,1.080443e+01,1.957677e+01,2.045380e+01,1.167478e+01,2.207599e+01,2.164037e+01,1.126908e+01,8.334448e+00,6.462916e+00
