Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.938939e+02,-4.825874e+02,-4.854271e+02,-4.271969e+02,-3.102133e+02,-2.125930e+02,-1.371809e+02,-9.010983e+01,-6.065471e+01,-6.895368e+01,-1.028271e+02,-1.067434e+02,-8.450620e+01,-5.690669e+01,-4.183837e+01,-5.184538e+01,-8.871302e+01,-1.552720e+02,-2.542606e+02,-3.423632e+02,-3.987796e+02,-4.504372e+02,-4.719983e+02,-4.698608e+02,-4.659795e+02,-4.663277e+02,-4.699858e+02,-4.769575e+02,-4.869663e+02
1.753830e+01,2.866973e+01,2.709054e+01,1.104529e+01,-3.889701e+01,-6.040132e+01,-6.873365e+00,5.289883e+01,4.333221e+01,1.889616e+01,1.417570e+01,1.410687e+01,1.055972e+01,7.082026e+00,2.202554e+01,4.620896e+01,7.554143e+01,1.143422e+02,1.410349e+02,1.448618e+02,1.054793e+02,6.046878e+01,3.984513e+01,4.028613e+01,4.198488e+01,4.109781e+01,3.943799e+01,3.380066e+01,2.501060e+01
1.169667e+01,1.402470e+01,1.712761e+01,3.932354e+01,5.894285e+01,2.606951e+01,9.345514e+00,-3.949529e+01,-5.665163e+01,-4.661028e+01,-1.989090e+01,-1.340267e+01,-2.005190e+01,-3.781299e+01,-5.446405e+01,-5.760852e+01,-4.728669e+01,-2.533343e+01,2.878983e+00,2.179203e+01,1.721164e+01,2.013803e+01,1.775026e+01,1.390378e+01,1.020066e+01,1.071303e+01,1.288889e+01,1.431513e+01,1.530185e+01
6.602517e+00,5.609392e+00,1.094475e+01,-1.626914e-01,-4.660866e+00,9.702221e+00,4.774995e+00,4.785678e-01,3.365890e+00,2.120144e+00,-5.235745e+00,-1.297668e+01,-8.941986e+00,-6.011033e+00,-2.027791e+01,-3.565517e+01,-3.990480e+01,-3.943123e+01,-2.414604e+01,-2.385646e+01,-2.099264e+01,-2.197430e+00,4.527128e+00,1.387383e-01,-4.571552e+00,-2.951675e+00,5.948089e-01,4.619729e+00,9.454277e+00
4.765232e+00,6.910397e+00,1.049478e+01,-1.128820e+01,-2.545666e+01,-1.531468e+01,-3.214112e+01,-4.430947e+01,-4.863146e+01,-4.134629e+01,-2.535917e+01,-2.225508e+01,-2.862490e+01,-2.946508e+01,-2.718767e+01,-2.861805e+01,-3.018278e+01,-3.086587e+01,-1.824165e+01,-3.591188e+00,-8.352378e+00,-1.390033e+00,4.383768e+00,3.586558e+00,1.868719e+00,2.444844e+00,4.873045e+00,7.930640e+00,9.465054e+00
5.480915e+00,1.045361e+01,1.062875e+01,4.015325e+01,4.256342e+01,1.422959e+01,-2.947925e+00,8.398646e+00,3.194300e+01,4.156857e+01,4.069406e+01,4.401206e+01,4.807963e+01,4.734445e+01,4.694992e+01,4.762297e+01,4.470098e+01,3.889856e+01,2.478176e+01,5.837346e+00,5.987890e-01,1.905293e+00,6.474063e+00,9.315474e+00,8.312197e+00,5.792686e+00,9.847073e+00,1.213618e+01,1.043597e+01
6.128852e+00,9.837235e+00,7.658566e+00,-1.262102e+01,-2.927757e+00,-6.875644e+00,-5.325399e+00,-1.243260e+01,-1.962018e+01,-2.394223e+01,-2.590893e+01,-2.920457e+01,-3.534826e+01,-3.492201e+01,-3.675258e+01,-3.616508e+01,-4.099358e+01,-4.328244e+01,-3.640313e+01,-1.969147e+01,-6.087793e+00,-8.896793e-01,3.801585e+00,7.015413e+00,4.915285e+00,2.193717e+00,6.533598e+00,9.339987e+00,8.718670e+00
4.696208e+00,6.341760e+00,3.705938e+00,2.000573e+01,3.407913e+00,1.869564e+00,8.057978e+00,1.557174e+01,3.241546e+01,4.218554e+01,4.083381e+01,4.032388e+01,4.247817e+01,3.568837e+01,2.906622e+01,2.836710e+01,2.186354e+01,1.474494e+01,2.974590e+00,-5.427270e+00,-2.384222e+00,-2.538866e-01,5.466416e-01,9.546805e-01,-1.580797e+00,-3.571076e+00,8.274069e-02,4.405400e+00,5.769925e+00
1.261832e+00,3.344073e+00,1.882659e+00,-5.389346e+00,-5.172607e+00,-1.694267e+01,-2.080919e+01,-8.386202e+00,-7.331792e+00,-2.499371e+00,1.066579e+00,8.454758e-01,1.238513e+00,8.786577e+00,1.155619e+01,1.503137e+01,1.504562e+01,1.576136e+01,1.587182e+01,1.457972e+01,1.060914e+01,6.037664e+00,1.169115e+00,-1.623694e+00,-2.126409e+00,-2.801503e+00,-1.204826e+00,3.735977e+00,3.873457e+00
-2.295803e+00,5.059699e-01,1.309602e+00,2.049218e+00,2.414985e+00,6.097510e+00,-5.514091e+00,-2.134714e+01,-1.354497e+01,-3.662788e+00,-2.997414e+00,-4.691276e+00,2.836303e+00,9.272677e+00,1.435408e+01,1.845854e+01,1.520400e+01,9.095958e+00,7.509676e+00,1.115965e+01,9.096083e+00,6.907667e+00,2.761062e+00,-7.102722e-01,3.746435e-01,8.375732e-01,2.887408e+00,5.148548e+00,2.448816e+00
