Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.829590e+02,-4.734113e+02,-4.751441e+02,-4.736208e+02,-4.595180e+02,-3.504968e+02,-2.267915e+02,-1.197248e+02,-8.452820e+01,-9.083711e+01,-1.067900e+02,-1.239980e+02,-1.465952e+02,-1.338930e+02,-1.062171e+02,-9.403312e+01,-1.002585e+02,-1.303479e+02,-1.814769e+02,-2.583927e+02,-3.405488e+02,-3.902279e+02,-4.302493e+02,-4.587870e+02,-4.608456e+02,-4.681949e+02
1.501168e+01,2.493043e+01,2.423963e+01,2.529687e+01,2.998683e+01,-2.205754e+01,-3.507919e+01,2.002171e+01,5.650448e+01,4.269740e+01,2.746821e+01,2.591711e+01,2.075185e+01,6.993966e+00,1.184709e+01,3.448392e+01,6.300831e+01,8.837718e+01,1.144485e+02,1.378363e+02,1.242036e+02,8.922029e+01,5.451388e+01,3.070468e+01,2.970301e+01,2.879965e+01
1.123764e+01,1.369158e+01,1.567978e+01,1.519542e+01,1.677666e+01,4.321377e+01,2.580001e+01,-3.187644e+00,-4.336573e+01,-5.028621e+01,-4.208752e+01,-3.949675e+01,-3.186314e+01,-3.950656e+01,-5.357457e+01,-6.463317e+01,-6.642072e+01,-5.929723e+01,-4.424592e+01,-2.575865e+01,3.154826e+00,5.394963e+00,1.342469e-01,9.445726e+00,1.527642e+01,1.694259e+01
9.387114e+00,6.751796e+00,8.221718e+00,8.214507e+00,3.649035e+00,4.590748e+00,1.329232e+01,-2.043823e+00,8.833146e-02,-1.560792e-01,-8.978699e+00,-1.526303e+01,-1.553488e+01,-1.720312e+01,-1.532232e+01,-2.011879e+01,-3.733278e+01,-4.742904e+01,-4.864938e+01,-3.883354e+01,-2.402914e+01,-2.189097e+01,-1.795105e+01,-4.290456e+00,2.927761e-01,5.159612e+00
9.482723e+00,7.036601e+00,4.953419e+00,6.688114e+00,4.621964e+00,-1.560964e+01,-1.847134e+01,-4.168811e+01,-4.553859e+01,-4.592091e+01,-4.579904e+01,-3.374431e+01,-2.795233e+01,-2.613502e+01,-2.572477e+01,-2.483691e+01,-3.260609e+01,-3.520404e+01,-2.573658e+01,-1.358989e+01,-1.298211e+01,-1.681767e+01,-1.168164e+01,1.301967e+00,6.362104e+00,5.830208e+00
8.251585e+00,9.116873e+00,4.637079e+00,6.536707e+00,1.374760e+01,3.906476e+01,2.417447e+01,7.762671e+00,7.964558e+00,2.566692e+01,4.698319e+01,5.628854e+01,5.731399e+01,6.078092e+01,5.827542e+01,5.362790e+01,4.982335e+01,4.280748e+01,3.900338e+01,2.694222e+01,1.013107e+01,2.851959e+00,4.186846e+00,6.325582e+00,8.710480e+00,8.916679e+00
4.147939e+00,7.861212e+00,4.664727e+00,4.563588e+00,4.096235e+00,-1.333478e+01,-1.553521e+01,-7.688143e+00,-1.351506e+01,-2.233671e+01,-2.821055e+01,-2.952397e+01,-3.454199e+01,-3.669456e+01,-3.402473e+01,-3.614988e+01,-3.294739e+01,-3.085771e+01,-2.790032e+01,-1.094658e+01,1.253749e+00,3.093869e+00,5.720743e+00,8.549036e+00,1.126821e+01,1.103837e+01
-3.076601e-01,4.225780e+00,3.841829e+00,1.977682e+00,7.246485e+00,1.577882e+01,9.400324e-01,9.710550e+00,1.389732e+01,2.805559e+01,3.201071e+01,3.190486e+01,3.020563e+01,3.565777e+01,3.788955e+01,3.339988e+01,2.452668e+01,1.873233e+01,1.421051e+01,1.878748e+00,-6.885862e+00,-2.832497e+00,4.862876e-01,6.751558e+00,1.020104e+01,9.589371e+00
-2.070023e+00,1.598567e+00,2.210424e+00,4.289258e-01,-6.289238e-01,3.344773e+00,-1.547340e+01,-1.825503e+01,-9.402760e+00,-5.779603e+00,1.717960e+00,4.457028e+00,4.589626e+00,9.576724e+00,1.271093e+01,1.374603e+01,1.197250e+01,9.973270e+00,1.613581e+01,2.406518e+01,1.704898e+01,1.984462e+01,1.154294e+01,3.314062e+00,2.956093e+00,5.025249e+00
-1.640662e+00,2.625939e-01,-4.064989e-02,-1.240921e+00,2.373982e+00,3.075102e+00,1.569803e+00,-1.620296e+01,-2.478189e+01,-2.119210e+01,-1.166731e+01,-1.207030e+01,-1.191278e+01,-3.852695e+00,5.316165e+00,1.205785e+01,1.464779e+01,7.465448e+00,3.877882e+00,4.806119e+00,5.105700e+00,1.748222e+01,8.567492e+00,8.780670e-01,3.887995e+00,3.544706e+00
