Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-5.306372e+02,-5.146599e+02,-5.180112e+02,-4.652549e+02,-3.367935e+02,-2.713152e+02,-2.246060e+02,-2.038128e+02,-1.974039e+02,-2.195388e+02,-2.526866e+02,-2.626504e+02,-2.458928e+02,-2.366681e+02,-2.431131e+02,-2.399293e+02,-2.272391e+02,-2.077861e+02,-1.936011e+02,-1.717542e+02,-1.227402e+02,-8.544040e+01,-7.117786e+01,-7.010136e+01,-6.698438e+01,-9.186905e+01,-1.573322e+02,-2.524854e+02,-3.319411e+02,-4.052139e+02,-4.649680e+02,-5.016434e+02,-5.114955e+02,-5.138982e+02,-5.121742e+02,-5.115597e+02,-5.116315e+02,-5.117630e+02,-5.063988e+02,-5.203737e+02
5.008619e+01,6.401048e+01,6.047462e+01,4.511404e+01,3.989277e-01,-1.208204e+01,3.243999e+01,8.922985e+01,9.457523e+01,8.594839e+01,9.334240e+01,8.413797e+01,8.155966e+01,7.740253e+01,7.222797e+01,7.964828e+01,8.375775e+01,7.552763e+01,7.366011e+01,7.670700e+01,7.098640e+01,5.671608e+01,4.079623e+01,2.738572e+01,3.122147e+01,5.993321e+01,8.940684e+01,1.164966e+02,1.262375e+02,1.207835e+02,9.451948e+01,7.035472e+01,6.525188e+01,6.643132e+01,6.750055e+01,6.568590e+01,6.458769e+01,6.475688e+01,7.152751e+01,6.032893e+01
1.720802e+01,1.840325e+01,1.872503e+01,3.066934e+01,3.914682e+01,3.529491e+01,3.432545e+01,-2.218746e+00,-2.725130e+01,-1.882778e+01,-3.555552e-01,1.443881e+01,1.051788e+01,6.630397e+00,6.508451e+00,4.132125e+00,-4.617986e+00,-1.119485e+01,-1.006685e+01,-1.780782e+01,-3.223313e+01,-4.363018e+01,-5.010892e+01,-5.522539e+01,-6.429379e+01,-6.635863e+01,-6.306179e+01,-4.053043e+01,-3.428326e+01,-2.777117e+01,-7.429485e+00,1.002841e+01,1.644428e+01,2.233102e+01,2.206833e+01,1.798413e+01,1.576228e+01,1.557524e+01,1.914231e+01,2.083115e+01
-9.638189e-01,-8.887718e-01,2.733286e+00,8.948217e+00,2.563497e+01,3.216623e+01,3.401492e+01,2.402200e+01,1.859938e+01,1.271819e+01,5.978237e+00,1.097264e+01,1.443643e+01,5.110907e+00,1.499521e+00,-2.729142e+00,-1.077985e+00,-9.364905e-01,-4.375419e-02,-6.092946e+00,-1.502263e+01,-2.075851e+01,-2.025117e+01,-2.016885e+01,-2.772438e+01,-2.838028e+01,-2.305650e+01,-3.357547e+01,-3.867820e+01,-4.148467e+01,-2.549581e+01,-4.331440e+00,-2.401232e-01,2.325881e+00,3.360121e+00,2.704325e+00,1.930682e+00,6.270050e-01,-6.122774e-01,1.954731e+00
2.189669e+00,6.156661e+00,8.443090e+00,-9.832983e-01,-1.361709e+01,-2.239079e+01,-2.995529e+01,-1.995324e+01,-2.806157e+01,-3.473187e+01,-3.255083e+01,-2.885083e+01,-2.947106e+01,-2.213572e+01,-1.177848e+01,-9.791634e+00,-1.332280e+01,-1.818590e+01,-2.286056e+01,-1.756223e+01,-1.629565e+01,-1.802369e+01,-2.517051e+01,-2.340204e+01,-2.648826e+01,-2.202082e+01,-1.045068e+01,2.286544e+00,1.432628e+01,1.524569e+01,8.049387e+00,1.098919e+01,8.921524e+00,8.503554e+00,1.016244e+01,1.280796e+01,1.501603e+01,1.467218e+01,1.077575e+01,7.776024e+00
9.560384e+00,1.144955e+01,1.104869e+01,3.985340e+01,4.069056e+01,3.419476e+01,1.334008e+01,1.880563e+01,3.897929e+01,4.688937e+01,5.094157e+01,6.155852e+01,6.421885e+01,6.352729e+01,6.205023e+01,6.016606e+01,5.795757e+01,5.499258e+01,5.499127e+01,5.204407e+01,4.762906e+01,5.269823e+01,5.573233e+01,5.975980e+01,6.127613e+01,6.151832e+01,5.403978e+01,3.444856e+01,1.482990e+01,1.530481e+01,1.628109e+01,1.272075e+01,1.276710e+01,1.486744e+01,1.366893e+01,1.459919e+01,1.780710e+01,1.955934e+01,1.632872e+01,1.397865e+01
8.590787e+00,6.109215e+00,6.191194e+00,-8.558487e+00,-1.013768e+01,-9.968739e+00,-2.399980e+01,-3.130165e+01,-4.883436e+01,-4.995217e+01,-4.574707e+01,-4.882930e+01,-4.435309e+01,-4.571770e+01,-4.491515e+01,-4.526134e+01,-4.446136e+01,-4.670221e+01,-4.796207e+01,-4.692729e+01,-5.124862e+01,-4.985934e+01,-5.109527e+01,-5.155421e+01,-5.196851e+01,-4.250839e+01,-3.620496e+01,-3.003506e+01,-8.254560e+00,3.977911e+00,1.054623e+01,5.835988e+00,8.562925e+00,1.076463e+01,7.415621e+00,5.661222e+00,7.436168e+00,8.682863e+00,6.388850e+00,8.567908e+00
3.726483e+00,1.397588e+00,3.292738e+00,5.128487e+00,7.891719e+00,8.812796e+00,3.834605e-01,1.061637e-01,1.578547e+01,2.311285e+01,2.644365e+01,2.427734e+01,2.871971e+01,3.392493e+01,3.442086e+01,3.534865e+01,3.394308e+01,2.933787e+01,3.707050e+01,4.095157e+01,4.473698e+01,4.832393e+01,4.916914e+01,5.042238e+01,4.640035e+01,4.286996e+01,3.966259e+01,4.166416e+01,2.885739e+01,2.020786e+01,1.874693e+01,6.654790e+00,5.975005e+00,4.172360e+00,3.372710e+00,8.544345e-01,1.082851e+00,9.280856e-01,-1.040972e+00,1.485005e+00
2.752908e+00,1.794497e+00,2.893617e+00,4.400365e+00,-2.226221e+00,-6.669894e+00,-1.531028e+01,-1.428292e+01,-1.565649e+01,-3.921840e+00,4.944738e+00,3.917176e+00,2.448280e-01,-4.186528e+00,-1.374952e+01,-1.687229e+01,-8.445124e+00,-1.431620e+01,-1.653134e+01,-2.182355e+01,-2.094613e+01,-1.791020e+01,-1.841318e+01,-2.112584e+01,-2.560239e+01,-2.761723e+01,-2.242525e+01,-8.260550e+00,-1.854730e-01,1.549638e+01,1.658028e+01,4.509785e+00,2.545490e+00,7.976125e-01,2.922027e+00,-2.136542e-01,-1.370729e+00,4.116178e-02,2.828178e-01,8.616751e-01
4.385655e+00,1.378767e+00,-1.698221e+00,-1.278109e+01,-6.339396e+00,-2.157973e+00,-1.405890e+00,-8.330460e-01,5.452157e+00,3.035871e+00,3.439890e+00,7.567511e+00,6.891912e+00,1.193869e+01,1.562010e+01,1.438992e+01,1.878359e+01,1.669575e+01,1.640603e+01,1.340324e+01,1.417076e+01,2.074815e+01,2.258413e+01,1.931006e+01,1.430618e+01,8.059728e+00,-4.254519e+00,-1.532347e+01,-1.624347e+01,-1.391219e+01,-7.650950e+00,-6.084056e+00,-2.898337e+00,-4.316265e-01,-6.469095e-01,-3.052559e+00,-5.535651e+00,-2.445548e+00,9.507843e-01,2.137202e+00
