Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-5.052589e+02,-4.812957e+02,-4.731332e+02,-4.727639e+02,-4.726557e+02,-4.563177e+02,-3.567992e+02,-2.833899e+02,-2.182586e+02,-1.731384e+02,-1.288307e+02,-1.157976e+02,-1.414623e+02,-1.628114e+02,-1.574399e+02,-1.460893e+02,-1.392389e+02,-1.361489e+02,-1.287302e+02,-1.217420e+02,-9.674625e+01,-7.462578e+01,-6.116500e+01,-5.608913e+01,-6.461189e+01,-7.694685e+01,-8.179096e+01,-1.084435e+02,-1.765004e+02,-2.575923e+02,-3.269430e+02,-3.960319e+02,-4.495417e+02,-4.715039e+02,-4.745995e+02,-4.755944e+02,-4.707070e+02,-4.542432e+02,-4.483212e+02,-4.490029e+02,-4.543396e+02,-4.552204e+02,-4.596390e+02
4.658874e+01,7.091501e+01,7.961543e+01,7.884759e+01,7.800356e+01,9.144946e+01,9.211161e+01,7.467494e+01,6.586139e+01,6.756086e+01,7.132990e+01,6.755514e+01,7.465375e+01,7.278069e+01,6.486547e+01,6.398549e+01,7.215817e+01,7.283496e+01,6.879471e+01,6.852374e+01,6.847216e+01,6.731656e+01,6.345887e+01,5.888524e+01,5.744707e+01,6.557140e+01,7.644793e+01,9.356433e+01,1.246039e+02,1.382522e+02,1.335891e+02,1.113073e+02,8.203966e+01,7.571619e+01,7.441550e+01,7.406844e+01,8.003677e+01,9.918417e+01,1.053417e+02,1.011948e+02,9.450746e+01,9.397916e+01,9.141133e+01
2.541330e+01,3.278279e+01,3.820436e+01,3.532272e+01,3.201202e+01,3.169590e+01,2.469127e+01,3.256321e+01,2.436508e+01,1.089105e+01,-1.148793e+00,4.180800e+00,1.724155e+01,1.466751e+01,6.618763e+00,1.138574e+00,-2.216077e+00,-1.996098e+00,-2.264169e+00,-7.089698e+00,-1.670035e+01,-3.187471e+01,-4.590059e+01,-5.202779e+01,-5.094681e+01,-6.112265e+01,-7.923419e+01,-8.038256e+01,-6.240130e+01,-4.167598e+01,-3.301713e+01,-2.334810e+01,2.314817e+00,2.651439e+01,2.774952e+01,2.900326e+01,3.122509e+01,3.946878e+01,4.025557e+01,3.467971e+01,3.026470e+01,2.978869e+01,3.260181e+01
1.579056e+01,1.452883e+01,1.986422e+01,1.720025e+01,1.261174e+01,9.573648e+00,3.004817e+01,3.125935e+01,2.721121e+01,1.752371e+01,-1.998682e+00,-1.232388e+01,-1.864950e+01,-1.937896e+01,-1.855703e+01,-1.955713e+01,-1.633661e+01,-1.470772e+01,-1.559125e+01,-1.684916e+01,-1.755469e+01,-1.724836e+01,-1.569806e+01,-1.676790e+01,-1.603121e+01,-9.786213e+00,-5.603154e-01,-1.284109e-01,1.348133e+00,4.937057e+00,-1.427966e+00,-1.208875e+01,5.778620e-01,1.227300e+01,1.064601e+01,1.213907e+01,9.300111e+00,5.363447e+00,3.989871e-01,2.054457e+00,9.702506e-01,-2.042138e+00,1.583077e+00
1.768365e+01,1.400573e+01,1.643205e+01,1.692664e+01,1.459614e+01,1.476092e+01,1.924620e+00,7.959570e-01,3.074412e-01,-6.012285e+00,-1.364418e+01,-1.060657e+01,-2.749360e-01,7.506702e+00,1.217951e+01,1.232274e+01,1.272814e+01,1.138124e+01,9.492294e+00,8.046478e+00,6.738615e+00,5.978868e+00,1.050850e+01,1.229305e+01,1.190236e+01,1.078008e+01,8.138800e+00,1.432870e+01,2.611859e+01,3.667990e+01,4.073573e+01,3.764297e+01,3.293132e+01,2.029285e+01,1.763946e+01,1.875165e+01,1.431594e+01,3.534136e+00,-4.627059e+00,3.427534e+00,7.014237e+00,1.593668e+00,3.640044e+00
1.786041e+01,9.707243e+00,5.387203e+00,9.567661e+00,1.066606e+01,1.390881e+01,1.269452e+01,4.980377e+00,6.329636e+00,1.485231e+01,2.017636e+01,2.035969e+01,2.854818e+01,3.340257e+01,4.052665e+01,4.181597e+01,4.750273e+01,5.071275e+01,5.486876e+01,5.349549e+01,5.359646e+01,5.261694e+01,5.446194e+01,5.650784e+01,5.887880e+01,6.047259e+01,6.137202e+01,5.653688e+01,4.021905e+01,1.741142e+01,8.588806e+00,1.672208e+01,2.587902e+01,1.808191e+01,1.831600e+01,1.926871e+01,1.649157e+01,5.489898e+00,-1.131880e+00,4.848654e+00,1.310625e+01,9.315403e+00,9.536945e+00
1.293541e+01,-3.049653e-02,-7.529655e+00,-1.340762e+00,1.446621e+00,4.702656e+00,-5.962871e+00,-7.514956e+00,-8.308672e+00,-1.994748e+01,-3.260524e+01,-2.832146e+01,-2.156530e+01,-2.132792e+01,-2.394223e+01,-3.238807e+01,-3.290362e+01,-3.569524e+01,-3.443550e+01,-3.485449e+01,-3.453635e+01,-3.417264e+01,-3.231065e+01,-3.351936e+01,-3.098092e+01,-2.640352e+01,-2.574759e+01,-2.747462e+01,-2.455160e+01,-1.776378e+01,-8.835554e+00,-3.452965e+00,6.472472e+00,1.066299e+01,1.088480e+01,1.050031e+01,7.720572e+00,3.828724e-01,-9.575192e-01,1.319374e+00,9.626865e+00,1.128224e+01,9.121216e+00
8.589489e+00,-3.547770e+00,-9.571651e+00,-3.780439e+00,5.102357e-02,3.055519e+00,4.099418e+00,7.358187e+00,2.975288e+01,5.053474e+01,6.067490e+01,5.990983e+01,4.955276e+01,4.582265e+01,5.495141e+01,5.767242e+01,5.562637e+01,5.431499e+01,4.741056e+01,4.095081e+01,4.634878e+01,5.163242e+01,5.483849e+01,5.715418e+01,5.946523e+01,5.182707e+01,4.778791e+01,4.492939e+01,3.872543e+01,2.570754e+01,1.761227e+01,1.333368e+01,1.286470e+01,1.064636e+01,8.732058e+00,5.656457e+00,1.694113e+00,3.624310e-01,3.259487e+00,5.639701e+00,7.995148e+00,1.384864e+01,1.216852e+01
5.139376e+00,-3.878175e-01,-4.884047e+00,-1.650310e+00,2.869236e+00,1.007845e+01,-5.419909e+00,-1.558976e+01,-2.673838e+01,-2.488366e+01,-1.708705e+01,-1.220815e+01,-5.577992e+00,-5.149818e+00,-8.801680e+00,-5.818279e+00,-6.392743e+00,-1.008122e+01,-1.426329e+01,-1.496274e+01,-1.229446e+01,-8.550838e+00,-8.724297e+00,-1.046979e+01,-1.086235e+01,-1.178990e+01,-1.561570e+01,-1.793834e+01,-1.314269e+01,-6.768066e+00,2.594054e-01,8.326498e+00,1.551262e+01,8.967804e+00,9.268806e+00,5.413238e+00,3.731867e+00,8.468741e+00,1.130023e+01,1.290185e+01,9.555597e+00,1.407528e+01,1.744663e+01
-1.143561e+00,9.646213e-02,-1.773774e+00,-1.359608e+00,1.670627e+00,1.007551e+01,2.486959e+01,1.604963e+01,7.649567e-01,5.747762e+00,7.621092e+00,9.131332e+00,1.104088e+01,7.297714e+00,9.024948e+00,1.556534e+01,1.943858e+01,1.866255e+01,1.680238e+01,2.122243e+01,1.898474e+01,1.504390e+01,5.315866e+00,-1.359816e+00,-2.532421e+00,-3.911232e+00,-1.310593e+01,-1.747495e+01,-2.370272e+01,-2.129531e+01,-1.589195e+01,-1.562974e+01,-3.561310e+00,-2.641498e-01,4.372910e+00,3.198469e+00,5.640444e+00,1.189990e+01,1.264718e+01,1.004411e+01,5.689314e+00,6.827415e+00,1.421183e+01
