Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44
-4.904272e+02,-4.692990e+02,-4.644944e+02,-4.630382e+02,-4.604208e+02,-4.446526e+02,-4.367861e+02,-4.109142e+02,-3.314734e+02,-2.574784e+02,-1.859431e+02,-1.333173e+02,-1.027773e+02,-9.621532e+01,-1.253207e+02,-1.424961e+02,-1.450797e+02,-1.402863e+02,-1.385457e+02,-1.345758e+02,-1.211710e+02,-1.045570e+02,-8.893272e+01,-8.616294e+01,-9.058743e+01,-8.324290e+01,-6.151603e+01,-4.789506e+01,-3.911810e+01,-4.205605e+01,-7.690546e+01,-1.450178e+02,-1.977164e+02,-2.604128e+02,-3.350448e+02,-3.977229e+02,-4.421407e+02,-4.669820e+02,-4.679212e+02,-4.713599e+02,-4.720989e+02,-4.714488e+02,-4.721725e+02,-4.816571e+02
3.909022e+01,5.323745e+01,5.956152e+01,6.132522e+01,6.575713e+01,8.369415e+01,8.798151e+01,7.026485e+01,4.344710e+01,3.941663e+01,4.374243e+01,4.922479e+01,5.019252e+01,5.347964e+01,6.287900e+01,6.593874e+01,6.106401e+01,5.643726e+01,4.892984e+01,4.284927e+01,3.717755e+01,3.802386e+01,4.253640e+01,4.240392e+01,3.813457e+01,4.138423e+01,3.774110e+01,3.447723e+01,5.214862e+01,6.875230e+01,7.205540e+01,8.854572e+01,1.166366e+02,1.402025e+02,1.341362e+02,1.074788e+02,7.955832e+01,6.219152e+01,6.002531e+01,5.717394e+01,5.656215e+01,5.859539e+01,5.723170e+01,4.925378e+01
1.556538e+01,9.293357e+00,1.354898e+01,1.528688e+01,2.102601e+01,3.075303e+01,3.058329e+01,2.676834e+01,3.851189e+01,5.851245e+01,4.865567e+01,1.770101e+01,-3.259317e+00,-5.239085e+00,1.325813e-01,-1.420269e-01,-5.238444e+00,-2.017484e+00,-2.542570e-01,-2.453134e+00,-1.382302e+00,-9.791185e+00,-1.203366e+01,-1.157928e+01,-1.239096e+01,-2.122920e+01,-3.600312e+01,-4.846940e+01,-6.900755e+01,-8.648926e+01,-7.502529e+01,-6.046543e+01,-6.018035e+01,-5.311655e+01,-3.772260e+01,-1.776457e+01,3.223347e+00,1.491112e+01,1.346874e+01,1.442535e+01,1.491576e+01,1.726016e+01,1.536410e+01,1.676228e+01
9.701622e+00,2.414507e-01,4.201604e+00,6.716582e+00,1.012535e+01,1.811333e+01,2.355579e+01,3.602344e+00,-1.220880e+01,-4.397742e-01,7.519529e+00,-4.943673e+00,-1.344846e+01,-1.967924e+01,-2.225445e+01,-1.604935e+01,-2.001774e+01,-2.485340e+01,-2.352121e+01,-2.286122e+01,-2.133982e+01,-2.198289e+01,-1.925123e+01,-2.119858e+01,-2.787189e+01,-2.443916e+01,-2.246769e+01,-1.918217e+01,-1.829150e+01,-1.850495e+01,-2.269418e+01,-2.428960e+01,-2.858017e+01,-4.719907e+01,-5.008232e+01,-3.799187e+01,-1.993587e+01,-1.803550e+00,8.626041e-01,3.432976e+00,5.672943e+00,4.501177e+00,2.254929e+00,6.350353e+00
1.309702e+01,7.703579e+00,1.266148e+01,1.389334e+01,1.295029e+01,2.094088e+01,2.646995e+01,3.383728e+01,4.357824e+01,3.386625e+01,2.415585e+01,-3.533840e+00,-7.915991e+00,-3.059488e+00,-1.802067e+00,3.250200e+00,1.448857e+00,3.364930e+00,9.726366e+00,8.721931e+00,9.798355e+00,6.930696e+00,1.334198e+01,1.663835e+01,1.028307e+01,8.940442e+00,6.474438e+00,6.255155e+00,2.077872e+00,-6.722373e+00,-1.468186e+01,-4.667527e+00,-8.183716e+00,-1.141136e+00,1.039627e+01,9.874029e+00,4.003092e+00,9.021872e+00,1.365984e+01,1.572527e+01,1.968405e+01,1.424464e+01,1.121624e+01,1.158335e+01
1.722806e+01,1.651435e+01,1.944297e+01,1.711262e+01,1.621217e+01,1.674934e+01,1.655767e+01,1.545549e+01,8.856678e+00,-3.152656e+00,-2.739960e+00,6.325126e+00,2.766571e+01,3.136929e+01,3.331185e+01,3.335371e+01,3.478786e+01,3.958266e+01,3.863914e+01,3.382900e+01,3.172769e+01,3.561065e+01,4.131514e+01,3.971875e+01,3.994536e+01,3.786575e+01,4.395313e+01,4.765060e+01,5.001754e+01,5.558664e+01,5.876529e+01,5.196984e+01,4.430392e+01,3.320229e+01,2.169007e+01,2.360893e+01,2.239280e+01,1.608742e+01,1.707913e+01,2.038312e+01,2.382942e+01,1.760711e+01,1.318660e+01,1.121976e+01
1.138829e+01,1.027800e+01,1.292137e+01,1.024584e+01,9.448484e+00,5.528544e+00,2.068656e+00,3.897841e+00,-1.997903e+00,-6.474826e+00,-1.739235e+01,-2.657205e+01,-3.573846e+01,-3.290539e+01,-2.646721e+01,-2.879618e+01,-3.015091e+01,-3.161890e+01,-3.209922e+01,-2.647330e+01,-3.292879e+01,-3.513714e+01,-3.377377e+01,-3.704113e+01,-4.230546e+01,-3.935472e+01,-3.200444e+01,-3.088223e+01,-2.583546e+01,-2.503049e+01,-2.565092e+01,-2.791886e+01,-2.547182e+01,-2.086797e+01,-1.217995e+01,8.734504e+00,2.308160e+01,1.377878e+01,9.724344e+00,1.491360e+01,1.530769e+01,1.183401e+01,6.947025e+00,6.049312e+00
6.367426e+00,4.286128e+00,6.422507e+00,6.755381e+00,3.454402e+00,-1.425334e+00,-5.189887e+00,1.001245e+01,2.051892e+01,1.620755e+01,1.356079e+01,3.896124e+01,5.669820e+01,5.954214e+01,5.466737e+01,4.992120e+01,4.342359e+01,4.703213e+01,4.654209e+01,4.701355e+01,4.407778e+01,4.639273e+01,4.813449e+01,4.769618e+01,4.964119e+01,4.916689e+01,5.150462e+01,5.393183e+01,5.417719e+01,5.137123e+01,4.876421e+01,4.392994e+01,3.319741e+01,2.002607e+01,1.121442e+01,8.429920e+00,1.948853e+01,1.295807e+01,7.633558e+00,9.432911e+00,7.261071e+00,7.902154e+00,5.273456e+00,4.879668e+00
1.106307e+01,9.667913e+00,6.299388e+00,8.592697e+00,5.246602e+00,-4.231094e+00,-9.125885e+00,-3.958319e+00,-5.526775e+00,-1.533940e+01,-2.293538e+01,-1.807684e+01,-1.399778e+01,-4.901271e+00,-4.022904e+00,-5.841218e+00,-5.815880e+00,-5.461208e+00,-7.701605e+00,-8.399210e+00,-9.596664e+00,-6.942013e+00,-2.450787e+00,-3.794345e+00,-6.513149e+00,-3.787014e+00,-6.308624e+00,-1.063405e+01,-1.368918e+01,-1.474034e+01,-1.610002e+01,-1.005255e+01,-8.283069e+00,-4.330074e+00,4.421269e+00,9.283484e+00,9.343389e+00,1.061641e+01,8.867810e+00,3.930488e+00,1.280407e+00,5.445891e+00,6.764662e+00,6.060840e+00
9.867977e+00,4.058398e+00,-2.429565e+00,-8.738697e-02,-2.147742e+00,-1.014427e+01,-1.768614e+01,-6.133485e+00,2.119369e+00,1.602024e-03,-4.155502e-01,4.064080e+00,2.387213e+00,2.397050e-01,7.625010e-01,-3.490646e+00,9.982598e-01,6.761547e-01,1.731909e+00,5.124546e-01,-2.206808e+00,1.924555e+00,6.972863e+00,9.851781e+00,1.105458e+01,1.044018e+01,9.246984e+00,4.239432e+00,-4.083904e+00,-8.891692e+00,-1.263259e+01,-1.829191e+01,-1.932996e+01,-2.054781e+01,-1.482897e+01,-3.527832e+00,-8.250237e+00,6.425964e-01,4.385937e+00,-1.340672e+00,-3.905618e+00,1.833877e+00,4.693833e+00,5.308641e+00
