Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-5.038062e+02,-4.919448e+02,-4.832395e+02,-4.777047e+02,-4.739313e+02,-4.360305e+02,-2.980002e+02,-1.891731e+02,-1.458655e+02,-1.413341e+02,-1.195280e+02,-5.916539e+01,-4.460048e+01,-7.164495e+01,-1.256645e+02,-1.708147e+02,-2.254025e+02,-3.090352e+02,-3.924563e+02,-4.491034e+02,-4.727746e+02,-4.782161e+02,-4.831480e+02,-4.819701e+02,-4.875271e+02
4.036810e+01,5.006791e+01,5.985374e+01,6.771855e+01,7.206836e+01,9.557161e+01,1.394418e+02,1.397055e+02,1.244709e+02,1.096565e+02,8.332187e+01,6.869006e+01,7.736006e+01,8.776693e+01,1.021109e+02,1.207718e+02,1.369763e+02,1.444728e+02,1.205788e+02,8.254440e+01,6.471061e+01,5.986000e+01,5.467865e+01,5.657063e+01,5.394717e+01
1.943149e+01,1.712590e+01,2.307862e+01,3.156848e+01,3.309155e+01,2.227778e+01,-3.277276e+01,-6.923665e+01,-8.647395e+01,-8.286603e+01,-6.344957e+01,-5.907603e+01,-4.171469e+01,-2.899196e+01,-1.256280e+01,-1.224265e+00,2.813736e+00,7.502395e-02,-8.799738e+00,4.713394e+00,1.217261e+01,1.273087e+01,9.704570e+00,1.192679e+01,1.635689e+01
6.991528e+00,1.811444e+00,7.257384e+00,1.508107e+01,1.415089e+01,1.214810e+01,-1.352649e+00,-8.866738e+00,-1.444560e+01,-9.741405e+00,-2.885309e+01,-5.757363e+01,-7.503816e+01,-7.460518e+01,-6.217551e+01,-5.552437e+01,-5.740947e+01,-4.896776e+01,-3.674774e+01,-1.901213e+01,-6.381497e+00,-3.143579e+00,-6.651794e+00,-5.215441e+00,-2.012308e+00
7.285834e+00,7.854313e+00,1.378899e+01,1.654673e+01,1.700905e+01,2.388257e+01,6.416952e+00,-1.397435e+01,-1.744204e+01,-1.660670e+01,-1.422510e+01,-1.305611e+01,-2.223984e+01,-3.034074e+01,-3.346107e+01,-1.715041e+01,4.786203e-01,1.058477e+01,6.683897e+00,3.861031e+00,6.965525e+00,9.644723e+00,6.476989e+00,5.369068e+00,3.872980e+00
9.981963e+00,1.353284e+01,1.627417e+01,1.348064e+01,1.822266e+01,1.495143e+01,6.652578e+00,1.654684e+01,2.567143e+01,3.593473e+01,6.141825e+01,7.113992e+01,7.091322e+01,6.507424e+01,6.100650e+01,5.757965e+01,4.889963e+01,2.142691e+01,1.678137e+01,1.401922e+01,1.427483e+01,1.705885e+01,1.789706e+01,1.432013e+01,1.217499e+01
7.992803e+00,7.492568e+00,4.545442e+00,1.981531e+00,8.838221e+00,4.338185e+00,-5.402059e+00,-1.849882e+01,-2.771966e+01,-3.379632e+01,-4.085282e+01,-4.428303e+01,-4.554258e+01,-4.644218e+01,-4.446190e+01,-4.854816e+01,-3.967231e+01,-1.255630e+01,3.060845e+00,2.565754e+00,6.478921e+00,1.073739e+01,1.535467e+01,1.127027e+01,1.044177e+01
5.080309e+00,5.092263e-01,-5.804389e+00,-5.986443e+00,-1.104493e+00,2.280553e+00,1.522560e+01,2.547328e+01,2.126045e+01,1.751007e+01,1.633616e+01,2.280313e+01,2.243493e+01,2.370965e+01,2.551688e+01,1.931873e+01,9.356407e+00,5.980786e-01,2.132312e+00,7.847289e-01,2.364454e+00,5.554280e+00,9.770433e+00,6.157949e+00,5.530285e+00
5.643411e+00,2.778005e+00,-3.714520e+00,-6.111568e+00,-4.495299e+00,-2.070784e-01,1.730721e+01,1.710528e+01,9.953661e+00,1.299016e+01,7.613737e+00,3.728893e-02,-1.928576e+00,-1.571816e+00,-1.011543e+00,-7.733216e-01,2.346186e-02,5.707604e+00,1.307784e+01,1.122390e+01,6.578746e+00,5.679669e+00,7.331205e+00,4.056168e+00,4.332493e+00
6.495137e+00,7.689471e+00,9.482014e-01,-4.044845e+00,-4.395832e+00,-7.858820e+00,-1.232876e+01,-3.032017e+00,4.379618e+00,2.477554e+00,1.028609e+01,1.676927e+01,2.007474e+01,2.571417e+01,2.750965e+01,2.564901e+01,1.629958e+01,8.236332e+00,1.334872e+01,1.107406e+01,6.650356e+00,3.618717e+00,3.752455e+00,1.945818e+00,3.660735e+00
