Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.158729e+02,-5.068226e+02,-5.095642e+02,-5.056949e+02,-4.867296e+02,-4.361249e+02,-3.037268e+02,-1.857307e+02,-1.216833e+02,-9.027042e+01,-7.975925e+01,-9.364130e+01,-6.575151e+01,-6.493534e+01,-9.194511e+01,-1.281072e+02,-1.487406e+02,-1.873691e+02,-1.936301e+02,-2.306799e+02,-3.234041e+02,-4.150531e+02,-4.689586e+02,-4.959911e+02,-5.098609e+02,-5.096356e+02,-5.112969e+02
3.542552e+01,4.269479e+01,4.031472e+01,4.640805e+01,6.800721e+01,7.174070e+01,6.367996e+01,6.707635e+01,6.722668e+01,5.205909e+01,3.420397e+01,2.993281e+01,3.616114e+01,4.685513e+01,5.135066e+01,5.532856e+01,4.527342e+01,4.948338e+01,5.454218e+01,6.685811e+01,9.942831e+01,1.008533e+02,6.980020e+01,4.714790e+01,3.679758e+01,3.820649e+01,3.806647e+01
2.089736e+01,1.911084e+01,1.994005e+01,2.678179e+01,3.859374e+01,5.239122e+01,3.243160e+01,8.682320e+00,-1.524550e+01,-3.680531e+01,-4.303027e+01,-4.488662e+01,-6.258654e+01,-6.930786e+01,-5.038132e+01,-2.242675e+01,-1.633866e+01,-4.228854e+00,-1.231731e+01,-1.761242e+01,-1.242928e+01,-1.082361e+00,3.219858e+00,9.176373e+00,1.213529e+01,1.477563e+01,1.873107e+01
7.678177e+00,4.486086e+00,7.707797e+00,1.421237e+01,2.137302e+01,2.099470e+01,4.040431e+00,-2.198280e+01,-2.437489e+01,-1.514916e+01,-2.168253e+01,-3.250138e+01,-3.886722e+01,-5.063492e+01,-5.149784e+01,-4.602251e+01,-4.158332e+01,-3.986070e+01,-4.262600e+01,-4.443669e+01,-4.431000e+01,-3.213804e+01,-1.914372e+01,-2.646943e+00,1.694737e+00,3.412442e+00,9.082167e+00
1.998620e+00,4.478858e+00,7.938766e+00,1.321151e+01,2.189080e+01,4.221336e+01,4.141643e+01,1.380927e+01,-9.127610e+00,-2.150846e+01,-2.773248e+01,-2.131622e+01,-1.661516e+01,-1.569781e+01,-1.805091e+01,-2.306818e+01,-2.569215e+01,-1.926455e+01,-1.674345e+01,-1.228544e+01,-5.528038e-01,2.026439e+00,3.236361e+00,1.078776e+01,7.717222e+00,7.789255e+00,1.201314e+01
2.944130e+00,9.618942e+00,1.188735e+01,1.471113e+01,2.366799e+01,1.331807e+01,2.040755e+00,1.344227e+01,2.427101e+01,4.038611e+01,4.913293e+01,6.224860e+01,7.266684e+01,7.200958e+01,7.580887e+01,7.694073e+01,7.503494e+01,6.535089e+01,6.144558e+01,5.719202e+01,4.138448e+01,2.713561e+01,1.936351e+01,1.774421e+01,1.265305e+01,1.231253e+01,1.455311e+01
5.619795e+00,1.125069e+01,1.239431e+01,1.147017e+01,1.495431e+01,3.005164e+01,4.414679e-01,-3.284013e+01,-5.084430e+01,-5.518279e+01,-4.877002e+01,-4.581285e+01,-4.720786e+01,-5.532249e+01,-5.365513e+01,-4.909263e+01,-4.678465e+01,-4.570163e+01,-5.114913e+01,-4.742594e+01,-3.559157e+01,-5.302970e+00,1.069955e+01,1.019390e+01,7.465761e+00,7.093472e+00,8.428254e+00
6.571491e+00,8.906098e+00,9.747574e+00,6.489338e+00,2.880258e+00,1.011144e+00,1.107744e+01,2.124345e+01,3.807500e+01,4.633405e+01,4.225588e+01,3.826672e+01,3.321776e+01,3.195917e+01,3.426976e+01,3.569094e+01,3.525391e+01,3.008822e+01,2.636089e+01,2.289853e+01,1.395254e+01,-4.530983e+00,-1.027931e+00,1.778249e+00,5.778946e-01,-2.824444e-01,2.574342e-01
5.623580e+00,5.971951e+00,7.181832e+00,5.044177e+00,-1.348198e+00,-8.571995e+00,-6.860478e+00,-6.195878e+00,-4.865722e+00,-9.843122e+00,-8.054913e+00,-2.497718e-01,-2.953504e+00,-4.308583e+00,-4.968985e+00,-5.336801e+00,-5.477525e+00,-1.064362e+01,-1.318262e+01,-1.475224e+01,-1.193423e+01,-4.740246e+00,-1.939815e+00,2.059388e-01,2.131443e-01,-1.966366e-01,-7.537292e-01
3.818294e+00,4.628222e+00,6.393560e+00,5.580840e+00,2.862463e-01,7.485997e+00,3.078433e+00,-2.412993e+00,1.653469e+00,1.332102e+01,1.074966e+01,9.184710e+00,1.028080e+01,1.104751e+01,1.403632e+01,1.725911e+01,1.602528e+01,1.291534e+01,6.808294e+00,5.151385e+00,1.420046e+00,1.181111e+00,3.943917e-01,-1.384856e-01,2.118252e+00,3.552877e+00,3.423390e+00
