Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-5.038102e+02,-4.874136e+02,-4.827245e+02,-4.766068e+02,-4.593337e+02,-3.963643e+02,-2.532463e+02,-1.202176e+02,-6.071385e+01,-5.523783e+01,-4.319637e+01,-5.175520e+01,-5.283031e+01,-5.584077e+01,-7.362408e+01,-1.068854e+02,-1.462118e+02,-1.496630e+02,-1.717558e+02,-2.531010e+02,-3.703735e+02,-4.308981e+02,-4.632722e+02,-4.760774e+02,-4.789736e+02,-4.782069e+02,-4.638256e+02,-4.608997e+02,-4.810540e+02
3.666218e+01,5.120154e+01,5.358736e+01,6.466074e+01,8.628256e+01,8.562145e+01,5.867050e+01,6.075996e+01,5.617146e+01,3.633522e+01,2.179107e+01,2.501244e+01,3.374723e+01,4.512431e+01,5.784017e+01,6.661614e+01,8.750372e+01,1.109942e+02,1.200060e+02,1.274208e+02,1.290386e+02,9.374875e+01,6.761502e+01,5.963068e+01,5.717057e+01,5.490200e+01,5.855822e+01,6.183140e+01,5.282964e+01
1.694086e+01,1.764242e+01,1.401819e+01,2.622435e+01,4.305202e+01,4.824793e+01,2.876618e+01,-2.412777e+00,-2.601727e+01,-3.307807e+01,-3.698770e+01,-4.037249e+01,-5.076488e+01,-6.190502e+01,-5.466755e+01,-3.946169e+01,-3.339512e+01,-4.668138e+01,-4.503473e+01,-3.365659e+01,-1.421828e+01,6.656381e-01,5.709708e+00,1.369401e+01,1.391205e+01,9.497883e+00,9.328842e+00,1.431596e+01,1.781328e+01
6.902357e+00,5.175548e+00,2.586015e+00,8.883900e+00,2.236058e+01,3.673433e+00,8.459327e+00,-1.125503e+01,-1.619479e+01,-9.214825e+00,-1.521967e+01,-2.286747e+01,-2.592660e+01,-3.309726e+01,-3.694001e+01,-3.183336e+01,-4.022269e+01,-5.543823e+01,-6.291071e+01,-6.281573e+01,-4.628580e+01,-2.645292e+01,-1.218604e+01,-2.503974e+00,-1.098020e+00,-3.028035e+00,-6.041193e+00,-3.149064e+00,4.620739e+00
9.165073e+00,1.325025e+01,1.578094e+01,1.590429e+01,2.502717e+01,6.051411e+01,3.220533e+01,1.293284e+00,-1.049919e+01,-1.420630e+01,-1.654420e+01,-1.422830e+01,-1.143533e+01,-9.747444e+00,-1.392842e+01,-1.717020e+01,-1.981840e+01,-1.937608e+01,-1.161865e+01,-7.385736e+00,-5.728281e+00,1.060760e+00,6.715572e+00,8.223874e+00,9.757008e+00,1.191162e+01,1.766581e+01,1.924482e+01,1.764885e+01
1.066687e+01,1.656818e+01,2.050361e+01,2.068027e+01,2.441672e+01,1.152750e+01,7.893754e+00,1.825702e+01,3.132174e+01,3.929752e+01,4.651482e+01,4.947878e+01,5.538260e+01,6.026830e+01,6.660550e+01,6.709180e+01,6.015896e+01,6.474397e+01,6.411926e+01,4.653066e+01,1.693977e+01,1.517920e+01,1.407058e+01,1.409937e+01,1.515430e+01,1.544819e+01,1.702145e+01,1.965698e+01,2.418473e+01
3.859823e+00,6.987689e+00,8.895183e+00,9.995255e+00,1.208698e+01,1.985100e+01,-2.868076e+00,-3.077130e+01,-4.942136e+01,-5.608128e+01,-5.120910e+01,-4.504514e+01,-4.525366e+01,-5.073091e+01,-4.928886e+01,-4.822592e+01,-4.875901e+01,-5.273755e+01,-5.187737e+01,-4.463120e+01,-8.690117e+00,2.784690e+00,3.030715e+00,7.388904e+00,7.351105e+00,5.720246e+00,4.473664e+00,7.827528e+00,1.353351e+01
-3.976344e+00,-1.702060e+00,-1.841650e-01,-2.566422e+00,9.350706e-01,4.720124e+00,2.012060e+01,3.412045e+01,4.833263e+01,5.533932e+01,5.405940e+01,5.107942e+01,4.257137e+01,3.914444e+01,3.526978e+01,3.092982e+01,3.305505e+01,3.113954e+01,3.197484e+01,2.108045e+01,-1.755454e+00,-2.306643e-01,-5.497638e-01,1.315552e+00,6.866096e-01,1.051815e+00,-1.828582e+00,-2.256491e+00,-4.197617e-01
-4.302193e+00,-9.175732e-01,1.858087e+00,-3.684228e+00,-2.095944e+00,1.330809e+00,-2.347880e+00,-1.008314e+01,-1.372630e+01,-1.622680e+01,-1.058337e+01,-4.424205e+00,2.654153e+00,1.243144e+00,3.937080e+00,-2.595393e+00,-5.984150e+00,-5.110180e+00,-4.821542e+00,-4.138760e+00,8.641726e+00,8.947352e+00,6.547204e+00,1.028735e+00,6.434374e-01,3.453299e+00,3.326601e+00,-3.238280e-01,-2.551316e+00
-2.717630e-01,2.789962e+00,5.104608e+00,4.170755e-01,-3.259741e+00,-1.876403e+01,-5.296558e+01,-5.559280e+01,-4.625459e+01,-2.764883e+01,-1.866502e+01,-7.201684e+00,-1.266189e+00,-2.275900e+00,6.681011e+00,9.405170e+00,9.495975e+00,5.754840e+00,3.063399e-02,-5.409052e+00,-1.004735e+00,5.168371e+00,7.241123e+00,2.614378e+00,1.576353e+00,2.634428e+00,1.658624e+00,-1.480364e+00,4.784185e-01
-8.936346e-02,2.184001e+00,2.204461e+00,-2.631258e+00,-8.397656e+00,-1.285150e+01,-1.132559e+01,-1.485396e+01,-2.232566e+01,-3.341214e+01,-4.552674e+01,-4.460756e+01,-4.292796e+01,-4.095804e+01,-3.962838e+01,-3.988714e+01,-3.529866e+01,-2.952232e+01,-2.549460e+01,-1.669504e+01,-1.082575e+01,-8.799409e+00,-6.146584e-01,3.407730e+00,2.863454e-01,-1.421233e+00,-4.491541e+00,-4.068825e+00,3.534471e+00
-3.663579e+00,-7.209266e-01,-2.906277e+00,-1.185650e+01,-1.509773e+01,-1.802818e+01,-7.980361e+00,-1.140951e+01,-1.044082e+01,-5.414408e+00,-5.468664e+00,-4.531433e+00,3.775240e+00,8.759602e+00,1.016107e+01,4.809694e+00,-1.001415e+01,-1.944767e+01,-2.345829e+01,-2.708958e+01,-1.664504e+01,-1.321682e+01,-5.909745e+00,8.446132e-01,-3.227657e+00,-4.196543e+00,-2.447172e+00,-7.062396e-01,3.344331e-01
-3.758799e+00,-4.303995e-01,-4.242868e+00,-1.580075e+01,-1.682179e+01,-2.516594e+01,-3.018949e+01,-3.426545e+01,-3.007786e+01,-2.551017e+01,-2.384059e+01,-3.063631e+01,-3.722089e+01,-2.901410e+01,-1.293721e+01,3.379610e+00,1.056449e+01,1.523334e+01,9.885682e+00,7.228132e+00,-2.338693e+00,-8.842501e+00,-5.130348e+00,-4.535699e+00,-7.104659e+00,-7.684317e+00,-1.141991e+01,-9.855809e+00,-5.326573e+00
