Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-4.837700e+02,-4.608967e+02,-4.624245e+02,-4.190679e+02,-3.439130e+02,-2.807543e+02,-2.393604e+02,-2.065216e+02,-1.497268e+02,-9.577675e+01,-7.818905e+01,-9.080290e+01,-8.859678e+01,-4.211064e+01,-3.288604e+01,-5.477624e+01,-1.119844e+02,-1.890346e+02,-2.717694e+02,-3.626020e+02,-4.340139e+02,-4.605868e+02,-4.638179e+02,-4.631961e+02,-4.631472e+02,-4.798172e+02
6.823946e+01,8.409809e+01,8.199869e+01,1.253175e+02,1.532213e+02,1.615636e+02,1.534672e+02,1.389167e+02,9.906646e+01,5.654929e+01,4.179579e+01,5.264264e+01,6.333022e+01,7.049481e+01,9.037618e+01,1.148083e+02,1.476147e+02,1.747909e+02,1.663429e+02,1.486639e+02,1.019142e+02,8.285951e+01,8.046996e+01,8.316148e+01,8.502164e+01,7.267223e+01
1.534180e+01,8.829842e+00,7.984848e+00,3.665499e+01,3.163022e+01,1.860770e+01,1.014356e+01,-3.643530e+00,-4.460658e+00,4.094483e-01,-8.211737e+00,-2.513038e+01,-4.559338e+01,-6.833910e+01,-7.752826e+01,-8.104104e+01,-7.469501e+01,-4.984754e+01,-2.813845e+01,-1.088681e+01,7.367320e-01,6.918465e+00,4.890045e+00,8.508713e+00,1.398631e+01,1.675993e+01
-5.570074e+00,-1.066903e+01,-9.871769e+00,1.185614e+01,3.049136e+01,2.792989e+01,1.823632e+01,1.838286e+01,2.287665e+01,2.973124e+01,3.851167e+01,3.224450e+01,1.012882e+01,7.306441e+00,2.311613e+00,-1.041380e+01,-1.178183e+01,-1.292984e+01,-7.765121e+00,-2.473970e+01,-1.920772e+01,-1.042937e+01,-1.584984e+01,-1.421056e+01,-8.729769e+00,-5.493577e+00
1.312678e+00,6.116454e+00,7.623136e+00,4.249703e+00,-5.943903e+00,-2.121426e+01,-2.839231e+01,-2.670345e+01,-4.698285e+01,-5.471650e+01,-4.878380e+01,-3.415791e+01,-2.024135e+01,-2.457672e+01,-3.194755e+01,-3.862591e+01,-3.412190e+01,-2.296481e+01,-7.699263e+00,6.809283e-01,3.560523e+00,5.544427e+00,1.107440e+00,3.326576e+00,4.486198e+00,4.222446e+00
7.454448e+00,1.126253e+01,1.324303e+01,-3.290357e+00,-8.690738e+00,1.236160e-01,4.689442e+00,1.106845e+01,3.387567e+01,3.451253e+01,3.139580e+01,2.931929e+01,3.652506e+01,3.975668e+01,3.635301e+01,3.762941e+01,3.222537e+01,2.065163e+01,1.244844e+01,6.278355e+00,1.324361e+01,7.324426e+00,6.529390e+00,1.064645e+01,1.045955e+01,1.236359e+01
8.168646e+00,7.736732e+00,8.113022e+00,-1.365609e+01,-9.750940e+00,-3.168948e+00,-9.168099e-01,-5.312263e+00,-1.757440e+01,-2.114983e+01,-1.860613e+01,-1.832448e+01,-2.172010e+01,-1.444410e+01,-1.046794e+01,-6.110760e+00,-4.640671e+00,-2.745263e-01,-2.777272e+00,1.135452e+01,1.609000e+01,3.241831e+00,2.192408e+00,3.947218e+00,5.644029e+00,1.028348e+01
9.535005e+00,1.117815e+01,9.229876e+00,-2.059754e+01,-2.547155e+01,-1.903035e+01,-7.269274e+00,2.797824e+00,2.218570e+00,-1.721856e+00,7.116134e+00,1.975517e+01,8.358918e+00,1.769717e+00,3.670656e+00,3.223070e+00,2.329445e+00,-1.054844e+00,-3.180737e+00,6.549324e+00,1.471116e+01,7.962783e+00,5.366062e+00,3.424266e+00,4.210910e+00,7.697488e+00
9.851362e+00,1.497548e+01,1.331475e+01,-8.567983e+00,-1.407854e+01,-1.719213e+01,-1.877821e+01,-2.169643e+01,-4.365123e+00,-1.219656e+00,-1.635740e+00,-3.968779e+00,-5.504405e+00,-9.353510e+00,-1.356273e+01,-1.965106e+01,-2.190730e+01,-1.535687e+01,-3.074881e+00,2.599836e-02,5.346447e+00,1.181452e+01,9.164400e+00,7.418862e+00,6.186786e+00,5.866286e+00
6.611423e+00,1.018336e+01,6.650064e+00,-6.004538e+00,-7.071269e-02,8.999624e+00,2.069621e+01,2.273579e+01,2.683919e+00,4.669681e-01,1.379483e+00,8.206460e+00,1.988477e+01,2.051896e+01,2.021944e+01,1.842225e+01,8.195097e+00,-1.133318e+00,-5.579568e+00,-4.827777e+00,-2.338394e+00,6.345752e+00,4.072284e+00,5.195981e+00,4.118343e+00,2.052201e+00
2.077716e+00,1.380908e+00,-5.540878e+00,-1.538264e+01,-1.919928e+01,-2.194790e+01,-2.399169e+01,-2.450171e+01,-2.267739e+01,-2.321821e+01,-1.987180e+01,-2.379983e+01,-2.386657e+01,-1.258462e+01,-3.162849e+00,3.677418e+00,4.149934e+00,7.652110e+00,-8.316483e-01,-5.616408e+00,-3.336843e+00,-2.449108e+00,-3.645757e+00,-2.031730e-01,-4.363447e-01,-1.242925e+00
-4.745087e-01,-3.396976e+00,-6.451711e+00,-6.709811e+00,3.847308e-01,5.382174e+00,1.413939e+01,1.071643e+01,6.914057e+00,2.759772e+00,2.645050e+00,-2.653369e-01,-4.028563e+00,-4.070642e+00,-9.659088e-01,4.314471e+00,6.595766e+00,5.395114e+00,-3.573483e+00,2.052386e+00,-1.993171e+00,-5.295413e+00,-5.683591e+00,-2.080336e+00,-1.229875e+00,-2.142892e+00
-1.009661e+00,-3.924686e+00,-8.495669e-01,3.251486e-01,1.018682e+01,1.266879e+01,4.956125e+00,9.420341e-01,-1.490462e+01,-2.405323e+01,-3.061411e+01,-3.213743e+01,-3.023819e+01,-2.768882e+01,-2.653297e+01,-2.685101e+01,-2.048970e+01,-1.306979e+01,-8.161662e+00,-5.276224e+00,-3.294394e+00,-2.967849e+00,-3.499125e+00,-1.774886e+00,-8.434119e-01,-1.826319e+00
