Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.380714e+02,-5.380714e+02,-5.355734e+02,-4.905801e+02,-4.324464e+02,-3.814569e+02,-3.575879e+02,-3.542830e+02,-3.489645e+02,-3.104043e+02,-2.511600e+02,-1.563852e+02,-6.656570e+01,-5.642018e+01,-1.293876e+02,-2.145925e+02,-3.015241e+02,-3.715612e+02,-4.198910e+02,-4.642719e+02,-4.993986e+02,-5.279543e+02,-5.379908e+02,-5.380714e+02,-5.380714e+02,-5.380714e+02,-5.378218e+02,-5.380714e+02,-5.380714e+02,-5.380714e+02,-5.380714e+02,-5.380714e+02
0.000000e+00,0.000000e+00,3.448645e+00,5.877599e+01,1.125721e+02,1.447632e+02,1.645699e+02,1.652675e+02,1.551758e+02,1.274421e+02,1.094120e+02,1.319335e+02,1.416849e+02,1.692380e+02,2.171196e+02,2.232854e+02,1.956304e+02,1.633636e+02,1.239143e+02,8.259734e+01,4.624568e+01,1.336739e+01,1.120481e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.510745e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,3.200885e+00,3.882315e+01,4.129226e+01,2.626017e+01,2.410807e+01,2.063579e+01,1.342684e+01,-1.060245e+00,-4.003304e+01,-1.097265e+02,-1.134982e+02,-1.058183e+02,-1.070819e+02,-7.191011e+01,-1.552590e+01,2.417330e+01,3.439581e+01,3.475630e+01,2.625516e+01,1.081082e+01,1.063366e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.456077e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,2.801563e+00,1.847569e+01,-1.515813e+00,-1.252623e+01,-2.281508e+01,-2.522173e+01,-1.486291e+01,2.678873e+01,6.230199e+01,5.234317e+01,-2.821801e+00,-3.807317e+01,-6.089005e+01,-7.248407e+01,-6.826546e+01,-5.305788e+01,-2.620897e+01,-4.188445e+00,6.520257e+00,7.329732e+00,9.703203e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.365626e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,2.270359e+00,5.780987e+00,-4.823687e+00,-6.459552e+00,-1.264749e+01,-1.621639e+01,-2.635953e+01,-4.793235e+01,-5.136110e+01,-4.398042e+01,-3.277833e+01,-3.096078e+01,-2.789417e+01,-2.546815e+01,-3.483782e+01,-3.838191e+01,-2.696794e+01,-1.455485e+01,-3.680115e+00,3.786577e+00,8.444753e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.240358e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,1.633399e+00,4.106585e-01,1.113953e+00,4.455590e-02,3.525871e+00,-1.831671e+00,-1.614068e+01,-2.118808e+01,-3.696104e+01,-5.616788e+01,-4.519726e+01,-3.274108e+01,-3.358514e+01,-3.077666e+01,-1.312108e+01,1.207115e+00,-6.172303e-01,-5.082747e+00,-3.596704e+00,9.151860e-01,6.901228e-02,0.000000e+00,0.000000e+00,0.000000e+00,3.081690e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,9.219351e-01,-3.498121e+00,-1.822360e+00,1.849251e+00,6.575918e+00,1.894965e+00,1.276600e+00,6.142401e+00,6.942988e+00,-8.626907e-01,-1.263908e+01,-2.225782e+01,-1.209161e+01,-1.178163e+00,-1.255182e-01,7.684711e+00,8.772331e+00,3.235324e+00,4.769425e-01,-8.966102e-01,5.124382e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.891294e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,1.707404e-01,-1.017377e+01,-9.392293e+00,-8.892662e+00,-1.533621e+01,-2.314236e+01,-2.869969e+01,-3.496343e+01,-2.976783e+01,-2.177159e+01,-6.346649e+00,-5.105272e+00,-1.557627e+01,-9.200115e+00,-8.398575e+00,-1.248888e+01,-4.958473e+00,-1.530307e-01,1.802590e+00,-1.666917e+00,3.174390e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.671257e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,-5.836465e-01,-1.808832e+01,-1.543047e+01,-1.803939e+01,-2.535691e+01,-3.268882e+01,-3.272346e+01,-2.317230e+01,-2.574977e+01,-1.464635e+01,-2.276748e+01,-2.254332e+01,-3.057248e+01,-3.432956e+01,-2.235259e+01,-2.311337e+01,-1.895692e+01,-1.021435e+01,-1.463358e+00,-1.725743e+00,1.117137e-02,0.000000e+00,0.000000e+00,0.000000e+00,2.423927e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,-1.304768e+00,-2.230408e+01,-1.801212e+01,-1.375670e+01,-9.710075e+00,-1.076176e+01,-4.818177e+00,5.229090e-01,-7.582024e+00,-3.948488e+00,1.916988e+01,1.643035e+01,2.153873e+00,-8.187225e+00,-1.303685e+01,-1.459326e+01,-1.992766e+01,-1.759666e+01,-6.342184e+00,-1.536401e+00,-9.778626e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.152107e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
