Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.901726e+02,-4.697284e+02,-4.741881e+02,-4.767232e+02,-4.724426e+02,-4.487770e+02,-4.372344e+02,-4.355341e+02,-3.810219e+02,-2.766015e+02,-1.567178e+02,-8.059325e+01,-6.063254e+01,-7.850790e+01,-6.565786e+01,-3.447212e+01,-1.994612e+01,-4.839241e+01,-1.179082e+02,-2.139469e+02,-3.048771e+02,-3.849650e+02,-4.392930e+02,-4.706814e+02,-4.730598e+02,-4.745481e+02,-4.770982e+02,-4.741835e+02,-4.679085e+02,-4.624315e+02,-4.615010e+02,-4.727164e+02
3.589524e+01,5.483009e+01,5.097179e+01,5.057836e+01,5.554018e+01,8.634434e+01,9.892855e+01,9.730912e+01,7.372746e+01,7.342508e+01,7.183873e+01,6.456181e+01,4.326311e+01,3.423193e+01,2.555499e+01,3.510954e+01,7.180566e+01,9.485219e+01,1.060434e+02,1.329732e+02,1.433540e+02,1.181859e+02,7.611700e+01,5.235506e+01,5.021110e+01,4.956516e+01,4.812992e+01,4.838294e+01,5.225957e+01,5.692333e+01,5.942830e+01,4.956029e+01
1.588239e+01,1.862508e+01,1.885293e+01,2.259226e+01,2.577391e+01,5.060863e+01,5.690098e+01,5.048790e+01,4.710513e+01,5.397423e+01,6.839661e+00,-3.747028e+01,-4.830477e+01,-3.250237e+01,-3.038062e+01,-5.134429e+01,-6.365578e+01,-5.062262e+01,-2.371148e+01,-1.757857e+00,1.289145e+01,7.550838e+00,6.745111e+00,1.366481e+01,1.291405e+01,1.689876e+01,1.898837e+01,1.292494e+01,9.889669e+00,8.760326e+00,1.148675e+01,1.157157e+01
3.945392e+00,2.785320e+00,4.870922e+00,7.203657e+00,9.777569e+00,2.772921e+01,3.204427e+01,2.707073e+01,1.663130e+01,1.459353e+01,4.734433e+00,9.998630e+00,1.390252e+01,1.386685e+01,7.480194e+00,-7.318333e+00,-3.366215e+01,-4.879424e+01,-4.142079e+01,-1.857244e+01,-1.217025e+01,-1.517980e+01,-1.201968e+01,-2.570166e+00,-4.664001e+00,4.276008e+00,7.055092e+00,6.811001e-01,-5.282021e-01,-4.094831e+00,-5.668986e+00,-4.291517e+00
4.574646e+00,8.106768e+00,1.079171e+01,9.257696e+00,1.159647e+01,2.196408e+01,2.744219e+01,2.972864e+01,4.757676e+01,3.254714e+01,-1.847005e+00,-2.610333e+01,-3.590353e+01,-3.740410e+01,-3.517604e+01,-3.064223e+01,-3.313922e+01,-3.130513e+01,-1.795527e+01,-7.513960e+00,3.723408e+00,9.875690e+00,8.125862e+00,6.595150e+00,2.545819e+00,1.091934e+01,1.183648e+01,1.084715e+01,1.616819e+01,1.513939e+01,8.880592e+00,4.031360e+00
8.023041e+00,1.214731e+01,1.496053e+01,1.209648e+01,1.306101e+01,1.693497e+01,2.145082e+01,2.994546e+01,1.305799e+01,-1.822661e+01,-1.306386e+01,5.258437e-01,8.785617e+00,2.430227e+01,4.432919e+01,4.485878e+01,3.935805e+01,3.328780e+01,3.020261e+01,2.439029e+01,1.861976e+01,1.234696e+01,1.297085e+01,1.369612e+01,1.146738e+01,1.385866e+01,1.303803e+01,1.533816e+01,2.085801e+01,2.329371e+01,1.807217e+01,1.165281e+01
6.947631e+00,7.714013e+00,8.347286e+00,4.873120e+00,4.023879e+00,5.206984e+00,6.081203e+00,1.625409e+01,2.292567e+01,-1.030407e+00,-1.996029e+01,-2.645248e+01,-2.902499e+01,-2.750574e+01,-3.034652e+01,-3.736392e+01,-4.333063e+01,-4.125803e+01,-3.561506e+01,-3.100028e+01,-1.845176e+01,-4.333769e+00,-5.920795e-01,6.433040e+00,7.938837e+00,5.823306e+00,4.679420e+00,5.596844e+00,4.585649e+00,6.834972e+00,6.006085e+00,5.489256e+00
4.628408e+00,4.049617e+00,1.450600e+00,-4.083927e+00,-5.773224e+00,-5.330681e+00,-7.348002e+00,9.046555e-01,2.380242e+01,2.144963e+01,2.356133e+01,2.677013e+01,2.756385e+01,2.986131e+01,2.663728e+01,2.523656e+01,2.332343e+01,1.835993e+01,1.054827e+01,2.315502e+00,-4.355965e+00,-4.078133e+00,-3.070874e+00,-8.867985e-01,-3.624303e-01,-1.982017e+00,-2.341515e+00,-2.094983e+00,-7.214625e+00,-8.500538e+00,-8.414385e+00,-5.470229e+00
5.692831e+00,4.640841e+00,2.000969e+00,-3.738798e+00,-5.901625e+00,-7.754436e+00,-1.015769e+01,-4.693873e+00,-1.785201e+01,-3.152964e+01,-2.156692e+01,-1.334598e+01,-9.025646e+00,-4.488558e+00,-4.493592e+00,3.200837e+00,8.659454e+00,1.124215e+01,1.206741e+01,1.409533e+01,1.014532e+01,1.077890e+01,5.961403e+00,1.737304e+00,-2.879875e+00,-2.019608e+00,-1.868943e+00,6.629537e-01,-1.800586e+00,-5.452847e+00,-7.227238e+00,-7.558522e+00
6.956534e+00,4.097341e+00,4.571433e+00,2.216657e+00,-1.492666e+00,-5.229922e+00,-6.205828e+00,-2.953778e+00,5.409739e+00,-3.015107e+00,-1.571700e+01,-3.394057e+00,7.286576e+00,9.966811e+00,9.565848e+00,9.393050e+00,1.182660e+01,1.394512e+01,9.678642e+00,6.053428e+00,8.739992e+00,8.872442e+00,6.903810e+00,4.330069e+00,-1.172687e+00,7.947471e-01,1.443763e-01,3.721648e+00,5.929936e+00,3.501547e+00,3.153531e+00,-4.618472e-01
2.695048e+00,-5.670629e-01,2.192668e+00,2.732802e+00,-3.239024e+00,-5.195782e+00,-4.110015e+00,-5.256661e+00,-1.428253e+01,-5.109149e+00,-2.162254e+00,-5.959950e+00,-1.084332e+01,-2.254491e+01,-2.486787e+01,-1.938606e+01,-1.371236e+01,-1.109664e+01,-1.312430e+01,-1.346510e+01,-7.635800e+00,-1.060105e+00,-1.583611e+00,-1.957467e+00,-2.549625e+00,-1.506418e+00,-2.559509e+00,-4.343318e-01,2.626606e+00,2.511608e+00,6.351941e+00,3.434702e+00
-5.224051e+00,-6.546872e+00,-3.336967e+00,-2.890818e+00,-1.047180e+01,-1.022075e+01,-7.775917e+00,-1.178467e+01,-8.861567e+00,-2.300813e+00,-4.095426e-01,-2.024111e+00,3.243816e+00,3.066187e+00,1.216109e+00,3.990524e+00,3.454716e+00,8.139536e-01,-5.644400e+00,-1.290924e+01,-5.782753e+00,-3.218077e+00,-6.469957e+00,-8.829816e+00,-7.348866e+00,-8.238392e+00,-7.208106e+00,-5.675523e+00,-6.084960e+00,-5.214995e+00,-3.480272e-01,-1.353600e+00
-8.771390e+00,-8.671249e+00,-5.008869e+00,-5.045683e+00,-1.347427e+01,-1.499000e+01,-1.270876e+01,-1.521834e+01,-3.157245e+01,-3.432065e+01,-3.914391e+01,-4.226519e+01,-4.634945e+01,-4.085613e+01,-3.650790e+01,-3.197331e+01,-2.378109e+01,-1.286714e+01,-9.735564e+00,-1.224670e+01,-1.060533e+01,-3.894286e+00,-3.815958e+00,-6.211157e+00,-8.201221e+00,-1.010585e+01,-7.009230e+00,-5.329967e+00,-9.384022e+00,-7.788166e+00,-5.267162e+00,-4.417328e+00
