Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.312393e+02,-5.087564e+02,-5.071718e+02,-5.133872e+02,-5.063526e+02,-4.924334e+02,-4.698313e+02,-3.728705e+02,-2.475765e+02,-1.607239e+02,-1.029651e+02,-8.933460e+01,-9.331640e+01,-1.000930e+02,-8.750180e+01,-6.470895e+01,-6.716821e+01,-1.068174e+02,-1.545654e+02,-1.827469e+02,-2.505427e+02,-3.543444e+02,-4.339160e+02,-4.886386e+02,-5.134881e+02,-5.113961e+02,-5.139310e+02,-5.172661e+02,-5.132964e+02,-5.148295e+02,-5.180558e+02
4.724853e+01,6.327601e+01,6.546706e+01,6.194204e+01,6.989928e+01,9.006377e+01,1.068171e+02,6.955119e+01,5.486649e+01,7.384441e+01,6.635899e+01,3.759575e+01,2.507771e+01,2.281307e+01,2.890652e+01,4.889998e+01,6.210877e+01,6.348786e+01,7.344063e+01,9.103030e+01,1.117884e+02,1.251565e+02,1.162999e+02,7.953682e+01,6.122235e+01,6.482098e+01,6.383622e+01,5.957144e+01,6.171150e+01,6.112813e+01,6.097910e+01
2.236368e+01,1.539179e+01,1.626969e+01,1.831456e+01,2.276447e+01,4.269626e+01,4.953075e+01,5.859929e+01,3.685098e+01,1.854181e+01,-6.876416e+00,-1.584918e+01,-1.425727e+01,-1.599430e+01,-2.293080e+01,-4.412760e+01,-4.581666e+01,-2.797049e+01,-1.322954e+01,-2.185076e+01,-1.739917e+01,-8.984601e+00,-5.139832e+00,6.879270e+00,1.574322e+01,2.105438e+01,2.443074e+01,2.146684e+01,1.938210e+01,2.082185e+01,2.637669e+01
8.973495e+00,1.070487e+00,-3.661213e-01,-9.977272e-01,1.776424e+00,1.799896e+01,2.532741e+01,1.083614e+01,-9.281500e+00,-3.376221e+01,-2.978860e+01,-1.810680e+01,-2.289553e+01,-2.906466e+01,-3.390203e+01,-5.025442e+01,-5.518707e+01,-4.440981e+01,-3.833546e+01,-3.909899e+01,-4.893992e+01,-4.317529e+01,-3.983740e+01,-2.009976e+01,-4.462248e+00,1.063722e+00,4.582454e+00,3.446646e+00,3.138754e+00,3.986173e+00,7.675582e+00
8.044918e+00,1.005111e+01,9.142531e+00,7.689681e+00,1.019204e+01,1.950534e+01,3.429150e+01,5.396083e+01,3.198166e+01,4.475441e+00,-1.629988e+01,-2.658652e+01,-2.060181e+01,-1.888720e+01,-2.168129e+01,-2.459234e+01,-2.323767e+01,-2.517219e+01,-2.825097e+01,-2.197408e+01,-9.781914e+00,-3.660244e+00,-7.284011e+00,-2.989682e-01,7.419119e+00,8.593771e+00,7.857708e+00,8.284124e+00,1.090153e+01,9.871153e+00,9.056311e+00
7.522359e+00,1.042558e+01,1.317921e+01,1.757067e+01,1.918136e+01,2.228032e+01,2.778417e+01,9.285568e-02,-4.159124e+00,6.218719e+00,3.167450e+01,5.015221e+01,5.403561e+01,6.583917e+01,7.202151e+01,7.138943e+01,7.668141e+01,7.564249e+01,6.259318e+01,6.156121e+01,5.362514e+01,2.981320e+01,1.073030e+01,1.813787e+01,2.139533e+01,1.705118e+01,1.409087e+01,1.472527e+01,1.544997e+01,1.283180e+01,1.273865e+01
5.942470e+00,5.331732e+00,9.237539e+00,1.565506e+01,1.541326e+01,1.578420e+01,1.796072e+01,2.828663e+01,1.626776e+01,6.307613e-01,-2.390093e+01,-4.178723e+01,-4.609367e+01,-4.417097e+01,-4.541759e+01,-4.441938e+01,-4.497504e+01,-4.609426e+01,-4.318815e+01,-3.886919e+01,-2.602071e+01,-1.403541e+00,1.042505e+01,1.666240e+01,1.848491e+01,1.419350e+01,1.400881e+01,1.295327e+01,1.086763e+01,6.712132e+00,9.491425e+00
8.538352e+00,7.612209e+00,9.163911e+00,1.096966e+01,8.496021e+00,7.592571e+00,1.270177e+01,1.673874e+01,5.354046e+00,1.559074e+00,1.590178e+01,3.732246e+01,4.027969e+01,3.531402e+01,2.993193e+01,3.671069e+01,3.995339e+01,3.638817e+01,3.732028e+01,3.587729e+01,3.432449e+01,2.280822e+01,1.188370e+01,1.005661e+01,9.306072e+00,9.588531e+00,1.146281e+01,8.083729e+00,6.894376e+00,2.707647e+00,4.919148e+00
1.072824e+01,9.031088e+00,1.074953e+01,1.096726e+01,6.355775e+00,2.471895e+00,1.043437e+01,-1.003598e+01,-1.897702e+01,-2.362129e+01,-2.111962e+01,-2.314932e+01,-1.060104e+01,-4.851041e+00,-1.180116e+01,-1.042487e+01,-1.044074e+01,-1.255885e+01,-1.296062e+01,-1.506306e+01,-1.529149e+01,-7.961967e+00,9.178342e+00,7.314030e+00,7.300420e+00,9.469548e+00,8.221211e+00,4.777693e+00,4.651745e+00,3.411555e+00,4.390703e+00
3.810681e+00,1.945135e+00,6.673265e+00,1.097435e+01,5.258546e+00,-2.155475e+00,1.132905e+00,8.180991e+00,6.832854e+00,-4.357180e+00,-5.170063e+00,2.225641e+00,7.896845e+00,1.394722e+01,1.279647e+01,1.091856e+01,1.388378e+01,1.600269e+01,1.457560e+01,1.193276e+01,6.936117e+00,6.137427e+00,8.935734e+00,5.440412e+00,8.131900e+00,8.066380e+00,3.440864e+00,3.506694e+00,1.207913e+00,2.997792e+00,5.726444e+00
