Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.427333e+02,-5.147442e+02,-4.891779e+02,-4.676005e+02,-4.449317e+02,-4.205930e+02,-3.434135e+02,-2.399388e+02,-1.805067e+02,-1.667878e+02,-1.458866e+02,-1.297457e+02,-1.162904e+02,-1.015905e+02,-1.348374e+02,-1.682564e+02,-2.055085e+02,-2.528865e+02,-3.218038e+02,-3.933087e+02,-4.386557e+02,-4.857588e+02,-5.237699e+02,-5.416440e+02,-5.459873e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02,-5.459914e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.513972e+00,4.197836e+01,7.168904e+01,8.884955e+01,1.007914e+02,1.093436e+02,1.125322e+02,1.181038e+02,1.321330e+02,1.670124e+02,1.909795e+02,1.624671e+02,1.723307e+02,1.797946e+02,1.885342e+02,2.123731e+02,2.174325e+02,2.119211e+02,1.971266e+02,1.622740e+02,1.205681e+02,7.383011e+01,2.952325e+01,5.981955e+00,5.713411e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.237135e+00,3.578870e+01,5.074364e+01,4.923699e+01,4.019112e+01,2.817459e+01,-1.938126e+01,-5.984731e+01,-6.749255e+01,-6.182029e+01,-6.264161e+01,-6.159504e+01,-6.526302e+01,-6.459885e+01,-7.522627e+01,-7.511240e+01,-4.868126e+01,-2.290134e+01,1.520822e+01,4.938079e+01,5.156879e+01,4.661786e+01,2.424642e+01,5.498742e+00,5.494824e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.789311e+00,2.681742e+01,2.763593e+01,2.306149e+01,2.114348e+01,2.168199e+01,1.113690e+01,-4.531404e+00,-4.481038e+00,-1.254581e-01,-3.337017e+01,-4.585219e+01,-6.612171e+01,-5.780548e+01,-4.537659e+01,-4.144484e+01,-4.310520e+01,-4.711253e+01,-5.244884e+01,-3.089133e+01,-5.504257e+00,1.836114e+01,1.676383e+01,4.742051e+00,5.136685e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.190182e+00,1.664611e+01,9.355926e+00,6.557557e+00,7.420291e+00,1.312409e+01,1.641906e+01,-7.847837e+00,-1.858358e+01,-2.671773e+01,-3.572181e+01,-3.828047e+01,-5.409819e+01,-6.626062e+01,-6.477650e+01,-6.223845e+01,-5.919403e+01,-5.358871e+01,-4.799517e+01,-3.724696e+01,-2.228459e+01,2.549315e-01,8.646799e+00,3.777467e+00,4.648091e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.465987e+00,6.799940e+00,-2.220000e+00,-5.171741e+00,-1.042785e+01,-1.313818e+01,-1.179836e+01,-2.084704e+01,-2.338318e+01,-2.503195e+01,-1.209702e+01,-7.852594e+00,-1.072719e+01,-1.028535e+01,-1.595948e+01,-2.066033e+01,-2.545792e+01,-2.489884e+01,-8.552561e+00,-6.923769e+00,-1.109705e+01,-6.770930e+00,1.434317e+00,2.683388e+00,4.041450e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.648290e+00,-1.604130e+00,-7.362886e+00,-7.264173e+00,-7.772918e+00,-9.060900e+00,3.363560e+00,-9.478482e+00,-2.343308e+01,-3.206049e+01,-2.492449e+01,-1.585782e+01,-8.045216e+00,-6.558633e+00,-6.710551e+00,1.028964e+00,5.548988e+00,7.103673e+00,1.236401e+01,3.811167e+00,-1.691131e+00,-8.689493e+00,-3.765089e+00,1.540669e+00,3.332169e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.724947e-01,-8.009281e+00,-7.732319e+00,-2.154460e+00,3.214857e-01,1.766479e+00,-1.566917e+00,-6.228918e+00,-1.256944e+01,-2.530687e+01,-2.816255e+01,-2.511693e+01,-2.005658e+01,-1.051039e+01,-2.029067e+01,-3.929089e+01,-4.020913e+01,-3.490867e+01,-2.594756e+01,-1.526560e+01,-6.970647e+00,-1.021294e+01,-6.514437e+00,4.228685e-01,2.538262e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.237949e-01,-1.236027e+01,-7.547266e+00,2.450338e+00,2.447591e-01,-9.121563e-01,-9.082001e+00,-5.860555e+00,-1.116780e+01,-1.752788e+01,-2.593204e+01,-2.564763e+01,-2.945015e+01,-3.666542e+01,-3.795357e+01,-3.846563e+01,-4.458704e+01,-4.840863e+01,-4.417539e+01,-3.143031e+01,-1.572272e+01,-1.083872e+01,-7.070024e+00,-6.111605e-01,1.678438e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.002521e+00,-1.491496e+01,-1.100738e+01,-3.644089e+00,-6.232634e+00,-1.086996e+01,-2.314130e+01,-1.065359e+01,-8.761722e+00,-1.791151e+01,-6.428493e+00,3.412244e-01,3.696626e+00,3.653894e+00,-5.174039e+00,-2.167363e+01,-1.951800e+01,-1.316596e+01,-1.285806e+01,-2.060089e+01,-1.372434e+01,-8.158028e+00,-6.196812e+00,-1.521341e+00,7.788553e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
