Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.941354e+02,-4.757130e+02,-4.737909e+02,-4.754628e+02,-4.741727e+02,-4.731021e+02,-4.515612e+02,-3.966660e+02,-3.012654e+02,-1.422396e+02,-8.406179e+01,-8.461749e+01,-1.058477e+02,-1.116094e+02,-7.977023e+01,-7.142298e+01,-9.557831e+01,-1.537999e+02,-2.160084e+02,-2.830585e+02,-3.547046e+02,-4.217769e+02,-4.595512e+02,-4.693079e+02,-4.722685e+02,-4.760918e+02,-4.747579e+02,-4.767726e+02,-4.763913e+02,-4.801314e+02
4.692326e+01,6.163637e+01,6.353082e+01,6.361649e+01,6.696694e+01,6.981653e+01,9.445981e+01,1.054088e+02,1.133224e+02,1.183873e+02,1.041023e+02,7.924658e+01,7.923405e+01,8.904993e+01,1.011313e+02,1.149958e+02,1.167287e+02,1.231888e+02,1.427867e+02,1.533618e+02,1.423330e+02,1.020341e+02,7.439374e+01,6.659302e+01,6.608524e+01,6.480089e+01,6.538560e+01,6.391766e+01,6.344750e+01,5.978561e+01
1.405014e+01,1.146944e+01,1.229608e+01,1.355576e+01,1.721453e+01,2.288543e+01,4.306904e+01,2.305962e+01,-8.366336e+00,-4.835930e+01,-7.060600e+01,-7.750102e+01,-7.145764e+01,-6.708572e+01,-9.048454e+01,-9.511734e+01,-8.160611e+01,-4.957504e+01,-3.076020e+01,-1.814714e+01,-8.924650e+00,-4.591447e+00,5.048710e+00,8.367231e+00,1.350518e+01,1.632600e+01,1.616114e+01,1.672691e+01,1.470888e+01,1.497218e+01
6.017168e+00,7.633716e-01,9.559022e-01,-1.347376e+00,-2.201592e+00,5.467760e+00,2.601961e+01,4.720245e+01,5.270864e+01,4.409882e+01,5.091190e+01,5.392885e+01,3.907965e+01,1.275218e+01,-9.364910e-01,-1.901280e+01,-2.012312e+01,-1.240658e+01,-1.625112e+01,-2.623613e+01,-3.094873e+01,-2.501690e+01,-1.490427e+01,-7.468602e+00,-2.182316e+00,-2.857790e+00,-1.472969e+00,4.963144e-01,-2.013237e+00,1.531956e+00
1.709365e+01,1.786314e+01,1.676075e+01,1.368248e+01,9.886505e+00,1.658433e+01,3.034866e+01,3.420171e+01,1.652360e+01,-3.365923e+01,-4.326834e+01,-3.457207e+01,-2.319765e+01,-2.007584e+01,-1.674309e+01,-1.654071e+01,-2.021335e+01,-1.995064e+01,-4.668337e+00,5.881348e+00,1.265901e+01,1.389541e+01,5.750465e+00,8.601530e+00,9.977050e+00,6.415713e+00,8.776647e+00,1.168230e+01,9.661552e+00,1.317841e+01
1.792735e+01,2.092146e+01,1.965157e+01,1.940054e+01,1.979768e+01,2.236179e+01,2.883380e+01,1.907602e+01,1.537784e+01,1.384402e+01,2.380633e+01,3.320966e+01,4.011575e+01,4.816487e+01,5.351473e+01,6.369994e+01,6.682224e+01,5.925120e+01,4.401272e+01,3.100316e+01,2.679144e+01,2.416489e+01,1.399327e+01,1.333374e+01,1.275922e+01,1.316685e+01,1.574646e+01,1.680550e+01,1.686844e+01,1.814055e+01
4.352699e+00,6.936506e+00,8.022851e+00,8.165088e+00,1.325544e+01,1.211659e+01,1.435796e+01,2.655211e+01,9.803855e+00,-2.766382e+01,-3.599443e+01,-3.504374e+01,-3.818940e+01,-4.649647e+01,-4.796603e+01,-4.579284e+01,-4.316675e+01,-3.124739e+01,-2.583965e+01,-2.220617e+01,-6.281440e+00,4.583172e+00,4.027454e+00,5.184046e+00,5.305217e+00,8.864723e+00,1.160042e+01,9.467733e+00,1.271649e+01,1.268104e+01
-4.987938e+00,-1.223275e+00,7.666677e-01,8.705788e-01,3.786706e+00,2.035878e+00,-1.346693e+00,1.561913e+00,-1.775038e+00,1.719683e+01,2.674199e+01,3.238871e+01,3.707823e+01,3.467868e+01,3.385065e+01,3.577734e+01,3.488869e+01,3.168652e+01,2.649059e+01,1.062373e+01,-7.060736e-01,1.020938e+00,3.440334e+00,4.280737e+00,3.639136e+00,4.613502e+00,6.747936e+00,5.290276e+00,8.815621e+00,9.109501e+00
-3.178492e+00,1.846372e+00,2.113142e+00,4.993237e+00,3.250238e+00,1.255206e+00,-4.822826e+00,-1.772317e+01,-1.851401e+01,-8.791777e+00,-4.343369e+00,9.488392e+00,1.507776e+01,1.570834e+01,1.202130e+01,3.135671e+00,-1.721840e+00,-5.828127e+00,-2.171302e-01,-2.199177e+00,1.473908e-01,1.112132e+01,1.290802e+01,8.725639e+00,4.489684e+00,3.367747e+00,5.034831e+00,7.723278e+00,7.516009e+00,8.377329e+00
-8.447858e-01,3.226127e+00,4.189996e+00,8.261238e+00,6.329918e+00,2.295354e+00,-7.637830e+00,-4.444523e+00,-1.121439e+01,-2.835916e+01,-2.785156e+01,-2.499475e+01,-2.318829e+01,-1.063216e+01,-3.561523e+00,1.624446e+00,3.163919e+00,2.452964e+00,3.971843e+00,1.212465e+00,-3.208690e+00,5.350376e+00,1.279959e+01,7.889130e+00,7.626065e-01,1.341469e+00,3.030960e+00,8.672802e+00,6.248863e+00,7.231370e+00
