Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.605234e+02,-4.274283e+02,-4.167540e+02,-4.271580e+02,-4.471696e+02,-4.396095e+02,-4.083471e+02,-2.866214e+02,-1.391554e+02,-7.058022e+01,-5.332222e+01,-5.612131e+01,-6.940233e+01,-6.255942e+01,-4.713593e+01,-5.695824e+01,-8.740517e+01,-1.189132e+02,-1.407502e+02,-1.878973e+02,-2.748280e+02,-3.497346e+02,-4.087516e+02,-4.439336e+02,-4.461993e+02,-4.465085e+02,-4.507335e+02
5.618160e+01,7.875708e+01,8.469660e+01,8.072810e+01,6.866042e+01,7.932266e+01,1.135082e+02,1.364450e+02,1.076469e+02,7.852345e+01,6.011523e+01,6.787479e+01,8.005516e+01,7.828427e+01,8.654228e+01,9.701665e+01,1.012992e+02,1.097273e+02,1.278998e+02,1.456743e+02,1.552693e+02,1.291530e+02,9.196313e+01,6.774457e+01,6.738394e+01,6.591002e+01,6.280511e+01
1.187833e+01,3.205104e+00,2.387897e+00,1.019530e+01,1.517515e+01,2.518361e+01,4.332944e+01,1.034528e+01,-3.277586e+01,-5.633504e+01,-6.244429e+01,-6.670013e+01,-7.370222e+01,-8.519958e+01,-9.161931e+01,-8.495431e+01,-7.108777e+01,-5.545426e+01,-5.168634e+01,-3.808760e+01,-2.743411e+01,-1.073254e+01,2.544337e-01,1.228655e+01,1.315846e+01,1.064803e+01,9.006227e+00
2.403143e+00,-4.477777e+00,1.343521e+00,4.748653e+00,3.790022e+00,1.213871e+01,2.528583e+01,3.278786e+01,3.926392e+01,3.342992e+01,2.523207e+01,1.769827e+01,9.532911e+00,1.282020e+01,1.721632e+01,7.171701e+00,-3.488198e+00,-6.631527e+00,-1.642010e+01,-2.628170e+01,-2.522939e+01,-2.129667e+01,-1.746970e+01,-4.786328e-01,2.320626e+00,3.993556e+00,-1.228550e+00
1.851307e+01,2.086501e+01,2.426476e+01,2.280326e+01,2.022881e+01,2.610555e+01,4.069646e+01,1.706553e+01,-2.040988e+01,-2.893433e+01,-2.649751e+01,-1.739765e+01,-1.448036e+01,-2.210262e+01,-2.449966e+01,-2.696907e+01,-2.675311e+01,-1.783729e+01,-3.516956e+00,2.423117e+00,5.024140e-01,2.871934e+00,3.666841e+00,7.902537e+00,1.645854e+01,2.259197e+01,1.687772e+01
2.011527e+01,2.072280e+01,1.568169e+01,1.632093e+01,2.166207e+01,2.429993e+01,3.749684e+01,2.084674e+01,3.383457e+01,4.483321e+01,5.225846e+01,5.650644e+01,5.574183e+01,6.813982e+01,7.689507e+01,7.370285e+01,6.332853e+01,5.648499e+01,5.289442e+01,4.698772e+01,2.930033e+01,2.116702e+01,2.237878e+01,1.565895e+01,2.005936e+01,2.239079e+01,2.064195e+01
4.534307e+00,4.497001e+00,3.850968e+00,4.872720e+00,8.183856e+00,7.161053e+00,1.643364e+01,-1.231051e+01,-4.503524e+01,-5.049142e+01,-4.162972e+01,-3.676527e+01,-3.748856e+01,-3.327718e+01,-2.996255e+01,-2.950678e+01,-3.189507e+01,-2.740081e+01,-2.347621e+01,-1.654796e+01,4.973701e+00,1.637023e+01,1.585961e+01,9.322659e+00,6.478858e+00,6.436190e+00,7.124530e+00
-1.386144e+00,-1.187436e+00,2.608849e+00,2.414865e+00,2.367201e+00,-2.837409e+00,9.080946e-01,-3.846176e+00,7.028346e+00,1.509957e+01,2.015622e+01,2.081197e+01,1.339771e+01,6.725629e+00,6.446787e+00,2.937086e+00,-6.291564e-01,3.218817e+00,4.377783e+00,-7.356344e-01,-1.464804e+01,-1.028002e+01,-2.982097e+00,-2.170926e+00,-4.121998e+00,-2.108624e+00,-2.650989e+00
7.546697e+00,5.985988e+00,2.496609e+00,1.515924e+00,5.576649e+00,-3.513424e+00,-7.092262e+00,-1.038216e+01,-2.128055e+01,-1.530326e+01,-3.839344e+00,3.599265e+00,6.533611e+00,8.005756e+00,3.283631e+00,3.528632e+00,-2.233449e-01,-8.374811e+00,-1.388544e+01,-1.472450e+01,-6.553490e+00,4.281992e-01,2.493273e-01,2.611610e+00,1.728505e+00,-5.626248e-01,-2.030084e+00
1.201594e+01,1.252511e+01,6.034173e+00,1.945909e+00,4.606342e+00,-4.867363e+00,-1.240971e+01,1.738889e+00,7.123194e+00,1.009628e+01,7.324269e+00,-8.387795e-02,-1.619655e+00,2.833016e-01,4.165130e+00,1.191999e+01,1.577999e+01,2.152269e+01,2.208459e+01,1.915419e+01,9.682261e+00,7.568666e+00,9.600112e-01,3.432554e+00,4.295761e+00,-5.130709e-01,6.543689e-01
