Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-5.186148e+02,-4.957365e+02,-4.957632e+02,-4.874301e+02,-4.618639e+02,-4.036217e+02,-2.327450e+02,-1.175332e+02,-6.342247e+01,-4.724433e+01,-5.304381e+01,-5.603934e+01,-4.312238e+01,-4.647969e+01,-7.468085e+01,-1.155507e+02,-1.410200e+02,-2.040612e+02,-3.084401e+02,-4.026695e+02,-4.595408e+02,-4.876020e+02,-4.911832e+02,-4.914079e+02,-4.964863e+02,-4.988703e+02
6.267662e+01,7.953941e+01,8.360113e+01,9.357234e+01,1.124067e+02,1.315868e+02,1.157759e+02,9.168295e+01,6.149542e+01,3.837381e+01,4.333117e+01,4.981771e+01,5.814605e+01,7.408371e+01,8.260524e+01,9.898691e+01,1.219474e+02,1.375872e+02,1.495048e+02,1.351880e+02,1.038676e+02,8.458528e+01,8.540431e+01,8.420656e+01,7.781354e+01,7.840215e+01
1.001708e+01,9.082321e+00,1.369928e+01,1.945244e+01,2.585063e+01,2.246673e+01,-1.736200e+00,-2.657530e+01,-4.965531e+01,-6.451117e+01,-5.389034e+01,-5.341386e+01,-6.675796e+01,-6.788686e+01,-5.815073e+01,-4.174100e+01,-4.049561e+01,-3.701212e+01,-1.977511e+01,-2.060065e+01,-8.908934e+00,1.268224e+00,6.735651e+00,6.336742e+00,1.816492e+00,6.150584e+00
1.146289e+00,2.580770e+00,1.857105e+00,4.270913e+00,2.301701e+01,4.488842e+01,4.593626e+01,2.843296e+01,1.200460e+01,1.177488e+00,-1.113216e+01,-1.907145e+01,-2.782119e+01,-4.292447e+01,-4.579231e+01,-4.216678e+01,-4.662268e+01,-5.090873e+01,-4.504556e+01,-4.058378e+01,-2.283735e+01,-7.489495e+00,-8.748930e+00,-7.260097e+00,-7.780791e+00,-5.693529e+00
1.379591e+01,1.816332e+01,1.879206e+01,2.101557e+01,3.238908e+01,4.884921e+01,-4.667254e+00,-2.925098e+01,-2.738853e+01,-2.175175e+01,-1.596368e+01,-1.345532e+01,-1.783854e+01,-1.399789e+01,-1.322897e+01,-2.189072e+01,-1.595290e+01,-3.176135e+00,-1.065462e+00,5.462527e-01,1.123024e+01,1.884986e+01,1.332580e+01,1.343012e+01,1.694648e+01,1.722784e+01
1.179500e+01,1.375423e+01,1.518059e+01,1.832929e+01,1.215077e+01,3.347493e+00,2.210576e+01,2.720305e+01,3.745512e+01,4.638700e+01,5.296037e+01,6.222945e+01,6.568723e+01,6.597472e+01,6.690917e+01,6.382686e+01,5.363897e+01,4.106962e+01,2.609721e+01,2.040933e+01,1.916449e+01,1.877382e+01,1.796389e+01,1.789576e+01,2.040178e+01,2.026722e+01
4.091292e+00,5.689972e+00,3.086241e+00,3.798043e+00,9.500639e+00,1.568682e+01,-2.970317e+01,-4.789198e+01,-4.805312e+01,-3.862992e+01,-4.140289e+01,-4.359217e+01,-4.494925e+01,-4.744839e+01,-4.799312e+01,-4.419096e+01,-3.983609e+01,-3.457896e+01,-1.663091e+01,3.944878e+00,1.137789e+01,5.162992e+00,6.989570e+00,9.854874e+00,1.081932e+01,9.639711e+00
6.082510e-02,1.917968e+00,2.060054e+00,-4.026606e+00,1.016572e+01,3.108244e+01,3.317131e+01,3.570348e+01,3.903059e+01,4.071114e+01,4.117897e+01,3.980963e+01,3.502541e+01,3.143928e+01,2.702972e+01,3.279746e+01,3.376983e+01,2.507348e+01,1.634619e+01,4.934936e+00,4.033681e+00,-1.810709e+00,-3.695039e-01,2.728214e+00,5.885036e+00,5.761570e+00
-5.796350e+00,-1.683610e+00,4.537561e+00,-6.839519e+00,-1.375121e+01,-2.086255e+01,-2.769293e+01,-2.508197e+01,-1.736588e+01,-1.238885e+01,-8.764173e+00,-1.114451e+01,-1.615753e+01,-1.597634e+01,-1.859093e+01,-2.046228e+01,-2.462097e+01,-2.431352e+01,-1.430643e+01,1.864862e-01,-2.969439e+00,-5.750325e+00,-1.420991e+00,-1.236501e-01,2.370183e+00,2.747898e+00
-6.302623e+00,-6.256242e-01,4.162745e+00,-6.309449e+00,-2.159499e+01,-1.659461e+01,1.765330e+00,4.288526e+00,1.168228e+00,-1.297627e+00,-2.171919e+00,7.153858e+00,1.253226e+01,1.152057e+01,1.298734e+01,1.884961e+01,1.760417e+01,7.001657e+00,2.688775e+00,-5.530645e-01,-4.137757e+00,-4.829553e+00,-1.104180e+00,5.518332e-01,-5.706565e-01,-3.603310e+00
