Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43
-4.946033e+02,-4.788019e+02,-4.800469e+02,-4.666009e+02,-3.977596e+02,-3.161582e+02,-2.649255e+02,-2.453306e+02,-1.890873e+02,-1.455496e+02,-1.471032e+02,-1.505204e+02,-1.413004e+02,-1.310999e+02,-1.290795e+02,-1.298476e+02,-1.296065e+02,-1.242194e+02,-1.227395e+02,-1.152104e+02,-1.097992e+02,-1.074851e+02,-8.479279e+01,-6.900297e+01,-6.215697e+01,-4.071534e+01,-2.647082e+01,-3.326582e+01,-4.730232e+01,-8.517899e+01,-1.321692e+02,-1.688406e+02,-2.441479e+02,-3.598972e+02,-4.385143e+02,-4.746674e+02,-4.771256e+02,-4.751070e+02,-4.790970e+02,-4.822818e+02,-4.818725e+02,-4.812663e+02,-4.942041e+02
4.139664e+01,5.690974e+01,5.655125e+01,7.300190e+01,1.323011e+02,1.407014e+02,1.295654e+02,1.227037e+02,1.255508e+02,1.153795e+02,9.916338e+01,8.532687e+01,6.686314e+01,6.722823e+01,7.086513e+01,7.049811e+01,6.690826e+01,6.013763e+01,5.748638e+01,5.570507e+01,5.065258e+01,4.437623e+01,4.339111e+01,4.024175e+01,3.790785e+01,3.913226e+01,3.873686e+01,3.853381e+01,4.905281e+01,6.210622e+01,8.774313e+01,1.062336e+02,1.142368e+02,1.273443e+02,8.778763e+01,5.961608e+01,5.788110e+01,5.822443e+01,5.635278e+01,5.412565e+01,5.272298e+01,5.360233e+01,4.406059e+01
1.746718e+01,2.071786e+01,2.255073e+01,3.473360e+01,5.298026e+01,3.368161e+01,1.715029e+01,6.725933e+00,-1.210040e+01,-2.758195e+01,-3.581981e+01,-3.088465e+01,-1.645527e+01,-6.444753e+00,-5.604130e+00,-6.730942e+00,-6.859029e+00,-5.602985e+00,-1.452067e+01,-2.113829e+01,-2.840685e+01,-3.228226e+01,-4.101146e+01,-5.140904e+01,-5.491754e+01,-6.610953e+01,-7.241359e+01,-7.449515e+01,-7.419346e+01,-5.879113e+01,-4.946044e+01,-4.241348e+01,-2.942564e+01,-1.098335e+01,1.198277e+01,1.858257e+01,2.007106e+01,1.824492e+01,2.086965e+01,2.194330e+01,1.860110e+01,2.093928e+01,2.422206e+01
4.194533e+00,2.342309e+00,4.023454e+00,1.365694e+01,4.040166e+01,5.680674e+01,5.709473e+01,5.028691e+01,3.564305e+01,2.634173e+01,2.158056e+01,1.064117e+01,5.732900e+00,-1.743249e-01,-7.389214e+00,-8.090178e+00,-6.600950e+00,-1.568037e+00,-1.163705e+00,3.722292e+00,1.734286e+00,4.598847e+00,7.151072e+00,1.118320e+01,1.663735e+01,1.175848e+01,7.574485e+00,3.415921e+00,2.215636e+00,5.187257e+00,-2.182860e+00,2.852536e-01,2.986667e+00,-1.374934e+01,-1.283288e+01,-1.231189e-01,2.858099e+00,4.591345e+00,4.985325e+00,5.521307e+00,4.638276e+00,9.924639e+00,1.330527e+01
8.474421e+00,9.011496e+00,8.070849e+00,1.392363e+01,3.195713e+01,2.104306e+01,1.958030e+00,-8.627707e+00,-2.520535e+01,-2.783184e+01,-1.692392e+01,-3.907226e+00,1.123107e+01,1.605399e+01,1.164892e+01,8.831213e+00,5.604300e+00,-8.739667e-01,4.221730e+00,7.122124e+00,7.977376e+00,1.241186e+01,6.242651e+00,6.465011e+00,6.472140e+00,2.042885e+00,-1.769186e+00,-3.587573e+00,-4.942428e+00,-1.849565e+00,-2.107910e-01,4.793901e+00,9.369721e+00,1.002613e+01,5.560647e+00,9.901548e+00,1.141010e+01,1.665582e+01,1.370092e+01,1.111128e+01,1.331427e+01,1.932815e+01,1.720588e+01
1.803933e+01,2.011669e+01,1.676881e+01,1.559511e+01,-5.181390e+00,-1.206321e+01,-6.679695e+00,1.193997e+00,6.958671e+00,1.234530e+01,2.158749e+01,2.535213e+01,2.171201e+01,2.270323e+01,2.315074e+01,2.482985e+01,2.515496e+01,2.828727e+01,3.270513e+01,2.765224e+01,2.434722e+01,2.496277e+01,2.416026e+01,2.473322e+01,2.237008e+01,2.407104e+01,2.136154e+01,1.950708e+01,2.002780e+01,2.190690e+01,2.407885e+01,1.940613e+01,1.638517e+01,1.368149e+01,2.056833e+01,2.418229e+01,2.209336e+01,2.406503e+01,2.369927e+01,1.993512e+01,2.066411e+01,2.423710e+01,2.492496e+01
1.990723e+01,1.929774e+01,1.627076e+01,9.539011e+00,-1.648374e+01,-1.837832e+01,-9.545712e+00,3.750361e+00,-7.920390e+00,-1.736617e+01,-1.175173e+01,-1.595428e+00,3.836428e+00,7.360255e+00,9.456459e+00,7.774552e+00,5.493572e+00,-8.954904e-01,-4.472023e-01,-1.176701e+00,-9.641111e-01,-1.082197e+00,-6.322099e+00,-3.782922e+00,-2.475276e+00,9.576668e-01,-1.107579e+00,-4.447502e+00,-4.619429e+00,-5.177423e+00,7.294423e-01,7.092983e+00,1.438456e+01,1.314159e+01,2.144913e+01,2.498741e+01,2.050154e+01,1.691286e+01,2.023961e+01,1.793623e+01,1.532693e+01,1.735601e+01,2.370264e+01
1.426396e+01,1.044680e+01,1.030902e+01,2.872868e+00,-1.083505e+00,3.654929e+00,1.238518e+01,1.904065e+01,2.212570e+01,2.042775e+01,2.539349e+01,2.702758e+01,2.052110e+01,2.048812e+01,2.139604e+01,1.737742e+01,1.477452e+01,1.835465e+01,1.992954e+01,1.795293e+01,1.664816e+01,1.739931e+01,1.726155e+01,1.623970e+01,1.846881e+01,1.741511e+01,1.322999e+01,9.822693e+00,1.353856e+01,1.770019e+01,8.674662e+00,5.798978e-01,4.920951e+00,1.339236e+01,1.276932e+01,1.511237e+01,1.320320e+01,9.347950e+00,1.095783e+01,9.802752e+00,7.317275e+00,9.948994e+00,1.286495e+01
8.874744e+00,4.813994e+00,7.027028e+00,-2.813237e-01,-9.815008e+00,-8.553814e+00,-1.179712e+00,-4.809255e-01,-1.458586e+01,-2.007108e+01,-1.316083e+01,-7.184011e+00,-4.553354e+00,-7.679362e+00,-8.151431e+00,-5.743050e+00,-8.061472e+00,-9.852229e+00,-8.409543e+00,-7.785975e+00,-7.154659e+00,-4.371256e+00,-3.515236e+00,-8.409921e+00,-9.713770e+00,-9.990425e+00,-1.416480e+01,-1.921068e+01,-1.564628e+01,-1.667577e+01,-1.609663e+01,-7.498929e+00,4.546434e+00,3.379919e+00,-3.895444e+00,4.439119e+00,8.419060e+00,8.028915e+00,6.428326e+00,4.739693e+00,4.345064e+00,5.944427e+00,1.751975e+00
6.615836e+00,5.037559e+00,6.399400e+00,-3.397483e+00,-2.275243e+01,-1.986132e+01,-1.086168e+01,-1.135995e+01,-1.495129e+01,-9.491288e+00,-3.605061e+00,1.085516e+00,3.341067e+00,4.604456e+00,5.250263e+00,8.116646e+00,9.599955e+00,9.959322e+00,1.070419e+01,1.104242e+01,1.021675e+01,1.201291e+01,1.072676e+01,3.961157e+00,3.492211e+00,2.078360e+00,-4.981570e+00,-1.052708e+01,-8.721257e+00,-1.204085e+01,-1.786704e+01,-2.636358e+01,-2.197687e+01,-1.199239e+01,-1.222459e+01,-1.399389e+00,5.729568e+00,6.765625e+00,5.617125e+00,2.970889e+00,2.229973e+00,7.083567e-01,-2.067491e+00
4.013864e+00,5.134279e+00,3.903821e+00,-7.308270e+00,-8.322061e-01,-1.503914e+00,-1.062590e+01,-2.372201e+01,-8.302368e+00,1.437103e+00,2.688550e-01,-2.995728e+00,1.370823e+00,2.109046e+00,-1.136496e+00,-7.709074e-01,6.362103e-01,-2.384096e+00,-1.595812e+00,1.008413e+00,1.133288e+00,-1.317255e+00,-5.595627e+00,-1.091621e+01,-1.308456e+01,-1.039047e+01,-9.391199e+00,-3.815302e+00,5.293468e+00,1.115319e+01,1.874593e+01,1.814785e+01,1.042080e+01,3.291465e+00,-1.737302e+00,-1.869255e+00,4.062677e+00,4.290151e+00,3.426703e+00,5.880130e-01,-1.187433e+00,-3.245778e+00,4.053183e-01
-2.385930e-01,1.181599e+00,-1.136213e+00,-8.859802e+00,1.355603e+01,2.608857e+01,2.449335e+01,1.783065e+01,1.231283e+01,1.303943e+01,1.148473e+01,1.139448e+01,1.480472e+01,7.281869e+00,-1.006478e+00,-2.016411e+00,-1.264679e+00,-4.677364e+00,-7.100196e+00,-3.645029e+00,8.186080e-01,-4.769768e-01,-5.532002e+00,-9.471968e+00,-4.492482e+00,1.284131e+00,1.013780e+01,2.593499e+01,4.070489e+01,4.432033e+01,4.138512e+01,3.311859e+01,1.429016e+01,1.373522e+01,9.791188e+00,8.420398e-01,4.689009e+00,4.531781e+00,1.209050e-01,-1.872721e+00,-9.284651e-01,-1.024373e-01,3.294582e+00
