Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42
-5.076870e+02,-4.850267e+02,-4.749624e+02,-4.763144e+02,-4.303198e+02,-3.659960e+02,-3.188608e+02,-2.693205e+02,-1.911203e+02,-1.207521e+02,-1.059638e+02,-1.177708e+02,-1.239824e+02,-1.239838e+02,-1.218867e+02,-1.024744e+02,-8.283753e+01,-7.509072e+01,-7.415237e+01,-6.154112e+01,-6.139836e+01,-6.020257e+01,-6.306198e+01,-6.833601e+01,-5.323606e+01,-2.850704e+01,-2.222623e+01,-2.139584e+01,-1.628316e+01,-1.862967e+00,-1.146277e+01,-6.198588e+01,-1.479196e+02,-2.241456e+02,-3.093092e+02,-4.041203e+02,-4.661006e+02,-4.766786e+02,-4.771182e+02,-4.805860e+02,-4.803509e+02,-4.857755e+02
5.563887e+01,7.369341e+01,8.229795e+01,8.156693e+01,1.356312e+02,1.589967e+02,1.505298e+02,1.297350e+02,1.185181e+02,9.028188e+01,7.324600e+01,6.339301e+01,6.161211e+01,5.947922e+01,6.485965e+01,5.771792e+01,5.216968e+01,4.703611e+01,4.303989e+01,4.916008e+01,5.148301e+01,4.767670e+01,4.425527e+01,4.001643e+01,2.927455e+01,2.369798e+01,2.539338e+01,2.210959e+01,2.174350e+01,3.504457e+01,5.269028e+01,6.541178e+01,9.760686e+01,1.263158e+02,1.374119e+02,1.247188e+02,8.538504e+01,7.798439e+01,7.777927e+01,7.599543e+01,7.792490e+01,7.410028e+01
2.571393e+01,2.176387e+01,2.185013e+01,2.245020e+01,6.166943e+01,6.461255e+01,4.761028e+01,1.933724e+01,-2.070519e-02,-2.633892e+00,-4.803673e+00,-7.711960e+00,-9.955154e+00,-1.206216e+01,-1.108417e+01,-1.702839e+01,-2.212165e+01,-2.722129e+01,-2.603913e+01,-2.693173e+01,-2.525033e+01,-2.955225e+01,-3.522459e+01,-3.447862e+01,-4.472686e+01,-5.878503e+01,-6.186265e+01,-5.722758e+01,-5.386083e+01,-6.566608e+01,-7.565108e+01,-7.129480e+01,-4.619465e+01,-3.393544e+01,-2.432555e+01,-2.785502e+00,1.307173e+01,1.555133e+01,1.690907e+01,1.905266e+01,2.292243e+01,2.458010e+01
7.705287e+00,4.399908e-01,-6.097044e-01,-3.200573e-01,2.741735e+01,4.421888e+01,5.420358e+01,5.415031e+01,4.007494e+01,1.468567e+01,-1.328824e+00,-1.104907e+01,-1.743453e+01,-2.163795e+01,-2.003052e+01,-1.288868e+01,-8.148209e+00,-7.928169e+00,-1.030965e+01,-7.804451e+00,-8.177133e+00,-7.962287e+00,-9.574505e+00,-1.027580e+01,-4.436464e+00,-7.190051e+00,-6.656408e+00,-8.865409e-01,5.495986e+00,4.704478e+00,2.016189e+00,3.594646e+00,2.808815e+00,-2.243993e+00,-9.106484e+00,-1.062251e+01,-6.033647e+00,-3.453112e+00,-9.750917e-01,-2.947855e-01,2.265366e+00,3.815964e+00
9.149374e+00,1.095541e+01,1.249786e+01,1.313332e+01,2.523824e+01,2.770716e+01,2.214952e+01,1.053093e+01,-8.528403e+00,-1.218594e+01,-4.409543e+00,6.471678e+00,1.111845e+01,1.056015e+01,8.999892e+00,1.961488e+00,3.000801e+00,-1.280692e+00,-4.534365e+00,-1.969610e+00,-2.085177e+00,-3.083697e-01,4.568949e+00,5.692742e+00,8.515648e+00,9.227226e+00,6.670368e+00,4.575769e+00,-3.771244e-01,1.708618e+00,1.258426e+00,-1.128252e+00,6.892508e+00,1.269833e+01,1.696910e+01,2.010075e+01,1.496621e+01,1.743610e+01,1.774722e+01,1.491032e+01,1.491335e+01,1.327844e+01
1.572587e+01,1.901527e+01,2.062865e+01,2.280117e+01,1.353219e+01,-1.011374e+01,-1.360476e+01,-6.526389e+00,-1.957225e+00,-5.682337e+00,2.773026e+00,1.610491e+01,1.926307e+01,1.710877e+01,1.432427e+01,1.818911e+01,2.032029e+01,1.715242e+01,1.939339e+01,2.022402e+01,2.119733e+01,2.148319e+01,2.285257e+01,2.324694e+01,2.698665e+01,2.934353e+01,3.114851e+01,3.493523e+01,3.592865e+01,3.353907e+01,3.344258e+01,2.860044e+01,1.996320e+01,1.366193e+01,1.210164e+01,8.525447e+00,2.382509e+01,3.080857e+01,2.724757e+01,2.388951e+01,2.360335e+01,2.012277e+01
1.459522e+01,1.240959e+01,1.419882e+01,1.556337e+01,-4.019556e+00,-1.624495e+01,-1.769488e+01,-4.893649e+00,-1.305821e+01,-1.616508e+01,-6.930409e+00,4.444638e-01,4.207730e+00,4.255805e+00,1.889100e+00,-1.654663e+00,-2.710571e+00,-1.396213e+00,-3.384724e+00,-4.978992e+00,-2.511892e+00,-3.084753e+00,-4.697754e+00,-5.022664e+00,-4.467806e+00,-8.257574e+00,-5.991177e+00,-3.718111e+00,-4.232405e+00,-5.853855e+00,-8.009804e+00,-1.066033e+01,-1.181093e+01,-5.619853e+00,-2.538394e+00,-1.214302e+00,1.737620e+01,2.332717e+01,1.799711e+01,1.622692e+01,1.631169e+01,1.177952e+01
8.269338e+00,6.049839e+00,9.161297e+00,6.883615e+00,-1.173914e+01,3.570232e-01,1.036583e+01,1.877188e+01,2.174479e+01,1.911984e+01,2.446394e+01,3.007390e+01,2.857401e+01,2.538411e+01,2.239448e+01,1.963981e+01,1.887243e+01,2.131371e+01,2.040840e+01,2.007161e+01,2.159566e+01,2.351577e+01,2.590921e+01,3.142905e+01,3.215701e+01,3.331596e+01,3.038201e+01,3.061644e+01,2.614316e+01,2.186067e+01,1.769160e+01,1.865801e+01,1.743921e+01,1.337936e+01,1.274286e+01,1.202859e+01,1.458479e+01,1.382868e+01,8.507843e+00,8.656840e+00,8.083946e+00,2.658030e+00
4.543398e+00,7.413974e+00,8.052033e+00,3.763367e+00,-1.692757e+01,-2.111332e+01,-1.910957e+01,-1.617196e+01,-1.687392e+01,-1.949376e+01,-1.526861e+01,-1.025686e+01,-9.785484e+00,-6.603379e+00,-3.656463e+00,-2.932358e+00,-4.423712e+00,-6.063572e+00,-8.010880e+00,-9.206785e+00,-1.245231e+01,-1.225706e+01,-8.258356e+00,-6.880120e+00,-9.828669e+00,-9.484590e+00,-1.170927e+01,-1.488597e+01,-1.683449e+01,-1.888820e+01,-1.940517e+01,-1.449394e+01,-4.495786e+00,1.348368e+00,6.086616e+00,8.581942e+00,1.153119e+01,8.739219e+00,3.565430e+00,6.041436e+00,7.044865e+00,2.350356e+00
3.880638e+00,7.758850e+00,4.302935e+00,1.657019e+00,-1.641319e+01,-9.585041e+00,-5.590549e+00,-2.598567e+00,-2.279206e-01,-3.067037e+00,-1.258734e-01,3.080041e+00,4.244976e+00,5.088685e+00,3.936028e+00,2.158844e+00,5.661823e-01,1.547667e+00,2.557066e+00,3.692830e+00,3.846162e+00,3.102467e+00,5.039799e+00,4.636023e+00,5.699254e+00,3.662653e+00,6.012832e-01,5.606434e-01,-3.013423e+00,-6.050128e+00,-8.898344e+00,-1.116205e+01,-2.161068e+01,-2.473371e+01,-2.070033e+01,-7.429393e+00,3.345011e+00,2.561539e+00,-1.176336e+00,2.434601e+00,7.129796e+00,4.930786e+00
2.522783e+00,2.308656e+00,6.533397e-01,6.968002e-01,-1.079685e+01,-9.765090e+00,-4.612687e+00,-1.209619e+01,-1.624287e+01,-8.243446e+00,1.558159e-01,-2.206712e+00,-7.461153e+00,-8.603484e+00,-8.378208e+00,-6.013823e+00,-7.140079e+00,-7.968391e+00,-6.642796e+00,-4.189257e+00,-3.801153e-01,3.798726e+00,2.244234e+00,-1.628273e+00,-2.346791e+00,-2.202582e+00,-5.263837e+00,-7.553125e+00,-1.009484e+01,-1.064174e+01,-2.120745e+00,5.938690e+00,2.617941e+00,1.812707e+00,-8.523866e-01,-3.145973e+00,1.280037e-01,-1.231459e+00,-2.297133e+00,-4.005349e-02,4.072116e+00,4.548796e+00
9.798329e-01,-2.062276e+00,4.802061e-01,2.494772e+00,-4.344754e+00,9.277670e+00,1.720811e+01,2.623538e+01,2.163457e+01,1.390159e+01,1.235942e+01,1.002530e+01,1.028148e+01,3.959754e+00,2.581631e+00,6.825321e+00,7.855660e+00,6.892293e+00,8.303915e+00,7.943933e+00,7.922850e+00,1.061110e+01,1.527233e+01,1.103390e+01,5.228008e+00,1.054646e+00,-5.206832e-01,-1.423142e+00,-9.183168e+00,-4.335787e+00,4.121144e+00,1.056025e+01,1.079999e+01,5.785305e+00,5.705081e+00,6.632813e+00,4.077593e+00,9.230824e-01,1.225424e+00,2.009120e+00,6.838052e-01,2.651752e+00
2.070581e+00,-1.999124e-01,2.177977e-01,3.443622e+00,-5.769094e+00,-1.615007e+01,-2.181529e+01,-2.232038e+01,-1.599052e+01,-8.763469e+00,-7.347047e+00,-1.182374e+01,-1.317682e+01,-1.156646e+01,-8.864023e+00,-6.538286e+00,-4.729284e+00,-1.535801e+00,-1.678096e+00,-1.808327e+00,-3.509905e+00,-3.919339e+00,-1.235704e+00,-3.863894e+00,-1.073489e+01,-1.372655e+01,-1.053220e+01,-7.058294e+00,-3.263312e+00,1.423680e+01,2.410410e+01,2.865537e+01,3.578456e+01,2.927618e+01,1.295753e+01,5.893192e+00,5.701449e+00,1.721291e+00,2.247773e+00,3.377274e+00,-9.378608e-01,1.028346e+00
