Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47
-4.685367e+02,-4.460793e+02,-4.359367e+02,-3.886744e+02,-3.171672e+02,-2.689767e+02,-2.352233e+02,-1.486114e+02,-9.864325e+01,-8.823491e+01,-9.513420e+01,-9.739616e+01,-9.437950e+01,-9.052861e+01,-8.900443e+01,-9.009141e+01,-8.574579e+01,-7.974324e+01,-7.106559e+01,-7.553578e+01,-6.224870e+01,-4.542700e+01,-3.992366e+01,-3.142693e+01,-2.018439e+01,-1.398940e+01,-1.530361e+01,-1.272642e+01,-7.580991e+00,-7.048697e+00,3.761148e+00,6.898815e-01,-4.922145e-02,-2.297310e+01,-8.504914e+01,-1.544365e+02,-2.420171e+02,-3.401251e+02,-4.065556e+02,-4.318475e+02,-4.364344e+02,-4.355644e+02,-4.310580e+02,-4.271187e+02,-4.235542e+02,-4.314448e+02,-4.412059e+02
6.954274e+01,8.483008e+01,9.574564e+01,1.390265e+02,1.579510e+02,1.480267e+02,1.316876e+02,1.177137e+02,9.329321e+01,7.655013e+01,7.386329e+01,7.579491e+01,7.485469e+01,7.766664e+01,8.280092e+01,8.027208e+01,7.865394e+01,7.666647e+01,6.521750e+01,5.875286e+01,5.658089e+01,5.492862e+01,5.314546e+01,4.994903e+01,5.240315e+01,5.136157e+01,4.722616e+01,4.884510e+01,5.176896e+01,5.183174e+01,5.090588e+01,5.063791e+01,6.153749e+01,7.503248e+01,9.357307e+01,1.240185e+02,1.441702e+02,1.456608e+02,1.030755e+02,8.710964e+01,8.508818e+01,8.533270e+01,8.987549e+01,9.174624e+01,9.269614e+01,9.086595e+01,8.622333e+01
2.274605e+01,1.619073e+01,2.043828e+01,4.521580e+01,3.177424e+01,1.707614e+01,9.031546e+00,-6.984311e+00,-1.264015e+01,-1.156477e+01,-9.559690e+00,-1.260285e+01,-1.187864e+01,-9.387737e+00,-1.275744e+01,-1.727321e+01,-1.831482e+01,-2.249859e+01,-2.294118e+01,-2.084483e+01,-2.422404e+01,-2.529248e+01,-2.772660e+01,-3.839614e+01,-4.760067e+01,-5.277420e+01,-5.514355e+01,-5.333035e+01,-5.460000e+01,-5.957171e+01,-6.356391e+01,-5.327274e+01,-6.357819e+01,-6.431712e+01,-4.916996e+01,-4.024152e+01,-2.518668e+01,-1.310382e+01,-3.042095e+00,2.754389e+00,8.275002e+00,8.855488e+00,8.422965e+00,4.288676e+00,2.417503e+00,8.758846e+00,1.319739e+01
6.199383e+00,1.371069e+00,2.163246e+00,3.806708e+01,5.993026e+01,6.352555e+01,6.074340e+01,3.214306e+01,1.642546e+01,1.444903e+01,7.171541e+00,-3.266069e+00,-7.245072e+00,-8.845976e+00,-8.061991e+00,-6.836061e+00,-1.009041e+01,-6.071189e+00,-1.248773e+00,-6.382881e+00,-8.775843e+00,-6.540224e+00,-3.036780e+00,-9.212583e-01,1.006307e+00,5.266108e-01,7.904476e-02,1.341731e+00,4.688428e+00,-1.005750e+00,-9.531621e-01,5.348632e+00,4.156581e+00,6.362103e+00,5.480955e+00,-4.627025e+00,-8.432301e+00,-8.601095e+00,-5.074857e+00,-1.138971e+00,3.775242e+00,5.338885e+00,2.452525e+00,-8.575065e-01,-3.247636e+00,-3.553880e-01,1.468990e+00
1.596636e+01,1.998391e+01,2.019966e+01,3.867101e+01,3.590265e+01,2.467968e+01,8.970600e+00,-1.546397e+01,-1.474190e+01,-4.076042e+00,3.460892e+00,7.499657e+00,3.641679e+00,6.806568e-01,2.774277e+00,4.043368e+00,1.965103e+00,6.791412e+00,9.146986e+00,8.610193e+00,8.093625e+00,5.298081e+00,3.932096e+00,3.967056e+00,9.286554e+00,7.487183e+00,7.405612e+00,5.531753e+00,8.055351e+00,1.044398e+01,4.629134e+00,1.972855e+00,3.223023e-01,1.053281e+00,9.982167e+00,2.478890e+01,2.789035e+01,1.519071e+01,1.444452e+01,1.937908e+01,1.714627e+01,1.802522e+01,1.836942e+01,2.093762e+01,1.796906e+01,1.736816e+01,1.884633e+01
1.962751e+01,2.270758e+01,1.996216e+01,5.379355e+00,-1.481108e+01,-1.582856e+01,-6.776238e+00,7.314296e+00,7.925019e+00,1.026589e+01,1.231643e+01,1.711831e+01,1.695936e+01,1.496322e+01,1.885183e+01,2.302077e+01,2.412503e+01,2.327604e+01,1.949033e+01,2.010912e+01,1.981503e+01,1.662759e+01,1.588806e+01,1.289546e+01,1.393353e+01,1.540125e+01,1.564110e+01,1.669070e+01,1.789400e+01,1.986470e+01,2.007365e+01,2.482826e+01,2.258783e+01,2.199072e+01,2.198761e+01,1.349165e+01,6.500912e+00,5.088058e+00,6.836206e+00,1.376133e+01,1.123791e+01,1.366130e+01,1.481630e+01,1.624139e+01,1.608170e+01,1.505213e+01,1.798099e+01
1.116701e+01,1.248642e+01,6.522824e+00,-3.391700e+00,6.919891e-01,2.232394e+00,-8.082251e+00,-2.103801e+01,-2.088671e+01,-1.501993e+01,-7.699541e+00,-5.185149e+00,-1.192835e+01,-1.027145e+01,-5.963029e+00,-4.489861e+00,-3.880209e+00,-5.807547e+00,-6.590285e+00,-5.764827e+00,-6.003582e+00,-5.807960e+00,-7.006466e+00,-6.718525e+00,-3.980148e+00,-5.126147e+00,-4.931151e+00,-1.401137e+00,-2.871943e+00,-4.346095e+00,-7.506848e+00,-6.289129e+00,-3.763282e+00,-3.326110e+00,3.036454e+00,1.196552e+01,1.938365e+01,1.404132e+01,1.032114e+01,1.130360e+01,1.353178e+01,1.649675e+01,1.451730e+01,1.000064e+01,1.356870e+01,9.595240e+00,9.988104e+00
5.805826e+00,8.964822e+00,4.047345e+00,6.453328e+00,1.027277e+01,1.383017e+01,1.817353e+01,2.414060e+01,3.013310e+01,3.469094e+01,3.375306e+01,2.905567e+01,2.628956e+01,2.209432e+01,2.079451e+01,2.576318e+01,2.767026e+01,2.814954e+01,2.396814e+01,2.660943e+01,2.837011e+01,2.797800e+01,2.542570e+01,2.000911e+01,1.939883e+01,1.662107e+01,1.453098e+01,1.877782e+01,2.080830e+01,2.088898e+01,1.699302e+01,1.881640e+01,1.796452e+01,1.869353e+01,1.918427e+01,6.195513e+00,-3.303776e-01,8.115265e+00,1.505288e+01,1.681135e+01,1.786615e+01,1.683293e+01,1.512164e+01,1.304719e+01,1.475579e+01,1.042720e+01,9.367639e+00
7.668454e+00,9.269144e+00,5.649148e+00,-8.927074e+00,-2.225194e+01,-2.236862e+01,-1.489751e+01,-2.545779e+01,-2.679434e+01,-2.407391e+01,-2.004156e+01,-1.848747e+01,-1.500461e+01,-1.602477e+01,-1.517375e+01,-1.810236e+01,-1.820771e+01,-1.794751e+01,-2.094936e+01,-2.096823e+01,-2.327742e+01,-2.484557e+01,-2.576102e+01,-2.817775e+01,-2.485072e+01,-2.295808e+01,-2.367667e+01,-2.648196e+01,-2.635527e+01,-2.479863e+01,-2.609402e+01,-2.674621e+01,-3.018534e+01,-2.269797e+01,-1.641730e+01,-1.159163e+01,-8.601968e+00,-4.513450e+00,5.789470e+00,1.156270e+01,1.006669e+01,6.434447e+00,5.652450e+00,9.534670e+00,1.105677e+01,1.010142e+01,9.949276e+00
8.635635e+00,6.253636e+00,1.099811e+00,-2.560644e+01,-2.563126e+01,-1.488216e+01,-2.372869e+00,7.765086e+00,1.277045e+01,1.358196e+01,1.696480e+01,1.781101e+01,1.728183e+01,1.569634e+01,1.575495e+01,1.250316e+01,1.497354e+01,1.398738e+01,1.452894e+01,1.372788e+01,1.432138e+01,1.800859e+01,1.731324e+01,1.527625e+01,1.138470e+01,1.020398e+01,1.052571e+01,1.020961e+01,1.172766e+01,1.012381e+01,7.562506e+00,7.776936e+00,3.930836e+00,-4.692090e-01,-6.370657e+00,-1.040019e+01,-1.624834e+01,-1.123723e+01,-2.048009e+00,4.402262e+00,4.541488e+00,2.035492e+00,-6.349043e-01,1.730976e+00,2.095237e+00,5.758999e+00,6.994605e+00
