Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48
-4.704236e+02,-4.542024e+02,-4.573214e+02,-4.421258e+02,-3.972900e+02,-3.179685e+02,-2.652717e+02,-2.336862e+02,-1.870326e+02,-1.171914e+02,-1.057086e+02,-1.255524e+02,-1.237365e+02,-1.212697e+02,-1.216900e+02,-1.162380e+02,-1.094479e+02,-1.025357e+02,-9.954647e+01,-9.849261e+01,-1.012744e+02,-8.289827e+01,-6.477296e+01,-5.774067e+01,-5.512508e+01,-4.941080e+01,-3.251515e+01,-2.093156e+01,-1.879998e+01,-2.806767e+01,-3.431659e+01,-2.528350e+01,-1.753660e+01,-5.546968e+00,-1.813128e+01,-7.177097e+01,-1.477736e+02,-2.510508e+02,-3.473482e+02,-4.056001e+02,-4.435765e+02,-4.573737e+02,-4.595892e+02,-4.575950e+02,-4.568998e+02,-4.572761e+02,-4.603342e+02,-4.740058e+02
7.259013e+01,8.260006e+01,8.218987e+01,1.015781e+02,1.408921e+02,1.505455e+02,1.363146e+02,1.176597e+02,1.174529e+02,1.125411e+02,9.754620e+01,8.226176e+01,7.878410e+01,7.745412e+01,7.585995e+01,7.573213e+01,7.166600e+01,7.717993e+01,7.550211e+01,7.529146e+01,7.486557e+01,6.927120e+01,6.064899e+01,5.895587e+01,5.742661e+01,5.345075e+01,5.400054e+01,5.460774e+01,5.399616e+01,4.804202e+01,4.734068e+01,5.074233e+01,4.439434e+01,4.185979e+01,5.502465e+01,7.857800e+01,1.053677e+02,1.236959e+02,1.338308e+02,1.041671e+02,8.506117e+01,7.738775e+01,7.908607e+01,7.989758e+01,8.037509e+01,8.148682e+01,7.838184e+01,6.948676e+01
2.166850e+01,1.749514e+01,1.564048e+01,3.150051e+01,5.111670e+01,3.881239e+01,1.688584e+01,5.807764e+00,-2.734452e+00,-3.878925e+00,-5.122105e+00,-1.192553e+01,-1.560994e+01,-1.395683e+01,-1.619485e+01,-1.462319e+01,-1.423617e+01,-1.871140e+01,-2.214134e+01,-2.352926e+01,-1.629187e+01,-2.257129e+01,-3.409731e+01,-3.894916e+01,-4.362134e+01,-4.547779e+01,-5.350076e+01,-6.275243e+01,-6.036793e+01,-5.631700e+01,-5.020452e+01,-5.262093e+01,-5.752776e+01,-6.648953e+01,-6.741568e+01,-5.570701e+01,-4.168085e+01,-2.570237e+01,-2.059522e+01,-5.004769e+00,2.591424e+00,7.166640e+00,1.370366e+01,1.214236e+01,1.171377e+01,1.361027e+01,1.232245e+01,1.632795e+01
4.426985e+00,5.310074e+00,2.418677e+00,1.430056e+01,3.638292e+01,5.738564e+01,6.400923e+01,6.600478e+01,4.780550e+01,1.815698e+01,8.042727e+00,-2.587963e+00,-3.099205e+00,-1.607553e+00,-5.060504e+00,-7.386139e+00,-6.423883e+00,-8.403625e+00,-8.889636e+00,-6.373345e+00,-3.753258e+00,-6.551924e+00,-1.209976e+01,-1.313824e+01,-1.532984e+01,-1.637695e+01,-1.247311e+01,-1.692183e+01,-1.496481e+01,-1.670256e+01,-1.793271e+01,-1.619215e+01,-1.316266e+01,-5.544001e+00,-4.239312e-01,-5.224249e-01,-8.737938e+00,-1.180784e+01,-8.704594e+00,-1.954054e+00,-4.055884e+00,-3.282845e+00,-4.261799e-01,-1.535490e+00,-1.312628e+00,-1.489259e+00,-1.815482e+00,-3.333303e-01
1.336180e+01,2.106366e+01,2.348495e+01,2.788540e+01,3.923410e+01,3.016274e+01,1.688011e+01,9.579166e+00,-2.340684e-01,-1.470822e+01,-9.416503e+00,-9.623556e-01,-4.252619e+00,-4.623548e+00,1.895563e+00,3.981185e+00,5.750756e+00,6.164836e+00,4.010989e+00,2.458853e+00,8.348827e+00,1.250862e+01,1.107017e+01,1.314325e+01,1.381927e+01,1.049113e+01,1.376863e+01,1.177709e+01,7.702182e+00,-2.224273e+00,-2.047120e+00,4.910270e+00,8.537100e+00,1.662161e+00,3.165025e+00,1.175043e+01,2.236203e+01,2.685410e+01,1.888733e+01,1.375233e+01,1.814342e+01,1.595594e+01,1.543035e+01,1.487106e+01,1.730187e+01,1.779031e+01,1.788758e+01,1.488195e+01
1.764205e+01,2.219146e+01,2.507779e+01,2.124316e+01,1.159299e+01,-9.912342e+00,-1.524834e+01,-1.355360e+01,3.268295e-01,5.248790e+00,9.423691e+00,2.391308e+01,2.582977e+01,2.687586e+01,2.994087e+01,3.367089e+01,3.183130e+01,3.037986e+01,3.246357e+01,3.131523e+01,2.765651e+01,3.341473e+01,3.233012e+01,3.047248e+01,2.810363e+01,2.765595e+01,2.638604e+01,2.447932e+01,2.409171e+01,2.212200e+01,2.136214e+01,2.339193e+01,2.501650e+01,2.551699e+01,2.669904e+01,2.157865e+01,1.280831e+01,6.551517e+00,1.299187e+01,1.782541e+01,1.689724e+01,1.605835e+01,1.803130e+01,1.698695e+01,1.873697e+01,2.139144e+01,2.072815e+01,2.137627e+01
9.917087e+00,9.482946e+00,9.533687e+00,2.254421e+00,-3.227734e+00,2.221442e+00,-1.520202e+00,-6.112778e+00,-1.177123e+01,-2.024384e+01,-1.920943e+01,-1.122543e+01,-1.073423e+01,-1.455837e+01,-1.816306e+01,-1.866099e+01,-1.824183e+01,-1.387277e+01,-1.416241e+01,-1.135309e+01,-7.904287e+00,-4.283185e+00,-6.063866e+00,-8.480737e+00,-1.080677e+01,-1.082727e+01,-1.387057e+01,-1.599642e+01,-1.169755e+01,-1.209229e+01,-1.328215e+01,-1.006250e+01,-9.886406e+00,-1.086198e+01,-1.086347e+01,-1.125850e+01,-3.943829e+00,6.599375e+00,1.105551e+01,1.964865e+01,1.141651e+01,1.065211e+01,1.417667e+01,1.333311e+01,1.094913e+01,1.050277e+01,8.980122e+00,1.174806e+01
8.251756e+00,6.971314e+00,3.607169e+00,-4.173480e+00,-4.375517e+00,1.931909e+00,1.016843e+01,1.708499e+01,1.019107e+01,1.235826e+01,1.763366e+01,1.749794e+01,1.477072e+01,1.674143e+01,1.744578e+01,2.236924e+01,2.534835e+01,3.047994e+01,3.096615e+01,2.757352e+01,2.743109e+01,2.675811e+01,2.619417e+01,2.642796e+01,2.408001e+01,2.343322e+01,2.135754e+01,2.119174e+01,2.459558e+01,2.777635e+01,2.660382e+01,2.692194e+01,2.517199e+01,2.456168e+01,2.418837e+01,1.808672e+01,8.251490e+00,6.992798e+00,1.039678e+01,1.195937e+01,1.327657e+01,1.248965e+01,1.381712e+01,1.330073e+01,1.041539e+01,6.517079e+00,5.871285e+00,6.592092e+00
5.686321e+00,5.422512e+00,5.605506e+00,-4.748263e+00,-1.987719e+01,-2.439352e+01,-1.605457e+01,-1.269801e+01,-1.999892e+01,-2.640923e+01,-2.158059e+01,-1.449692e+01,-1.159152e+01,-8.523104e+00,-6.246761e+00,-1.117728e+01,-1.612787e+01,-1.418718e+01,-1.441616e+01,-1.670848e+01,-1.751305e+01,-2.063161e+01,-1.936642e+01,-1.719220e+01,-2.049656e+01,-2.270791e+01,-1.877335e+01,-1.746280e+01,-1.865882e+01,-1.741813e+01,-1.768537e+01,-1.853707e+01,-1.871681e+01,-1.808576e+01,-1.997501e+01,-1.349814e+01,-2.656494e+00,6.791107e+00,1.125658e+01,1.621053e+01,1.071536e+01,9.491301e+00,7.863439e+00,7.149096e+00,8.314101e+00,8.447735e+00,8.738487e+00,9.445204e+00
8.589742e-01,2.234877e+00,3.568099e+00,-1.090004e+01,-2.434253e+01,-1.428679e+01,-5.186188e+00,1.820173e+00,8.813021e+00,9.567013e+00,1.357762e+01,1.517693e+01,1.384748e+01,1.812413e+01,1.761376e+01,1.713575e+01,1.078209e+01,1.008714e+01,1.227348e+01,1.279130e+01,8.735156e+00,8.296261e+00,9.688791e+00,9.831211e+00,5.445216e+00,2.302099e+00,6.441936e+00,5.712256e+00,2.123003e+00,1.248242e+00,-2.409002e-01,3.037920e-01,-2.494152e+00,1.156804e+00,-2.850376e+00,-1.010894e+01,-1.363436e+01,-1.544614e+01,-6.661070e+00,6.291238e+00,4.874843e+00,6.928710e+00,1.967063e+00,5.848671e-01,2.353827e+00,7.699652e+00,7.474588e+00,8.392611e+00
