Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-4.845610e+02,-4.728672e+02,-4.733227e+02,-4.732312e+02,-4.751286e+02,-4.749721e+02,-4.707181e+02,-4.688602e+02,-4.664857e+02,-4.432018e+02,-2.545030e+02,-1.604700e+02,-1.480492e+02,-1.659775e+02,-1.241696e+02,-8.316029e+01,-7.424100e+01,-1.047198e+02,-1.552590e+02,-2.062218e+02,-2.431859e+02,-2.816490e+02,-2.936956e+02,-3.094473e+02,-3.258495e+02,-3.390330e+02,-3.423830e+02,-3.262266e+02,-3.210049e+02,-3.187252e+02
1.529427e+01,2.771006e+01,2.780828e+01,2.692077e+01,2.447618e+01,2.534358e+01,2.981622e+01,3.108272e+01,3.101596e+01,5.385417e+01,1.434254e+02,1.478105e+02,1.279845e+02,1.078853e+02,6.514484e+01,4.714614e+01,5.805367e+01,8.385065e+01,1.100178e+02,1.327220e+02,1.305634e+02,1.190978e+02,9.778127e+01,8.813896e+01,8.672116e+01,8.329254e+01,7.275850e+01,7.412553e+01,7.508791e+01,8.198689e+01
1.179531e+01,1.563623e+01,1.648408e+01,1.417864e+01,1.243227e+01,1.443146e+01,1.593991e+01,1.506736e+01,1.070361e+01,1.505807e+01,-3.402060e+01,-6.649178e+01,-7.103613e+01,-6.520325e+01,-4.929347e+01,-5.475649e+01,-6.343822e+01,-5.541812e+01,-4.108280e+01,-3.138903e+01,-1.842973e+01,-2.548805e+01,-4.019661e+01,-4.906026e+01,-5.730355e+01,-6.048156e+01,-6.233452e+01,-6.725170e+01,-7.177286e+01,-7.090219e+01
8.800181e+00,6.801950e+00,6.285776e+00,4.860841e+00,4.147091e+00,6.107789e+00,5.918560e+00,4.699427e+00,2.005205e+00,-2.039130e+00,-9.272796e+00,-3.785338e+00,-4.940113e+00,-1.071082e+01,-2.580206e+01,-3.636054e+01,-5.306302e+01,-6.055484e+01,-5.639330e+01,-4.589769e+01,-2.958031e+01,-1.683314e+01,-1.206466e+01,-5.742024e+00,-1.849113e+01,-2.894075e+01,-2.271759e+01,-1.675036e+01,-1.370068e+01,-2.285269e+01
7.174861e+00,5.216381e+00,1.969203e+00,3.733148e+00,4.151964e+00,4.142323e+00,3.697371e+00,3.125251e+00,3.930802e+00,2.390941e+00,-2.365363e+01,-3.217548e+01,-3.018874e+01,-2.026210e+01,-1.920916e+01,-2.152574e+01,-2.255127e+01,-2.440172e+01,-2.435665e+01,-1.794889e+01,-9.464500e+00,-9.340038e+00,-1.219866e+01,-7.662729e+00,-3.200454e+00,-3.541733e+00,-2.277339e+00,6.072214e+00,1.212170e+01,1.448971e+01
5.985027e+00,6.986899e+00,2.649150e+00,6.906696e+00,8.423872e+00,5.786319e+00,4.544291e+00,3.588100e+00,3.443736e+00,2.573682e+00,-2.263937e+01,-1.154125e+01,1.639237e+00,1.887976e+01,5.404324e+01,5.821661e+01,5.996863e+01,5.726646e+01,4.709958e+01,2.630536e+01,1.261612e+01,5.148810e+00,1.789676e-01,-2.752395e+00,-3.662557e+00,-4.944139e+00,-6.005825e-01,8.372424e+00,9.684605e+00,1.630663e+01
4.414273e+00,6.918139e+00,4.291259e+00,8.097184e+00,1.069710e+01,7.089078e+00,3.850106e+00,2.230211e+00,-4.893835e-01,-7.368706e+00,-8.335926e+00,-1.764197e+01,-2.402211e+01,-2.879647e+01,-3.716274e+01,-3.939639e+01,-4.241833e+01,-3.574958e+01,-3.075240e+01,-2.473073e+01,-1.492917e+01,-7.005013e+00,8.327889e-02,6.454081e+00,1.178879e+01,1.131337e+01,1.192310e+01,7.046059e+00,6.773829e+00,4.755322e+00
2.850335e+00,4.381927e+00,3.882635e+00,5.718909e+00,9.227566e+00,7.159062e+00,2.693759e+00,2.139517e+00,9.916832e-01,-1.084740e+01,2.073443e-01,2.176010e+00,4.185091e+00,2.294342e+00,1.644597e+01,1.919016e+01,1.653529e+01,1.807213e+01,1.111087e+01,-1.331155e+00,-9.258865e+00,-1.077685e+01,-1.207373e+01,-9.770924e+00,-1.470652e+00,3.425440e+00,5.237960e+00,7.647935e+00,8.759518e+00,2.189687e+00
1.857627e+00,1.923003e+00,1.391319e+00,2.767291e+00,6.514960e+00,6.775300e+00,3.680742e+00,4.919612e+00,7.101149e+00,-1.633099e+00,-6.294712e-01,1.442112e+01,2.072337e+01,2.266623e+01,1.033363e+01,-6.333008e-01,-4.324761e+00,-2.974985e+00,-3.432858e+00,-3.292451e+00,-2.371775e+00,-4.055257e+00,-8.538487e+00,-1.524868e+01,-1.824444e+01,-1.310760e+01,-5.303490e+00,8.028869e-01,1.320290e+00,-1.094911e+01
1.070623e+00,7.696710e-01,-1.070763e+00,1.609437e+00,4.617998e+00,5.690390e+00,5.506781e+00,6.055225e+00,6.483109e+00,6.529028e+00,3.070391e-01,1.616721e+00,4.854676e+00,3.907961e+00,2.397207e+01,3.289366e+01,3.129847e+01,2.973907e+01,2.290487e+01,2.139293e+01,2.261900e+01,1.312329e+01,1.406816e+01,1.024814e+01,2.817881e+00,1.007331e+01,1.491552e+01,8.006763e+00,5.766484e+00,-1.276782e+00
