Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33
-5.293561e+02,-5.091847e+02,-5.052909e+02,-5.076819e+02,-5.086159e+02,-5.122942e+02,-5.081532e+02,-5.039684e+02,-5.037260e+02,-5.027737e+02,-5.110956e+02,-5.159040e+02,-5.133823e+02,-4.995435e+02,-2.639267e+02,-1.534552e+02,-1.208410e+02,-1.189488e+02,-9.545863e+01,-6.873720e+01,-7.556210e+01,-1.142507e+02,-1.695528e+02,-2.228659e+02,-2.881664e+02,-3.682913e+02,-4.384551e+02,-4.889252e+02,-5.016701e+02,-5.058864e+02,-5.069540e+02,-5.061906e+02,-5.050786e+02
2.801205e+01,4.729264e+01,5.095841e+01,4.822844e+01,4.634700e+01,4.230229e+01,4.573417e+01,5.159338e+01,5.056627e+01,5.243004e+01,4.405307e+01,3.874284e+01,4.186725e+01,5.094189e+01,1.095607e+02,1.140272e+02,1.032876e+02,6.569366e+01,3.423862e+01,3.669802e+01,5.330673e+01,7.072904e+01,8.769429e+01,1.069119e+02,1.157523e+02,1.211414e+02,9.989787e+01,6.131507e+01,5.328903e+01,5.100757e+01,4.805571e+01,5.006620e+01,5.225800e+01
1.381729e+01,1.711837e+01,1.700827e+01,1.444671e+01,1.234268e+01,1.097491e+01,1.098337e+01,1.457380e+01,1.169950e+01,1.425993e+01,1.166198e+01,9.334110e+00,1.225224e+01,1.236721e+01,-4.070316e+01,-7.337349e+01,-8.589673e+01,-6.302948e+01,-5.383249e+01,-6.278655e+01,-6.017251e+01,-4.393970e+01,-2.665697e+01,-1.591882e+01,-6.649575e+00,-2.637553e+00,-3.585268e+00,5.579294e+00,1.409709e+01,1.678230e+01,1.215808e+01,1.503354e+01,1.709061e+01
7.751599e+00,5.341910e+00,2.918452e+00,-6.741888e-01,-1.037728e+00,-7.594196e-01,-1.830736e+00,-2.727815e+00,-4.262652e+00,-1.964422e+00,-2.724395e+00,-3.518960e+00,-3.279266e-01,-1.604100e+00,1.141106e+01,1.057939e+01,6.519891e+00,-9.563678e+00,-4.137304e+01,-5.541013e+01,-6.134053e+01,-6.193448e+01,-5.165953e+01,-4.334994e+01,-4.113793e+01,-3.852098e+01,-3.206903e+01,-1.411129e+01,-2.721776e+00,-9.259357e-01,-4.031784e+00,-2.546424e+00,-2.999779e+00
1.078399e+01,1.136595e+01,9.611870e+00,6.995282e+00,8.559078e+00,7.583128e+00,5.354885e+00,2.440828e+00,4.507706e+00,6.137896e+00,3.902658e+00,2.195616e+00,4.790719e+00,6.499965e+00,-2.476238e+01,-3.400616e+01,-3.166051e+01,-2.469279e+01,-1.916847e+01,-1.191775e+01,-1.302040e+01,-2.418653e+01,-2.718287e+01,-1.652969e+01,-7.877075e+00,-2.035242e-01,2.182871e+00,3.009098e+00,5.009732e+00,3.409046e+00,3.419231e+00,2.794637e+00,6.019985e-01
1.401809e+01,1.439324e+01,1.457026e+01,1.552085e+01,1.610632e+01,1.337123e+01,1.045702e+01,8.000602e+00,1.076805e+01,1.256103e+01,1.002798e+01,7.277668e+00,9.648993e+00,9.577937e+00,-7.556689e-01,8.344845e+00,1.264628e+01,3.725694e+01,6.788483e+01,8.077229e+01,8.579379e+01,8.257430e+01,7.398460e+01,6.491794e+01,5.121087e+01,2.863348e+01,2.099092e+01,1.634455e+01,1.328534e+01,1.136082e+01,1.216750e+01,1.107085e+01,1.095481e+01
1.327177e+01,9.063581e+00,9.844902e+00,1.286893e+01,1.027406e+01,8.600293e+00,8.321600e+00,4.610502e+00,4.350428e+00,6.511170e+00,5.485654e+00,4.015295e+00,7.441255e+00,3.532753e+00,-2.259356e+01,-3.079950e+01,-3.210535e+01,-4.204278e+01,-5.209251e+01,-5.317952e+01,-5.015570e+01,-4.797631e+01,-4.549850e+01,-4.192118e+01,-3.760744e+01,-1.697097e+01,9.778303e+00,1.063246e+01,1.192776e+01,1.192568e+01,1.107832e+01,1.041644e+01,1.334795e+01
1.101196e+01,5.649570e+00,5.556242e+00,7.527714e+00,3.908227e+00,4.295536e+00,6.090009e+00,1.195083e+00,-1.865947e-01,1.026224e+00,6.025215e-01,1.995585e+00,4.022694e+00,7.354853e+00,1.450064e+01,2.176894e+01,1.889256e+01,3.077590e+01,3.137653e+01,2.902743e+01,3.107616e+01,3.250351e+01,3.229521e+01,2.676402e+01,1.830719e+01,7.105494e+00,4.763563e+00,3.011338e+00,7.851214e+00,9.931511e+00,8.072794e+00,7.131664e+00,9.609192e+00
8.764061e+00,6.875097e+00,6.452397e+00,6.921060e+00,6.329689e+00,6.255185e+00,5.784850e+00,3.436076e+00,4.725956e+00,4.597055e+00,3.005750e+00,6.378025e+00,3.514509e+00,7.362010e+00,-7.377738e+00,-3.549932e+00,1.862934e+00,-4.396141e-01,-9.821806e+00,-1.004826e+01,-1.120475e+01,-1.490214e+01,-1.126527e+01,-6.914875e+00,-1.514750e+00,-2.176991e+00,6.314911e+00,3.096234e+00,4.496809e+00,8.529528e+00,7.541986e+00,6.501486e+00,6.297973e+00
5.270728e+00,5.275887e+00,5.631666e+00,5.647553e+00,8.472667e+00,7.346570e+00,5.605119e+00,5.726824e+00,7.910028e+00,8.120290e+00,5.021986e+00,8.624755e+00,3.691315e+00,6.301767e+00,1.406575e+00,1.128272e+01,1.458618e+01,1.366247e+01,1.524161e+01,2.035244e+01,2.632412e+01,2.604898e+01,2.380676e+01,1.804562e+01,1.234173e+01,4.995367e+00,5.213201e+00,2.550650e+00,-9.035213e-01,2.726920e+00,3.029140e+00,3.524873e+00,3.256269e+00
6.148387e-01,-1.370540e+00,-1.195099e+00,-9.980577e-01,1.383281e+00,2.057148e+00,3.341774e+00,2.352514e+00,1.483274e+00,2.432841e+00,-1.374685e+00,1.615332e+00,4.010240e-01,-2.568444e-01,1.323676e+01,-2.986683e+00,-1.714905e+01,-2.474735e+01,-2.392347e+01,-2.122691e+01,-1.296936e+01,-9.025100e+00,-4.438389e+00,1.305169e+00,-3.974869e-01,-3.034423e+00,-2.050093e+00,-3.336000e+00,-7.582977e+00,-7.890939e+00,-6.986996e+00,-4.563322e+00,-1.645579e+00
-2.232209e+00,-6.225919e+00,-8.191926e+00,-6.619403e+00,-7.589384e+00,-5.075501e+00,-2.694509e+00,-3.867774e+00,-6.084484e+00,-6.770817e+00,-1.000467e+01,-7.840364e+00,-5.511316e+00,-4.605949e+00,6.776783e-01,-4.555767e+00,-1.266899e+01,-2.095282e+01,-2.937240e+01,-3.029518e+01,-2.093250e+01,-1.679259e+01,-1.630116e+01,-1.857328e+01,-2.219842e+01,-2.015811e+01,-9.536089e+00,-8.377357e+00,-1.114589e+01,-1.418328e+01,-1.334458e+01,-1.101834e+01,-5.714340e+00
