Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24
-5.315958e+02,-5.152908e+02,-5.144005e+02,-5.135976e+02,-3.599479e+02,-1.776370e+02,-1.240043e+02,-1.096027e+02,-1.173639e+02,-1.060572e+02,-8.736437e+01,-8.761119e+01,-1.146449e+02,-1.611083e+02,-1.932122e+02,-2.277811e+02,-2.980372e+02,-3.914215e+02,-4.556382e+02,-4.946167e+02,-5.038516e+02,-5.077719e+02,-5.057439e+02,-5.117298e+02
4.520753e+01,5.651062e+01,5.752537e+01,5.670127e+01,9.610366e+01,1.012060e+02,8.597927e+01,5.878381e+01,5.437688e+01,5.414925e+01,7.100073e+01,8.324390e+01,9.253848e+01,1.057179e+02,1.240336e+02,1.393461e+02,1.416100e+02,1.394517e+02,1.014220e+02,7.463362e+01,6.733401e+01,6.092134e+01,6.337775e+01,5.792060e+01
2.391819e+01,1.801521e+01,1.855082e+01,1.589722e+01,-1.643194e+01,-4.709256e+01,-5.907024e+01,-6.886707e+01,-6.495911e+01,-7.308067e+01,-9.217729e+01,-9.334288e+01,-7.070712e+01,-4.892332e+01,-4.319312e+01,-3.633968e+01,-2.354979e+01,-8.767004e+00,-5.567393e-01,1.654630e+01,1.895799e+01,1.320316e+01,1.429104e+01,1.380467e+01
1.169747e+01,4.392400e+00,4.474116e+00,4.450045e+00,2.111145e+01,3.782824e+01,3.558993e+01,2.950920e+01,2.175470e+01,1.889308e+01,8.383030e-01,-1.729161e+01,-1.885825e+01,-2.200591e+01,-2.706217e+01,-3.502969e+01,-4.275846e+01,-4.073087e+01,-2.444762e+01,-3.441800e+00,9.178938e-01,-3.251220e-01,-8.271919e-01,1.926538e-01
1.146660e+01,1.004224e+01,1.021247e+01,1.360679e+01,-2.648729e+01,-5.386147e+01,-5.411247e+01,-4.596412e+01,-3.684560e+01,-3.582568e+01,-3.686585e+01,-3.805199e+01,-3.572916e+01,-4.005060e+01,-3.429929e+01,-2.179096e+01,-1.523470e+01,7.850566e+00,1.234579e+01,9.865531e+00,9.341964e+00,1.167235e+01,1.046220e+01,9.932487e+00
1.111514e+01,9.971376e+00,1.205103e+01,1.498283e+01,2.383126e+00,2.229353e+01,3.481490e+01,5.415605e+01,6.508728e+01,7.911752e+01,8.174954e+01,8.613380e+01,8.737141e+01,8.292449e+01,7.901955e+01,7.262621e+01,5.696430e+01,2.909321e+01,2.646167e+01,1.650858e+01,1.425951e+01,1.562975e+01,1.370947e+01,1.140366e+01
4.119780e+00,2.549137e+00,7.978845e+00,9.144231e+00,-9.373083e+00,-2.699916e+01,-3.638555e+01,-4.582010e+01,-5.148310e+01,-5.069524e+01,-4.745557e+01,-4.854287e+01,-5.477384e+01,-5.379122e+01,-5.708932e+01,-5.361618e+01,-4.031651e+01,-1.022845e+01,8.843685e+00,1.017767e+01,1.087794e+01,9.919801e+00,6.251814e+00,3.589089e+00
-2.678485e+00,-1.946149e+00,4.733801e+00,6.633671e+00,-3.963538e+00,1.303807e+01,2.519177e+01,3.118401e+01,2.843747e+01,1.801418e+01,2.026689e+01,2.549647e+01,2.242693e+01,2.089162e+01,1.169360e+01,6.770342e+00,5.807726e+00,-2.950890e+00,8.369922e-01,7.342540e+00,8.924198e+00,7.824426e+00,2.646523e+00,1.810591e+00
-2.089344e+00,-2.120892e+00,1.337446e+00,3.993150e+00,6.428832e+00,-3.072249e+00,-4.029250e+00,-3.285195e+00,2.860919e+00,9.918578e-01,-1.233917e-01,1.337577e+00,1.123202e+00,3.173793e+00,9.829914e+00,9.734425e+00,8.181875e+00,-5.160897e-01,6.274691e+00,7.065631e+00,7.757101e+00,8.905869e+00,3.554265e+00,4.806607e+00
2.496948e+00,-2.304775e-01,-2.012146e+00,-1.719352e+00,1.083597e+00,2.844961e+00,5.066518e+00,-1.674224e-01,-5.721582e+00,-1.507508e-01,6.563339e-01,-1.148104e+00,-7.031999e-01,-2.695994e+00,-4.866436e+00,-5.723527e+00,-8.777086e+00,-2.292844e+00,3.117720e+00,6.127695e-01,3.832148e+00,8.371044e+00,3.759417e+00,4.308274e+00
3.415590e+00,1.351834e+00,-3.907272e+00,-5.994633e+00,2.365869e+01,2.155420e+01,1.593177e+01,2.411056e+00,-7.811977e+00,-6.008363e+00,4.247557e-01,3.796183e-01,1.349162e+00,5.867912e+00,7.073739e+00,7.730433e+00,5.513453e+00,-8.433158e+00,-7.196675e+00,-6.569959e+00,-8.268669e-01,4.993006e+00,2.200454e+00,1.241088e+00
-4.146850e-02,-1.347298e+00,-7.118262e+00,-7.755104e+00,-9.229002e+00,-1.494762e+01,-1.412633e+01,-2.051962e+01,-2.459312e+01,-3.046679e+01,-2.600767e+01,-2.270265e+01,-2.000314e+01,-2.239390e+01,-2.998507e+01,-3.599949e+01,-3.297536e+01,-1.673459e+01,-9.677197e+00,-6.541989e+00,-4.417359e+00,-1.868382e+00,-2.135019e+00,-1.583986e+00
-2.205465e+00,-5.771719e+00,-9.334435e+00,-7.022103e+00,-1.238063e+01,-1.486432e+01,-1.831110e+01,-2.230735e+01,-2.449918e+01,-2.424496e+01,-2.024525e+01,-1.925019e+01,-9.527017e+00,-1.654942e+00,-1.407834e+00,-5.211627e-02,4.193726e+00,1.925071e+00,-4.550610e+00,-2.263724e+00,-5.840830e+00,-6.890763e+00,-6.291010e+00,-4.040844e+00
