Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.986315e+02,-4.806480e+02,-4.802622e+02,-4.855883e+02,-4.855741e+02,-4.790668e+02,-4.789427e+02,-4.289979e+02,-1.712006e+02,-8.894324e+01,-8.665192e+01,-8.432331e+01,-8.963988e+01,-1.119027e+02,-7.664791e+01,-7.174077e+01,-1.015822e+02,-1.437697e+02,-1.778575e+02,-1.852058e+02,-1.936651e+02,-2.280428e+02,-3.036376e+02,-3.864404e+02,-4.353511e+02,-4.677801e+02,-4.797698e+02,-4.811148e+02
5.659724e+01,6.773257e+01,6.917443e+01,6.346574e+01,6.505987e+01,6.842230e+01,6.785946e+01,7.575949e+01,7.879770e+01,7.077591e+01,6.185876e+01,5.583635e+01,5.332894e+01,7.110130e+01,8.349947e+01,1.024566e+02,1.061793e+02,1.070949e+02,1.134319e+02,1.314894e+02,1.461917e+02,1.542872e+02,1.588022e+02,1.406030e+02,1.038535e+02,7.705734e+01,6.814370e+01,6.805894e+01
2.608220e+01,1.803252e+01,1.852711e+01,1.738111e+01,2.081070e+01,1.667123e+01,1.588572e+01,8.859115e+00,-2.454419e+01,-2.962155e+01,-3.596146e+01,-4.562336e+01,-5.065070e+01,-3.917487e+01,-5.751931e+01,-6.101423e+01,-4.974113e+01,-2.724128e+01,-1.808613e+01,-2.908824e+01,-3.319535e+01,-3.114146e+01,-2.487334e+01,-9.572029e-01,9.764435e+00,1.340377e+01,1.561773e+01,1.858135e+01
7.556589e+00,1.548050e+00,-8.329023e-01,3.316142e+00,5.051579e+00,2.357403e+00,2.408885e+00,1.240759e+01,3.025222e+01,2.923918e+01,2.133920e+01,4.261703e+00,-1.016084e+00,-6.802730e+00,-1.862542e+01,-3.214524e+01,-3.868645e+01,-3.336438e+01,-2.256441e+01,-2.710425e+01,-4.048131e+01,-4.754556e+01,-4.731139e+01,-3.469957e+01,-1.561198e+01,-4.616059e+00,-1.656896e+00,1.326161e+00
5.380964e+00,8.220923e+00,7.363178e+00,1.472205e+01,1.324306e+01,1.441372e+01,1.380754e+01,-4.552593e+00,-5.826356e+01,-6.042878e+01,-4.965891e+01,-4.001379e+01,-3.669531e+01,-2.199391e+01,-2.600810e+01,-3.383636e+01,-3.970218e+01,-3.875423e+01,-2.772763e+01,-2.561738e+01,-2.866677e+01,-2.429280e+01,-8.078796e+00,-9.345031e-01,5.754275e+00,9.134199e+00,1.062159e+01,1.033462e+01
8.040583e+00,9.166086e+00,1.105754e+01,1.689761e+01,1.571008e+01,1.634873e+01,1.502750e+01,5.535554e+00,1.829443e+01,2.627696e+01,4.192245e+01,6.720297e+01,7.322029e+01,7.645532e+01,8.403427e+01,8.066592e+01,7.319504e+01,6.727888e+01,6.602324e+01,6.664544e+01,6.321672e+01,5.717035e+01,3.158326e+01,9.712257e+00,9.312626e+00,1.147645e+01,1.571744e+01,1.380790e+01
9.263320e+00,6.907335e+00,5.597565e+00,6.899599e+00,9.248186e+00,8.719906e+00,8.866075e+00,-2.212425e+00,-3.532569e+01,-4.045309e+01,-4.030933e+01,-4.751616e+01,-4.970740e+01,-4.696560e+01,-4.892773e+01,-5.442883e+01,-5.486328e+01,-4.998906e+01,-5.141261e+01,-5.132336e+01,-4.806924e+01,-4.023906e+01,-1.971045e+01,-1.025645e+00,-4.555379e-01,4.005525e+00,7.939442e+00,9.420593e+00
9.521713e+00,8.478026e+00,3.504856e+00,3.182862e+00,6.737357e+00,5.830598e+00,6.442296e+00,-3.010085e+00,1.333877e+01,2.719203e+01,3.607545e+01,3.236985e+01,3.055254e+01,3.144639e+01,2.824788e+01,2.524586e+01,2.329794e+01,2.816479e+01,2.136940e+01,1.149464e+01,1.035127e+01,1.055429e+01,4.212660e+00,-2.741393e+00,2.832325e+00,2.569666e+00,2.333442e+00,8.452812e+00
8.341371e+00,6.959179e+00,4.545728e+00,7.141500e+00,7.307405e+00,4.229704e+00,3.315656e+00,-5.342492e+00,-2.405502e+01,-2.072558e+01,-1.297571e+01,-1.314205e+01,-1.630149e+01,-1.569779e+01,-1.092130e+01,-5.556816e+00,-5.974785e+00,-8.406413e+00,-5.328664e+00,-2.422038e-02,6.254289e+00,1.154741e+01,6.529145e+00,2.965225e+00,1.055347e+01,2.727047e+00,1.262400e+00,7.611670e+00
3.956348e+00,1.792325e+00,3.079982e+00,7.374351e+00,3.810588e+00,-3.632766e-01,-4.516147e-01,4.013463e+00,1.639793e+01,2.006213e+01,2.016042e+01,2.012427e+01,1.969520e+01,1.518894e+01,1.434964e+01,1.819101e+01,1.608319e+01,6.449105e+00,5.693370e+00,4.098305e+00,3.415636e+00,-1.240882e+00,-3.235234e+00,3.681910e+00,1.035793e+01,7.936773e-01,-2.415301e-01,2.894981e+00
-3.373520e+00,-2.121115e+00,-7.071257e-02,1.137564e+00,-2.091408e+00,-3.842486e+00,-1.503488e+00,1.486760e+01,2.645154e+01,1.701184e+01,6.989185e+00,-4.053359e+00,-8.772600e+00,-8.882482e+00,-6.104349e+00,-4.479569e+00,-3.719981e+00,4.706379e-01,5.114756e+00,1.226820e+01,7.774653e+00,4.081488e+00,1.895049e-01,8.713520e-01,5.467795e+00,-8.913944e-01,-2.450246e+00,-5.672827e-01
-9.232035e+00,-6.091755e+00,-3.991538e+00,-6.240933e+00,-5.459841e+00,-5.462977e+00,-3.927815e+00,-3.216918e+00,-4.376102e+00,-5.351971e+00,-5.249938e+00,-8.935123e+00,-9.670419e+00,-1.184929e+00,-4.076603e-01,-2.287452e-01,-1.424752e+00,-2.199914e+00,-1.168307e+01,-1.986469e+01,-2.740186e+01,-2.924137e+01,-2.075722e+01,-2.116921e+00,-3.454370e+00,-6.352666e+00,-5.052663e+00,-1.806943e+00
-7.555376e+00,-7.671871e+00,-7.245253e+00,-8.660118e+00,-3.738805e+00,-4.330736e+00,-5.001936e+00,-9.409881e+00,-1.953973e+01,-2.858884e+01,-3.158918e+01,-3.355710e+01,-3.709596e+01,-2.988245e+01,-2.572609e+01,-1.810571e+01,-1.438511e+01,-1.047524e+01,-3.007004e+00,-1.291517e+00,2.298846e-01,2.878128e+00,1.732986e+00,-8.808664e+00,-1.334555e+01,-1.245139e+01,-5.888466e+00,-3.281839e+00
