Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.225209e+02,-5.070679e+02,-5.066896e+02,-5.094590e+02,-5.088919e+02,-5.014145e+02,-3.872518e+02,-2.304027e+02,-1.382029e+02,-1.108085e+02,-9.816295e+01,-1.018737e+02,-1.164759e+02,-1.291039e+02,-1.432544e+02,-1.737746e+02,-2.247504e+02,-2.743858e+02,-3.354267e+02,-4.154972e+02,-4.702518e+02,-4.993326e+02,-5.005438e+02,-5.043203e+02,-5.106359e+02,-5.133345e+02,-5.171718e+02
3.582060e+01,4.874115e+01,5.418774e+01,5.413910e+01,5.346676e+01,5.270388e+01,6.451904e+01,9.356776e+01,1.179404e+02,1.132167e+02,9.065276e+01,8.743605e+01,9.108385e+01,9.694771e+01,1.094208e+02,1.124647e+02,1.120408e+02,1.194480e+02,1.307880e+02,1.289718e+02,8.868791e+01,6.061717e+01,5.816600e+01,5.449699e+01,5.173410e+01,5.534398e+01,5.384814e+01
1.304982e+01,1.435268e+01,1.905075e+01,2.030589e+01,2.310480e+01,1.992487e+01,-3.564857e+01,-6.141811e+01,-9.282663e+01,-1.108884e+02,-1.130733e+02,-1.034654e+02,-8.944511e+01,-9.057137e+01,-7.918134e+01,-6.165321e+01,-3.854808e+01,-2.335248e+01,-1.222103e+01,-4.256332e-01,4.511580e+00,1.133918e+01,1.312285e+01,1.561010e+01,1.701461e+01,2.103136e+01,2.299733e+01
9.213120e+00,8.009830e+00,5.716439e+00,6.250980e+00,1.165505e+01,1.775323e+01,2.384213e+01,1.194063e+01,-4.125815e+00,1.752185e+00,1.280498e+01,9.523006e+00,-6.120359e+00,-1.474840e+01,-1.782863e+01,-2.886018e+01,-3.525727e+01,-3.824889e+01,-5.146169e+01,-4.777914e+01,-2.805287e+01,-3.266239e+00,3.096394e+00,7.653661e+00,6.112367e+00,3.816615e+00,5.628201e+00
-3.476877e+00,-3.480512e+00,-4.485289e+00,-6.750849e-01,-1.813946e+00,-2.729552e+00,-8.754050e+00,-2.190448e+01,-2.211209e+01,-2.501765e+01,-3.317764e+01,-3.349072e+01,-3.335727e+01,-3.702234e+01,-4.019577e+01,-3.822263e+01,-3.276031e+01,-1.988250e+01,-1.581544e+01,-9.822696e+00,-2.430668e+00,2.811698e+00,4.354482e+00,3.839751e+00,2.815408e+00,5.343878e+00,8.314333e+00
7.100039e+00,9.886047e+00,9.062453e+00,9.020409e+00,8.419182e+00,9.327505e+00,2.329319e+01,3.590766e+01,4.339701e+01,5.123859e+01,6.291451e+01,7.324287e+01,8.567783e+01,8.372331e+01,8.390946e+01,8.129375e+01,7.226673e+01,6.259354e+01,4.665165e+01,2.359615e+01,2.444415e+01,1.878887e+01,1.763284e+01,1.897321e+01,1.501396e+01,1.365141e+01,1.492101e+01
1.074035e+01,1.301072e+01,1.280762e+01,9.094204e+00,1.317935e+01,2.180518e+01,1.845941e+01,1.679673e+00,-6.915531e+00,-1.147772e+01,-2.425924e+01,-3.056984e+01,-3.268475e+01,-3.400089e+01,-3.678128e+01,-3.903851e+01,-3.573633e+01,-3.788242e+01,-2.927670e+01,5.030564e+00,1.823289e+01,1.962144e+01,2.037800e+01,2.628400e+01,1.904471e+01,1.392003e+01,1.308525e+01
-5.614746e+00,-6.217322e+00,-3.259284e+00,-4.446270e+00,-2.626101e+00,-2.072835e+00,-8.931864e+00,-1.264146e+01,-8.380824e+00,-4.341730e+00,7.992082e-01,-8.478555e-01,-1.324377e+00,4.841109e-01,3.701125e+00,7.551108e+00,1.256623e+01,7.930499e+00,1.188731e+00,-4.789545e+00,7.947044e-01,-1.100497e-01,-4.496456e-01,3.738134e+00,2.957759e+00,6.835432e+00,6.901318e+00
5.661424e+00,5.673395e+00,3.556657e+00,-7.651439e-01,1.124974e+00,3.529538e+00,1.234490e+01,-6.627461e+00,-8.254089e+00,-4.299573e+00,6.220474e+00,7.961524e+00,4.976726e+00,4.700627e+00,4.683290e+00,9.625014e-01,-2.752151e+00,-4.870131e+00,-5.707504e+00,-3.339568e+00,1.353080e+00,-7.989085e-01,-4.245424e-01,3.530030e+00,6.082547e+00,5.752405e+00,3.724380e+00
9.301981e+00,9.617822e+00,5.973645e+00,1.362858e+00,3.367191e+00,1.169760e+01,1.694418e+01,2.302742e+00,-1.051860e+01,-1.884040e+01,-2.441921e+01,-1.475206e+01,-2.769006e+00,1.626418e+00,4.589176e-02,-2.678830e+00,-7.698467e-01,-9.427221e-01,9.071872e-01,8.814359e+00,9.541290e+00,8.119541e+00,8.755440e+00,1.180887e+01,1.145098e+01,5.099613e+00,2.101718e+00
