Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.248563e+02,-5.125442e+02,-5.091442e+02,-5.015004e+02,-5.021470e+02,-5.085699e+02,-5.131963e+02,-5.168026e+02,-4.186935e+02,-1.990546e+02,-1.023158e+02,-7.661449e+01,-8.298828e+01,-1.022818e+02,-7.472231e+01,-6.561140e+01,-7.578460e+01,-1.058607e+02,-1.472032e+02,-1.969214e+02,-2.929858e+02,-3.992417e+02,-4.564868e+02,-4.888822e+02,-5.023913e+02,-5.056960e+02,-5.070553e+02,-5.136931e+02
4.988262e+01,5.972776e+01,5.935265e+01,6.477855e+01,6.648460e+01,6.203303e+01,5.623364e+01,5.110077e+01,5.497097e+01,7.565971e+01,6.357226e+01,3.798777e+01,2.522198e+01,2.409587e+01,1.677651e+01,2.008622e+01,3.073265e+01,4.406018e+01,6.349703e+01,7.111330e+01,9.194910e+01,1.122833e+02,9.404456e+01,7.515950e+01,6.474345e+01,6.287024e+01,6.082635e+01,5.680220e+01
2.810539e+01,2.684772e+01,1.963646e+01,1.672569e+01,2.123871e+01,2.348645e+01,2.036152e+01,1.654047e+01,-5.791504e+00,-3.040995e+01,-4.265157e+01,-3.764251e+01,-3.428631e+01,-2.880276e+01,-3.111469e+01,-3.671154e+01,-4.179325e+01,-3.396444e+01,-1.961307e+01,-8.871740e+00,-3.352673e+00,1.031579e+00,1.589012e+00,1.351090e+01,1.896572e+01,2.151048e+01,1.788803e+01,2.132380e+01
1.353105e+01,1.187708e+01,7.426353e+00,3.731396e+00,4.755319e+00,6.620432e+00,7.561076e+00,7.504257e+00,2.043178e+01,-8.070623e+00,-1.177436e+01,-2.077891e+00,-1.177059e+00,-1.327705e+01,-1.221882e+01,-1.825080e+01,-2.722820e+01,-2.313401e+01,-1.473161e+01,-1.258820e+01,-1.304352e+01,-1.528591e+01,-1.269174e+01,-4.156235e+00,5.877795e+00,8.692656e+00,2.982861e+00,5.610949e+00
1.155883e+01,1.439791e+01,1.771784e+01,1.843308e+01,1.357271e+01,1.134650e+01,1.499518e+01,1.826116e+01,1.971565e+00,-1.053411e+01,-1.863991e+01,-1.957724e+01,-1.397262e+01,-1.488564e+01,-1.712424e+01,-2.050040e+01,-2.682959e+01,-2.702703e+01,-2.037524e+01,-1.170781e+01,-4.089584e-01,1.067400e+01,2.019106e+01,1.743142e+01,1.729960e+01,1.703934e+01,1.304548e+01,1.125494e+01
1.245217e+01,1.407166e+01,1.888635e+01,2.118404e+01,1.705429e+01,1.465443e+01,1.779495e+01,2.039087e+01,1.017391e+01,2.340837e+01,3.758571e+01,6.004014e+01,7.111739e+01,7.832906e+01,8.377487e+01,8.520757e+01,8.294422e+01,8.262545e+01,8.077112e+01,7.244498e+01,5.984505e+01,3.751091e+01,2.789371e+01,2.784755e+01,1.842336e+01,1.642472e+01,1.696083e+01,1.520616e+01
7.613225e+00,6.478076e+00,6.794950e+00,7.111860e+00,9.661905e+00,9.924540e+00,1.086412e+01,1.022574e+01,1.552331e+01,-1.440775e+01,-2.940129e+01,-3.910567e+01,-3.957455e+01,-4.386847e+01,-4.419675e+01,-4.311256e+01,-4.586949e+01,-5.034163e+01,-4.984186e+01,-4.131365e+01,-2.983154e+01,-8.956142e+00,6.372313e+00,1.399694e+01,7.168052e+00,5.511755e+00,7.341632e+00,7.667748e+00
1.935428e-01,1.861336e+00,3.106007e-01,-8.811329e-01,4.542568e+00,5.391908e+00,5.207030e+00,2.599363e+00,3.546007e+00,4.159511e+00,1.471914e+01,2.145444e+01,2.251495e+01,1.655634e+01,1.877984e+01,1.839272e+01,2.325696e+01,2.345276e+01,2.757867e+01,3.013139e+01,2.433967e+01,6.334678e+00,1.436105e+00,1.512873e+00,1.055664e+00,-7.492591e-01,-9.506544e-01,-1.124128e+00
-2.544956e+00,2.397682e+00,3.795708e+00,3.047177e+00,4.249206e+00,4.351456e+00,4.665895e+00,1.067772e+00,-2.311264e+01,-2.469689e+01,-2.659212e+01,-2.064138e+01,-1.741105e+01,-1.062045e+01,-5.889280e+00,-1.091414e+01,-1.066337e+01,-1.203971e+01,-1.325280e+01,-1.184891e+01,-1.020919e+01,-3.379974e-01,3.746118e+00,1.821141e+00,1.928419e+00,-3.364823e-01,-8.870468e-01,-1.964497e+00
-8.076017e-01,1.074920e+00,5.003265e+00,6.057730e+00,3.173913e+00,4.259179e+00,4.847111e+00,-8.121978e-01,6.106087e+00,-3.558347e+00,-7.509515e+00,-4.214101e+00,-4.550601e+00,-3.611542e+00,3.737304e+00,6.817890e+00,3.726248e+00,-1.645852e+00,-2.292110e+00,-5.364664e+00,-7.834182e+00,-7.815405e+00,8.083118e-01,3.692155e+00,2.408503e+00,1.426911e+00,1.585701e+00,1.441656e+00
