Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-5.494622e+02,-5.259564e+02,-5.031721e+02,-4.928360e+02,-5.079671e+02,-3.410632e+02,-1.771204e+02,-1.103897e+02,-1.072134e+02,-9.238634e+01,-9.645381e+01,-1.338618e+02,-1.514135e+02,-1.579052e+02,-1.506612e+02,-1.378389e+02,-1.315322e+02,-1.310455e+02,-1.065360e+02,-7.342157e+01,-5.375682e+01,-4.764328e+01,-6.703422e+01,-1.011712e+02,-1.064221e+02,-1.122094e+02,-1.506525e+02,-2.292153e+02,-3.196683e+02,-4.191213e+02,-4.813082e+02,-5.089917e+02,-5.147703e+02,-5.236976e+02,-5.258499e+02,-5.272091e+02,-5.277164e+02,-5.295002e+02,-5.328755e+02,-5.383795e+02
3.142539e+01,4.846373e+01,4.854449e+01,5.225655e+01,4.899131e+01,8.394367e+01,7.541641e+01,7.381816e+01,7.628941e+01,8.996870e+01,8.078720e+01,6.881857e+01,6.901003e+01,6.530859e+01,6.362546e+01,6.855122e+01,6.882035e+01,6.376972e+01,6.329754e+01,6.732547e+01,6.589317e+01,5.069767e+01,4.042667e+01,3.825237e+01,5.570990e+01,7.261307e+01,8.132381e+01,1.033143e+02,1.232239e+02,1.141176e+02,7.790602e+01,5.700195e+01,5.488545e+01,4.875200e+01,4.969383e+01,4.984154e+01,5.067454e+01,4.986242e+01,4.607807e+01,4.109070e+01
1.565449e+01,1.394946e+01,-3.271377e-01,-4.503660e+00,1.232410e+00,-8.285769e-01,-1.753878e+01,-2.820499e+01,-4.536214e+01,-7.273708e+01,-6.613829e+01,-3.852076e+01,-2.666028e+01,-2.687510e+01,-2.976426e+01,-3.151350e+01,-3.415403e+01,-4.154156e+01,-5.829691e+01,-7.466359e+01,-7.853424e+01,-8.456583e+01,-8.502249e+01,-8.066136e+01,-8.616624e+01,-9.600430e+01,-8.974359e+01,-7.418585e+01,-6.180356e+01,-3.822080e+01,-1.305851e+01,-3.824347e+00,2.134427e+00,6.224867e+00,1.315784e+01,1.465894e+01,1.750828e+01,1.896790e+01,1.691514e+01,1.641581e+01
5.292257e+00,4.845932e+00,2.243203e+01,2.746351e+01,1.796044e+01,4.764830e+01,3.535640e+01,2.742621e+00,-2.253559e+01,-4.655448e+01,-4.814294e+01,-3.804797e+01,-4.448212e+01,-4.251189e+01,-4.186551e+01,-3.892646e+01,-3.990257e+01,-4.233035e+01,-4.149260e+01,-3.899723e+01,-3.809216e+01,-3.066610e+01,-2.024246e+01,-2.144976e+01,-2.992479e+01,-2.577248e+01,-2.844667e+01,-3.210427e+01,-4.118454e+01,-4.367276e+01,-2.577763e+01,-1.107576e+01,-7.569908e+00,-3.285015e+00,3.122924e+00,4.794733e+00,6.570024e+00,7.089812e+00,5.815427e+00,6.466163e+00
4.889660e+00,6.343719e+00,1.318709e+01,1.816401e+01,1.598679e+01,-2.163508e+01,-3.451987e+01,-3.450471e+01,-1.950976e+01,-2.139607e+01,-1.844754e+01,-7.124741e+00,-7.941411e+00,-6.880915e+00,-8.513912e+00,-6.155660e+00,-3.772614e+00,-4.305632e+00,-2.468117e+00,-7.277426e+00,-1.159689e+01,-1.269358e+01,-1.238393e+01,-1.921829e+01,-2.281690e+01,-2.156579e+01,-1.692949e+01,-2.374639e+00,1.535666e+01,2.364052e+01,1.670465e+01,1.682099e+01,1.318831e+01,1.163977e+01,1.509508e+01,1.774868e+01,1.588246e+01,1.325641e+01,1.231657e+01,1.226209e+01
7.930076e+00,9.764107e+00,-1.638234e-03,-2.117059e+00,3.455116e+00,-1.757407e+01,3.050883e-01,1.423983e+01,2.884950e+01,3.296939e+01,3.764797e+01,4.329298e+01,4.996672e+01,5.097679e+01,5.314091e+01,5.879762e+01,5.725584e+01,5.155187e+01,5.157432e+01,4.893884e+01,5.213254e+01,5.636786e+01,6.380167e+01,7.197629e+01,7.405566e+01,7.054248e+01,6.659645e+01,6.189937e+01,4.721516e+01,3.014315e+01,3.010614e+01,2.620905e+01,2.148344e+01,1.858965e+01,2.250207e+01,2.475832e+01,1.991793e+01,1.558061e+01,1.593410e+01,1.665780e+01
7.580057e+00,1.060847e+01,2.422456e+01,2.777073e+01,2.106917e+01,-1.864109e+01,-2.481658e+01,-2.314247e+01,-3.159988e+01,-4.038161e+01,-4.438017e+01,-4.558469e+01,-4.439409e+01,-5.176230e+01,-5.459670e+01,-5.218145e+01,-4.967892e+01,-4.608881e+01,-4.265542e+01,-4.133804e+01,-4.011720e+01,-4.033966e+01,-4.167958e+01,-4.302158e+01,-3.791080e+01,-3.560329e+01,-3.465586e+01,-2.926779e+01,-1.672113e+01,-2.623505e+00,9.243317e+00,1.468572e+01,1.391531e+01,1.200627e+01,1.349451e+01,1.620374e+01,1.209399e+01,9.214801e+00,1.086647e+01,1.251863e+01
4.418000e+00,8.331078e-02,6.225988e+00,1.216595e+01,1.027352e+01,1.601805e+00,1.709591e+01,1.626208e+01,1.618260e+01,1.806897e+01,2.209022e+01,2.202790e+01,2.127659e+01,1.930373e+01,2.128410e+01,2.471825e+01,2.884512e+01,3.386195e+01,3.372675e+01,3.037222e+01,3.077265e+01,3.304583e+01,3.477934e+01,3.167323e+01,3.021573e+01,2.545334e+01,1.857452e+01,1.255065e+01,6.984372e+00,-6.867157e-01,-9.146037e-01,5.198533e+00,9.122152e+00,8.068893e+00,3.323713e+00,5.336727e+00,5.863329e+00,5.881900e+00,6.314732e+00,6.830146e+00
2.560518e+00,-2.995351e+00,-1.772805e+01,-2.013760e+01,-1.540526e+01,-1.311850e+01,-2.239133e+01,-2.494223e+01,-1.505845e+01,-1.295666e+00,8.795405e-01,4.328526e+00,8.953793e+00,5.703710e+00,7.040633e+00,6.474231e+00,3.208129e+00,7.548171e-01,-3.528718e+00,-6.883883e+00,-8.480498e+00,-1.256215e+01,-1.299131e+01,-1.695689e+01,-1.957404e+01,-2.066003e+01,-2.056218e+01,-1.333866e+01,-5.174654e+00,6.005037e+00,3.597509e+00,1.759666e+00,7.960377e+00,7.622158e+00,1.236436e+00,2.604182e+00,7.465832e+00,8.147530e+00,5.167146e+00,4.298779e+00
2.521771e+00,6.528307e+00,1.382747e+01,1.389164e+01,5.858113e+00,1.738037e+01,1.808359e+01,9.940677e+00,2.760804e+00,1.038124e+00,1.483013e+00,3.824232e-01,7.535176e+00,5.617216e+00,3.982396e+00,4.892748e+00,3.957512e+00,5.880140e+00,9.269697e+00,1.110173e+01,1.344039e+01,1.485559e+01,1.241495e+01,9.787868e+00,8.780544e+00,5.917792e+00,1.675220e+00,-9.238902e+00,-1.485021e+01,-3.663148e+00,9.670195e-01,8.259314e-01,4.345110e+00,3.216084e+00,1.121513e+00,4.835073e+00,1.005797e+01,8.379810e+00,3.599197e+00,2.811901e+00
