Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.136611e+02,-4.979139e+02,-4.984477e+02,-4.975020e+02,-2.958279e+02,-1.499409e+02,-1.004074e+02,-1.144832e+02,-9.912893e+01,-9.650281e+01,-8.989967e+01,-8.333681e+01,-1.053095e+02,-1.157711e+02,-1.261725e+02,-1.225739e+02,-1.213787e+02,-1.216698e+02,-1.036942e+02,-8.520470e+01,-6.786002e+01,-5.503606e+01,-5.397345e+01,-6.882500e+01,-1.040411e+02,-1.792419e+02,-2.792195e+02,-3.798840e+02,-4.413292e+02,-4.607145e+02,-4.622484e+02,-4.698611e+02,-4.855281e+02,-4.972791e+02,-4.957952e+02,-4.919221e+02,-4.928181e+02,-5.071998e+02
3.591545e+01,5.060765e+01,4.943246e+01,4.686876e+01,6.883266e+01,7.202522e+01,8.389337e+01,9.019627e+01,9.686241e+01,9.246854e+01,8.243143e+01,7.494550e+01,6.853321e+01,6.687261e+01,6.533842e+01,6.549330e+01,6.188977e+01,6.187559e+01,6.003010e+01,5.933829e+01,6.333900e+01,6.087673e+01,5.319193e+01,5.798373e+01,7.464472e+01,9.114641e+01,1.141910e+02,1.188598e+02,8.548517e+01,6.362902e+01,6.029937e+01,5.814882e+01,5.184658e+01,4.774844e+01,5.224096e+01,5.654163e+01,5.432890e+01,3.924391e+01
1.657467e+01,1.769270e+01,1.654968e+01,1.302180e+01,-9.805223e+00,-2.483728e+01,-3.556824e+01,-4.034584e+01,-5.605330e+01,-5.314278e+01,-5.245404e+01,-5.407943e+01,-4.274181e+01,-3.851376e+01,-3.094280e+01,-2.991867e+01,-3.560212e+01,-3.448852e+01,-4.127237e+01,-5.509770e+01,-6.558118e+01,-6.892935e+01,-7.119505e+01,-7.352866e+01,-7.435825e+01,-6.124227e+01,-4.558423e+01,-2.768948e+01,-1.022785e+01,-7.904543e+00,-8.493715e+00,-2.933483e+00,3.189394e+00,1.138894e+01,1.846550e+01,1.904082e+01,1.555685e+01,1.011824e+01
5.771638e+00,1.376237e+00,1.528716e+00,2.988564e+00,2.374069e+01,1.777919e+01,-2.909984e+00,-1.549502e+01,-2.749554e+01,-2.598448e+01,-2.412143e+01,-2.803477e+01,-2.511427e+01,-2.548021e+01,-2.357412e+01,-2.317251e+01,-2.405980e+01,-2.081375e+01,-2.314743e+01,-3.007262e+01,-3.361454e+01,-3.243391e+01,-2.989110e+01,-2.745003e+01,-2.441145e+01,-2.383254e+01,-2.438018e+01,-3.158072e+01,-2.380288e+01,-7.273529e+00,-4.949787e+00,-4.718160e+00,-6.130496e+00,-2.991831e-01,4.596685e+00,9.254806e-01,-1.682918e+00,-2.365478e+00
7.532833e+00,6.333977e+00,6.950270e+00,7.183618e+00,-1.525186e+01,-2.357444e+01,-2.394341e+01,-1.878897e+01,-3.001477e+01,-3.028332e+01,-2.969866e+01,-3.094843e+01,-2.554581e+01,-2.352434e+01,-1.776856e+01,-1.587709e+01,-1.456887e+01,-1.056862e+01,-1.429486e+01,-1.394337e+01,-1.595835e+01,-2.117044e+01,-2.500003e+01,-2.586474e+01,-1.765343e+01,-5.852476e+00,2.773202e+00,9.993401e+00,1.122296e+01,1.554850e+01,1.534749e+01,1.127780e+01,8.528320e+00,1.149752e+01,1.127899e+01,7.278611e+00,7.889537e+00,6.691731e+00
1.083585e+01,1.297568e+01,1.223888e+01,1.117011e+01,-2.561691e+00,1.369233e+01,2.629623e+01,3.932506e+01,4.501438e+01,4.596156e+01,4.595374e+01,4.562764e+01,4.945908e+01,4.978337e+01,5.183342e+01,5.263544e+01,5.340244e+01,5.392940e+01,5.206731e+01,5.285919e+01,5.311391e+01,5.417441e+01,5.449838e+01,5.359299e+01,5.221388e+01,4.094209e+01,2.301721e+01,7.340624e+00,1.798443e+01,1.777852e+01,1.871695e+01,1.846482e+01,1.768202e+01,1.864612e+01,1.550847e+01,1.547061e+01,1.934742e+01,1.774629e+01
7.282571e+00,9.685151e+00,8.310595e+00,1.230150e+01,-2.684531e+01,-3.255368e+01,-3.151739e+01,-3.204794e+01,-4.269646e+01,-4.648002e+01,-4.570792e+01,-4.773230e+01,-4.691810e+01,-4.891188e+01,-5.137085e+01,-5.098495e+01,-5.062592e+01,-5.158819e+01,-5.085627e+01,-4.646580e+01,-4.665817e+01,-4.599592e+01,-4.191304e+01,-4.062865e+01,-3.307067e+01,-2.781883e+01,-2.285961e+01,-8.939587e+00,2.774728e+00,7.541955e+00,9.395650e+00,1.218933e+01,1.044098e+01,1.067226e+01,9.528492e+00,1.279881e+01,1.684419e+01,1.660525e+01
1.177574e+00,3.275937e+00,3.409047e+00,6.444010e+00,2.198960e+00,1.268064e+01,1.656933e+01,1.831309e+01,1.807701e+01,2.145356e+01,2.239912e+01,2.312063e+01,2.449471e+01,2.598976e+01,2.688411e+01,2.895386e+01,3.080783e+01,3.326989e+01,3.261964e+01,3.287809e+01,3.127783e+01,2.971831e+01,3.092612e+01,3.040977e+01,2.855438e+01,2.769513e+01,2.036383e+01,7.059490e+00,-8.683160e-02,7.451802e+00,5.250998e+00,5.566501e+00,4.386193e+00,2.315108e+00,4.406493e+00,7.406030e+00,7.052262e+00,7.796566e+00
2.265506e-01,1.536806e+00,2.968370e+00,8.139771e-01,-9.129904e+00,-1.960139e+01,-1.988167e+01,-5.147641e+00,9.393904e+00,1.120716e+01,9.187820e+00,1.133003e+01,1.105797e+01,8.075607e+00,5.919168e+00,5.499070e+00,3.098240e+00,1.037956e+00,-1.396451e+00,-3.653692e+00,-7.823233e+00,-1.001568e+01,-9.453416e+00,-1.101743e+01,-1.057223e+01,-1.040574e+01,-1.373960e+00,8.971287e+00,5.638633e+00,5.059584e+00,-1.896950e+00,-1.370132e+00,3.298965e+00,2.113127e+00,5.761190e+00,6.643353e+00,2.535699e-01,8.857823e-01
3.560011e+00,2.276889e+00,3.256934e+00,4.196697e+00,2.944715e+01,1.575159e+01,6.723931e+00,3.222235e+00,6.585570e+00,7.021788e+00,4.925207e+00,5.390868e+00,3.403178e+00,1.265480e+00,-7.533661e-01,1.755503e+00,5.084196e+00,8.588079e+00,5.794019e+00,8.098494e+00,9.173439e+00,8.477692e+00,1.047628e+01,5.029199e+00,-6.396683e+00,-1.207666e+01,-1.271100e+01,-4.810652e+00,7.782835e+00,2.181728e-01,-9.574011e+00,-8.516729e+00,-1.383502e+00,3.317336e+00,7.527604e+00,6.115879e+00,-2.319715e+00,-2.011245e+00
4.338719e+00,9.869198e-01,1.646165e+00,5.536736e+00,2.896846e+01,1.527391e+01,2.363588e+00,-5.153093e+00,-7.925768e+00,-8.219645e+00,-1.046140e+01,-9.769436e+00,-8.970369e+00,-8.247459e+00,-7.831421e+00,-1.010933e+01,-1.093447e+01,-1.169525e+01,-1.811277e+01,-1.619349e+01,-1.268731e+01,-1.401252e+01,-1.389996e+01,-1.338739e+01,-1.394739e+01,-1.232463e+01,-5.780216e+00,-4.360428e+00,5.462813e+00,8.872688e+00,5.192769e+00,5.092688e+00,2.311252e+00,2.371517e+00,5.102451e+00,2.056907e+00,-2.964845e+00,-2.995405e+00
6.158546e-01,-1.818200e+00,-4.598125e-01,-3.342770e-01,1.965698e+00,-1.567262e+00,-9.822968e+00,-1.363490e+01,-1.389678e+01,-1.292657e+01,-1.042354e+01,-9.903736e+00,-9.763694e+00,-9.965778e+00,-6.886057e+00,-5.600852e+00,-8.492063e+00,-7.733244e+00,-5.750084e+00,-1.574254e+00,-4.361628e+00,-8.292605e+00,-4.700514e+00,-1.011671e+01,-1.666018e+01,-1.715156e+01,-1.552022e+01,-7.388059e+00,-1.865983e+00,1.632528e+00,3.625764e+00,7.738876e+00,5.038071e+00,5.829449e-01,5.441711e-01,-1.318215e+00,-2.425246e+00,-2.780538e+00
-2.414626e+00,-3.157413e+00,-2.252821e+00,-1.461186e+00,-1.166190e+01,-2.272159e+01,-3.514384e+01,-3.153339e+01,-1.138148e+01,-5.146914e+00,-2.804327e+00,-3.546750e+00,-2.764066e+00,-2.308295e+00,-1.464810e+00,8.972051e-01,-7.129146e-01,-9.214125e-01,-2.311361e+00,-4.425975e+00,-8.450535e+00,-1.604358e+01,-1.552864e+01,-1.628340e+01,-1.736010e+01,-1.626653e+01,-1.261172e+01,-1.008381e+01,-7.852007e+00,-1.204410e+01,-1.424117e+01,-5.873961e+00,-3.885258e-01,-1.431186e+00,-2.220802e+00,-4.593045e-01,-1.372383e+00,-1.645303e+00
