Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.201639e+02,-3.545227e+02,-2.665092e+02,-2.197996e+02,-1.868593e+02,-1.667599e+02,-1.452112e+02,-1.290834e+02,-1.440056e+02,-1.920248e+02,-2.700914e+02,-3.587150e+02,-4.297379e+02,-4.723119e+02,-5.021812e+02,-5.280318e+02,-5.390481e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02,-5.391119e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.363548e+00,7.262758e+01,1.318866e+02,1.639910e+02,1.471069e+02,1.414871e+02,1.863714e+02,2.163080e+02,2.300317e+02,2.332653e+02,2.148966e+02,1.733613e+02,1.178598e+02,7.568367e+01,4.456994e+01,1.454250e+01,8.916894e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.365639e+01,-7.269670e+01,-7.514795e+01,-9.773007e+01,-9.422049e+01,-1.021074e+02,-1.209214e+02,-9.787962e+01,-6.928618e+01,-3.659215e+01,-7.035983e-01,2.886300e+01,3.920683e+01,3.409077e+01,2.651372e+01,1.150110e+01,8.575651e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.751503e+00,7.344544e+00,4.032236e+00,-3.490331e+01,-4.962325e+01,-4.628447e+01,-5.685185e+01,-5.956755e+01,-5.442184e+01,-5.771374e+01,-6.641068e+01,-5.410237e+01,-1.926845e+01,-6.404772e-01,8.594427e+00,7.393502e+00,8.016790e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.284816e+01,1.867062e+01,4.195412e+00,-1.453202e+01,-1.987845e+01,-2.840239e+01,-5.646273e+01,-7.775505e+01,-8.217761e+01,-7.475513e+01,-7.057355e+01,-5.430336e+01,-2.709452e+01,-1.166117e+01,-1.623101e+00,3.184921e+00,7.253999e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.444802e+00,4.738825e+00,-4.455295e+00,-7.048660e+00,-4.232653e+00,-7.751394e+00,-1.014747e+01,-1.328501e+01,-1.515014e+01,-1.405812e+01,-1.342969e+01,-7.924695e+00,-6.829763e+00,-6.309322e+00,-4.448882e+00,-3.886918e-01,6.307445e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.981048e+00,1.247963e+00,-2.501110e+00,-5.247537e+00,-9.180382e+00,-3.711022e+00,1.129177e+00,-1.316483e+00,4.031364e+00,8.482562e+00,5.023638e+00,6.874705e+00,2.347477e+00,-2.025621e+00,-5.309753e+00,-2.944994e+00,5.200401e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.164009e-01,-3.130317e+00,-5.498878e+00,-1.071497e+01,-1.523113e+01,-2.200508e+01,-3.113220e+01,-4.363932e+01,-5.297586e+01,-4.716716e+01,-3.235490e+01,-1.742867e+01,-9.945960e+00,-6.063112e+00,-8.039530e+00,-4.386923e+00,3.961402e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.738328e-01,9.204428e+00,1.039439e+01,2.986259e+00,-1.388821e+01,-1.785074e+01,-1.322143e+01,-1.411202e+01,-2.382818e+01,-2.771365e+01,-2.299159e+01,-2.301180e+01,-2.228618e+01,-1.151588e+01,-1.129389e+01,-4.796110e+00,2.621480e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.994232e+00,-9.946861e-01,-1.431249e+01,-7.558225e+00,4.463641e+00,5.846332e+00,-6.432053e-01,1.295882e+00,-2.553523e+00,-8.662769e+00,-8.821039e+00,-9.972755e+00,-1.545040e+01,-9.966356e+00,-1.116724e+01,-4.390989e+00,1.215481e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
