Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.112867e+02,-4.947233e+02,-4.915623e+02,-4.558016e+02,-3.962166e+02,-3.655128e+02,-3.627937e+02,-3.807180e+02,-3.754818e+02,-2.444381e+02,-1.729248e+02,-1.556397e+02,-1.597945e+02,-1.835733e+02,-1.663000e+02,-1.308400e+02,-1.381305e+02,-1.827373e+02,-2.528471e+02,-3.291125e+02,-3.958959e+02,-4.550768e+02,-4.920683e+02,-4.938702e+02,-4.918861e+02,-4.918379e+02,-4.982167e+02,-5.011933e+02,-4.937722e+02,-4.974730e+02
3.889614e+01,5.306515e+01,5.444084e+01,9.426730e+01,1.368695e+02,1.540838e+02,1.570851e+02,1.509311e+02,1.495949e+02,1.732843e+02,1.634181e+02,1.429049e+02,1.360194e+02,1.368390e+02,1.204047e+02,1.079011e+02,1.170373e+02,1.423405e+02,1.690702e+02,1.724332e+02,1.475152e+02,9.527513e+01,5.799856e+01,5.408952e+01,5.473813e+01,5.322887e+01,4.802477e+01,4.597697e+01,5.367091e+01,5.200885e+01
2.025342e+01,1.892060e+01,1.555581e+01,3.726474e+01,4.589177e+01,4.157438e+01,3.556566e+01,3.962403e+01,3.116150e+01,-1.677250e+01,-4.525957e+01,-6.858582e+01,-6.847115e+01,-5.797231e+01,-5.016425e+01,-3.969269e+01,-2.150328e+01,-8.923523e+00,3.870671e+00,2.334231e+01,2.997677e+01,2.945772e+01,2.317060e+01,1.836918e+01,1.590231e+01,1.193333e+01,1.287776e+01,1.423196e+01,1.660477e+01,2.082777e+01
9.899174e+00,4.246799e+00,6.977178e-01,1.197994e+01,2.586383e+01,2.754565e+01,2.317539e+01,2.022399e+01,2.334964e+01,1.914195e+01,7.061940e+00,-1.608158e+00,-7.194010e+00,-1.603541e+01,-3.053141e+01,-4.571422e+01,-5.249793e+01,-5.416234e+01,-4.217134e+01,-3.480563e+01,-2.929848e+01,-1.177861e+01,2.394326e+00,8.367896e-01,-1.086162e+00,-4.102122e+00,-2.296127e+00,-1.242349e+00,-1.659496e+00,3.404078e+00
1.134378e+01,1.054996e+01,9.805625e+00,1.211191e+01,7.259655e+00,2.786142e+00,1.095337e+01,2.043545e+01,2.712857e+01,-1.087270e+00,4.267233e-01,1.424616e+00,4.724246e+00,7.791698e+00,-8.081412e+00,-1.555989e+01,-2.333936e+01,-2.928746e+01,-2.480621e+01,-1.437874e+01,-1.461452e+01,-1.075051e+01,2.848818e+00,6.282069e+00,7.706696e+00,8.817595e+00,7.187516e+00,4.766297e+00,4.834549e+00,5.762244e+00
1.524769e+01,1.629807e+01,1.597829e+01,6.764079e+00,-4.535819e+00,-7.172234e+00,-4.143593e+00,7.545088e+00,-1.709679e+00,-2.201534e+01,-1.049979e+01,1.249871e+01,2.471252e+01,2.904802e+01,4.509962e+01,5.761157e+01,5.822560e+01,4.737914e+01,3.203632e+01,1.585388e+01,6.648889e+00,3.631294e+00,8.020964e+00,1.394056e+01,1.778115e+01,1.965549e+01,1.628957e+01,1.306764e+01,1.405120e+01,1.147701e+01
1.541734e+01,1.371914e+01,1.126291e+01,-4.288183e+00,-1.191994e+01,-5.718043e+00,-2.186703e+00,1.684538e+00,-5.271735e+00,-2.629572e+01,-3.047292e+01,-2.303069e+01,-2.693484e+01,-2.785762e+01,-2.904526e+01,-3.075812e+01,-3.492899e+01,-3.165155e+01,-2.373385e+01,-1.258635e+01,-3.781354e-01,3.897257e+00,5.878084e+00,1.148185e+01,1.564364e+01,1.205200e+01,9.841351e+00,1.118041e+01,1.233254e+01,9.610178e+00
1.383654e+01,1.094930e+01,7.748940e+00,-7.369340e+00,-1.987380e+01,-1.587163e+01,-6.660747e+00,-5.723508e+00,1.778494e+00,1.704488e+00,2.313279e+00,6.618386e+00,1.338478e+01,1.042163e+01,9.742972e+00,5.782415e+00,-3.673642e+00,-5.883533e+00,-2.529544e+00,-6.606490e+00,-1.034597e+01,-5.656272e+00,1.227496e+00,5.417951e+00,8.875749e+00,9.236580e-01,-5.626946e-01,5.832156e+00,7.530600e+00,5.942176e+00
1.204312e+01,1.000564e+01,8.286129e+00,-4.146549e+00,-4.228831e+00,4.078272e+00,7.465302e+00,-1.537810e+00,-5.177809e+00,-9.279385e-01,8.115220e+00,2.297989e+01,2.463692e+01,1.989954e+01,2.679976e+00,-4.331198e+00,-1.099916e+01,-9.073610e+00,-6.498470e+00,-2.172326e+00,-2.620409e+00,-7.771747e+00,2.150666e+00,4.125609e+00,6.336932e+00,1.496515e+00,-6.111984e-01,5.598652e+00,8.054404e+00,6.742455e+00
7.734674e+00,5.363870e+00,4.517795e+00,-3.217048e+00,-1.864036e+00,6.857097e+00,1.347701e+01,6.405828e+00,-1.227270e+00,3.579631e-01,4.898350e+00,1.281023e+01,1.716283e+01,1.905238e+01,3.205034e+01,3.972309e+01,3.547968e+01,2.880431e+01,2.061140e+01,1.567294e+01,1.126553e+01,4.924119e-02,7.037856e+00,6.071772e+00,6.404165e+00,6.691996e+00,4.754831e+00,6.359488e+00,8.430786e+00,7.207566e+00
