Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.131724e+02,-5.062994e+02,-5.080787e+02,-4.834290e+02,-4.341494e+02,-4.101997e+02,-4.246052e+02,-2.527404e+02,-1.210733e+02,-6.597156e+01,-5.115506e+01,-6.608646e+01,-1.175720e+02,-1.278340e+02,-1.201443e+02,-1.253208e+02,-1.486311e+02,-1.964591e+02,-2.564375e+02,-3.313825e+02,-4.012148e+02,-4.566904e+02,-4.951583e+02,-5.060210e+02,-5.056270e+02,-4.966753e+02,-4.937455e+02,-4.958966e+02,-4.981365e+02,-4.986669e+02,-4.983770e+02,-4.981513e+02
3.149500e+01,3.941301e+01,3.716834e+01,6.597388e+01,1.085678e+02,1.206443e+02,1.165725e+02,1.075750e+02,7.641314e+01,4.908572e+01,3.684358e+01,4.029752e+01,4.628789e+01,4.182346e+01,5.247257e+01,7.574722e+01,1.048378e+02,1.357879e+02,1.621567e+02,1.586038e+02,1.280264e+02,8.224385e+01,4.698783e+01,3.715263e+01,3.630737e+01,4.524857e+01,4.835720e+01,4.667825e+01,4.651304e+01,4.696225e+01,4.653567e+01,4.725038e+01
1.953443e+01,2.349691e+01,2.293784e+01,4.145998e+01,5.406479e+01,5.332789e+01,6.088905e+01,5.213014e+00,-1.833670e+01,-3.695605e+01,-4.487020e+01,-3.366148e+01,-1.102434e+01,-1.294459e+01,-2.766220e+01,-3.448515e+01,-2.988747e+01,-1.379472e+01,2.159518e+00,2.161172e+01,2.281498e+01,1.645584e+01,1.742209e+01,1.703268e+01,1.412926e+01,1.690675e+01,1.824880e+01,1.847165e+01,2.257703e+01,2.483032e+01,2.378672e+01,2.542197e+01
1.153840e+01,1.219653e+01,1.489837e+01,2.753462e+01,3.977667e+01,4.109811e+01,4.208374e+01,3.405499e+01,1.712994e+01,-1.343944e+00,-1.543218e+01,-1.880326e+01,-2.363978e+01,-2.705404e+01,-3.265673e+01,-3.952120e+01,-5.513054e+01,-5.586089e+01,-5.134956e+01,-3.229092e+01,-2.110272e+01,-1.459107e+01,3.837022e+00,5.720727e+00,3.392948e+00,4.827666e+00,5.567827e+00,5.459727e+00,8.818033e+00,1.057544e+01,1.076549e+01,1.302912e+01
1.086910e+01,1.036562e+01,1.526335e+01,2.322658e+01,3.072396e+01,3.074773e+01,2.889071e+01,-1.637344e+01,-2.080912e+01,-1.814587e+01,-1.805920e+01,-2.121184e+01,-2.076547e+01,-2.357782e+01,-2.239945e+01,-1.377444e+01,-2.035503e+01,-2.300021e+01,-1.138564e+01,3.661776e+00,5.860458e+00,-4.314279e-01,1.021491e+01,7.560472e+00,8.204877e+00,1.186357e+01,1.290351e+01,1.162864e+01,1.167201e+01,1.088998e+01,1.185612e+01,1.366222e+01
1.235977e+01,1.231493e+01,1.617437e+01,1.842362e+01,1.041819e+01,6.023633e+00,5.897054e+00,8.887011e-01,2.526510e+00,1.753870e+01,3.472469e+01,4.155420e+01,4.239848e+01,5.647636e+01,6.159768e+01,6.233784e+01,5.877813e+01,5.436859e+01,4.798960e+01,3.176635e+01,2.138490e+01,1.483889e+01,1.570679e+01,1.138721e+01,1.432127e+01,1.701583e+01,1.784389e+01,1.760698e+01,1.827321e+01,1.635950e+01,1.576518e+01,1.634175e+01
1.071768e+01,1.159322e+01,1.258862e+01,1.114446e+01,3.446701e+00,7.393368e-01,2.033625e+00,-3.146004e+01,-4.199567e+01,-4.141357e+01,-4.271706e+01,-5.117459e+01,-5.309982e+01,-4.444476e+01,-4.205893e+01,-4.130920e+01,-4.066464e+01,-4.218961e+01,-3.131933e+01,-1.172695e+01,1.332324e+00,3.238597e+00,7.987999e+00,8.668615e+00,1.175132e+01,9.242929e+00,9.154686e+00,1.149090e+01,1.596361e+01,1.595408e+01,1.352848e+01,1.337192e+01
6.842787e+00,8.466530e+00,7.445112e+00,2.712826e+00,-3.793752e+00,-5.034141e+00,-1.621082e+00,1.209904e+01,1.399131e+01,1.440955e+01,1.950729e+01,2.337528e+01,2.588689e+01,2.361519e+01,2.149739e+01,1.391161e+01,5.598408e+00,-3.055939e+00,-9.532316e+00,-1.150359e+01,-1.302993e+01,-1.346010e+01,-1.577448e+00,3.663739e+00,6.235966e+00,2.309410e-01,-7.271391e-01,2.346695e+00,7.125692e+00,9.015941e+00,6.440384e+00,6.748546e+00
4.453177e+00,6.424366e+00,5.035491e+00,-4.555758e+00,-2.118053e+01,-2.704945e+01,-2.323470e+01,-8.334130e+00,-8.582902e-01,1.018589e+01,1.859372e+01,1.769031e+01,8.221396e+00,3.205282e+00,-2.812719e-01,-2.151845e+00,-4.655779e+00,-7.471950e+00,-1.084459e+01,-1.555490e+01,-8.358109e+00,-6.750201e+00,7.251924e-01,3.554431e+00,6.245596e+00,1.705835e+00,1.231912e-01,1.596783e+00,1.896498e+00,2.369627e+00,1.522840e-01,1.552392e+00
3.716029e+00,5.459593e+00,4.945006e+00,-6.596025e+00,-1.428962e+01,-1.430063e+01,-1.117946e+01,9.071167e+00,1.139101e+01,1.520712e+01,1.984558e+01,2.363683e+01,3.111243e+01,3.572314e+01,3.535132e+01,3.566985e+01,3.101780e+01,2.580119e+01,2.272492e+01,2.066661e+01,1.508778e+01,1.363911e+01,9.513254e+00,6.531093e+00,8.988861e+00,7.075872e+00,5.096890e+00,5.822786e+00,3.046161e+00,4.335215e-01,-1.931675e+00,1.735470e-01
