Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.999713e+02,-4.855592e+02,-4.639517e+02,-4.505585e+02,-4.535974e+02,-4.604394e+02,-3.625360e+02,-1.775192e+02,-1.000798e+02,-7.383211e+01,-7.942428e+01,-1.212356e+02,-1.428032e+02,-1.320115e+02,-1.229409e+02,-1.352348e+02,-1.831450e+02,-2.529324e+02,-3.259039e+02,-3.908897e+02,-4.449562e+02,-4.851470e+02,-4.934630e+02,-4.973160e+02,-4.966729e+02,-4.935493e+02,-4.931851e+02,-4.970417e+02
3.620385e+01,5.087093e+01,7.774565e+01,9.234193e+01,8.890932e+01,8.310702e+01,1.056251e+02,8.219208e+01,6.156011e+01,4.896065e+01,4.555078e+01,5.105210e+01,5.948391e+01,6.196015e+01,8.101924e+01,1.147311e+02,1.445349e+02,1.608230e+02,1.523013e+02,1.264180e+02,8.277744e+01,4.627800e+01,4.029691e+01,3.674771e+01,3.772547e+01,3.967411e+01,4.024167e+01,3.690178e+01
2.814202e+01,3.257460e+01,5.016550e+01,5.645244e+01,5.480167e+01,5.689404e+01,4.391985e+01,1.149082e+01,-3.031573e+00,-2.481438e+01,-3.454785e+01,-2.123838e+01,-1.682621e+01,-3.204951e+01,-4.314936e+01,-3.738905e+01,-1.513229e+01,1.234517e+01,2.788267e+01,2.310622e+01,1.660509e+01,1.862607e+01,2.264481e+01,2.290292e+01,2.386888e+01,2.108578e+01,2.209272e+01,2.172603e+01
2.258466e+01,2.337413e+01,3.016700e+01,3.147262e+01,3.126329e+01,3.861293e+01,4.939030e+01,3.886897e+01,1.766888e+01,-7.365811e+00,-1.953559e+01,-2.291721e+01,-2.731596e+01,-3.096817e+01,-4.514050e+01,-5.942764e+01,-6.209630e+01,-5.136722e+01,-3.217793e+01,-2.442916e+01,-1.509075e+01,5.604591e+00,1.215081e+01,1.517690e+01,1.580842e+01,1.074670e+01,1.207071e+01,1.119953e+01
2.194500e+01,2.619327e+01,2.444831e+01,2.454373e+01,2.516708e+01,3.290152e+01,3.223224e+00,-3.329839e+01,-3.331792e+01,-2.158690e+01,-1.986487e+01,-1.946885e+01,-1.887681e+01,-2.346103e+01,-2.349102e+01,-2.388732e+01,-2.241263e+01,-1.327771e+01,-3.018051e-01,-1.652611e-01,-1.427984e+00,1.061696e+01,1.221592e+01,1.650349e+01,1.661446e+01,1.300588e+01,1.295295e+01,9.777773e+00
2.257351e+01,2.831138e+01,2.179435e+01,2.036608e+01,2.153071e+01,2.778288e+01,1.545358e+01,4.811416e+00,1.347856e+01,2.992830e+01,3.737242e+01,4.454838e+01,5.400481e+01,6.386805e+01,6.879128e+01,6.808470e+01,6.077678e+01,4.719613e+01,3.175243e+01,1.799964e+01,1.508098e+01,1.462085e+01,1.401502e+01,1.892185e+01,1.854334e+01,1.737113e+01,1.442796e+01,1.127808e+01
1.994245e+01,2.044761e+01,1.226655e+01,8.424781e+00,1.002984e+01,1.602273e+01,-8.029160e+00,-3.933127e+01,-4.049213e+01,-4.009438e+01,-4.355449e+01,-4.343334e+01,-3.900640e+01,-3.791595e+01,-3.664256e+01,-4.103848e+01,-3.488019e+01,-2.967100e+01,-2.065990e+01,-1.284599e+00,7.121403e+00,7.407871e+00,1.142287e+01,1.582436e+01,1.510675e+01,1.485425e+01,9.693042e+00,8.726669e+00
1.385615e+01,7.898001e+00,-6.574820e-02,-4.166896e+00,-2.118788e+00,4.678421e+00,-2.373544e+00,1.004925e+01,1.447675e+01,1.699804e+01,1.768278e+01,2.215624e+01,2.048910e+01,1.336953e+01,1.028985e+01,5.153529e+00,-1.446145e+00,-5.115608e+00,-9.698427e+00,-1.127653e+01,-6.381887e+00,2.035133e-01,7.418762e+00,9.335711e+00,8.780515e+00,8.434981e+00,2.684498e+00,2.743395e+00
7.753455e+00,7.461685e-01,-5.765998e+00,-7.338673e+00,-5.100040e+00,1.676655e+00,-3.583434e+00,-8.140905e+00,-1.780839e+00,8.251571e+00,8.416609e+00,8.290018e+00,4.014824e+00,-7.980584e-01,-2.761383e+00,-7.221684e+00,-6.299466e+00,-2.959555e+00,-2.926286e+00,-3.368870e+00,-5.529841e-01,4.396221e+00,6.128078e+00,4.875360e+00,5.361012e+00,5.415173e+00,3.640874e-02,-1.241944e+00
4.216391e+00,3.976839e-01,-3.930594e+00,-3.067990e+00,-1.482150e+00,3.356542e+00,-2.703335e-01,1.074011e+01,1.574392e+01,2.117833e+01,2.629739e+01,3.339880e+01,3.565567e+01,3.506696e+01,3.398168e+01,3.138591e+01,2.620549e+01,2.714771e+01,2.497773e+01,2.021671e+01,1.610086e+01,1.295167e+01,5.916951e+00,3.443676e+00,5.370029e+00,6.041245e+00,1.919159e+00,-1.215818e+00
2.826713e+00,1.014449e+00,-1.632030e+00,-2.109086e-01,2.838191e-01,1.569139e+00,2.029743e+01,1.005525e+01,4.465946e+00,-1.411777e+00,-7.656981e+00,-1.227921e+01,-1.202379e+01,-5.068850e+00,2.644736e+00,9.263616e+00,1.173474e+01,1.692873e+01,1.285210e+01,1.321739e+01,1.947803e+01,1.239515e+01,3.331709e+00,2.300675e+00,4.702675e+00,4.974755e+00,2.745273e+00,-7.094585e-01
2.130190e+00,-7.572414e-02,-2.895651e+00,-1.451710e+00,-9.717521e-01,-3.539325e+00,-9.330798e+00,2.765448e+00,1.377385e+01,9.852581e+00,1.461342e+00,-3.843832e+00,-7.800023e+00,-7.125788e+00,-2.697622e-01,5.458549e+00,3.625669e+00,-1.280007e+00,1.925043e+00,4.881476e+00,7.587223e+00,3.616556e+00,-3.288004e-01,5.029702e-01,1.490340e+00,7.117000e-01,-6.631871e-01,-2.869558e+00
1.835159e+00,4.835019e-02,-4.517133e+00,-2.209600e+00,-6.038265e-01,-5.649757e+00,-1.007997e+01,-2.064397e+01,-2.030785e+01,-2.713519e+01,-2.873915e+01,-3.262204e+01,-3.365862e+01,-3.665185e+01,-3.447350e+01,-2.721106e+01,-2.253237e+01,-2.189334e+01,-1.329605e+01,-5.182943e+00,-1.227152e+00,-1.218420e+00,-6.418566e-01,-6.746200e-02,-1.721461e+00,-2.516022e+00,-4.284093e+00,-5.524042e+00
