Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-4.766340e+02,-4.384482e+02,-4.419221e+02,-4.538241e+02,-4.592359e+02,-4.500759e+02,-2.299951e+02,-1.289484e+02,-1.171020e+02,-1.371328e+02,-1.427513e+02,-1.402036e+02,-1.436069e+02,-1.397736e+02,-1.363267e+02,-1.380054e+02,-1.353195e+02,-1.356965e+02,-1.339326e+02,-1.250070e+02,-1.077070e+02,-8.867087e+01,-6.031752e+01,-4.086573e+01,-4.504222e+01,-6.639288e+01,-6.838151e+01,-1.079220e+02,-2.238845e+02,-3.243830e+02,-3.867810e+02,-4.362936e+02,-4.647531e+02,-4.697309e+02,-4.707096e+02,-4.709611e+02,-4.720496e+02,-4.694994e+02,-4.546714e+02,-4.378149e+02,-4.474131e+02
6.405796e+01,8.988686e+01,8.851502e+01,7.903871e+01,7.347235e+01,8.167816e+01,1.110024e+02,1.006366e+02,7.950555e+01,7.331706e+01,7.522090e+01,7.581009e+01,7.439922e+01,6.936372e+01,5.971412e+01,5.999699e+01,5.775115e+01,5.427919e+01,5.161902e+01,5.193041e+01,4.713983e+01,3.952862e+01,4.213509e+01,5.078085e+01,6.196716e+01,7.968939e+01,8.895270e+01,1.036089e+02,1.274837e+02,1.333180e+02,1.127922e+02,8.212981e+01,6.634666e+01,6.316236e+01,6.195275e+01,6.107142e+01,6.079236e+01,6.155116e+01,6.875514e+01,7.499435e+01,7.518100e+01
2.939743e+01,2.730416e+01,2.868961e+01,2.635994e+01,2.383070e+01,2.662650e+01,-1.103003e+01,-2.028110e+01,-1.328390e+01,-9.612853e+00,-9.536975e+00,-8.882980e+00,-5.228147e+00,-4.964144e+00,-1.465528e+00,1.576676e+00,5.136104e+00,3.519202e+00,1.640620e+00,6.396424e-01,-9.640059e+00,-1.795700e+01,-3.891182e+01,-5.479353e+01,-6.824449e+01,-8.392851e+01,-8.857755e+01,-7.507112e+01,-4.745706e+01,-2.926690e+01,-2.416822e+01,-6.696245e+00,1.170190e+01,1.421283e+01,1.207253e+01,1.108116e+01,1.241152e+01,1.065095e+01,1.140649e+01,9.051979e+00,8.631527e+00
1.085497e+01,1.580729e+01,1.453625e+01,1.157227e+01,9.420023e+00,1.133327e+01,4.358933e+01,3.668633e+01,1.964112e+01,2.864647e+00,-5.254246e+00,-4.838419e+00,-6.309919e+00,-9.676271e+00,-6.508024e+00,-5.386980e+00,-9.314529e+00,-1.384838e+01,-1.368068e+01,-2.171941e+01,-2.346756e+01,-2.229374e+01,-3.008006e+01,-2.867778e+01,-2.960231e+01,-3.523305e+01,-2.795563e+01,-2.292763e+01,-2.366986e+01,-2.724931e+01,-3.062797e+01,-2.112934e+01,-4.138229e+00,-1.332500e+00,-5.523619e+00,-4.117873e+00,-3.475338e+00,-3.292113e+00,-8.949819e+00,-1.147538e+01,-8.826777e+00
1.101499e+01,1.601839e+01,1.668080e+01,1.694840e+01,1.385889e+01,1.329560e+01,-5.078513e+01,-5.219909e+01,-4.021256e+01,-2.770400e+01,-2.482672e+01,-2.249125e+01,-2.037757e+01,-2.075354e+01,-1.873712e+01,-1.743491e+01,-1.663321e+01,-1.049509e+01,-4.454222e+00,-3.778294e+00,-5.100043e-01,-3.968482e+00,-5.824989e-02,4.178451e+00,1.913560e+00,-1.582039e+00,-7.297956e+00,-5.659379e+00,6.231468e+00,8.804398e+00,1.613247e+01,9.921646e+00,9.462530e+00,9.721974e+00,5.730535e+00,1.042209e+01,9.901496e+00,9.728852e+00,9.244022e+00,1.484910e+01,9.355013e+00
1.077096e+01,1.141075e+01,1.881232e+01,2.299040e+01,1.989846e+01,1.677279e+01,-4.645131e+00,9.320930e-01,3.628421e+00,1.671509e+01,2.269601e+01,2.712794e+01,2.862495e+01,3.439542e+01,3.716566e+01,3.704362e+01,3.459572e+01,3.252991e+01,3.227726e+01,3.390974e+01,3.898807e+01,3.875720e+01,4.039251e+01,4.155450e+01,4.233399e+01,4.014304e+01,3.284299e+01,3.216326e+01,2.245038e+01,1.495499e+01,1.835403e+01,1.824056e+01,1.361215e+01,1.328020e+01,1.206726e+01,1.628056e+01,1.705944e+01,1.349131e+01,6.837024e+00,3.839803e+00,8.042130e+00
2.333504e+00,6.218407e+00,1.301543e+01,1.725242e+01,1.539563e+01,1.130116e+01,-2.060857e+01,-3.195078e+01,-3.245868e+01,-3.593910e+01,-3.626628e+01,-3.458167e+01,-3.363039e+01,-3.399420e+01,-3.823902e+01,-3.859665e+01,-4.258272e+01,-4.661475e+01,-4.953210e+01,-4.517382e+01,-4.240108e+01,-4.128101e+01,-3.293169e+01,-2.927719e+01,-3.161500e+01,-2.615592e+01,-2.273715e+01,-1.648759e+01,-6.865073e+00,6.643919e+00,1.095990e+01,9.696795e+00,7.190732e+00,6.950567e+00,7.380953e+00,6.773555e+00,9.299617e+00,7.279759e+00,4.797379e+00,4.768049e+00,7.706780e+00
-5.798493e+00,-4.337247e+00,-2.712348e+00,1.119090e+00,5.573671e-01,-4.803477e+00,1.398991e+00,1.353466e+01,2.295769e+01,2.607565e+01,2.317392e+01,2.013095e+01,2.654565e+01,2.794296e+01,2.242124e+01,2.184953e+01,2.416171e+01,2.312265e+01,2.282964e+01,2.676849e+01,3.026392e+01,3.230627e+01,3.520232e+01,3.603934e+01,3.650346e+01,3.662602e+01,3.107518e+01,3.106562e+01,2.549319e+01,1.551851e+01,1.647797e+01,8.291691e+00,6.464072e+00,5.468626e+00,5.055089e+00,8.915919e-01,2.389685e+00,5.168044e+00,4.450454e+00,5.808393e+00,1.080982e+01
-7.002493e+00,-6.769221e+00,-3.510990e+00,-1.676938e+00,-2.635056e+00,-6.427131e+00,-1.094799e+01,-2.057737e+01,-1.679168e+01,-7.893834e+00,-5.843097e+00,-6.239222e+00,-6.292998e+00,-5.218884e+00,-6.165615e+00,-1.064448e+01,-1.038500e+01,-1.556938e+01,-1.467066e+01,-1.200555e+01,-8.791358e+00,-7.556098e+00,-1.321735e+01,-1.658765e+01,-1.815343e+01,-1.409840e+01,-1.687111e+01,-1.804621e+01,-8.424402e+00,1.962888e+00,9.304162e+00,5.475006e+00,6.965461e+00,6.395552e+00,5.272987e+00,2.406125e+00,2.413510e+00,4.593641e+00,6.540320e+00,6.349607e+00,8.731305e+00
-4.087767e+00,-6.773289e+00,-4.044409e-01,-1.046073e-01,-2.426614e+00,-2.988636e+00,6.066369e+00,1.340833e+01,1.292339e+01,7.320688e+00,9.136344e+00,1.077531e+01,1.049879e+01,1.546086e+01,1.876238e+01,1.721181e+01,1.688084e+01,1.941368e+01,1.133812e+01,1.157060e+01,9.190765e+00,7.264943e+00,1.097433e+01,1.397662e+01,1.060691e+01,4.153056e+00,7.695754e-01,-2.488717e+00,-8.385014e+00,-1.307651e+01,-2.120080e+00,-9.755847e-01,1.061447e+00,2.327998e+00,2.549999e+00,2.649638e+00,3.376744e+00,1.655709e+00,1.676859e+00,-2.639231e-01,-8.128220e-01
