Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-4.885863e+02,-4.386928e+02,-4.008053e+02,-3.876475e+02,-2.875856e+02,-1.302801e+02,-8.450679e+01,-1.257383e+02,-1.367569e+02,-1.303850e+02,-1.437097e+02,-1.762209e+02,-2.316038e+02,-3.025101e+02,-3.618765e+02,-4.049017e+02,-4.339573e+02,-4.666620e+02,-4.914006e+02,-5.191850e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02,-5.255898e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.599812e+01,8.571186e+01,1.052266e+02,1.096544e+02,1.490842e+02,1.774402e+02,1.660142e+02,1.449510e+02,1.623660e+02,1.877161e+02,2.072181e+02,2.165151e+02,2.106982e+02,1.890626e+02,1.598932e+02,1.270294e+02,1.001261e+02,6.770556e+01,4.165430e+01,8.732630e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.431015e+01,3.731140e+01,1.528766e+01,3.242218e+00,-1.739337e+01,-6.172022e+01,-7.740804e+01,-1.023216e+02,-1.112762e+02,-9.397729e+01,-7.150385e+01,-5.023001e+01,-1.922695e+01,6.460250e+00,2.642661e+01,3.602536e+01,3.693322e+01,3.305907e+01,2.594313e+01,7.804913e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.393320e+01,2.973012e+01,1.648235e+01,9.868509e+00,1.566216e+01,1.456298e+01,4.304378e+00,-8.963824e+00,-2.595852e+01,-4.200185e+01,-4.700623e+01,-4.988607e+01,-5.862436e+01,-6.840935e+01,-5.395787e+01,-2.728919e+01,-1.092232e+01,4.180552e+00,1.059899e+01,6.407357e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.136335e+01,1.031969e+01,1.245554e+01,1.601337e+01,2.203612e-01,-1.929028e+01,-2.264018e+01,-3.497527e+01,-5.962999e+01,-7.068427e+01,-8.189302e+01,-7.640103e+01,-7.233215e+01,-6.780026e+01,-5.059383e+01,-3.093649e+01,-1.880369e+01,-4.469091e+00,2.351746e+00,4.731076e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.131654e-01,-2.631845e+01,-3.003905e+01,-2.479983e+01,-3.882909e+01,-4.014838e+01,-4.109718e+01,-2.802689e+01,-2.085310e+01,-1.587556e+01,-1.557070e+01,-1.548139e+01,-1.039698e+01,-8.222844e+00,-5.725214e+00,-5.149088e+00,-2.634975e+00,1.314382e+00,8.409640e-01,2.987790e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.294075e+00,-1.759378e+01,-1.786126e+01,-1.521559e+01,-4.555849e+01,-4.494940e+01,-4.133807e+01,-2.725660e+01,-3.524068e+00,9.538554e+00,1.106986e+01,1.648864e+01,1.464349e+01,1.363153e+01,9.498693e+00,7.109342e+00,8.218433e+00,6.260420e+00,9.167961e-01,1.370214e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.575479e+00,1.196751e+01,1.957084e+01,1.823970e+01,-5.543099e+00,-1.151552e+01,-1.102205e+01,-1.588868e+01,-2.732822e+01,-3.047141e+01,-3.503592e+01,-4.127386e+01,-3.627486e+01,-1.964467e+01,-1.091354e+01,-3.164448e+00,2.972670e+00,2.439147e+00,-1.467846e+00,1.954709e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.992310e+00,-2.212167e+00,-5.056325e+00,-5.812197e+00,5.057141e-01,-1.055135e+01,-1.987080e+01,-1.953562e+01,-1.564449e+01,-2.501909e+01,-2.906133e+01,-3.337196e+01,-3.369485e+01,-3.193618e+01,-2.552069e+01,-1.630157e+01,-7.903131e+00,-5.766102e+00,-5.787684e+00,-9.930625e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.264191e+01,-2.547981e+01,-3.380196e+01,-2.930059e+01,-2.478677e+01,-1.642421e+01,-6.214411e+00,-4.074711e+00,-6.542910e+00,-6.622060e+00,-5.935918e+00,-1.404563e+01,-1.963205e+01,-2.581693e+01,-2.047966e+01,-1.651035e+01,-1.195853e+01,-1.013609e+01,-8.611564e+00,-1.667953e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
