Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-4.686429e+02,-4.324939e+02,-4.066352e+02,-3.834586e+02,-3.008684e+02,-1.908371e+02,-1.331643e+02,-1.100471e+02,-1.169525e+02,-1.419437e+02,-1.634484e+02,-1.735901e+02,-1.771218e+02,-1.923447e+02,-2.226316e+02,-2.574159e+02,-2.984586e+02,-3.584356e+02,-4.099670e+02,-4.333371e+02,-4.418046e+02,-4.418440e+02,-4.411096e+02,-4.421444e+02,-4.559575e+02
8.556554e+01,1.124469e+02,1.311972e+02,1.353337e+02,1.656062e+02,1.702088e+02,1.662615e+02,1.787171e+02,1.722028e+02,1.538009e+02,1.433931e+02,1.369920e+02,1.320630e+02,1.360007e+02,1.388584e+02,1.372868e+02,1.482254e+02,1.437123e+02,1.187334e+02,9.985239e+01,9.545068e+01,9.698740e+01,9.997182e+01,9.904814e+01,8.936774e+01
7.978620e+00,1.234754e+01,2.319610e+01,1.295437e+01,-4.068838e+00,-4.666988e+01,-8.378685e+01,-1.067677e+02,-1.035264e+02,-8.061404e+01,-5.941805e+01,-5.284019e+01,-5.395980e+01,-4.565286e+01,-3.511364e+01,-2.221507e+01,-1.293189e+01,-9.232330e+00,-6.961493e+00,-6.945762e+00,-3.238315e+00,1.843461e+00,2.927612e+00,2.834021e+00,3.932296e+00
-4.863935e+00,6.776020e+00,2.490361e+01,3.497173e+01,3.148986e+01,2.388758e+01,2.844491e+00,-1.936536e+01,-2.243772e+01,-2.391164e+01,-2.703047e+01,-2.835283e+01,-2.860106e+01,-2.915857e+01,-2.689420e+01,-2.162579e+01,-3.132400e+01,-3.645115e+01,-1.713972e+01,-3.240419e+00,-2.540726e+00,1.356572e+00,-1.295719e+00,-2.510820e-01,4.592028e-01
1.651776e+01,2.391480e+01,2.846731e+01,3.413948e+01,7.125126e+00,-3.677014e+00,2.424459e+00,7.170329e+00,-4.916358e-01,-1.306745e+01,-1.451161e+01,-1.823610e+01,-1.754885e+01,-2.194994e+01,-2.299906e+01,-1.797887e+01,-1.372837e+01,-7.407810e+00,2.160246e+00,1.805369e+01,1.428158e+01,1.429168e+01,1.329434e+01,1.376528e+01,1.534037e+01
1.923535e+01,1.564053e+01,1.043936e+01,1.000168e+01,-1.612227e+01,-1.259255e+01,-1.548266e+00,1.338559e+01,2.740212e+01,3.217838e+01,3.961029e+01,4.504858e+01,5.359263e+01,5.338928e+01,5.248921e+01,5.206647e+01,3.997267e+01,2.059113e+01,6.422542e+00,1.063103e+01,8.034443e+00,8.443763e+00,7.906219e+00,9.329855e+00,9.692026e+00
8.638291e+00,5.562640e+00,1.000128e+01,1.743481e+01,-8.871469e+00,-2.238525e+01,-1.878443e+01,-1.446308e+01,-2.357010e+01,-3.364507e+01,-3.404076e+01,-3.510033e+01,-3.397117e+01,-2.886314e+01,-2.937975e+01,-2.236769e+01,-1.622427e+01,-8.830210e+00,3.924638e+00,6.271511e+00,5.916020e+00,8.089317e+00,5.551633e+00,7.218339e+00,2.908605e+00
1.552517e+00,-4.118772e+00,-1.574531e+00,7.604289e+00,1.018876e+00,6.665668e-01,3.108039e+00,5.112946e+00,7.679732e+00,1.511955e+01,1.883540e+01,2.238444e+01,2.198634e+01,1.630387e+01,9.660812e+00,7.751720e+00,4.049071e+00,-3.059097e+00,3.658946e+00,6.181539e+00,4.723005e+00,1.736721e+00,1.415462e-01,2.100781e-02,-8.108092e-01
1.293074e+00,-9.632435e+00,-1.467188e+01,-8.737921e+00,-9.299006e+00,-7.863125e+00,-1.233752e+00,1.873477e+00,1.033323e+01,1.527608e+01,8.295161e+00,2.625754e+00,1.458217e+00,-2.053440e-01,3.586243e+00,2.677407e+00,-1.815592e+00,-5.180688e+00,6.538960e+00,7.752041e+00,6.186795e+00,1.411737e+00,3.995776e-01,1.300646e-01,2.491355e+00
3.920142e+00,-1.078065e+01,-1.687194e+01,-1.081376e+01,2.590479e+00,7.474576e+00,7.107694e+00,4.095344e+00,2.996065e+00,7.724466e+00,1.006342e+01,7.273150e+00,1.070857e+01,1.211266e+01,8.141864e+00,5.039591e+00,6.538279e-01,2.191330e+00,5.720986e+00,4.291211e+00,6.371486e+00,6.614961e+00,5.606121e+00,6.664016e+00,3.647136e+00
-3.602013e-01,-1.648935e+01,-1.828585e+01,-9.979431e+00,1.401864e+01,1.041127e+01,-6.032796e+00,-1.148092e+01,-7.336802e+00,-8.625708e+00,-5.442310e+00,-6.017185e+00,-3.455167e+00,1.218984e+00,3.503482e+00,7.756482e-01,-2.264769e+00,-2.221366e+00,3.043681e+00,1.246666e+00,2.931048e+00,4.357270e+00,1.642937e+00,3.323844e-01,-3.943049e+00
-7.979225e+00,-1.794074e+01,-2.085215e+01,-2.086785e+01,-1.715099e+01,-1.323204e+01,-3.412112e+00,-2.132348e+00,-9.595013e+00,-1.173889e+01,-1.089218e+01,-1.446734e+01,-1.625131e+01,-1.182540e+01,-1.145932e+01,-1.316028e+01,-1.203885e+01,-9.186201e+00,1.243871e+00,1.591498e+00,2.212011e-01,-2.116067e+00,-5.136129e+00,-4.993217e+00,-5.026459e+00
-5.479931e+00,-1.267020e+01,-1.522997e+01,-1.925233e+01,-1.777803e+01,-1.347132e+01,-8.525993e+00,-1.215166e+01,-1.261070e+01,-1.201261e+01,-1.704322e+01,-1.957312e+01,-1.768683e+01,-1.356675e+01,-1.100760e+01,-7.545147e+00,-4.019682e+00,-2.073653e+00,-7.473208e+00,-5.216538e+00,-5.588854e+00,-6.732978e+00,-4.622384e+00,-2.505667e+00,-2.030538e+00
