Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.137084e+02,-4.945667e+02,-4.918405e+02,-4.907467e+02,-4.816752e+02,-4.650677e+02,-2.866859e+02,-1.619432e+02,-1.080322e+02,-8.661993e+01,-7.080864e+01,-6.297449e+01,-5.525954e+01,-6.609103e+01,-9.109520e+01,-1.215902e+02,-1.440614e+02,-1.889629e+02,-2.710698e+02,-3.636991e+02,-4.343188e+02,-4.641805e+02,-4.777401e+02,-4.844837e+02,-4.853955e+02,-4.860204e+02,-4.874468e+02,-4.900660e+02
7.339278e+01,8.648616e+01,8.704715e+01,8.796582e+01,9.953191e+01,1.182487e+02,1.466745e+02,1.400716e+02,1.351334e+02,1.055639e+02,7.346067e+01,5.978860e+01,5.024149e+01,5.191186e+01,6.284165e+01,7.423106e+01,8.712045e+01,9.768179e+01,1.087811e+02,1.141210e+02,1.048452e+02,9.236510e+01,8.571355e+01,8.792537e+01,8.615959e+01,8.495653e+01,8.283176e+01,8.464223e+01
1.598975e+01,1.079720e+01,6.442105e+00,6.394589e+00,1.609196e+01,2.780066e+01,-2.989816e+00,-4.084675e+01,-5.979069e+01,-6.265946e+01,-5.528834e+01,-5.325048e+01,-4.348908e+01,-3.538361e+01,-2.082804e+01,-1.400943e+01,-2.116732e+01,-2.450222e+01,-2.595599e+01,-2.967016e+01,-1.772025e+01,-4.315665e+00,-2.186761e+00,3.909205e+00,1.416618e+00,-4.569072e-01,-3.204231e+00,6.113638e-01
1.591798e+00,-3.287750e+00,-7.569841e+00,-8.717691e+00,7.687650e-01,1.053730e+01,1.905849e+01,-1.217421e+00,-1.659378e+01,-1.033965e+01,5.349008e+00,4.897243e+00,-5.977520e+00,-1.877588e+01,-2.095166e+01,-1.248561e+01,-8.711580e+00,-1.172848e+01,-1.188930e+01,-1.252149e+01,-1.527649e+01,-7.518216e+00,-5.912809e+00,-8.901463e+00,-7.841967e+00,-7.318870e+00,-8.408274e+00,-1.218367e+01
1.729715e+01,1.694162e+01,1.595294e+01,1.417966e+01,2.179259e+01,3.088594e+01,-2.665419e+01,-3.093075e+01,-3.424689e+01,-4.266737e+01,-4.841704e+01,-4.790015e+01,-4.127299e+01,-3.889940e+01,-4.239148e+01,-4.518204e+01,-4.422320e+01,-4.167017e+01,-3.837672e+01,-2.691069e+01,-7.163272e+00,-1.604611e+00,5.225446e+00,4.335984e+00,8.352961e+00,1.170890e+01,1.363634e+01,9.779382e+00
2.094229e+01,1.964155e+01,2.069010e+01,1.944398e+01,2.023560e+01,2.782038e+01,3.832590e+00,2.345692e+01,4.092805e+01,5.579118e+01,6.778590e+01,7.555339e+01,7.442266e+01,7.137553e+01,6.461980e+01,5.853002e+01,6.208154e+01,5.854644e+01,4.490377e+01,2.513604e+01,1.322113e+01,1.085282e+01,1.105296e+01,1.047893e+01,1.139901e+01,1.019634e+01,1.102250e+01,1.454868e+01
1.129493e+01,1.109325e+01,1.302032e+01,1.090365e+01,5.320805e+00,1.212812e+01,-1.379860e+01,-3.174549e+01,-3.247403e+01,-3.833270e+01,-5.532130e+01,-5.640852e+01,-4.864447e+01,-4.255093e+01,-3.975073e+01,-3.650666e+01,-3.242487e+01,-3.164104e+01,-2.016126e+01,6.900598e+00,1.644660e+01,1.178873e+01,7.409415e+00,8.320404e+00,1.055242e+01,5.561161e+00,3.755073e+00,8.615376e+00
5.911436e+00,6.853321e+00,7.775291e+00,5.449935e+00,-1.616458e+00,2.191384e+00,2.830669e+00,1.045945e+01,1.783948e+01,2.545632e+01,2.970835e+01,2.793372e+01,2.319910e+01,2.223993e+01,2.237743e+01,2.168090e+01,1.246632e+01,6.961859e+00,4.565699e+00,-2.180272e+00,5.939929e+00,4.611041e+00,5.047786e+00,7.474997e+00,1.116162e+01,1.049488e+01,8.776179e+00,9.239305e+00
5.390056e+00,3.508128e+00,6.895550e-01,2.158695e+00,-4.853665e+00,-5.807509e+00,-1.980529e+01,-2.755084e+01,-2.495152e+01,-1.802672e+01,-1.454180e+01,-1.351917e+01,-9.383625e+00,-4.881261e+00,-2.447835e+00,3.057792e+00,5.146571e-01,-2.171874e+00,4.327046e+00,1.828007e+01,1.822436e+01,1.244277e+01,1.033223e+01,8.120214e+00,7.885188e+00,9.354075e+00,1.025429e+01,1.068827e+01
3.861665e+00,3.096593e-01,-2.678973e+00,3.363306e-01,-7.138725e+00,-9.729647e+00,-4.732469e+00,4.314290e+00,7.423805e+00,8.715643e+00,8.762478e+00,9.721794e+00,7.262364e+00,5.870081e+00,5.484262e+00,7.081167e+00,8.356003e+00,5.759524e+00,4.695933e+00,-1.017982e+00,-1.663225e+00,-3.302044e+00,-3.989773e+00,-3.857418e+00,-3.125237e+00,-1.638653e+00,1.170254e+00,4.986077e+00
1.141079e+00,-1.226142e+00,1.427684e+00,2.016917e+00,-6.015754e+00,-9.923862e+00,1.206080e+01,8.574648e-01,-6.046649e+00,-1.417553e+01,-2.217840e+01,-1.932983e+01,-9.826481e+00,-1.088556e+01,-1.188273e+01,-1.237358e+01,-1.107831e+01,-1.058245e+01,-1.001190e+01,-1.372915e+01,-1.458346e+01,-5.763679e+00,-3.123783e+00,-7.755236e+00,-7.121999e+00,-1.376672e+00,-2.478597e-01,7.778812e-01
-1.828085e+00,-1.902802e+00,2.191766e+00,3.213863e+00,-6.324986e+00,-1.385939e+01,-1.011789e+01,-6.077651e-01,4.452802e+00,5.372753e+00,1.878724e+00,-2.986228e+00,-6.442571e+00,-1.474303e+01,-1.602211e+01,-1.169096e+01,-1.289825e+01,-1.091578e+01,-4.401896e+00,-3.591221e+00,-4.063202e+00,6.554669e+00,7.949381e+00,-4.591482e+00,-4.902297e+00,1.446195e+00,4.531485e-01,-3.280694e+00
-3.962375e+00,-3.305879e-01,-1.512529e+00,4.211407e-01,-1.058944e+01,-1.829703e+01,-2.695667e+01,-2.684212e+01,-2.767473e+01,-2.477738e+01,-2.092476e+01,-1.294637e+01,-4.139128e+00,-3.326401e+00,-5.837099e+00,-8.029984e+00,-7.775374e+00,-3.022118e+00,1.250228e+00,-6.213403e+00,-1.278877e+01,-1.089896e+01,-7.419492e+00,-1.241412e+01,-8.184179e+00,-4.674086e+00,-5.751969e+00,-8.928389e+00
