Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-4.944482e+02,-4.647884e+02,-4.463453e+02,-4.347062e+02,-3.405927e+02,-1.983337e+02,-1.081219e+02,-6.983496e+01,-9.669425e+01,-1.251107e+02,-1.049878e+02,-1.175370e+02,-1.270093e+02,-1.730433e+02,-2.508394e+02,-3.402352e+02,-3.950521e+02,-4.419171e+02,-4.834021e+02,-5.099181e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02,-5.153774e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.845465e+01,5.755401e+01,6.756427e+01,7.747963e+01,1.113403e+02,1.457531e+02,1.727287e+02,1.516888e+02,1.261965e+02,1.073116e+02,1.520501e+02,2.061785e+02,2.151956e+02,2.136803e+02,1.941902e+02,1.608533e+02,1.243730e+02,7.971210e+01,3.852313e+01,7.368229e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.519600e+01,3.975941e+01,3.368402e+01,3.593102e+01,4.497289e+00,-5.807655e+01,-8.780200e+01,-8.518958e+01,-8.362683e+01,-6.932304e+01,-7.355563e+01,-8.252452e+01,-6.517821e+01,-4.015123e+01,-8.320230e+00,2.342189e+01,3.409290e+01,2.788349e+01,2.323379e+01,6.381559e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.030356e+01,3.491055e+01,3.493082e+01,3.683530e+01,2.941470e+01,3.770549e+01,-1.697924e+00,-3.796956e+01,-4.284615e+01,-3.878667e+01,-5.816241e+01,-5.254066e+01,-4.520608e+01,-4.406989e+01,-5.084982e+01,-5.039444e+01,-2.991298e+01,-1.080308e+01,9.202427e+00,4.954656e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.446764e+01,1.902954e+01,1.682935e+01,1.580208e+01,-2.156443e+00,-8.881948e+00,-2.049059e+01,-2.922246e+01,-3.515994e+01,-4.442006e+01,-7.514349e+01,-9.229128e+01,-8.929155e+01,-7.953351e+01,-6.899001e+01,-5.306970e+01,-3.666726e+01,-1.556495e+01,2.487999e+00,3.355848e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.448380e+00,-5.809814e+00,-1.801247e+01,-2.244105e+01,-1.926051e+01,-1.842974e+01,-1.585791e+01,-7.275524e+00,1.391120e+00,7.174627e+00,-2.135171e+00,-1.697091e+01,-1.743778e+01,-1.330853e+01,-8.051847e+00,-3.717656e-01,-5.070395e+00,-9.270983e-01,1.321379e+00,1.860835e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.929781e+00,-9.367867e+00,-1.106307e+01,-1.006818e+01,1.033930e+00,-8.653938e+00,-1.791489e+01,-2.784381e+01,-1.871903e+01,-6.989306e+00,-4.909133e-01,-1.275244e+00,5.077136e-01,1.203003e+01,1.555542e+01,1.442388e+01,1.080701e+01,6.140153e+00,2.882074e-01,6.857784e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.599938e+00,-2.121392e+00,8.445410e+00,1.342682e+01,1.894719e+01,2.569099e-01,-4.971010e+00,-1.109418e+01,-1.824819e+01,-1.955519e+01,-2.765593e+01,-4.818605e+01,-5.602630e+01,-5.043939e+01,-3.455955e+01,-1.666823e+01,-3.199228e+00,-2.550203e+00,-2.822589e+00,-6.204252e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.915745e+00,-9.418228e+00,-6.890883e+00,-7.535951e+00,-7.379595e+00,6.134388e+00,-7.518234e+00,-2.069364e+01,-1.799298e+01,-1.909892e+01,-2.852872e+01,-2.701093e+01,-3.258867e+01,-2.973547e+01,-3.143533e+01,-2.793697e+01,-1.871902e+01,-1.221417e+01,-5.247556e+00,-4.030308e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.059495e+00,-1.403189e+01,-1.577926e+01,-2.040064e+01,-4.600346e+01,-3.194826e+01,-1.588429e+01,2.646040e-01,1.218108e+01,1.218529e+01,5.617412e+00,-6.630523e+00,-1.166550e+01,-9.835958e+00,-1.211681e+01,-1.658639e+01,-1.544415e+01,-8.121873e+00,-3.763197e+00,-4.694235e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
