Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.925981e+02,-4.754350e+02,-4.789082e+02,-4.790589e+02,-4.303596e+02,-3.653364e+02,-3.277736e+02,-3.000384e+02,-2.676776e+02,-2.027113e+02,-1.135420e+02,-6.362773e+01,-6.735869e+01,-7.288502e+01,-5.875830e+01,-7.356017e+01,-1.176590e+02,-1.966635e+02,-2.778270e+02,-3.586276e+02,-4.250988e+02,-4.725346e+02,-4.747027e+02,-4.774144e+02,-4.821076e+02,-4.822783e+02,-4.841367e+02,-4.846112e+02
6.727235e+01,7.780833e+01,7.353694e+01,7.491722e+01,1.198536e+02,1.499974e+02,1.587136e+02,1.619670e+02,1.724005e+02,1.790905e+02,1.233814e+02,7.217323e+01,5.199046e+01,5.498898e+01,6.788161e+01,8.723415e+01,1.168916e+02,1.526877e+02,1.642851e+02,1.627719e+02,1.235576e+02,8.224744e+01,8.138182e+01,7.782672e+01,7.447559e+01,7.280696e+01,7.024126e+01,7.030415e+01
1.215720e+01,5.027872e+00,2.963692e+00,6.087871e+00,2.899743e+01,2.259267e+01,5.057565e+00,-1.144000e+01,-3.371720e+01,-7.063569e+01,-7.365944e+01,-6.897745e+01,-5.111675e+01,-3.771856e+01,-5.588223e+01,-6.062041e+01,-5.378682e+01,-3.653627e+01,-6.070993e+00,6.258436e+00,2.542911e+00,6.546379e+00,1.082299e+01,7.567762e+00,8.037178e+00,4.919127e+00,3.675106e+00,6.550001e+00
-7.079143e+00,-1.147870e+01,-1.084439e+01,-8.589495e+00,1.726785e+01,3.904492e+01,3.933355e+01,4.176832e+01,3.366687e+01,1.025777e+01,-2.668273e+00,-1.503904e+01,-2.558581e+01,-3.764301e+01,-4.876281e+01,-4.709381e+01,-3.798828e+01,-2.136065e+01,-2.054218e+01,-3.272741e+01,-3.669821e+01,-1.576581e+01,-8.143152e+00,-1.029093e+01,-1.143715e+01,-1.393350e+01,-1.267017e+01,-6.988099e+00
5.494439e+00,7.949076e+00,9.096127e+00,1.006773e+01,2.383472e+01,1.953406e+01,7.514533e+00,2.670005e+00,4.383268e+00,7.685428e+00,-7.258870e+00,-1.337115e+01,-1.074677e+01,-1.288325e+01,-2.024309e+01,-2.025485e+01,-2.366159e+01,-2.132646e+01,-7.979844e+00,-9.445803e-01,-3.766798e+00,5.083614e+00,9.842228e+00,1.078137e+01,7.311733e+00,5.114981e+00,6.997123e+00,1.139415e+01
1.246770e+01,1.109461e+01,1.052589e+01,1.108965e+01,1.132025e+01,-1.181626e+00,-5.474111e+00,-1.135799e+01,-1.563632e+01,-6.267295e+00,2.734525e+01,4.107353e+01,4.450726e+01,4.931187e+01,4.983161e+01,5.003919e+01,5.024832e+01,3.833516e+01,2.787975e+01,1.917397e+01,1.861777e+01,1.665622e+01,1.522046e+01,1.799353e+01,1.561828e+01,1.370267e+01,1.355364e+01,1.459425e+01
6.976403e+00,3.964565e+00,2.277122e+00,2.233956e+00,1.976556e-01,2.914002e+00,1.354754e+01,1.318733e+01,5.064100e+00,-1.019256e+01,-3.559111e+01,-3.985646e+01,-3.968098e+01,-2.775315e+01,-1.990979e+01,-1.789843e+01,-1.083157e+01,-1.181168e+01,-1.002709e+01,3.733933e+00,1.038219e+01,1.139910e+01,7.827271e+00,8.355747e+00,7.163863e+00,7.662202e+00,5.973559e+00,6.410714e+00
4.311860e+00,7.114302e+00,5.599502e+00,5.325140e+00,-5.475220e+00,-1.837856e+01,-1.703061e+01,-1.783324e+01,-1.126980e+01,-4.207503e+00,1.595175e+01,2.229773e+01,1.902311e+01,1.737759e+01,1.363098e+01,7.824760e+00,4.209832e+00,5.623479e+00,1.711843e+00,-1.577675e+00,-9.470143e-01,6.934687e+00,6.091479e+00,4.266784e+00,2.424855e+00,4.404036e+00,3.810776e+00,5.294753e+00
5.904262e+00,1.036521e+01,8.618382e+00,9.067292e+00,-6.635403e+00,-1.410018e+01,-1.752386e+01,-1.700716e+01,-3.626937e-01,1.172284e+01,-6.945307e-01,-8.156919e+00,-1.090091e+01,-1.847690e+01,-2.532521e+01,-2.901921e+01,-2.978812e+01,-2.543205e+01,-2.203149e+01,-1.497433e+01,-3.564144e+00,4.772646e+00,5.912008e+00,4.983859e+00,2.261611e+00,2.202777e+00,4.756956e+00,6.071671e+00
3.825285e+00,5.028447e+00,3.037211e+00,3.740799e+00,-6.592422e+00,-4.825806e+00,-1.079246e+01,-1.551739e+01,-1.655133e+01,-1.449245e+01,1.549975e+00,1.160623e+01,1.316379e+01,1.948635e+01,2.316736e+01,2.424770e+01,2.080025e+01,1.186584e+01,2.444430e+00,1.908961e-01,-6.210017e-02,1.655996e+00,2.135214e+00,2.221758e+00,-1.588537e+00,-3.321101e+00,2.525490e+00,3.049648e+00
