Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.319737e+02,-5.114956e+02,-4.567776e+02,-3.794734e+02,-3.189876e+02,-2.158388e+02,-1.282034e+02,-8.707638e+01,-7.565614e+01,-9.501742e+01,-1.062769e+02,-6.776199e+01,-3.844608e+01,-4.794438e+01,-9.464743e+01,-1.690843e+02,-2.536976e+02,-3.467754e+02,-4.164236e+02,-4.805303e+02,-5.079964e+02,-5.097227e+02,-5.096278e+02,-5.112820e+02,-5.073326e+02,-5.094704e+02,-5.221269e+02
3.694521e+01,5.860043e+01,1.055525e+02,1.206423e+02,1.191104e+02,1.030110e+02,7.626186e+01,5.717458e+01,4.818530e+01,5.415185e+01,5.284369e+01,5.077627e+01,6.291789e+01,7.535971e+01,9.779539e+01,1.399836e+02,1.679512e+02,1.651167e+02,1.320963e+02,7.892710e+01,5.601300e+01,5.521131e+01,5.562599e+01,5.278778e+01,5.665547e+01,5.437564e+01,4.458777e+01
1.999476e+01,2.800348e+01,4.555790e+01,2.047886e+01,-3.919790e+00,-3.244833e+01,-4.415347e+01,-5.968535e+01,-6.535713e+01,-6.063140e+01,-6.454530e+01,-7.631584e+01,-8.567556e+01,-8.931881e+01,-7.861646e+01,-5.333703e+01,-3.177450e+01,-6.024759e+00,9.607241e+00,1.183587e+01,1.366532e+01,1.385971e+01,1.566334e+01,1.395953e+01,1.420099e+01,1.376250e+01,1.689178e+01
1.056138e+01,1.171257e+01,2.748675e+01,4.219320e+01,4.663146e+01,3.375628e+01,1.976328e+01,1.029611e+01,6.444215e+00,-4.719342e+00,-6.567108e+00,-5.553444e+00,-2.397803e+01,-3.622108e+01,-3.117560e+01,-2.309299e+01,-2.203009e+01,-1.507700e+01,-1.843556e+01,-7.555732e+00,-3.059471e+00,-6.225281e+00,-2.627338e+00,-4.493564e-01,-1.831934e+00,-1.170299e+00,4.247566e+00
1.276605e+01,1.467781e+01,1.380808e+01,-3.804308e+00,-1.179894e+01,-1.827545e+01,-2.454827e+01,-2.736716e+01,-2.683125e+01,-2.349295e+01,-2.802658e+01,-2.963773e+01,-2.643840e+01,-2.899634e+01,-2.767452e+01,-2.356168e+01,-7.994120e+00,1.171922e+01,1.814245e+01,1.573585e+01,8.630242e+00,2.504737e+00,5.810112e+00,9.387699e+00,1.018230e+01,9.785275e+00,9.847137e+00
1.651224e+01,1.783297e+01,1.249056e+01,-5.467678e-01,-1.153538e+00,1.601567e+01,2.553530e+01,3.371335e+01,4.044233e+01,5.296581e+01,6.073659e+01,5.452464e+01,5.164753e+01,4.597121e+01,4.237041e+01,3.716354e+01,2.683018e+01,1.703080e+01,2.671648e+01,2.606971e+01,1.770335e+01,1.393804e+01,1.517888e+01,1.545705e+01,1.802909e+01,1.695791e+01,1.482605e+01
1.228942e+01,8.532048e+00,1.389383e+01,3.086884e+01,3.352776e+01,-4.853359e+00,-2.922057e+01,-3.070356e+01,-2.906290e+01,-3.280917e+01,-3.600909e+01,-3.139005e+01,-3.075642e+01,-3.270097e+01,-2.742050e+01,-2.627712e+01,-1.900222e+01,-3.293200e+00,2.704069e+00,9.573699e+00,1.011708e+01,9.546650e+00,1.002470e+01,7.802740e+00,8.107921e+00,9.714240e+00,9.173300e+00
2.512091e+00,-4.709814e+00,-6.589071e+00,-5.154031e+00,-7.757708e-01,1.774073e+01,2.781723e+01,2.661713e+01,2.455626e+01,2.628109e+01,2.591498e+01,2.212312e+01,2.074321e+01,1.674662e+01,1.354939e+01,1.327706e-01,-1.316257e+01,-1.339803e+01,-6.102790e+00,-2.017978e+00,1.334933e+00,-1.346639e+00,-2.046231e-01,-1.147541e+00,-2.897253e+00,2.153784e+00,2.404408e+00
-3.924498e+00,-9.503307e+00,-1.698158e+01,-1.712846e+01,-1.631963e+01,-1.804917e+01,-2.445939e+01,-1.576657e+01,-9.340398e+00,-1.009590e+01,-8.445238e+00,-9.763447e+00,-8.615642e+00,-9.477678e+00,-6.023927e+00,-9.765051e+00,-6.655796e+00,2.946252e+00,6.995891e+00,4.935683e+00,2.974073e+00,-3.564183e+00,-2.709207e+00,-3.021839e+00,-2.099769e+00,3.065243e+00,3.406606e+00
-3.700712e+00,-7.398600e+00,-1.163609e+01,-4.774455e+00,-3.461231e+00,-8.461910e+00,4.327547e+00,1.365894e+01,1.314596e+01,9.091236e+00,1.478999e+01,2.223674e+01,2.600962e+01,2.568224e+01,2.725512e+01,2.338061e+01,1.205929e+01,3.470963e+00,1.132204e+01,1.026833e+01,5.703521e+00,9.472600e-01,1.219513e+00,-1.358574e+00,2.391380e+00,5.638582e+00,6.259087e+00
-1.261058e+00,-7.002475e+00,-1.159598e+01,-2.183360e+01,-3.057962e+01,-2.657269e+01,-2.430513e+01,-2.878583e+01,-3.642219e+01,-3.827628e+01,-3.239593e+01,-2.688514e+01,-2.329973e+01,-2.010582e+01,-1.932141e+01,-1.511329e+01,-1.029330e+01,-8.204187e+00,3.093254e-01,1.118426e+00,1.149368e-01,1.144429e+00,2.528746e+00,-5.904164e-01,8.781295e-01,2.890234e+00,2.575440e+00
-9.261104e-01,-8.866928e+00,-1.551717e+01,-1.009933e+01,-1.312460e-01,5.261541e+00,7.679090e+00,1.561964e+00,-2.722237e+00,-4.564607e+00,-6.074854e+00,-1.272280e+01,-1.217302e+01,-7.426556e+00,-1.304580e+01,-2.054606e+01,-1.927734e+01,-9.066694e+00,-8.442520e+00,-8.477957e+00,-6.943608e+00,-4.160145e+00,-1.904931e+00,-1.017392e+00,-2.517886e+00,-2.598316e+00,-3.847462e+00
