Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47,Coeff 48,Coeff 49
-4.965179e+02,-4.809716e+02,-4.794870e+02,-4.768329e+02,-4.751051e+02,-4.783995e+02,-4.668345e+02,-4.421066e+02,-4.239534e+02,-4.141155e+02,-4.166660e+02,-4.111620e+02,-3.517862e+02,-3.120834e+02,-3.146313e+02,-3.333266e+02,-3.506288e+02,-3.624512e+02,-3.629825e+02,-3.692572e+02,-3.729977e+02,-3.652973e+02,-3.672195e+02,-3.666552e+02,-3.276071e+02,-2.699801e+02,-2.385669e+02,-2.312934e+02,-2.135335e+02,-1.718023e+02,-1.423442e+02,-1.319910e+02,-1.299380e+02,-1.144215e+02,-7.603005e+01,-7.554560e+01,-1.218966e+02,-1.884429e+02,-2.531998e+02,-3.530804e+02,-4.488864e+02,-4.671231e+02,-4.698190e+02,-4.721230e+02,-4.660029e+02,-4.667180e+02,-4.719312e+02,-4.730220e+02,-4.754422e+02
5.100237e+01,6.206219e+01,6.290904e+01,6.854229e+01,6.955170e+01,6.529269e+01,7.947000e+01,1.087914e+02,1.288561e+02,1.337348e+02,1.246285e+02,1.238766e+02,1.412004e+02,1.307960e+02,1.128525e+02,1.047110e+02,9.823256e+01,9.499680e+01,9.161395e+01,8.533376e+01,7.455334e+01,6.644614e+01,6.371935e+01,6.578995e+01,8.287233e+01,1.080733e+02,1.176321e+02,1.151811e+02,1.172270e+02,1.229164e+02,1.263060e+02,1.260076e+02,1.218209e+02,1.212580e+02,1.270684e+02,1.348836e+02,1.437721e+02,1.512842e+02,1.434107e+02,1.205119e+02,8.025552e+01,7.443333e+01,6.833421e+01,6.767728e+01,7.329587e+01,7.374197e+01,6.995635e+01,6.874068e+01,6.851927e+01
1.219372e+01,7.196755e+00,5.480970e+00,1.347733e+01,1.417754e+01,9.738980e+00,1.826251e+01,3.836415e+01,5.154713e+01,4.697609e+01,3.619307e+01,2.931801e+01,2.223967e+00,-1.284880e+01,-2.123823e+01,-2.280271e+01,-2.211266e+01,-2.029345e+01,-1.984439e+01,-2.078365e+01,-2.428514e+01,-2.827188e+01,-2.776649e+01,-2.811458e+01,-3.976248e+01,-5.626253e+01,-7.054102e+01,-7.330667e+01,-7.813052e+01,-9.481348e+01,-1.083003e+02,-1.180053e+02,-1.104318e+02,-1.123917e+02,-1.329742e+02,-1.419240e+02,-1.234506e+02,-8.445898e+01,-7.024932e+01,-5.006747e+01,-7.730009e+00,8.657629e+00,4.001368e+00,4.761634e+00,3.350443e+00,3.115767e+00,6.414149e+00,5.973611e+00,9.042303e+00
1.641102e+00,-4.348910e+00,-8.190676e+00,-3.021969e+00,-1.809982e-01,-4.035344e+00,-1.017865e+00,1.326460e+01,2.297340e+01,1.999469e+01,1.520604e+01,1.354446e+01,-1.217282e-01,-1.072705e+01,-1.421147e+01,-1.821528e+01,-1.940577e+01,-1.821832e+01,-1.893317e+01,-1.852578e+01,-1.890121e+01,-1.810402e+01,-2.052538e+01,-2.453186e+01,-3.398953e+01,-3.431665e+01,-3.210088e+01,-2.532634e+01,-2.754571e+01,-2.239773e+01,-1.705762e+01,-1.125019e+01,-6.263201e+00,-1.198809e+00,-2.494832e+00,-3.130317e-01,2.205621e+00,-5.983737e-01,-5.750661e+00,-2.674658e+01,-1.445025e+01,-7.440512e+00,-3.834680e+00,-5.562706e+00,-1.129548e+01,-1.588812e+01,-1.042520e+01,-1.058739e+01,-9.232388e+00
1.443560e+01,1.508390e+01,1.034409e+01,8.710662e+00,1.059229e+01,1.019899e+01,1.150140e+01,1.813804e+01,1.973062e+01,1.584461e+01,1.193606e+01,9.942574e+00,-6.126288e+00,-6.280449e+00,1.291976e+00,3.957199e+00,3.496933e+00,4.060362e+00,5.023313e-02,-1.198290e+00,-1.914326e+00,1.691865e+00,4.415555e+00,4.454006e+00,6.987839e+00,1.710981e+01,1.519338e+01,1.286605e+01,1.044386e+01,7.685912e+00,1.146005e+01,1.200841e+01,3.320469e+00,-6.291018e+00,-1.726992e+01,-1.975237e+01,-1.137278e+01,-2.271560e+00,2.471285e+00,1.215952e+01,1.517277e+01,9.098755e+00,1.537481e+01,1.447438e+01,1.169833e+01,6.721640e+00,6.985838e+00,6.153856e+00,6.395947e+00
1.974922e+01,2.092483e+01,1.718755e+01,1.330309e+01,1.245047e+01,1.274986e+01,1.380745e+01,1.006901e+01,5.100325e+00,7.652808e-01,-1.844278e+00,-7.070792e+00,-1.518721e+01,-7.496341e+00,2.936758e-01,4.050155e+00,9.445747e+00,1.036889e+01,9.130781e+00,8.639877e+00,5.536306e+00,1.374650e+01,1.939312e+01,1.750854e+01,2.099161e+01,2.210007e+01,2.371643e+01,2.236524e+01,2.180226e+01,2.405451e+01,2.239027e+01,1.373949e+01,1.900163e+01,2.405238e+01,2.278739e+01,2.251882e+01,2.332456e+01,1.738396e+01,1.368241e+01,1.310599e+01,1.776001e+01,1.366476e+01,1.583015e+01,1.811676e+01,1.977985e+01,1.826623e+01,1.459915e+01,1.372863e+01,1.504456e+01
1.121660e+01,1.004489e+01,9.089927e+00,8.993801e+00,8.951421e+00,4.955088e+00,2.166792e+00,-7.590025e+00,-1.022491e+01,-6.296061e+00,-3.974226e+00,-6.891411e+00,-1.604584e+01,-2.061722e+01,-1.782932e+01,-1.504370e+01,-1.172601e+01,-8.385267e+00,-3.143234e+00,-3.948738e+00,-6.815213e+00,-7.980392e+00,-1.043702e+01,-1.370005e+01,-1.479247e+01,-1.612902e+01,-1.053712e+01,-7.306455e+00,-7.031820e+00,-8.298820e+00,-1.069418e+01,-1.129701e+01,-1.173488e+01,-9.832718e+00,-1.185672e+01,-9.726296e+00,-5.344995e+00,-1.094837e+01,-4.783788e+00,2.469087e+00,7.165334e+00,6.290530e+00,7.094370e+00,1.003756e+01,1.068226e+01,1.062205e+01,9.383092e+00,9.339230e+00,9.037218e+00
2.874258e+00,3.907629e+00,5.371672e+00,6.015076e+00,7.443148e+00,2.879946e+00,-5.794930e+00,-1.678439e+01,-1.658882e+01,-7.938810e+00,-9.385874e-01,2.176056e-01,-2.148884e+00,4.177437e+00,1.056604e+01,8.301587e+00,4.568064e+00,-1.108702e-01,2.411516e+00,4.020885e+00,3.744786e+00,4.731675e+00,4.057256e+00,4.302849e+00,6.603627e+00,9.043140e+00,5.046093e+00,-7.837701e-01,2.125802e+00,6.699263e-01,1.009449e+00,2.410194e+00,4.210954e+00,2.593752e+00,-9.421256e-02,-2.502577e+00,-2.258012e+00,2.418713e+00,-2.811655e+00,-2.633354e+00,3.758374e+00,2.056885e+00,3.633240e+00,6.029171e+00,3.828077e+00,4.956738e+00,6.391283e+00,4.906822e+00,2.035137e+00
6.279535e-01,5.612372e+00,7.014775e+00,3.164664e+00,3.363531e+00,3.995665e+00,-5.850055e+00,-1.758383e+01,-1.922168e+01,-1.564418e+01,-7.136581e+00,-4.017982e+00,-3.255656e+00,-5.315490e-01,6.915690e+00,9.369841e+00,6.373803e+00,4.915459e+00,4.568320e+00,3.102130e+00,6.255530e-01,8.210288e-01,1.883588e+00,2.422613e+00,4.252632e-01,-2.354267e+00,-3.084031e+00,-1.033499e+00,1.040232e-01,-5.613676e-01,-5.985054e+00,-8.080996e+00,-1.002942e+01,-1.025388e+01,-9.553390e+00,-1.129642e+01,-1.297910e+01,-6.124045e+00,-3.752820e+00,-5.410854e+00,2.549482e+00,5.312445e-01,9.723281e-01,2.439975e+00,1.673778e+00,5.437027e+00,6.030320e+00,1.086531e+00,-9.073443e-01
3.387007e-01,4.896192e+00,4.480272e+00,-6.863337e-01,-1.432121e+00,1.402066e+00,-3.954144e+00,-1.453894e+01,-1.868550e+01,-1.876927e+01,-1.446867e+01,-1.005159e+01,-1.565602e+01,-1.205756e+01,-6.673130e+00,4.039561e-01,1.234786e+00,4.607485e+00,2.541379e+00,-4.578436e-01,3.461909e-01,2.050863e+00,-6.708642e-01,1.157753e-01,4.835144e+00,1.765331e+00,2.595031e+00,7.311882e+00,3.447245e+00,-4.011025e+00,-6.008811e+00,-3.367887e+00,-4.447646e+00,-3.038070e+00,-5.177205e+00,-8.553668e+00,-1.332443e+01,-1.659964e+01,-2.205819e+01,-1.277029e+01,-1.268506e+00,-1.657125e+00,-1.964448e+00,-6.547651e-01,1.718144e+00,4.560587e+00,4.113714e+00,-7.704409e-01,-9.518695e-01
