Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-4.571299e+02,-4.334833e+02,-4.319630e+02,-4.120085e+02,-3.891797e+02,-3.718693e+02,-3.678114e+02,-3.533748e+02,-2.574467e+02,-1.913761e+02,-1.771240e+02,-1.823694e+02,-1.950946e+02,-2.004299e+02,-2.030341e+02,-2.041976e+02,-2.119537e+02,-2.300601e+02,-2.347665e+02,-2.272373e+02,-2.202556e+02,-2.182077e+02,-2.293168e+02,-2.332203e+02,-2.340743e+02,-2.089216e+02,-1.700345e+02,-1.413831e+02,-1.372527e+02,-1.741092e+02,-2.358113e+02,-2.967786e+02,-3.681915e+02,-4.103982e+02,-4.193462e+02,-4.204563e+02,-4.249058e+02,-4.248933e+02
6.494772e+01,8.100273e+01,8.583005e+01,1.059000e+02,1.263659e+02,1.330295e+02,1.254386e+02,1.251210e+02,1.655204e+02,1.691287e+02,1.607983e+02,1.630130e+02,1.614750e+02,1.610708e+02,1.553191e+02,1.519120e+02,1.435351e+02,1.352735e+02,1.302115e+02,1.207544e+02,1.187995e+02,1.097649e+02,1.037640e+02,1.054531e+02,9.458350e+01,8.940306e+01,1.021415e+02,1.176201e+02,1.295232e+02,1.325776e+02,1.420741e+02,1.410405e+02,1.190696e+02,9.598960e+01,8.869810e+01,8.663220e+01,8.361845e+01,8.343417e+01
8.076168e+00,5.455404e+00,1.189589e+01,1.914391e+01,2.664380e+01,2.547036e+01,1.837513e+01,9.657518e+00,-3.261281e+01,-4.854399e+01,-5.276513e+01,-5.395222e+01,-6.026829e+01,-5.829501e+01,-5.870486e+01,-6.664887e+01,-6.443621e+01,-5.181810e+01,-5.125284e+01,-6.363425e+01,-7.268173e+01,-7.306277e+01,-6.123727e+01,-6.044056e+01,-6.539386e+01,-8.511748e+01,-1.046265e+02,-1.132024e+02,-1.136365e+02,-9.976498e+01,-7.444182e+01,-4.600527e+01,-2.093540e+01,-3.831998e+00,2.341155e+00,6.933031e-01,5.175178e-01,1.968261e+00
-8.685286e+00,-6.228849e+00,-2.680265e+00,3.823899e-01,6.733189e+00,1.661319e+01,2.012887e+01,2.713564e+01,4.460454e+00,-4.746163e+00,-6.716047e+00,-7.244807e+00,-8.730556e+00,-7.216255e+00,-1.006877e+01,-2.102862e+01,-2.662280e+01,-2.430372e+01,-2.542952e+01,-2.505217e+01,-2.678935e+01,-2.659756e+01,-1.963853e+01,-1.247600e+01,-7.869685e+00,-4.390163e+00,-1.676390e+00,-6.356099e-01,-3.409445e+00,-7.741842e+00,-1.850097e+01,-2.421275e+01,-2.563493e+01,-1.697269e+01,-5.823604e+00,-4.145140e+00,-4.975306e+00,-1.629738e+00
8.530317e+00,1.377386e+01,1.327009e+01,1.406816e+01,1.538677e+01,1.331171e+01,1.357067e+01,1.048535e+01,-8.304535e-01,4.909179e+00,1.259385e+01,1.451655e+01,1.261167e+01,9.356799e+00,8.787363e+00,1.039193e+01,8.985950e+00,6.192760e+00,4.275915e+00,3.471922e+00,2.526954e+00,2.172747e+00,4.341604e+00,9.063011e+00,9.022228e+00,5.962264e+00,3.635916e+00,-1.891962e+00,-3.945074e+00,9.203533e-01,6.532448e+00,7.616541e+00,1.115408e+01,9.703489e+00,1.040918e+01,1.336309e+01,1.326478e+01,1.451818e+01
1.769560e+01,1.780936e+01,1.375471e+01,6.600086e+00,2.690249e+00,-4.348690e+00,-3.756899e+00,-1.480423e+01,-2.638650e+01,-1.977877e+01,-1.098286e+01,-4.737883e+00,-2.866838e-01,-4.667716e-01,3.790266e+00,1.094876e+01,1.764923e+01,1.925276e+01,1.683599e+01,2.265884e+01,2.980336e+01,3.318894e+01,2.922460e+01,2.803093e+01,2.874449e+01,2.566474e+01,2.048374e+01,1.924146e+01,1.712412e+01,1.970415e+01,1.643038e+01,1.126235e+01,1.110881e+01,1.519942e+01,1.165572e+01,1.126527e+01,1.014008e+01,8.397894e+00
8.430943e+00,1.041178e+01,9.157260e+00,-3.760221e+00,-9.380048e+00,-4.815586e+00,4.560666e+00,1.766791e+00,-1.453678e+01,-1.964615e+01,-1.643883e+01,-1.306731e+01,-7.682254e+00,-7.260756e+00,-7.152479e+00,-1.066712e+01,-1.368144e+01,-1.326488e+01,-1.673457e+01,-1.423288e+01,-1.342163e+01,-2.008130e+01,-2.519164e+01,-2.040984e+01,-1.736832e+01,-2.038720e+01,-1.636950e+01,-1.019929e+01,-1.087064e+01,-7.662534e+00,-3.421076e+00,2.103595e-01,3.537759e+00,1.141283e+01,1.300285e+01,1.139697e+01,8.389946e+00,5.786974e+00
-1.377454e+00,4.446588e+00,8.024569e+00,-3.430713e+00,-1.284912e+01,-1.212402e+01,-3.279440e+00,2.242548e+00,-9.205943e-01,1.169683e+01,2.309127e+01,1.579208e+01,1.022145e+01,1.061218e+01,1.051146e+01,1.199941e+01,1.951481e+01,1.798005e+01,1.633273e+01,1.606465e+01,1.396298e+01,1.381125e+01,1.307306e+01,1.260112e+01,1.635493e+01,1.689669e+01,1.847637e+01,2.034898e+01,1.947385e+01,1.562111e+01,1.079163e+01,5.064660e+00,8.981056e-01,9.914547e+00,1.016310e+01,9.570857e+00,9.444789e+00,7.893218e+00
-1.825128e+00,3.140617e+00,1.992850e+00,-7.354620e+00,-1.564929e+01,-1.926120e+01,-1.826278e+01,-1.101162e+01,-1.165715e+01,-1.291490e+01,-2.693792e+00,-2.103052e+00,-4.531927e+00,-3.299034e+00,-3.956168e+00,-4.838071e+00,-3.552556e-02,-3.796635e+00,-8.880405e+00,-7.975448e+00,-8.794041e+00,-1.116469e+01,-1.395338e+01,-1.297240e+01,-1.822372e+01,-2.121636e+01,-2.007694e+01,-2.076720e+01,-2.175493e+01,-2.034066e+01,-1.703271e+01,-1.355611e+01,-1.166859e+01,1.712876e+00,1.839566e+00,4.180112e-01,2.873013e+00,4.096949e+00
1.354072e+00,3.888405e+00,-3.087965e+00,-1.192636e+01,-1.432235e+01,-1.178932e+01,-9.488130e+00,-1.060889e+01,-1.793390e+01,-1.017969e+01,-4.099117e+00,-8.775676e+00,-8.815414e+00,-6.085670e+00,-3.881294e+00,-5.830752e+00,-7.140750e+00,-9.555425e+00,-9.707702e+00,-2.082847e+00,-1.575011e+00,-4.081555e+00,-3.509633e+00,-7.059446e+00,-1.152281e+01,-1.179235e+01,-1.529659e+01,-1.973099e+01,-2.363006e+01,-2.745993e+01,-3.072779e+01,-3.035699e+01,-2.063308e+01,-9.850748e+00,-1.300319e+00,-3.958966e+00,-2.472092e+00,-3.395194e-02
