Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47
-5.049738e+02,-4.879265e+02,-4.860687e+02,-4.867245e+02,-4.796382e+02,-4.782715e+02,-4.884441e+02,-4.880442e+02,-4.137895e+02,-3.270182e+02,-2.851963e+02,-2.633588e+02,-2.166917e+02,-1.864853e+02,-1.825653e+02,-1.899811e+02,-2.043696e+02,-2.042279e+02,-1.972263e+02,-1.833041e+02,-1.739329e+02,-1.869571e+02,-1.950255e+02,-1.840971e+02,-1.578146e+02,-1.416653e+02,-1.143413e+02,-9.206527e+01,-9.020448e+01,-8.619482e+01,-8.779031e+01,-7.899213e+01,-7.080691e+01,-9.188804e+01,-1.457683e+02,-1.956340e+02,-2.477536e+02,-3.334533e+02,-4.200976e+02,-4.672166e+02,-4.871170e+02,-4.909701e+02,-4.922938e+02,-4.932491e+02,-4.929307e+02,-4.916213e+02,-5.045774e+02
3.226849e+01,4.625912e+01,4.276508e+01,4.307578e+01,4.713414e+01,4.726278e+01,4.297043e+01,5.153585e+01,1.152546e+02,1.407375e+02,1.426041e+02,1.392648e+02,1.514881e+02,1.360553e+02,1.181930e+02,1.173909e+02,1.224125e+02,1.268202e+02,1.282208e+02,1.169618e+02,1.220786e+02,1.289957e+02,1.351913e+02,1.402911e+02,1.378084e+02,1.221023e+02,1.258691e+02,1.349256e+02,1.296800e+02,1.180588e+02,1.084435e+02,1.017129e+02,1.062019e+02,1.068268e+02,1.094261e+02,1.182313e+02,1.346862e+02,1.394510e+02,9.722195e+01,6.215476e+01,4.752208e+01,4.512497e+01,4.303515e+01,4.123285e+01,4.194543e+01,4.293466e+01,2.964511e+01
1.962497e+01,1.778353e+01,7.784409e+00,1.010374e+01,1.125085e+01,1.163438e+01,1.607862e+01,2.995493e+01,4.833155e+01,1.266043e+01,-1.400175e+01,-3.170243e+01,-4.585735e+01,-5.563544e+01,-6.113114e+01,-6.128767e+01,-6.253143e+01,-6.704409e+01,-7.677457e+01,-8.468913e+01,-8.417685e+01,-8.134810e+01,-8.359335e+01,-8.536137e+01,-9.607349e+01,-1.063731e+02,-1.203134e+02,-1.333628e+02,-1.329275e+02,-1.361193e+02,-1.338575e+02,-1.353153e+02,-1.353957e+02,-1.290139e+02,-1.055563e+02,-8.306973e+01,-6.190819e+01,-3.087716e+01,2.178362e-01,1.001167e+01,1.806048e+01,2.135721e+01,1.892662e+01,1.661812e+01,1.825018e+01,1.707003e+01,1.226581e+01
9.401137e+00,5.203270e+00,-2.586490e-01,2.500018e+00,9.674936e+00,1.378598e+01,1.074514e+01,1.473279e+01,2.938488e+01,4.016055e+01,4.398093e+01,4.322133e+01,2.790983e+01,1.798883e+01,1.458033e+01,9.867170e+00,-2.444941e+00,-3.928660e+00,-1.983019e+00,2.876573e+00,1.982236e-02,-5.987478e+00,-2.563915e+00,3.681193e+00,4.871789e+00,1.338900e+01,1.020460e+01,7.580249e+00,1.038884e+01,1.406340e+01,2.083926e+01,2.106010e+01,1.577761e+01,1.725495e+01,9.665597e+00,-4.886287e-01,-9.636582e+00,-2.575448e+01,-2.195973e+01,-9.622406e+00,4.668560e+00,1.029979e+01,8.111061e+00,6.059766e+00,8.330837e+00,4.788171e+00,2.583405e+00
6.444180e+00,8.858179e+00,9.874678e+00,1.091889e+01,1.327410e+01,1.652503e+01,1.229153e+01,1.093236e+01,6.657372e+00,6.272497e-01,-1.316701e+00,-7.222466e+00,-2.023168e+01,-1.804658e+01,-6.177881e+00,-1.696006e+00,-6.831375e-01,-4.826932e+00,-6.921174e+00,-1.494435e+01,-1.745863e+01,-1.234920e+00,1.088059e+01,9.166801e+00,3.920080e+00,1.008973e+00,-3.828557e+00,-1.067688e+01,-1.292799e+01,-2.135182e+01,-2.075567e+01,-2.323854e+01,-2.621864e+01,-2.398704e+01,-1.716306e+01,-1.061157e+01,-7.874256e-01,1.360198e+01,7.587880e+00,5.799836e+00,1.134214e+01,1.448954e+01,1.347410e+01,1.169228e+01,1.299930e+01,8.404314e+00,4.288086e+00
9.267984e+00,1.300854e+01,1.466394e+01,1.255161e+01,4.024491e+00,4.755484e+00,9.697199e+00,1.044766e+01,-1.405078e+01,-2.574823e+01,-2.444988e+01,-2.269194e+01,-2.523359e+01,-1.742295e+01,-9.008166e-01,5.145959e+00,5.466374e+00,7.711310e+00,1.136605e+01,2.101772e+01,2.524191e+01,2.602750e+01,2.059693e+01,1.432322e+01,1.416298e+01,2.078120e+01,2.122805e+01,1.541209e+01,1.791689e+01,2.054428e+01,2.241978e+01,2.078374e+01,2.611338e+01,3.294692e+01,3.598228e+01,3.174580e+01,1.821921e+01,1.201938e+01,1.882693e+01,2.014854e+01,1.863338e+01,1.802987e+01,1.841991e+01,1.632184e+01,1.671785e+01,1.336553e+01,9.731846e+00
1.292041e+01,1.136398e+01,1.181856e+01,8.270521e+00,2.601596e+00,5.897726e+00,1.124090e+01,6.531771e+00,-1.691576e+01,-1.037481e+01,2.225793e+00,6.944449e+00,-5.305182e+00,-9.817759e+00,6.851486e-01,1.034604e+00,-1.347611e+00,3.215821e+00,5.491210e+00,-1.479997e+00,-6.057298e+00,-6.778109e+00,-2.326427e+00,-2.776262e+00,-7.061426e+00,-7.836346e+00,-1.788223e+00,3.356873e+00,2.247707e-01,-1.393751e+00,-1.516430e+00,-6.333704e+00,-1.142638e+01,-1.530666e+01,-1.328133e+01,-1.046638e+01,-7.348927e+00,-1.360098e+00,6.798313e+00,1.572467e+01,1.492060e+01,1.253004e+01,1.331691e+01,1.104304e+01,1.290293e+01,1.226263e+01,1.192037e+01
1.242708e+01,6.304694e+00,4.855320e+00,4.531839e+00,4.165410e+00,7.777414e+00,9.672090e+00,8.002180e-01,-2.312388e+01,-2.250696e+01,-1.319701e+01,-1.064788e+01,-1.209549e+01,-1.494223e+00,1.515818e+01,1.654040e+01,1.780183e+01,1.320761e+01,6.691963e+00,4.363899e+00,2.378779e+00,4.715968e+00,6.150479e+00,3.139862e+00,5.652443e+00,4.479628e+00,6.730557e+00,5.312422e+00,1.466944e+00,3.069475e+00,5.158903e+00,7.792123e+00,1.020042e+01,7.596366e+00,1.161193e+00,-2.653455e+00,-5.423229e+00,-7.882220e+00,-4.096480e+00,3.709072e+00,7.521758e+00,5.549735e+00,5.351418e+00,3.478137e+00,7.047061e+00,8.486627e+00,9.692529e+00
6.682433e+00,1.191188e+00,-2.567999e+00,1.347524e+00,-3.025056e+00,-4.572405e+00,7.471973e-02,-3.262241e+00,-2.348602e+01,-1.954366e+01,-1.331189e+01,-8.790039e+00,-9.202522e+00,-9.509482e+00,-4.072976e+00,7.438715e-01,6.597089e-01,-3.833300e+00,-5.506338e+00,1.428931e+00,1.685858e+00,-1.206203e+00,-5.679214e+00,-3.978211e+00,-4.103139e+00,-5.228384e+00,-5.051806e+00,-3.200122e+00,-5.373599e+00,-4.595009e+00,-7.559922e+00,-1.055392e+01,-1.564158e+01,-1.671001e+01,-2.144331e+01,-2.170163e+01,-1.657518e+01,-1.499622e+01,-1.076330e+01,-3.828898e+00,4.538382e+00,4.591610e+00,3.052548e+00,1.547725e+00,3.466858e+00,5.220675e+00,5.473877e+00
-3.061227e-01,-6.819963e-01,-1.657773e+00,1.842952e+00,-1.322405e+00,-3.389323e+00,-9.864213e-01,-5.979087e+00,-1.701729e+01,-1.500001e+01,-1.620925e+01,-1.896534e+01,-2.069917e+01,-1.680299e+01,-8.456589e+00,-6.180866e+00,-6.802709e+00,-5.460376e+00,-6.185400e+00,-8.057614e+00,-7.449841e+00,-5.627666e+00,-3.475926e+00,9.398561e-01,-3.733337e+00,-4.514419e+00,-6.197540e-01,1.205966e+00,-3.849158e+00,-6.030516e+00,-6.409460e+00,-3.280864e+00,-9.195873e+00,-1.682721e+01,-2.198872e+01,-2.107228e+01,-2.351830e+01,-1.832640e+01,-1.438342e+01,-6.562537e+00,3.057370e+00,6.131046e+00,4.336360e+00,2.959709e+00,9.922098e-01,1.590851e+00,1.204313e+00
