Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-5.026310e+02,-4.815358e+02,-4.824113e+02,-4.567722e+02,-4.267172e+02,-3.920382e+02,-3.296190e+02,-2.763461e+02,-1.915684e+02,-1.316178e+02,-1.173418e+02,-1.258336e+02,-1.424087e+02,-1.462245e+02,-1.391689e+02,-1.445450e+02,-1.553006e+02,-1.464668e+02,-1.445243e+02,-1.422554e+02,-1.385532e+02,-1.378664e+02,-1.221433e+02,-9.527921e+01,-7.444294e+01,-7.083442e+01,-7.998306e+01,-8.689881e+01,-8.670106e+01,-8.257651e+01,-1.062415e+02,-1.736155e+02,-2.517229e+02,-3.294734e+02,-3.986718e+02,-4.606274e+02,-4.750264e+02,-4.786496e+02,-4.802690e+02,-4.807797e+02,-4.786544e+02
3.955070e+01,5.821062e+01,5.889674e+01,8.939667e+01,1.230054e+02,1.451199e+02,1.410866e+02,1.302379e+02,1.298312e+02,1.216996e+02,1.013231e+02,9.373376e+01,9.780553e+01,9.832994e+01,9.658197e+01,9.699475e+01,1.001207e+02,9.878767e+01,9.561353e+01,9.470964e+01,9.804287e+01,9.749976e+01,9.081233e+01,8.747137e+01,8.672812e+01,9.033633e+01,9.291702e+01,9.186864e+01,9.348325e+01,1.054320e+02,1.144668e+02,1.261870e+02,1.494135e+02,1.488363e+02,1.194695e+02,7.781189e+01,6.599907e+01,6.320555e+01,6.031712e+01,5.952831e+01,6.372097e+01
1.028963e+01,1.184116e+01,1.555760e+01,3.359447e+01,5.251442e+01,5.505460e+01,3.521094e+01,1.357777e+01,-2.092616e+01,-4.327619e+01,-5.581099e+01,-5.498315e+01,-5.174412e+01,-5.469448e+01,-5.702979e+01,-5.215815e+01,-4.599517e+01,-5.009460e+01,-5.366690e+01,-5.515709e+01,-6.375209e+01,-7.058101e+01,-7.565984e+01,-9.335427e+01,-1.090846e+02,-1.131478e+02,-1.054872e+02,-1.003932e+02,-9.718486e+01,-1.099855e+02,-1.115434e+02,-8.530859e+01,-5.362344e+01,-2.528177e+01,-5.184332e+00,1.461697e+01,1.698142e+01,1.845081e+01,1.511190e+01,1.285332e+01,1.741024e+01
-4.946468e-01,-6.028978e-01,3.203525e+00,1.039720e+01,2.217620e+01,3.688822e+01,5.864404e+01,6.650301e+01,4.680740e+01,3.494970e+01,3.013897e+01,2.504302e+01,1.777940e+01,1.015022e+01,5.599728e+00,5.045466e+00,3.844640e+00,5.930360e+00,4.940062e+00,1.056512e+01,1.290286e+01,1.051050e+01,1.358592e+01,1.714064e+01,2.107754e+01,2.671820e+01,3.225780e+01,2.929812e+01,2.960783e+01,2.700140e+01,2.225291e+01,1.092465e+01,-6.269796e+00,-1.552056e+01,-2.110888e+01,-3.852770e+00,1.583884e+00,5.093645e+00,3.223724e+00,-2.176269e+00,-5.194418e-01
7.259607e+00,1.376491e+01,1.568329e+01,1.681350e+01,2.409167e+01,2.615799e+01,1.554914e+01,4.680664e+00,-2.371441e+01,-3.471422e+01,-3.601109e+01,-3.458633e+01,-2.722031e+01,-2.758056e+01,-2.280127e+01,-2.220302e+01,-2.166119e+01,-1.643046e+01,-1.724287e+01,-2.064889e+01,-1.940973e+01,-1.759783e+01,-1.660938e+01,-1.510359e+01,-1.550401e+01,-1.619398e+01,-1.678747e+01,-1.587939e+01,-1.871170e+01,-1.765982e+01,-1.490750e+01,3.539741e+00,1.716219e+01,1.956005e+01,1.845886e+01,1.337537e+01,1.288720e+01,1.606787e+01,1.628908e+01,9.579443e+00,8.289806e+00
1.314633e+01,1.665546e+01,1.858822e+01,1.635123e+01,1.769034e+01,1.116686e+00,-1.239485e+01,-1.642616e+01,-5.770997e-01,1.129551e+01,1.958121e+01,2.419634e+01,3.333658e+01,3.949398e+01,4.492497e+01,4.719310e+01,4.362857e+01,4.291737e+01,4.219324e+01,4.635767e+01,4.590933e+01,4.424786e+01,4.721153e+01,4.620453e+01,4.574261e+01,4.674326e+01,4.942606e+01,4.910533e+01,4.920628e+01,4.274986e+01,4.116269e+01,3.547805e+01,2.185503e+01,1.374857e+01,2.102065e+01,1.855128e+01,1.624579e+01,1.872251e+01,1.915312e+01,1.502995e+01,1.256884e+01
9.416338e+00,3.768138e+00,7.063319e+00,1.334143e+00,-1.436505e-01,-6.721663e+00,-5.402833e+00,-9.034618e+00,-2.042201e+01,-2.931828e+01,-2.361726e+01,-2.150079e+01,-2.322834e+01,-2.553083e+01,-2.656522e+01,-2.968513e+01,-2.927608e+01,-3.123033e+01,-3.072577e+01,-2.947403e+01,-2.542751e+01,-2.198749e+01,-2.230885e+01,-3.039050e+01,-2.729847e+01,-2.296789e+01,-1.995998e+01,-1.828347e+01,-1.846109e+01,-1.838572e+01,-1.596916e+01,-1.531038e+01,-1.166637e+01,2.054692e+00,2.218646e+00,6.167111e+00,7.404937e+00,8.380648e+00,8.472316e+00,7.551312e+00,5.163338e+00
2.771033e+00,-2.833414e+00,-9.538885e-02,-1.019251e+01,-1.386766e+01,-9.749170e+00,-7.978498e+00,-4.506414e+00,2.639009e+00,5.986740e+00,1.393933e+01,1.684798e+01,1.292879e+01,1.152856e+01,1.774769e+01,2.063790e+01,2.104293e+01,2.398009e+01,2.672274e+01,2.237804e+01,1.984735e+01,1.965029e+01,1.926922e+01,1.639743e+01,1.978054e+01,1.929136e+01,1.657511e+01,2.013226e+01,1.650674e+01,1.060761e+01,7.831395e+00,8.836318e+00,2.380655e+00,-1.956512e+00,-3.056356e+00,-4.292385e-02,1.891801e+00,-1.331938e-01,1.653150e+00,1.295526e+00,1.522624e+00
-2.936304e+00,7.021409e-01,2.680525e+00,-1.085968e+01,-2.024013e+01,-1.943754e+01,-1.499535e+01,-8.107847e+00,-9.144722e+00,-1.368092e+01,-1.144761e+01,-1.261319e+01,-9.220090e+00,-4.771852e+00,-5.440331e+00,-6.577560e+00,-9.891220e+00,-1.060794e+01,-7.979184e+00,-1.015370e+01,-1.104724e+01,-8.273973e+00,-1.061104e+01,-1.740092e+01,-2.220634e+01,-2.114109e+01,-2.028424e+01,-2.449716e+01,-2.427525e+01,-2.504699e+01,-2.222567e+01,-1.968750e+01,-1.595969e+01,-1.185325e+01,-3.324563e+00,3.505087e+00,3.552287e+00,-2.527648e-02,2.916486e+00,2.234204e+00,5.947642e+00
-8.147885e+00,1.089294e+00,5.344007e+00,-8.867125e+00,-2.053585e+01,-2.366793e+01,-1.479735e+01,-9.016852e+00,-1.088565e+01,-7.126226e+00,-3.563176e+00,-2.897672e+00,-2.179275e+00,-3.655292e-01,4.997036e+00,8.813520e+00,5.121767e+00,6.180666e+00,7.071392e+00,5.200928e+00,4.096614e+00,2.383245e+00,4.140553e+00,5.314212e+00,1.364794e+00,5.657251e-01,-3.732129e+00,-6.048827e+00,-4.925705e+00,-7.758079e+00,-1.298903e+01,-1.850014e+01,-1.592550e+01,-1.222704e+01,-8.126030e+00,3.806704e+00,5.348841e+00,4.047644e+00,4.156727e+00,5.079845e+00,7.993474e+00
