Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.363358e+02,-4.413045e+02,-3.698693e+02,-3.057415e+02,-2.241500e+02,-1.905719e+02,-2.051873e+02,-2.071440e+02,-2.011318e+02,-2.184794e+02,-2.560353e+02,-3.056006e+02,-3.626278e+02,-4.068334e+02,-4.413228e+02,-4.788191e+02,-5.188656e+02,-5.480015e+02,-5.677352e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02,-5.771564e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.275765e+01,1.121723e+02,1.327208e+02,1.454437e+02,1.757393e+02,1.807739e+02,1.690396e+02,1.802789e+02,2.069574e+02,2.298707e+02,2.382911e+02,2.274091e+02,2.034095e+02,1.774864e+02,1.478966e+02,1.119005e+02,7.049573e+01,3.882576e+01,1.280665e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.970585e+01,2.427446e+01,-1.497549e+01,-3.543873e+01,-6.466040e+01,-8.386245e+01,-8.635393e+01,-8.007804e+01,-7.728456e+01,-5.681176e+01,-2.731919e+01,-4.104874e+00,2.154306e+01,4.481908e+01,5.220245e+01,5.178067e+01,4.289363e+01,3.211444e+01,1.133105e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.317321e+01,2.304564e+01,2.627252e+01,2.579766e+01,9.286823e+00,-1.274831e+00,-1.107043e+01,-2.893289e+01,-4.937878e+01,-6.304474e+01,-6.774913e+01,-7.144391e+01,-6.937816e+01,-4.809728e+01,-2.189889e+01,2.075125e+00,1.700085e+01,2.246317e+01,9.108075e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.141735e+00,1.052397e-01,1.714068e-01,-1.227429e+01,-2.231623e+01,-3.016935e+01,-3.193121e+01,-4.897127e+01,-6.208445e+01,-6.772755e+01,-6.514281e+01,-5.692268e+01,-5.452169e+01,-5.314561e+01,-3.550238e+01,-1.188546e+01,4.611403e+00,1.171010e+01,6.443046e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.317112e+00,-2.110397e+01,-2.689426e+01,-1.625137e+01,-1.968629e+01,-1.606988e+01,-2.518051e+00,-1.062244e+00,-1.275266e+01,-2.186326e+01,-2.705148e+01,-2.446642e+01,-1.275959e+01,-1.351199e+01,-1.071181e+01,-5.932509e-01,3.778721e+00,1.689156e+00,3.676630e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-7.967587e+00,-8.991131e+00,5.813048e+00,9.061599e-01,-2.664021e+01,-3.332765e+01,-2.530825e+01,-6.723231e+00,3.744633e+00,1.578849e+01,1.995736e+01,1.006547e+01,4.541574e+00,6.833508e+00,6.918048e+00,8.430005e+00,3.987695e+00,-6.173635e+00,1.121993e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.060875e+01,-2.519063e+01,-2.769919e+01,-3.350320e+01,-3.357875e+01,-3.458341e+01,-3.013193e+01,-1.681925e+01,-1.454684e+01,-1.135914e+01,-7.690394e+00,-5.961598e+00,-7.381476e+00,-5.917971e+00,-1.087489e+00,9.655560e-01,-1.930812e+00,-1.109142e+01,-9.882618e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.230474e+01,-2.241951e+01,-2.801791e+01,-3.017904e+01,-2.588195e+01,-2.331759e+01,-1.799207e+01,-2.072432e+01,-2.766556e+01,-3.129034e+01,-3.333432e+01,-2.954227e+01,-2.048090e+01,-2.197267e+01,-1.774158e+01,-1.426179e+01,-1.138916e+01,-1.296272e+01,-2.534462e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.393348e+01,6.217734e+00,1.667960e+01,1.444361e+01,2.777075e+00,-4.924669e+00,-2.696992e+00,-1.267787e+01,-2.292421e+01,-1.912922e+01,-1.010685e+01,-1.064237e+01,-1.560923e+01,-1.994854e+01,-2.140715e+01,-2.108905e+01,-1.643362e+01,-1.227883e+01,-3.515819e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
