Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.122172e+02,-4.976276e+02,-4.953911e+02,-4.953763e+02,-4.975845e+02,-4.111922e+02,-2.326132e+02,-1.639304e+02,-1.515117e+02,-1.545154e+02,-1.444193e+02,-1.336408e+02,-1.378116e+02,-1.620728e+02,-2.058120e+02,-2.522473e+02,-3.101729e+02,-3.730778e+02,-4.230892e+02,-4.658695e+02,-4.915028e+02,-4.900996e+02,-4.865463e+02,-4.917008e+02,-4.964621e+02,-4.973088e+02,-5.076150e+02
3.694569e+01,5.082669e+01,5.348203e+01,5.378083e+01,5.334954e+01,8.606395e+01,1.135269e+02,1.114971e+02,1.040507e+02,1.105048e+02,1.118629e+02,1.238350e+02,1.340061e+02,1.396143e+02,1.436162e+02,1.429554e+02,1.469783e+02,1.463443e+02,1.142435e+02,7.623909e+01,5.557029e+01,6.000052e+01,6.333137e+01,5.786089e+01,5.227998e+01,5.236980e+01,4.285278e+01
1.836524e+01,1.933685e+01,2.028224e+01,2.033542e+01,2.432020e+01,-2.672382e+00,-4.256268e+01,-6.178136e+01,-8.055399e+01,-8.670806e+01,-8.442562e+01,-8.925929e+01,-8.827444e+01,-7.421019e+01,-4.933711e+01,-3.004186e+01,-9.657187e+00,4.909053e+00,1.107671e+01,9.713999e+00,1.634773e+01,2.369480e+01,2.375042e+01,2.223829e+01,1.965221e+01,2.210009e+01,2.240193e+01
1.248480e+01,6.224083e+00,3.841807e+00,3.370416e+00,8.488759e+00,1.439853e+01,2.686192e+01,2.401752e+01,1.676157e+01,4.606883e+00,-4.267234e+00,-1.239534e+01,-2.120012e+01,-2.508686e+01,-2.416656e+01,-3.027920e+01,-3.253362e+01,-3.152385e+01,-2.312906e+01,-1.581262e+01,-4.819251e-01,4.459355e+00,1.914852e+00,3.171660e+00,4.374158e+00,8.391492e+00,1.381918e+01
1.740873e+01,1.199024e+01,5.948347e+00,7.530118e+00,1.144270e+01,5.233215e+00,-2.283660e+01,-2.766684e+01,-1.643907e+01,-1.162279e+01,-2.284391e+01,-2.472052e+01,-2.614319e+01,-3.102905e+01,-3.156877e+01,-1.754829e+01,1.315643e+00,1.528159e+01,9.522745e+00,4.827941e+00,8.873428e+00,8.371367e+00,4.381540e+00,5.250303e+00,9.441626e+00,1.391875e+01,1.724214e+01
1.624591e+01,1.458807e+01,8.394726e+00,1.381074e+01,1.763436e+01,1.353588e+00,1.364806e+01,3.110683e+01,5.114697e+01,6.497484e+01,8.078705e+01,8.250515e+01,8.196812e+01,7.801025e+01,6.927698e+01,6.226657e+01,5.179906e+01,3.948728e+01,3.208338e+01,2.381185e+01,1.747849e+01,1.489463e+01,1.188416e+01,1.085099e+01,1.509248e+01,1.822331e+01,1.773931e+01
5.619174e+00,6.582759e+00,4.844172e+00,1.091539e+01,1.536899e+01,-5.119288e+00,-2.582240e+01,-2.750721e+01,-2.189532e+01,-2.246876e+01,-2.451540e+01,-2.589803e+01,-2.553298e+01,-2.273774e+01,-1.924553e+01,-1.968667e+01,-1.573186e+01,8.374911e+00,1.807123e+01,1.659433e+01,1.042727e+01,1.025761e+01,1.129003e+01,9.757885e+00,1.055525e+01,1.078495e+01,9.720126e+00
-1.046009e+00,4.090551e-02,2.220947e+00,5.013286e+00,8.463660e+00,-4.004104e+00,7.646942e+00,1.505680e+01,1.307445e+01,5.378077e+00,1.942813e+00,-1.429793e+00,-4.152716e+00,-3.327847e+00,-2.545112e+00,1.050315e+00,4.387956e-01,-1.371575e+00,3.656000e-02,2.148787e+00,-1.151103e+00,1.104812e+00,5.576452e+00,5.111464e+00,2.142521e+00,1.296277e+00,1.966784e+00
3.003806e+00,2.013730e+00,3.325457e+00,3.661646e+00,4.962196e+00,6.723214e+00,7.169351e+00,7.283862e+00,1.486627e+01,2.251522e+01,2.127288e+01,1.510698e+01,1.681092e+01,1.366559e+01,9.505623e+00,5.264122e+00,1.168564e+00,-4.090799e+00,-2.450993e+00,-3.038220e-01,-3.468656e+00,-2.312419e+00,1.355598e+00,1.434210e+00,-1.535066e+00,1.234622e-01,2.080526e+00
7.566244e+00,4.953858e+00,3.469980e+00,4.296852e+00,4.518826e+00,1.643290e-01,-3.282251e+00,-2.700853e+00,-4.685064e+00,-4.825918e+00,-1.790235e+00,7.781065e-01,-1.812037e+00,-8.723666e+00,-1.197710e+01,-4.706800e+00,-2.699584e+00,-2.868462e+00,-8.494160e-01,3.556403e+00,1.209906e+00,-1.254609e+00,-4.583012e-01,-9.824396e-01,-4.996123e-01,3.648291e+00,6.187773e+00
2.510143e+00,1.051493e+00,-1.301242e+00,4.106662e-01,1.175865e+00,7.406892e+00,9.872289e+00,-7.925999e-01,-1.440583e+01,-1.425600e+01,-5.044972e+00,5.517650e+00,9.972004e+00,1.558337e+01,1.905182e+01,1.394881e+01,7.874535e+00,-6.690840e+00,-5.424884e+00,1.995049e+00,2.198775e+00,-2.765025e+00,-3.132006e+00,-3.887937e+00,-8.405476e-01,2.777287e+00,5.625786e+00
