Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.022069e+02,-4.834460e+02,-4.796091e+02,-4.805696e+02,-4.849615e+02,-4.889059e+02,-4.895844e+02,-4.858311e+02,-3.357867e+02,-1.458464e+02,-9.195084e+01,-1.015195e+02,-9.754679e+01,-8.229491e+01,-8.078835e+01,-9.064916e+01,-1.095184e+02,-1.431084e+02,-1.962656e+02,-2.701489e+02,-3.579591e+02,-4.213479e+02,-4.650610e+02,-4.839956e+02,-4.871849e+02,-4.877570e+02,-4.905742e+02,-4.903539e+02,-4.882503e+02,-5.033036e+02
5.311444e+01,7.016344e+01,7.396370e+01,7.447403e+01,7.126775e+01,6.878105e+01,6.756667e+01,6.961654e+01,5.001476e+01,4.208406e+01,3.360040e+01,3.241144e+01,3.813732e+01,3.858212e+01,4.662753e+01,6.046221e+01,7.762108e+01,9.025279e+01,1.062849e+02,1.195305e+02,1.346669e+02,1.185942e+02,8.587151e+01,7.296889e+01,7.070238e+01,6.964541e+01,6.748529e+01,6.800397e+01,6.977568e+01,5.882111e+01
1.035065e+01,1.249689e+01,1.481019e+01,1.756763e+01,2.015644e+01,2.204535e+01,1.981258e+01,2.006322e+01,8.205267e+00,-7.088367e+00,-6.946714e+00,-7.287856e+00,-1.424564e+01,-2.000723e+01,-3.224154e+01,-3.758194e+01,-3.214198e+01,-2.042819e+01,-1.066210e+01,-5.309420e-01,5.319167e+00,8.290956e+00,1.404188e+01,2.189478e+01,2.265400e+01,2.137674e+01,2.261418e+01,2.338818e+01,2.421827e+01,3.043580e+01
-7.843704e+00,-9.606468e+00,-5.301107e+00,-2.583623e+00,2.647296e+00,3.518301e+00,8.313541e-01,4.598416e+00,6.277566e+00,-3.003422e-01,-2.574696e+00,-1.574609e+01,-2.976757e+01,-3.181459e+01,-3.104529e+01,-3.722888e+01,-3.989126e+01,-3.738163e+01,-2.667077e+01,-1.827907e+01,-2.191196e+01,-1.918415e+01,-5.051215e+00,3.484312e+00,3.234195e+00,2.325728e+00,4.961423e+00,6.161671e+00,8.240135e+00,1.861108e+01
2.336550e+00,1.613911e+00,7.829242e+00,1.109836e+01,1.436494e+01,1.145128e+01,1.082776e+01,1.245062e+01,9.407578e+00,-8.158831e+00,-1.662337e+01,-1.678060e+01,-1.446402e+01,-1.643068e+01,-1.175703e+01,-1.151580e+01,-1.761258e+01,-2.097083e+01,-1.687425e+01,-5.636948e+00,3.241675e+00,1.167382e+01,1.868357e+01,1.515698e+01,1.193022e+01,1.208432e+01,1.237859e+01,1.463177e+01,1.651685e+01,1.983974e+01
1.466680e+01,1.033662e+01,1.380738e+01,1.817215e+01,1.935103e+01,1.711193e+01,1.884571e+01,1.306570e+01,2.761742e+01,4.427189e+01,5.009286e+01,5.600512e+01,7.166008e+01,8.186310e+01,7.947532e+01,8.065671e+01,8.150855e+01,8.260757e+01,7.142604e+01,5.503912e+01,3.200760e+01,2.491747e+01,2.967904e+01,2.198988e+01,1.815067e+01,1.982884e+01,1.604720e+01,1.850018e+01,1.744231e+01,1.650933e+01
1.585624e+01,9.479154e+00,6.960989e+00,9.428262e+00,1.164958e+01,1.358785e+01,1.477729e+01,8.653853e+00,-9.888525e+00,-3.184304e+01,-3.961163e+01,-4.042077e+01,-4.247485e+01,-4.386892e+01,-4.953626e+01,-5.189484e+01,-5.182137e+01,-4.798868e+01,-4.103350e+01,-3.244121e+01,-8.896366e+00,8.973431e+00,1.725343e+01,1.505069e+01,1.169572e+01,1.352712e+01,9.604097e+00,1.007589e+01,8.654524e+00,9.325572e+00
1.165665e+01,1.048243e+01,4.053005e+00,3.800496e+00,7.704432e+00,1.065438e+01,1.006293e+01,7.615820e+00,1.010247e+01,2.777601e+01,4.122563e+01,4.529990e+01,3.024784e+01,2.837739e+01,2.940521e+01,3.094317e+01,2.855202e+01,2.662202e+01,2.500372e+01,1.915657e+01,9.860937e+00,2.214343e+00,5.493015e+00,7.830355e+00,3.937601e+00,3.080112e+00,4.373650e+00,3.336286e+00,6.037454e+00,7.351477e+00
6.318265e+00,1.007585e+01,5.277797e+00,5.598566e+00,9.206877e+00,1.028075e+01,9.102030e+00,4.531794e+00,-1.589145e+01,-1.138782e+01,-1.150598e+01,-1.254495e+01,-1.172566e+01,-1.256988e+01,-1.186751e+01,-9.995994e+00,-7.265529e+00,-4.735867e+00,-7.658751e+00,-7.552011e+00,-1.332128e+00,1.502180e+00,3.022609e+00,4.941280e+00,2.227057e+00,-1.283171e+00,3.171540e+00,4.175954e+00,8.885477e+00,7.341363e+00
-5.800527e-01,2.233164e+00,2.393499e+00,3.370709e+00,6.332870e+00,7.597309e+00,6.278280e+00,1.441168e-01,9.505783e+00,6.369165e+00,1.057484e+01,1.227738e+01,1.563036e+01,1.370484e+01,1.274538e+01,6.621691e+00,6.412428e+00,9.301980e+00,8.362472e+00,3.130899e+00,1.261488e-01,1.970593e+00,2.093734e+00,2.020790e+00,3.108117e+00,3.672079e-01,1.920631e+00,6.094465e+00,7.051616e+00,2.966993e+00
-6.053595e+00,-5.356632e+00,-2.850411e+00,-4.539951e+00,-1.685367e+00,3.965746e-01,-3.138779e-01,-8.149790e-01,9.616760e+00,-3.587418e+00,-9.573495e+00,-1.610917e+01,-1.341378e+01,-7.102176e+00,-1.412907e+00,-4.356611e+00,-7.050691e+00,-2.334877e+00,1.945697e+00,1.027674e+00,6.496948e-01,-8.452694e-01,-2.235516e-01,-2.329827e+00,8.138046e-01,3.016791e-01,-5.041749e-01,3.199240e+00,7.371979e-01,-2.133639e+00
-7.000512e+00,-6.342793e+00,-5.569384e+00,-8.724848e+00,-7.497802e+00,-7.591284e+00,-6.383098e+00,-2.957033e+00,-9.386950e+00,-1.324446e+01,-1.210530e+01,-1.237286e+01,-1.427040e+01,-1.592235e+01,-1.395882e+01,-1.524693e+01,-1.247682e+01,-1.109056e+01,-1.646211e+01,-1.807063e+01,-2.015165e+01,-6.740465e+00,-1.807960e+00,-6.964518e+00,-5.424288e+00,-4.742532e+00,-3.686667e+00,-4.025676e+00,-4.625200e+00,-2.937833e+00
-4.725250e+00,-4.399348e+00,-4.499678e+00,-5.096565e+00,-5.983063e+00,-7.899946e+00,-7.121220e+00,-6.029776e+00,-2.145075e+01,-3.067315e+01,-3.819540e+01,-3.708611e+01,-2.492573e+01,-2.416268e+01,-2.815682e+01,-2.282071e+01,-1.651398e+01,-1.659739e+01,-1.405578e+01,-6.403038e+00,-4.676332e+00,-3.819203e+00,-2.279232e+00,-8.997507e+00,-9.721376e+00,-7.119901e+00,-5.384854e+00,-9.193901e+00,-6.810188e+00,-9.607874e-01
