Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-5.271390e+02,-5.016517e+02,-4.968576e+02,-4.992168e+02,-4.962476e+02,-2.957033e+02,-1.634578e+02,-1.180355e+02,-1.134973e+02,-1.180928e+02,-9.623431e+01,-8.579764e+01,-9.799493e+01,-1.291721e+02,-1.813566e+02,-2.543867e+02,-3.525251e+02,-4.108979e+02,-4.434745e+02,-4.800937e+02,-4.948801e+02,-4.979921e+02,-5.010187e+02,-4.975640e+02,-4.937076e+02,-5.094828e+02
4.871353e+01,6.947032e+01,7.469470e+01,7.451557e+01,7.585889e+01,6.776244e+01,6.034808e+01,4.859084e+01,4.077073e+01,4.894295e+01,5.468850e+01,6.715681e+01,8.233084e+01,9.688382e+01,1.114253e+02,1.232054e+02,1.398279e+02,1.294046e+02,1.112576e+02,8.780745e+01,7.916240e+01,7.561092e+01,7.183925e+01,7.584263e+01,7.984992e+01,6.687671e+01
2.889394e+01,2.589356e+01,2.768776e+01,3.102031e+01,3.015817e+01,6.501118e+00,5.995482e+00,-4.524703e+00,-1.754468e+01,-2.214823e+01,-3.234987e+01,-4.131378e+01,-3.748275e+01,-2.479423e+01,-1.596640e+01,-1.018751e+01,-2.073984e+00,2.759551e+00,9.015429e+00,2.652024e+01,3.417490e+01,3.263258e+01,3.019273e+01,3.289860e+01,3.270964e+01,3.374735e+01
1.883930e+01,1.241429e+01,1.227783e+01,1.353392e+01,1.563274e+01,1.484197e+01,1.372429e+01,9.701596e+00,2.619858e+00,-2.490283e+00,-3.731607e+00,-5.875593e+00,-8.565202e+00,-3.990967e+00,-3.319277e+00,-6.825023e+00,-1.316197e+01,-1.413676e+01,-8.669010e+00,1.145245e+01,1.737640e+01,1.793058e+01,1.655271e+01,1.858965e+01,1.402809e+01,1.645644e+01
1.881129e+01,2.152494e+01,2.285088e+01,2.178277e+01,2.471187e+01,-9.421722e+00,-2.346268e+01,-2.091062e+01,-8.507291e+00,-4.076212e+00,-1.481962e+01,-1.854158e+01,-2.048356e+01,-2.259944e+01,-1.724949e+01,-8.021148e-01,1.781171e+01,2.250670e+01,2.366567e+01,2.690862e+01,2.468003e+01,2.618261e+01,2.537568e+01,2.636481e+01,2.145515e+01,1.850663e+01
1.868559e+01,2.240680e+01,2.541724e+01,2.638867e+01,2.571175e+01,2.623865e+01,3.569478e+01,4.909025e+01,7.055881e+01,8.621304e+01,9.713647e+01,9.482632e+01,9.256526e+01,8.655765e+01,7.908794e+01,6.832130e+01,5.043951e+01,3.346237e+01,3.088094e+01,2.910200e+01,2.540374e+01,2.573185e+01,2.712326e+01,2.707684e+01,2.501458e+01,2.213105e+01
1.518102e+01,1.353245e+01,1.510791e+01,1.667880e+01,1.492378e+01,-2.023442e+01,-2.929648e+01,-3.825768e+01,-4.155269e+01,-4.340651e+01,-4.638934e+01,-4.682518e+01,-4.718171e+01,-4.551701e+01,-3.773879e+01,-2.672570e+01,-1.718214e+00,9.914652e+00,1.555120e+01,1.747100e+01,1.454150e+01,1.268015e+01,1.708688e+01,1.726581e+01,1.654542e+01,1.771094e+01
1.042216e+01,7.758596e+00,7.039731e+00,4.011220e+00,4.048225e+00,1.496248e+01,3.309922e+01,4.067171e+01,3.389573e+01,2.677504e+01,2.685451e+01,2.899709e+01,2.980169e+01,3.247643e+01,2.879583e+01,2.090647e+01,8.857079e+00,2.967940e+00,3.815770e+00,6.818079e+00,5.785645e+00,3.533222e+00,6.696009e+00,6.711074e+00,6.484978e+00,9.476858e+00
5.805395e+00,4.749492e+00,3.686488e+00,-2.329593e+00,-2.703863e+00,-1.714744e+01,-2.390141e+01,-2.303677e+01,-1.569192e+01,-7.222939e+00,-1.289085e+01,-1.623780e+01,-1.789705e+01,-1.133901e+01,-8.000669e+00,-5.317013e+00,-2.665840e+00,8.076375e-01,-2.066659e+00,-1.632005e+00,2.013461e+00,1.584318e+00,-2.942059e-01,-2.163531e+00,9.237781e-01,3.020265e+00
2.849800e+00,1.562053e+00,-3.181338e-03,-2.531205e+00,-3.944080e+00,-3.842451e+00,-1.355110e+00,4.408915e+00,6.136873e+00,1.104319e+01,1.264038e+01,1.213514e+01,1.231848e+01,1.086329e+01,5.921051e+00,-1.530852e+00,-5.602431e+00,-2.712019e+00,-3.923639e+00,-5.710925e+00,-1.561790e+00,-6.631621e-01,-3.726381e+00,-6.095685e+00,-1.826147e-01,-1.177839e-01
1.157415e+00,2.330957e-01,-3.453721e+00,-1.423570e+00,-1.603648e+00,9.812700e+00,1.109884e+00,-1.095257e+01,-2.250167e+01,-1.646954e+01,-1.233365e+01,-9.267405e+00,-4.595354e+00,-4.740429e+00,-5.188416e+00,-2.430719e+00,-7.479078e-01,-1.373479e-01,-2.713357e+00,-3.944697e+00,-5.022257e+00,-4.402038e+00,-3.250820e+00,-2.927632e+00,5.735940e-01,-1.255900e+00
-3.048057e+00,-1.911169e+00,-6.110511e+00,-3.655739e+00,-2.764143e+00,-1.571480e+01,-1.544153e+01,-1.475061e+01,-2.178077e+01,-2.503379e+01,-2.973475e+01,-2.466803e+01,-1.237212e+01,-1.161667e+01,-1.901279e+01,-1.983051e+01,-1.733196e+01,-5.804753e+00,-3.370755e+00,-4.058841e+00,-6.949550e+00,-6.392270e+00,-3.050667e+00,-1.102874e+00,-1.002390e+00,-2.907241e+00
-9.205328e+00,-6.483551e+00,-8.013586e+00,-7.024115e+00,-6.159813e+00,-1.875056e+01,-2.528128e+01,-2.930987e+01,-3.246429e+01,-2.805329e+01,-2.861781e+01,-2.623091e+01,-1.935376e+01,-1.027536e+01,-6.200463e+00,-6.382373e+00,-2.562342e+00,-4.088478e+00,-5.439463e+00,-7.635166e+00,-6.327914e+00,-4.922719e+00,-4.632892e+00,-5.070872e+00,-3.914125e+00,-4.776525e+00
