Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-5.127131e+02,-4.996716e+02,-4.988584e+02,-4.961338e+02,-4.939424e+02,-4.958552e+02,-4.989617e+02,-3.620217e+02,-2.305974e+02,-1.785730e+02,-1.277320e+02,-8.177009e+01,-5.391741e+01,-5.682972e+01,-6.701739e+01,-6.230921e+01,-5.662700e+01,-6.056322e+01,-5.005085e+01,-3.862493e+01,-5.282982e+01,-7.628267e+01,-9.866995e+01,-1.505124e+02,-2.730797e+02,-3.686905e+02,-4.361524e+02,-4.780484e+02,-4.952517e+02,-4.989084e+02,-4.989433e+02,-4.971263e+02,-4.970745e+02,-4.990412e+02
3.186012e+01,4.607047e+01,4.696818e+01,4.960845e+01,5.245459e+01,5.008595e+01,4.561917e+01,1.147025e+02,1.228634e+02,1.224686e+02,1.321304e+02,1.059445e+02,8.413084e+01,7.302628e+01,5.727702e+01,4.779930e+01,4.613914e+01,5.163290e+01,5.614696e+01,5.852371e+01,5.602224e+01,6.352214e+01,8.770359e+01,1.048813e+02,1.205535e+02,1.217428e+02,8.435733e+01,6.132452e+01,4.983744e+01,4.702901e+01,4.746127e+01,4.780829e+01,4.833064e+01,4.762384e+01
6.823672e+00,1.266564e+01,1.386703e+01,1.396531e+01,1.617031e+01,1.440879e+01,1.095686e+01,2.316640e+01,8.439024e+00,-1.427557e+01,-6.045023e+01,-8.103427e+01,-8.299738e+01,-6.883133e+01,-5.175541e+01,-5.105583e+01,-5.231762e+01,-4.923116e+01,-6.126236e+01,-7.876089e+01,-8.086879e+01,-7.481242e+01,-8.421826e+01,-8.024242e+01,-4.287640e+01,-2.763544e+01,-8.099708e+00,8.060607e+00,1.342951e+01,1.497628e+01,1.623336e+01,1.281653e+01,1.299431e+01,1.520716e+01
-6.843932e+00,-6.594764e+00,-4.107293e+00,-5.994541e+00,-4.465214e+00,-5.649504e+00,-6.000184e+00,-1.255878e+01,-1.707324e+01,-2.230326e+00,1.239965e+01,5.595966e+00,-1.045982e+01,-1.746630e+01,-2.003022e+01,-2.698786e+01,-3.448431e+01,-3.880183e+01,-4.285168e+01,-4.253669e+01,-3.836527e+01,-3.440276e+01,-4.040680e+01,-4.231913e+01,-4.706505e+01,-4.888097e+01,-3.391312e+01,-1.002612e+01,-4.150189e+00,-8.169180e-01,5.737356e-01,-3.518595e+00,-5.951701e+00,-4.262522e+00
-2.109058e-01,-1.607898e+00,7.772843e-01,-1.454239e+00,-4.785574e-01,-8.815191e-01,1.694066e+00,1.466270e-01,-3.064823e+00,-9.256998e+00,-2.061438e+01,-3.324361e+01,-4.274011e+01,-4.187342e+01,-3.641247e+01,-3.252478e+01,-3.179854e+01,-3.124599e+01,-3.236033e+01,-3.444960e+01,-3.198750e+01,-2.435552e+01,-1.996185e+01,-8.604060e+00,6.065489e+00,1.272941e+01,3.874130e+00,7.089436e+00,3.587983e+00,5.282857e+00,6.080726e+00,4.588056e+00,-3.313065e-02,-7.192892e-01
1.425982e+01,1.238062e+01,1.218277e+01,1.184703e+01,1.184712e+01,1.183572e+01,1.431956e+01,-3.810904e+01,-4.212738e+01,-1.930201e+01,-7.132359e+00,1.122095e+01,2.596942e+01,3.417212e+01,4.200929e+01,4.472562e+01,4.578710e+01,4.617799e+01,4.800842e+01,4.854466e+01,5.354209e+01,5.759791e+01,5.101547e+01,4.287391e+01,2.096773e+01,2.107054e+00,1.108685e+01,1.719592e+01,1.540085e+01,1.476363e+01,1.531490e+01,1.607012e+01,1.286192e+01,1.176050e+01
2.010499e+01,1.832964e+01,1.620004e+01,1.956448e+01,1.781847e+01,1.678951e+01,1.698766e+01,-1.949943e+01,-3.837420e+01,-4.644584e+01,-3.657595e+01,-3.519245e+01,-3.300204e+01,-3.299889e+01,-3.545298e+01,-3.501566e+01,-3.632543e+01,-3.904378e+01,-4.000777e+01,-4.143889e+01,-4.106880e+01,-4.179571e+01,-3.850464e+01,-2.878962e+01,-2.598658e+01,-9.386804e+00,1.071679e+01,1.327026e+01,1.667400e+01,1.510945e+01,1.645217e+01,1.731480e+01,1.741282e+01,1.713757e+01
1.442012e+01,1.427891e+01,1.334695e+01,1.916422e+01,1.608138e+01,1.384111e+01,1.274949e+01,7.748962e+00,2.452663e+01,2.520417e+01,2.572142e+01,4.433755e+01,4.913731e+01,4.854626e+01,4.359456e+01,4.600368e+01,4.573911e+01,4.604977e+01,4.759760e+01,4.510765e+01,4.353852e+01,4.010881e+01,3.700813e+01,2.953081e+01,2.127662e+01,6.325593e+00,1.347701e+01,1.037275e+01,1.210403e+01,1.071696e+01,1.302834e+01,1.359228e+01,1.482146e+01,1.367410e+01
6.295934e+00,7.764412e+00,8.432554e+00,1.208135e+01,9.610321e+00,8.598518e+00,8.193758e+00,-2.343583e+01,-3.035769e+01,-1.705554e+01,-4.452960e+00,-9.325508e+00,-7.155099e+00,-6.328349e+00,-8.109140e+00,-7.978738e+00,-8.398886e+00,-1.020715e+01,-1.449342e+01,-1.819080e+01,-1.752227e+01,-1.684055e+01,-1.487457e+01,-8.660208e+00,1.334680e+00,8.832941e+00,1.475086e+01,1.045133e+01,8.516727e+00,7.496656e+00,9.462742e+00,1.060823e+01,1.069569e+01,8.027922e+00
3.137512e+00,3.923204e+00,3.238982e+00,1.660288e+00,1.016501e+00,2.824596e+00,3.343867e+00,-2.324494e+00,-1.317449e+01,-2.711321e+01,-3.063859e+01,-8.423005e+00,-2.626061e-03,-1.364617e+00,-5.909837e+00,-4.403119e+00,-2.048025e+00,-3.173598e-01,-1.978290e+00,-4.583808e+00,-8.036800e+00,-1.211591e+01,-1.729875e+01,-2.713486e+01,-2.930431e+01,-1.470755e+01,-1.770191e+00,2.748665e+00,4.338837e+00,3.717034e+00,3.967461e+00,5.286995e+00,5.110252e+00,3.664620e+00
3.736562e+00,2.651835e+00,-3.059388e-01,-4.332857e+00,-4.271329e+00,-2.660892e+00,-2.080370e+00,3.747620e+00,4.992788e+00,6.679215e+00,1.952378e+01,1.144210e+01,-8.792256e+00,-1.911585e+01,-2.050334e+01,-1.860250e+01,-1.836056e+01,-1.747450e+01,-2.096787e+01,-2.364692e+01,-2.258023e+01,-2.040389e+01,-1.255146e+01,-8.325545e+00,-1.465019e+01,-1.316534e+01,-1.041580e+01,-5.624036e+00,-1.631658e+00,-1.779203e+00,-2.841707e+00,-2.613516e+00,-1.863548e+00,2.721878e-01
3.530669e+00,1.868632e+00,-4.253280e-01,-1.813046e+00,-2.318488e+00,-5.121549e+00,-4.747360e+00,6.752666e+00,1.725077e+01,1.804779e+01,-1.405120e+00,-1.844377e+00,6.583323e+00,9.388165e+00,6.734749e+00,7.516787e-01,9.837207e-01,1.215623e+00,1.193147e+00,2.635205e+00,2.082103e+00,3.855518e+00,6.337455e+00,-2.575679e-01,-1.254594e+01,-4.522290e+00,-5.495018e+00,-3.316793e+00,-4.893534e+00,-4.777583e+00,-5.285315e+00,-5.956017e+00,-5.869557e+00,-1.399140e+00
1.555743e+00,9.033355e-02,5.861960e-02,1.878964e+00,2.012978e+00,-3.671916e+00,-3.456016e+00,-1.922638e+01,-2.827356e+01,-3.273679e+01,-2.726824e+01,-1.927259e+01,-1.266780e+01,-1.351935e+01,-1.288171e+01,-1.179885e+01,-1.190391e+01,-1.230283e+01,-1.478991e+01,-1.558618e+01,-1.553125e+01,-8.211965e+00,-2.611280e+00,-2.600714e-01,5.397165e+00,-1.919224e-01,-4.118596e+00,2.406018e+00,-2.876522e+00,-2.857601e+00,-1.774439e+00,-2.381484e+00,-4.435695e+00,-1.796445e-01
