Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.317026e+02,-5.129000e+02,-5.133204e+02,-5.121048e+02,-5.139009e+02,-5.150985e+02,-4.794726e+02,-3.008234e+02,-1.913734e+02,-1.553505e+02,-1.614961e+02,-1.530205e+02,-1.309062e+02,-1.240481e+02,-1.156437e+02,-9.521025e+01,-7.568584e+01,-5.575455e+01,-4.107161e+01,-2.788448e+01,-2.667622e+01,-3.984658e+01,-4.071412e+01,-5.530983e+01,-1.292604e+02,-2.625918e+02,-3.741444e+02,-4.483209e+02,-4.917568e+02,-5.031957e+02,-5.043329e+02,-5.064012e+02,-5.074817e+02,-5.031717e+02,-5.034557e+02,-5.250810e+02
4.052953e+01,5.745270e+01,5.665131e+01,5.851912e+01,5.753783e+01,5.439763e+01,5.039757e+01,8.141724e+01,1.223667e+02,1.227353e+02,1.079157e+02,1.112830e+02,9.856551e+01,8.088816e+01,6.923250e+01,6.053866e+01,5.974065e+01,6.100736e+01,5.617844e+01,5.654863e+01,5.518034e+01,5.715264e+01,8.933912e+01,1.170600e+02,1.293691e+02,1.475721e+02,1.396837e+02,1.016684e+02,7.396832e+01,6.586687e+01,6.430278e+01,6.277832e+01,6.243153e+01,6.631821e+01,6.537622e+01,4.508675e+01
1.568631e+01,1.667982e+01,1.525103e+01,1.711788e+01,1.830259e+01,1.420663e+01,4.882030e+00,2.624903e+00,-8.791212e+00,-1.823911e+01,-4.511222e+01,-7.153650e+01,-7.373756e+01,-6.175014e+01,-4.188628e+01,-4.399277e+01,-4.734023e+01,-5.403567e+01,-6.230894e+01,-6.609691e+01,-6.414699e+01,-6.442384e+01,-7.395399e+01,-8.119505e+01,-7.731503e+01,-5.572848e+01,-3.148107e+01,-6.650581e+00,1.119213e+01,1.580537e+01,1.498625e+01,1.612683e+01,1.713349e+01,1.593339e+01,1.392974e+01,1.205670e+01
-8.166369e-01,-2.963237e+00,-5.082305e+00,-4.099318e+00,-2.923785e+00,-4.008954e+00,1.998397e+00,1.339794e+00,-6.875126e+00,-1.054609e+01,-2.920594e-01,2.798839e+00,7.383388e+00,-6.686676e-02,-2.070872e+01,-3.444949e+01,-3.915921e+01,-4.130935e+01,-4.220911e+01,-4.476012e+01,-4.504681e+01,-4.236819e+01,-5.279316e+01,-6.588806e+01,-7.151588e+01,-6.939369e+01,-6.368005e+01,-4.254420e+01,-1.417613e+01,-7.286400e+00,-6.701061e+00,-4.565587e+00,-3.651924e+00,-8.424573e+00,-1.180067e+01,-5.888550e+00
-9.445975e-01,4.196847e+00,2.237383e+00,1.845724e+00,2.775749e+00,4.776244e+00,6.713397e+00,-1.765373e+01,-1.388684e+01,-5.044464e+00,1.138385e+01,8.921470e+00,-1.800705e+01,-2.865542e+01,-2.379810e+01,-1.632725e+01,-1.692982e+01,-2.051874e+01,-2.106816e+01,-2.337179e+01,-2.523090e+01,-2.566846e+01,-2.954460e+01,-2.987786e+01,-2.164197e+01,-9.261265e+00,-8.146912e+00,-1.088842e+01,1.286910e+00,2.629297e+00,3.375190e+00,4.149931e+00,5.746487e+00,2.796641e+00,-1.821036e+00,4.423051e-02
6.444193e+00,1.365374e+01,1.303631e+01,1.270115e+01,1.534360e+01,1.541987e+01,1.017702e+01,-2.239546e+01,-1.456509e+01,-4.500046e+00,-2.200484e+00,-2.808554e+00,1.329118e+01,3.615716e+01,4.960487e+01,4.940322e+01,4.792711e+01,4.743953e+01,4.990727e+01,5.033044e+01,5.135186e+01,5.528757e+01,5.203645e+01,4.529567e+01,4.368230e+01,2.600491e+01,1.054539e+01,1.092666e+01,1.911977e+01,1.601675e+01,1.488759e+01,1.459964e+01,1.749757e+01,1.977906e+01,1.595045e+01,1.281528e+01
1.058339e+01,1.144778e+01,1.201507e+01,1.433838e+01,1.803374e+01,1.406048e+01,1.574034e+01,-1.725052e+01,-3.238323e+01,-3.128680e+01,-2.165186e+01,-1.636490e+01,-3.074998e+01,-3.638689e+01,-3.680608e+01,-3.582567e+01,-3.418007e+01,-3.480939e+01,-3.456001e+01,-3.554053e+01,-3.584214e+01,-3.653885e+01,-4.072661e+01,-4.617159e+01,-4.762553e+01,-3.031486e+01,-2.934673e-01,1.860558e+01,2.161821e+01,1.697496e+01,1.389593e+01,1.469952e+01,1.607852e+01,2.084268e+01,2.055051e+01,1.620607e+01
9.691201e+00,5.834654e+00,5.829829e+00,1.130808e+01,1.262198e+01,8.848437e+00,9.665104e+00,6.215833e+00,1.686479e+01,1.551079e+01,2.035125e+01,2.961113e+01,4.397064e+01,4.584529e+01,4.271370e+01,3.989726e+01,4.116787e+01,4.311361e+01,4.602275e+01,4.640876e+01,4.644540e+01,4.735394e+01,4.254497e+01,3.910381e+01,3.627927e+01,2.530188e+01,1.997434e+01,2.319291e+01,1.698323e+01,1.345654e+01,9.972349e+00,1.178411e+01,1.026802e+01,1.301977e+01,1.624938e+01,1.165939e+01
6.943736e+00,4.017328e+00,2.306340e+00,7.935775e+00,6.422507e+00,6.461618e+00,-1.106761e-01,-1.928740e+01,-1.441128e+01,2.815228e-01,1.199079e+01,6.978596e+00,-6.122742e+00,-5.710719e+00,1.043147e+00,1.905847e-02,-1.521855e+00,-3.168546e+00,-3.507870e+00,-5.625535e+00,-8.470716e+00,-1.065982e+01,-1.562022e+01,-1.939949e+01,-1.730276e+01,-2.268363e+00,1.593144e+01,2.082665e+01,1.144221e+01,1.123656e+01,8.117727e+00,8.392075e+00,8.191827e+00,9.053999e+00,1.217531e+01,8.279858e+00
3.547304e+00,1.555560e+00,-9.652011e-01,1.783962e+00,1.402873e+00,2.916058e+00,1.071352e+01,3.167685e+00,-6.625579e+00,-2.446267e+01,-2.907691e+01,-1.978791e+01,-2.718830e-01,4.024704e+00,3.380104e+00,4.566547e+00,4.984077e+00,5.070385e+00,6.418082e+00,6.391104e+00,4.323293e+00,3.517291e+00,8.543226e-01,-6.075196e+00,-1.654322e+01,-2.086533e+01,-9.192564e+00,3.833785e+00,4.689477e+00,6.084790e+00,3.529632e+00,1.760952e+00,6.016734e+00,7.876925e+00,8.554866e+00,7.915537e+00
-2.602796e-01,-3.328176e+00,-5.654496e+00,-5.045667e+00,-1.908027e+00,-2.207411e+00,-9.754591e+00,-1.137058e+01,-7.614837e+00,9.059352e-02,7.030185e+00,1.246400e+01,-1.151739e+00,-1.849053e+01,-2.605092e+01,-2.655882e+01,-2.641522e+01,-2.645045e+01,-2.638533e+01,-2.556317e+01,-2.539159e+01,-2.288855e+01,-1.804945e+01,-1.509067e+01,-1.414327e+01,-1.737680e+01,-1.183771e+01,-9.194420e+00,-1.696976e+00,-1.741480e+00,-2.224244e+00,-3.244838e+00,8.103015e-01,3.344840e+00,3.310834e+00,5.880779e+00
