Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-4.864608e+02,-4.727437e+02,-4.720619e+02,-4.699746e+02,-4.701532e+02,-4.595262e+02,-2.726559e+02,-1.897360e+02,-1.737234e+02,-1.656696e+02,-1.182744e+02,-9.295172e+01,-1.113714e+02,-1.274761e+02,-1.134640e+02,-1.136481e+02,-1.389088e+02,-1.915687e+02,-2.607934e+02,-3.215254e+02,-3.515002e+02,-3.780922e+02,-4.170325e+02,-4.465431e+02,-4.603938e+02,-4.541964e+02,-4.448811e+02,-4.387776e+02,-4.430651e+02
3.344486e+01,4.613161e+01,4.657915e+01,4.867978e+01,4.841747e+01,5.091849e+01,6.924818e+01,7.945937e+01,1.018787e+02,1.252351e+02,9.594807e+01,5.885507e+01,4.496838e+01,4.590255e+01,6.185040e+01,9.196747e+01,1.315893e+02,1.593728e+02,1.545142e+02,1.339007e+02,1.200222e+02,9.804231e+01,6.902834e+01,5.369650e+01,4.801583e+01,5.231834e+01,5.394100e+01,5.153911e+01,4.748421e+01
2.436049e+01,2.394399e+01,2.281606e+01,2.364943e+01,2.421579e+01,2.234823e+01,1.033584e+01,-6.109380e-01,-1.552652e+01,-4.339452e+01,-5.653663e+01,-3.942181e+01,-2.365607e+01,-1.977426e+01,-3.417823e+01,-4.488776e+01,-3.808348e+01,-2.050166e+01,7.247474e+00,2.041909e+01,1.598960e+01,1.313974e+01,1.538491e+01,1.671787e+01,1.638590e+01,1.850681e+01,1.768603e+01,1.357180e+01,1.369347e+01
1.566590e+01,8.165045e+00,4.919154e+00,5.915135e+00,8.755896e+00,5.202064e+00,6.622362e+00,1.247859e+01,1.209918e+01,6.777214e+00,1.083096e+01,9.190516e+00,-8.429624e+00,-2.734099e+01,-3.796029e+01,-5.435514e+01,-6.518025e+01,-5.485838e+01,-3.074838e+01,-8.661186e+00,-9.514057e+00,-1.270776e+01,-3.893392e+00,1.459232e+00,1.318392e+00,2.746417e+00,6.196623e+00,7.079553e+00,6.995154e+00
1.107334e+01,6.058681e+00,1.702485e+00,3.925410e+00,8.562138e+00,3.856297e+00,-1.406776e+01,-1.535027e+01,-1.274429e+01,-1.795142e+01,-2.820387e+01,-3.458546e+01,-2.933566e+01,-2.019642e+01,-2.459126e+01,-2.563834e+01,-2.810532e+01,-3.275066e+01,-4.311355e+01,-3.080019e+01,-2.014316e+01,-2.720837e+01,-2.062455e+01,-5.059114e+00,1.240684e+00,-2.507407e+00,-5.962234e+00,-1.163494e+01,-1.265875e+01
1.021104e+01,1.058139e+01,7.474788e+00,1.008802e+01,1.345061e+01,7.656146e+00,-2.767225e+00,4.259068e+00,1.455519e+01,2.372252e+01,3.296537e+01,4.025158e+01,4.991128e+01,5.946106e+01,6.220722e+01,5.842113e+01,5.284452e+01,4.897353e+01,4.145388e+01,2.987091e+01,2.686470e+01,2.637665e+01,2.575116e+01,2.455984e+01,2.144074e+01,1.615928e+01,1.842902e+01,1.748936e+01,1.823797e+01
1.030334e+01,1.286049e+01,1.268789e+01,1.408998e+01,1.352628e+01,8.590128e+00,-2.734034e+01,-3.306895e+01,-4.159030e+01,-4.091379e+01,-4.135114e+01,-4.087615e+01,-3.778254e+01,-4.139175e+01,-4.094563e+01,-4.444290e+01,-4.318184e+01,-3.173415e+01,-1.651362e+01,-6.910519e+00,4.882608e+00,9.561348e+00,1.156180e+01,1.438921e+01,1.736536e+01,1.337753e+01,1.248577e+01,1.219554e+01,1.419824e+01
9.054857e+00,1.149255e+01,1.348852e+01,1.325128e+01,9.793839e+00,1.141295e+01,1.568871e+00,-1.745450e+00,-5.160628e+00,-7.988933e+00,1.168424e+01,2.308297e+01,2.301925e+01,2.859789e+01,1.674906e+01,8.480350e+00,3.851401e+00,-8.816557e+00,-2.615135e+01,-2.355939e+01,-1.401139e+01,-1.301004e+01,-6.907537e+00,1.389492e+00,7.811848e+00,8.808055e+00,8.684639e-01,-4.113256e+00,9.451425e-01
5.872538e+00,8.681170e+00,1.040094e+01,9.593596e+00,7.433796e+00,4.347431e+00,-5.444500e+00,-4.408404e+00,1.012529e+01,3.138387e+01,1.639283e+01,1.177696e+01,1.025429e+01,4.737778e+00,-3.241654e+00,-7.510376e+00,-1.036751e+01,-5.259246e+00,1.044794e+01,2.590096e+01,2.053351e+01,1.809946e+01,1.901417e+01,1.402562e+01,1.093335e+01,1.556979e+01,1.852157e+01,1.616483e+01,1.762701e+01
1.419594e+00,3.932652e+00,3.835022e+00,3.561242e+00,5.862392e+00,7.774323e+00,1.164066e+01,9.633803e+00,-4.296316e+00,-2.433640e+01,-1.155651e+01,6.741630e+00,1.203459e+01,2.237415e+01,3.299496e+01,4.155439e+01,4.301912e+01,2.835502e+01,1.670325e+01,1.274821e+01,7.246279e+00,-5.040479e-01,-1.382760e+00,-1.621795e-02,3.105864e+00,4.050743e+00,6.936848e+00,2.320055e+00,-3.420782e-01
