Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-4.618322e+02,-4.421351e+02,-4.394539e+02,-4.436705e+02,-4.411698e+02,-4.418954e+02,-4.497329e+02,-4.293539e+02,-2.771382e+02,-2.016685e+02,-1.960252e+02,-1.967979e+02,-1.599728e+02,-1.253266e+02,-1.124589e+02,-1.272424e+02,-1.324414e+02,-1.060111e+02,-8.693433e+01,-1.120524e+02,-1.649029e+02,-2.302569e+02,-2.992990e+02,-3.490344e+02,-4.024256e+02,-4.530520e+02,-4.676046e+02,-4.664034e+02,-4.661031e+02,-4.658995e+02,-4.673638e+02
4.813851e+01,6.209946e+01,6.030492e+01,5.880164e+01,6.505826e+01,6.246735e+01,5.511730e+01,7.016053e+01,1.058189e+02,1.153007e+02,1.275291e+02,1.307719e+02,1.355308e+02,1.034982e+02,8.166130e+01,7.406478e+01,7.329472e+01,8.334337e+01,1.152588e+02,1.412505e+02,1.604755e+02,1.817972e+02,1.803117e+02,1.573192e+02,1.083350e+02,6.061151e+01,4.756437e+01,4.806369e+01,4.935757e+01,4.876350e+01,4.635337e+01
1.748724e+01,1.975953e+01,1.769813e+01,1.980198e+01,2.440125e+01,2.184346e+01,1.976388e+01,2.414093e+01,1.355363e+01,-1.102669e+01,-3.301664e+01,-3.929890e+01,-5.348499e+01,-5.293061e+01,-3.531512e+01,-2.305700e+01,-2.011813e+01,-3.646146e+01,-5.521410e+01,-5.343121e+01,-2.772120e+01,4.042374e-01,2.069011e+01,2.915307e+01,2.481790e+01,2.121633e+01,2.296908e+01,2.163166e+01,2.341054e+01,2.147346e+01,1.832744e+01
1.189223e+00,1.248700e+00,1.672875e+00,3.392139e+00,3.136120e+00,1.733112e+00,2.185820e+00,6.189858e+00,5.863309e+00,2.020584e+01,2.425555e+01,1.750090e+01,4.128656e+00,1.018494e+01,8.589773e-01,-9.447298e+00,-2.080705e+01,-3.179580e+01,-4.636991e+01,-5.760244e+01,-5.810622e+01,-5.097977e+01,-3.725517e+01,-3.049947e+01,-2.093733e+01,-3.954511e+00,6.147735e+00,4.942166e+00,4.513146e+00,2.646990e+00,-9.260083e-01
1.607790e+00,-2.247873e+00,-6.214554e+00,-4.526220e+00,-5.870696e+00,-8.122931e+00,-5.616597e+00,3.683828e+00,-1.217010e+01,-1.343176e+01,-9.345156e+00,5.253195e+00,1.983889e+00,-1.649848e+01,-2.971426e+01,-2.619542e+01,-1.922760e+01,-2.376196e+01,-2.603441e+01,-3.086334e+01,-3.323808e+01,-2.255973e+01,-8.988149e+00,-1.219529e+01,-1.372180e+01,-3.646223e+00,4.633568e+00,5.372037e+00,2.285881e+00,1.558960e+00,-1.629709e+00
1.499555e+01,1.838702e+01,1.680695e+01,1.452485e+01,1.204293e+01,1.170395e+01,1.626169e+01,1.706032e+01,-3.721740e+00,-1.368564e+00,6.787770e+00,1.106479e+01,1.924790e+01,3.162604e+01,3.833831e+01,4.412278e+01,5.386815e+01,5.817207e+01,5.816677e+01,5.046782e+01,4.520805e+01,3.074416e+01,1.408259e+01,7.164318e+00,2.182732e+00,5.637021e+00,9.633599e+00,1.208841e+01,9.392876e+00,9.115540e+00,6.756809e+00
1.622839e+01,1.763774e+01,1.619956e+01,1.395933e+01,1.551927e+01,1.747283e+01,2.173624e+01,1.137102e+01,-2.604217e+01,-3.761834e+01,-3.160819e+01,-3.522421e+01,-4.501443e+01,-4.404701e+01,-3.852689e+01,-3.224641e+01,-3.580125e+01,-4.139278e+01,-4.551042e+01,-4.727423e+01,-3.676368e+01,-2.722344e+01,-1.479063e+01,-3.971301e+00,-1.122852e+00,7.510364e+00,1.126352e+01,1.413038e+01,1.400128e+01,1.304099e+01,1.126110e+01
8.260779e+00,3.826549e+00,2.211279e+00,5.176267e+00,8.786179e+00,1.176787e+01,1.236776e+01,8.440048e+00,9.157871e+00,1.653246e+01,1.839243e+01,2.471641e+01,3.032609e+01,4.292192e+01,4.364771e+01,4.080316e+01,3.099825e+01,2.419563e+01,1.594155e+01,9.959444e+00,5.958793e+00,-5.843713e-01,-1.092772e+01,-1.236351e+01,-7.030702e+00,4.148860e+00,9.163090e+00,1.122472e+01,1.219293e+01,1.051501e+01,9.313268e+00
7.924899e+00,9.418516e+00,1.314996e+01,1.450896e+01,1.380381e+01,1.815695e+01,1.936890e+01,1.567475e+01,3.785268e+00,1.122000e+01,1.852220e+01,1.983842e+01,1.872975e+01,1.298182e+01,1.024087e+01,9.364452e+00,5.404223e-01,-1.319754e+00,-3.256369e+00,-7.402249e+00,-1.168374e+01,-9.309200e+00,-4.181736e-01,9.801641e-01,1.636191e+00,4.610588e+00,7.210898e+00,7.431104e+00,7.151656e+00,5.345117e+00,5.691495e+00
4.806190e+00,1.189298e+00,6.212828e-01,1.449215e+00,7.683048e-01,2.561618e+00,9.022367e+00,7.362491e+00,-1.299019e+00,-1.801234e+01,-2.951537e+01,-3.239956e+01,-3.586575e+01,-1.896889e+01,-7.752112e-01,8.080629e+00,1.638288e+01,2.402571e+01,2.696401e+01,2.971487e+01,2.716411e+01,1.896051e+01,1.776003e+01,1.287043e+01,1.193493e+01,7.521850e+00,5.146178e+00,3.313998e+00,1.679753e+00,-3.750495e-02,2.713552e+00
