Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-5.066875e+02,-4.945921e+02,-4.921128e+02,-4.924977e+02,-4.761966e+02,-2.680298e+02,-1.594236e+02,-1.251174e+02,-1.106705e+02,-1.085732e+02,-1.181772e+02,-1.122783e+02,-9.785174e+01,-9.072150e+01,-9.851264e+01,-1.358833e+02,-2.054447e+02,-2.703182e+02,-3.367332e+02,-4.050019e+02,-4.566617e+02,-4.869703e+02,-4.974809e+02,-4.968736e+02,-4.942645e+02,-5.006544e+02,-5.132761e+02
4.075587e+01,5.213264e+01,5.365974e+01,5.245427e+01,4.979128e+01,4.572109e+01,4.003873e+01,4.939294e+01,6.082153e+01,4.459307e+01,2.790128e+01,3.004943e+01,3.506213e+01,3.779977e+01,5.061779e+01,6.469632e+01,8.230092e+01,9.205341e+01,1.106291e+02,1.074567e+02,7.735064e+01,5.645718e+01,4.774822e+01,4.948272e+01,5.159910e+01,4.435950e+01,3.485746e+01
2.214317e+01,2.306740e+01,2.149211e+01,1.996847e+01,7.704041e+00,-6.395000e+00,-4.508536e+00,-3.967622e+00,-2.434270e+01,-3.284715e+01,-2.546547e+01,-2.764808e+01,-2.979392e+01,-3.739208e+01,-4.365871e+01,-3.678294e+01,-2.134851e+01,-9.954449e+00,-9.898702e-01,-1.354901e+00,3.922247e+00,1.701167e+01,1.943761e+01,2.252319e+01,2.157489e+01,1.954969e+01,2.380289e+01
6.780044e+00,3.409603e+00,1.932390e+00,2.169911e+00,5.610172e+00,2.405183e+01,2.642077e+01,2.904665e+01,3.873258e+01,3.665417e+01,1.327834e+01,-6.156289e+00,-9.345005e+00,-8.343347e+00,-1.435297e+01,-1.628738e+01,-1.880229e+01,-2.319350e+01,-2.564354e+01,-2.562822e+01,-2.007196e+01,-3.150494e+00,3.481069e+00,5.753968e+00,3.600563e+00,7.395819e+00,1.445806e+01
1.576482e+00,1.307924e+00,2.772136e+00,5.084197e+00,1.013503e+01,-1.630075e+01,-3.359964e+01,-4.171494e+01,-5.281425e+01,-5.650481e+01,-3.658286e+01,-3.183685e+01,-3.561013e+01,-3.789016e+01,-3.360475e+01,-3.484382e+01,-3.035944e+01,-1.717286e+01,-4.059981e+00,4.981829e+00,3.091475e+00,3.132728e+00,5.761630e+00,4.412441e+00,4.337560e+00,9.516067e+00,9.818962e+00
3.552783e+00,6.526253e+00,9.668213e+00,1.184199e+01,6.765521e+00,1.355321e+01,2.039407e+01,2.498837e+01,3.380044e+01,4.295866e+01,5.224353e+01,6.142878e+01,6.645970e+01,7.111676e+01,7.423952e+01,7.604718e+01,7.040370e+01,6.001743e+01,4.114352e+01,2.584085e+01,1.739109e+01,1.266642e+01,1.119434e+01,6.799409e+00,9.851628e+00,1.146278e+01,7.289759e+00
6.862286e+00,8.734497e+00,1.043127e+01,1.087374e+01,-3.437752e+00,-2.757839e+01,-3.706826e+01,-3.708689e+01,-3.050831e+01,-3.639918e+01,-3.502615e+01,-4.028610e+01,-5.004951e+01,-5.048122e+01,-5.146189e+01,-5.366277e+01,-5.092149e+01,-4.763723e+01,-2.792018e+01,-4.895412e+00,5.512552e+00,9.487743e+00,8.345744e+00,5.227155e+00,9.365814e+00,7.539346e+00,4.457576e+00
8.843704e+00,7.611046e+00,7.114418e+00,6.548508e+00,3.590314e+00,-1.003359e-01,9.147959e+00,1.242045e+01,9.622691e+00,2.407331e+01,4.091033e+01,3.598063e+01,3.046460e+01,2.558096e+01,2.285319e+01,2.275971e+01,2.356463e+01,1.641206e+01,2.906053e+00,-2.458354e+00,-3.557132e+00,1.217686e+00,1.949577e+00,3.351856e+00,6.046075e+00,3.657914e+00,2.242342e+00
8.900467e+00,6.157439e+00,5.286108e+00,4.920032e+00,3.834421e+00,-1.224010e+01,-1.874584e+01,-1.933687e+01,-1.551405e+01,-1.726572e+01,-1.626327e+01,-9.535028e+00,-2.779871e+00,-6.172741e+00,-5.347873e+00,-3.168531e+00,2.281360e+00,-3.060772e-01,1.714006e+00,8.562792e+00,2.373685e+00,-9.228065e-01,8.055963e-01,5.561909e+00,5.690401e+00,3.252664e+00,1.820049e+00
5.835207e+00,3.654273e+00,3.693405e+00,3.367165e+00,5.730260e+00,-2.426141e+00,2.543232e-01,-7.112859e+00,-1.637592e+01,-1.159560e+01,2.948425e+00,7.434856e+00,1.115508e+01,1.217516e+01,1.483047e+01,7.468029e+00,5.661250e+00,1.843983e+00,1.751664e+00,2.157307e+00,6.666667e+00,1.001141e+00,4.173364e+00,9.003342e+00,6.556017e+00,3.211995e+00,1.705730e+00
-5.959787e-01,-1.398535e+00,-1.040571e+00,-2.230998e+00,5.395406e-01,3.690567e+00,2.631406e+00,-1.000605e+01,-7.519997e+00,-1.258694e+01,-2.422383e+01,-2.817525e+01,-2.344469e+01,-1.448718e+01,-1.113043e+01,-1.134674e+01,-5.989048e+00,5.798177e+00,4.911104e+00,2.649137e+00,-2.061625e-01,4.310633e-01,5.128860e+00,7.835150e+00,3.898653e+00,5.692310e-01,1.075988e-01
-7.186910e+00,-6.355861e+00,-6.422251e+00,-8.437391e+00,-8.110542e+00,-3.609473e+00,1.209584e+00,-7.259539e+00,-1.485502e+01,-9.637857e+00,-6.911600e+00,-5.851098e+00,-1.510796e+01,-1.931390e+01,-1.813553e+01,-1.125567e+01,-1.444816e+01,-8.315856e+00,-9.908800e+00,-1.203330e+01,-8.704122e+00,-1.864213e+00,1.656933e+00,1.440327e+00,-1.887536e+00,-3.693861e+00,-1.668259e+00
-9.339618e+00,-6.602359e+00,-6.663856e+00,-8.292379e+00,-1.266571e-01,-5.459730e+00,-1.634407e+01,-2.247518e+01,-2.090596e+01,-2.648927e+01,-2.998567e+01,-2.182211e+01,-2.614274e+01,-3.137946e+01,-2.897593e+01,-2.030204e+01,-1.009917e+01,-5.056550e+00,-8.972574e+00,-1.063451e+01,-8.293648e+00,-2.387616e+00,-1.418176e+00,-3.834622e+00,-5.766656e+00,-5.866092e+00,-8.542595e-01
