Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.116869e+02,-4.895931e+02,-4.872045e+02,-4.919613e+02,-4.883478e+02,-4.087647e+02,-2.370074e+02,-1.571190e+02,-1.328015e+02,-1.297805e+02,-1.165760e+02,-9.369741e+01,-8.244275e+01,-8.616565e+01,-1.049410e+02,-1.330755e+02,-1.868174e+02,-2.494563e+02,-3.249286e+02,-3.962765e+02,-4.434186e+02,-4.835594e+02,-4.963410e+02,-5.046004e+02,-5.068241e+02,-5.030165e+02,-4.993112e+02,-5.054850e+02
3.708521e+01,5.097459e+01,5.273759e+01,5.424072e+01,5.930738e+01,4.750438e+01,4.037285e+01,5.228084e+01,7.542257e+01,7.349648e+01,4.793492e+01,3.099738e+01,2.691212e+01,3.344595e+01,3.988562e+01,5.559982e+01,7.509041e+01,9.110811e+01,1.083603e+02,1.286831e+02,1.110697e+02,8.121162e+01,7.045308e+01,6.270724e+01,6.024110e+01,6.200236e+01,6.534384e+01,5.976383e+01
1.369682e+01,1.145328e+01,8.391276e+00,1.233276e+01,1.441323e+01,1.421309e+01,-6.019491e+00,-1.396768e+01,-2.875394e+01,-3.801295e+01,-2.881955e+01,-3.011349e+01,-3.975022e+01,-4.047260e+01,-4.463282e+01,-3.457197e+01,-2.267880e+01,-1.465684e+01,-3.128133e+00,2.968335e+00,1.020625e+01,2.200769e+01,2.442455e+01,2.278957e+01,2.184959e+01,1.937669e+01,1.937901e+01,1.866100e+01
1.343786e+01,1.202181e+01,1.122786e+01,1.072750e+01,1.221370e+01,2.428931e+01,2.772698e+01,3.376183e+01,4.150102e+01,4.874956e+01,2.938132e+01,9.009457e+00,-2.562760e+00,-7.409025e+00,-1.312552e+01,-1.551686e+01,-1.778114e+01,-1.860958e+01,-2.029529e+01,-2.519819e+01,-1.948950e+01,-2.949559e+00,4.743463e+00,4.146897e+00,4.942866e+00,4.885332e+00,3.119698e+00,2.545903e+00
-4.678540e+00,-7.591822e+00,-1.227224e+00,9.841100e-01,5.684394e+00,-5.076527e+00,-2.117726e+01,-3.418395e+01,-3.932106e+01,-4.370037e+01,-4.581677e+01,-4.042352e+01,-3.693671e+01,-3.017279e+01,-2.472480e+01,-2.668232e+01,-2.215638e+01,-1.171974e+01,2.694130e+00,1.113869e+01,1.038119e+01,7.833090e+00,1.176309e+01,9.956877e+00,1.217737e+01,1.575100e+01,1.351125e+01,1.030796e+01
1.547157e+01,1.720050e+01,2.098240e+01,1.801115e+01,2.067682e+01,2.314931e+01,2.170115e+01,2.825472e+01,3.863398e+01,4.503831e+01,5.050790e+01,6.197209e+01,6.611852e+01,7.024218e+01,7.924725e+01,8.341356e+01,7.203142e+01,6.305413e+01,5.425050e+01,3.152648e+01,2.217494e+01,1.522070e+01,1.508404e+01,1.567249e+01,1.757124e+01,1.904181e+01,1.686438e+01,1.513134e+01
1.273585e+01,1.555260e+01,1.745286e+01,1.151947e+01,1.117465e+01,9.670841e+00,-1.834946e+01,-3.168230e+01,-3.692530e+01,-3.944501e+01,-4.508393e+01,-4.328984e+01,-4.678783e+01,-5.160485e+01,-5.146259e+01,-5.396748e+01,-5.267488e+01,-4.319310e+01,-3.364693e+01,-8.293921e+00,3.968806e+00,5.969237e+00,6.040897e+00,9.945302e+00,9.118747e+00,7.236906e+00,6.214860e+00,1.012413e+01
-1.140292e+01,-1.203418e+01,-9.097775e+00,-1.018391e+01,-1.157717e+01,2.338691e+00,3.663741e+00,5.529916e+00,4.764853e+00,8.851173e+00,3.251320e+01,3.679424e+01,3.417426e+01,3.296570e+01,3.289941e+01,3.211505e+01,3.700148e+01,2.961642e+01,9.733723e+00,-3.170930e+00,-4.044023e+00,-1.282024e+00,2.746982e-02,2.233650e+00,-1.054037e+00,-1.086139e+00,-2.846174e-01,5.650944e+00
6.384519e+00,1.086871e+01,9.487316e+00,9.631632e+00,9.502920e+00,-8.276824e+00,-2.698661e+01,-2.977480e+01,-2.268477e+01,-1.769622e+01,-2.087811e+01,-1.066365e+01,-5.409091e+00,-5.119467e+00,-2.565021e+00,-1.917772e+00,-7.674862e-01,3.655001e-02,4.504990e+00,8.781996e+00,6.058600e+00,2.394498e+00,2.541656e+00,3.638282e-01,-2.217090e+00,1.142232e+00,3.037767e+00,3.692564e+00
1.684680e-01,2.030286e+00,-3.467574e-01,2.533630e+00,6.289286e+00,1.521787e+01,1.098747e-01,-1.017370e+01,-1.235351e+01,-1.143460e+01,-1.733037e+00,6.909499e+00,1.221950e+01,1.402484e+01,1.452923e+01,1.279196e+01,1.008931e+01,6.440507e+00,4.503016e+00,6.709465e+00,1.000587e+01,5.182317e+00,3.731307e+00,1.284489e+00,8.324232e-01,2.703573e+00,4.604782e+00,-5.052553e-01
-5.556173e+00,-9.773540e+00,-1.129495e+01,-1.041081e+01,-8.659765e+00,-9.173063e+00,1.389647e+00,-5.831905e+00,-9.072517e+00,-2.542634e+00,-1.809804e+01,-2.704529e+01,-2.631023e+01,-2.008154e+01,-1.483672e+01,-1.428805e+01,-1.394209e+01,-6.664658e+00,3.340317e+00,-1.840087e+00,6.357695e-01,-4.281234e-01,-4.021617e-01,3.233179e-01,-1.875850e-01,-2.907904e+00,-1.540366e+00,-5.244658e+00
1.060763e+01,8.167959e+00,5.576159e+00,2.118752e+00,1.310426e+00,-5.802064e+00,-9.475049e-01,-7.534489e+00,-7.477704e+00,-1.198141e+01,-5.439782e+00,-8.568392e+00,-1.889454e+01,-2.210905e+01,-1.827060e+01,-1.087709e+01,-1.102005e+01,-1.561533e+01,-1.269620e+01,-1.197403e+01,-7.220632e+00,-5.958432e+00,-3.397099e+00,-2.714428e+00,-4.839451e+00,-9.463749e+00,-8.285936e+00,-6.116407e+00
-7.327733e+00,-9.329706e+00,-1.067256e+01,-1.204042e+01,-1.051224e+01,-1.060527e+01,-1.242284e+01,-1.685604e+01,-2.196016e+01,-2.161005e+01,-1.664468e+01,-1.800657e+01,-2.875252e+01,-3.547490e+01,-3.607263e+01,-2.959306e+01,-2.529405e+01,-2.033418e+01,-1.444392e+01,-8.583063e+00,-4.634458e+00,-2.710478e+00,-1.850592e+00,-5.137573e+00,-7.425506e+00,-1.017119e+01,-8.104372e+00,-4.002824e+00
