Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-4.873159e+02,-4.717749e+02,-4.770327e+02,-4.471808e+02,-2.426878e+02,-1.521338e+02,-1.204926e+02,-1.062125e+02,-1.179414e+02,-1.064087e+02,-9.136192e+01,-8.124451e+01,-7.781187e+01,-9.266623e+01,-1.158342e+02,-1.593220e+02,-2.210552e+02,-2.884374e+02,-3.676986e+02,-4.264819e+02,-4.583438e+02,-4.691253e+02,-4.695846e+02,-4.676122e+02,-4.694712e+02
4.829850e+01,6.119738e+01,5.774755e+01,6.355376e+01,7.523086e+01,6.031102e+01,5.715832e+01,6.884246e+01,6.438295e+01,4.145001e+01,3.559819e+01,4.184019e+01,4.896964e+01,5.873241e+01,7.219039e+01,8.670857e+01,1.029335e+02,1.118137e+02,1.187572e+02,9.547742e+01,7.121275e+01,6.316306e+01,6.360727e+01,6.510075e+01,6.239552e+01
1.728268e+01,1.517618e+01,1.860894e+01,7.824368e+00,4.032534e+00,2.136567e+00,-7.618812e+00,-2.589417e+01,-2.305424e+01,-2.194496e+01,-3.326781e+01,-4.377014e+01,-4.871117e+01,-4.706406e+01,-3.841298e+01,-2.625335e+01,-1.917670e+01,-1.389128e+01,-6.415519e+00,1.461778e+00,1.082998e+01,1.529484e+01,1.613076e+01,1.635423e+01,1.476480e+01
3.412974e+00,-1.873200e+00,2.588967e+00,7.581883e+00,2.058699e+01,2.719106e+01,2.812859e+01,2.772373e+01,2.755613e+01,1.445588e+01,5.295604e+00,-1.699875e+00,-8.660899e+00,-1.658151e+01,-2.065770e+01,-2.210188e+01,-2.652144e+01,-3.415035e+01,-3.734869e+01,-2.523851e+01,-9.450743e+00,-1.424650e+00,-3.117554e+00,-2.261280e+00,-1.129681e+00
1.045795e+01,1.239486e+01,1.174635e+01,7.985672e+00,-2.696120e+01,-4.128807e+01,-4.516922e+01,-5.438773e+01,-4.827676e+01,-4.134113e+01,-3.936296e+01,-3.900229e+01,-3.358836e+01,-3.243974e+01,-2.947659e+01,-2.380078e+01,-1.263819e+01,-4.297476e+00,2.006477e+00,7.971119e+00,9.152521e+00,1.095786e+01,7.505578e+00,7.708916e+00,9.610888e+00
1.706616e+01,2.359250e+01,2.051870e+01,5.603174e+00,1.090409e+01,2.823536e+01,4.388403e+01,4.757830e+01,4.836669e+01,5.770338e+01,6.506987e+01,7.071429e+01,8.260703e+01,8.670514e+01,8.916447e+01,8.177590e+01,6.569856e+01,5.035979e+01,3.492160e+01,2.701402e+01,2.155569e+01,1.817522e+01,1.627410e+01,1.338113e+01,1.190986e+01
1.053766e+01,1.485027e+01,1.597503e+01,9.782022e+00,-2.219300e+01,-3.881940e+01,-4.880075e+01,-4.933602e+01,-4.933932e+01,-5.345256e+01,-5.192548e+01,-5.152041e+01,-5.259285e+01,-5.149129e+01,-5.353827e+01,-5.211654e+01,-4.290884e+01,-3.291904e+01,-7.639791e+00,1.229564e+01,1.152868e+01,1.087134e+01,1.106251e+01,6.129529e+00,1.272051e+00
8.351925e-02,7.355933e-01,6.052047e+00,1.027601e+01,7.090296e+00,1.962888e+01,2.145628e+01,1.416206e+01,2.336577e+01,3.897681e+01,4.117596e+01,3.583937e+01,3.721470e+01,3.738850e+01,3.050975e+01,2.237616e+01,1.572374e+01,9.080954e+00,4.878473e+00,-1.892366e+00,-1.047378e+00,3.981059e+00,4.580556e+00,-1.448321e-01,-3.423552e+00
-2.358433e+00,-3.076475e+00,1.578693e+00,-8.374437e+00,-2.217713e+01,-2.785992e+01,-2.898549e+01,-2.709249e+01,-2.637324e+01,-1.968542e+01,-1.113972e+01,-8.745842e+00,-7.682607e+00,-1.244355e+00,-1.843762e+00,-5.854304e+00,-1.452752e+00,-1.766261e-01,9.054707e-01,8.959975e-01,-1.648338e+00,3.145314e+00,3.426119e+00,-7.795960e-01,3.111418e-01
8.424366e-01,6.089759e-01,3.122235e+00,2.919948e+00,-2.771034e+00,3.485196e-01,-5.411370e+00,-1.455217e+01,-9.798162e+00,4.288467e+00,4.414929e+00,7.671666e+00,8.459500e+00,1.073978e+01,1.074949e+01,6.934928e+00,3.476264e+00,-1.850672e+00,-3.973900e+00,6.350726e+00,2.141665e+00,1.113996e+00,1.384880e+00,-1.858263e+00,2.848744e-02
