Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-4.625089e+02,-2.495029e+02,-1.825285e+02,-1.665531e+02,-1.098428e+02,-9.955058e+01,-9.983275e+01,-1.071840e+02,-1.289006e+02,-1.843845e+02,-2.677269e+02,-3.513497e+02,-4.082982e+02,-4.478657e+02,-4.792259e+02,-4.974365e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02,-5.021141e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.774386e+01,1.452528e+02,1.675033e+02,1.578159e+02,1.351636e+02,1.318212e+02,1.629306e+02,1.963264e+02,2.044003e+02,2.004390e+02,1.827036e+02,1.412262e+02,1.002524e+02,6.126837e+01,2.847956e+01,6.466853e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.020240e+00,-5.141139e+01,-6.850160e+01,-7.607599e+01,-7.674920e+01,-8.468744e+01,-9.309117e+01,-8.822379e+01,-7.356474e+01,-4.242223e+01,-6.672640e+00,2.278126e+01,3.329192e+01,2.720919e+01,1.894063e+01,6.034695e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.927854e+00,-1.659871e+01,-5.984090e+00,-3.778435e+00,-1.420263e+00,-1.834367e+01,-4.614822e+01,-4.419970e+01,-4.241785e+01,-5.019873e+01,-6.540199e+01,-4.519843e+01,-1.606803e+01,-7.785397e-01,8.580481e+00,5.355052e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.001129e+00,-1.879367e+01,-2.199101e+01,-1.915538e+01,-2.349078e+01,-3.422949e+01,-5.047456e+01,-6.875194e+01,-7.460646e+01,-7.701459e+01,-6.812572e+01,-4.694025e+01,-2.332547e+01,-8.751356e+00,1.582020e+00,4.482250e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.177601e+01,-3.551772e+01,-2.963193e+01,-1.717024e+01,-3.789963e+00,-9.682959e+00,-2.082460e+01,-2.100852e+01,-2.080620e+01,-1.998224e+01,-8.613952e+00,-2.785614e+00,-5.854520e+00,-2.995203e+00,-9.058781e-01,3.480560e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.754676e+01,-4.399290e+01,-4.071608e+01,-4.539612e+01,-4.661681e+01,-3.716466e+01,-2.471920e+01,-1.268467e+01,4.549393e+00,1.388770e+01,9.411545e+00,8.997836e+00,2.721019e+00,1.731511e+00,-5.469791e-01,2.415333e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.590876e+01,-4.250474e+01,-4.924525e+01,-4.432887e+01,-2.460382e+01,-1.860062e+01,-2.320016e+01,-3.491026e+01,-3.522552e+01,-2.765021e+01,-1.974832e+01,-7.319336e+00,-3.173938e+00,-7.633411e-01,2.753267e-01,1.345187e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.011597e+01,-2.260381e+01,-1.922474e+01,-1.282882e+01,-1.188436e+01,-8.632909e+00,-1.641922e+01,-2.344572e+01,-2.513934e+01,-2.195028e+01,-1.603328e+01,-1.401821e+01,-9.678117e+00,-4.673792e+00,3.124558e-01,3.164799e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.157393e+00,-6.493307e+00,-7.933443e+00,-6.199528e+00,1.072924e+01,1.612146e+01,1.124463e+01,1.740622e+00,-1.051420e+01,-1.415928e+01,-1.505639e+01,-1.352431e+01,-7.637473e+00,-2.977374e+00,-3.087503e-01,-6.389434e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.054373e+00,-9.279413e+00,-1.167139e+01,-1.913902e+01,-1.807230e+01,-7.451079e-01,7.981988e+00,1.078528e+01,7.052831e+00,-3.088449e+00,-1.096053e+01,-3.095798e+00,1.245400e-01,2.756873e+00,-1.057893e+00,-1.502765e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.504669e+00,-1.865023e+01,-2.347315e+01,-2.687966e+01,-1.518355e+01,-7.016981e+00,-8.588796e+00,-8.708520e+00,-4.316400e+00,-4.808936e-01,-3.331525e+00,-4.893090e+00,1.055683e+00,4.758370e+00,-1.840940e+00,-2.266666e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.447067e+00,3.710613e+00,2.951011e+00,9.355239e+00,7.778399e+00,-9.283322e-01,-7.496455e+00,-5.993187e+00,-6.425935e+00,-6.845672e+00,-4.565287e+00,-1.221590e+01,-5.301910e+00,-1.027642e+00,-2.955904e+00,-2.927496e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
