Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.340123e+02,-5.142774e+02,-5.104158e+02,-5.013355e+02,-4.868637e+02,-4.952315e+02,-4.095263e+02,-2.380200e+02,-1.268848e+02,-7.858735e+01,-8.644528e+01,-1.135447e+02,-1.065495e+02,-1.068521e+02,-1.222608e+02,-1.436880e+02,-1.831981e+02,-2.162010e+02,-2.692478e+02,-3.450356e+02,-4.143347e+02,-4.608688e+02,-4.914872e+02,-5.076433e+02,-5.096010e+02,-5.103130e+02,-5.049986e+02,-5.024113e+02,-5.071678e+02,-5.120231e+02,-5.114042e+02,-5.202213e+02
4.827782e+01,6.215752e+01,6.328695e+01,6.953204e+01,7.229333e+01,7.110839e+01,5.656882e+01,5.592398e+01,5.323850e+01,3.307114e+01,2.473790e+01,2.869877e+01,3.384431e+01,4.747687e+01,5.831247e+01,6.928465e+01,8.432574e+01,9.210596e+01,9.932181e+01,1.077843e+02,1.083933e+02,9.599680e+01,7.657899e+01,6.614351e+01,6.429329e+01,5.984295e+01,6.438648e+01,6.787327e+01,6.831927e+01,6.395251e+01,6.145880e+01,5.441336e+01
2.809505e+01,2.060968e+01,1.586860e+01,1.628732e+01,9.514071e+00,1.510741e+01,-8.715038e+00,-1.021031e+01,-2.244328e+01,-3.218145e+01,-3.093538e+01,-1.671566e+01,-2.479271e+01,-4.353367e+01,-4.679796e+01,-3.307851e+01,-1.805027e+01,-1.388027e+01,-3.498596e+00,3.183090e+00,-1.947747e-01,-2.155659e-01,9.532854e+00,1.749174e+01,1.828220e+01,1.596874e+01,1.709081e+01,1.828486e+01,2.193562e+01,1.884587e+01,1.517009e+01,1.682028e+01
1.607575e+01,6.284038e+00,2.351993e+00,4.995025e+00,1.163325e+01,9.598660e+00,2.038634e-01,4.557622e+00,-1.423751e+00,1.254753e+00,-6.931842e-01,-1.576356e+01,-1.578281e+01,-1.445692e+01,-1.682758e+01,-1.749105e+01,-1.370541e+01,-1.497369e+01,-2.008465e+01,-1.758026e+01,-1.061051e+01,-1.390283e+01,-5.385552e+00,3.818423e+00,5.801691e+00,6.805971e+00,8.697226e+00,1.056628e+01,6.505373e+00,1.786080e+00,4.720929e+00,8.065700e+00
1.512759e+01,1.479210e+01,1.377150e+01,1.321355e+01,1.566304e+01,1.341241e+01,-5.055867e+00,-1.684432e+01,-1.946670e+01,-3.380637e+01,-3.422855e+01,-2.592327e+01,-3.289386e+01,-3.352000e+01,-2.609669e+01,-2.833664e+01,-2.320049e+01,-1.367205e+01,1.153395e+00,1.277584e+01,1.753339e+01,1.510241e+01,1.428930e+01,1.415646e+01,1.614455e+01,1.118899e+01,1.294249e+01,1.861648e+01,1.504196e+01,1.234863e+01,1.731316e+01,1.718191e+01
1.383619e+01,1.685144e+01,1.479561e+01,1.005331e+01,7.392747e+00,8.415035e+00,2.292687e+01,1.503149e+01,2.717184e+01,4.616144e+01,5.889259e+01,7.180888e+01,8.045958e+01,7.741173e+01,7.800363e+01,7.321024e+01,6.958543e+01,6.271323e+01,5.511897e+01,3.551479e+01,1.716210e+01,1.956123e+01,1.691727e+01,1.391778e+01,1.905589e+01,1.727353e+01,1.484303e+01,1.499353e+01,1.702344e+01,1.913480e+01,1.910260e+01,1.783009e+01
5.251594e+00,6.773495e+00,4.151650e+00,4.300282e+00,9.547205e+00,9.922195e+00,6.503921e+00,-2.548781e+00,-2.642263e+01,-4.411829e+01,-4.940150e+01,-4.868006e+01,-4.624250e+01,-4.743084e+01,-4.826457e+01,-5.151630e+01,-5.011842e+01,-4.970777e+01,-4.419781e+01,-2.290793e+01,-6.661397e+00,4.654626e+00,3.585843e+00,4.539113e+00,1.015678e+01,1.468922e+01,9.130548e+00,2.358845e+00,4.246186e+00,9.918504e+00,1.147376e+01,1.228108e+01
-3.900838e+00,-1.326542e+00,-1.786932e-01,2.939954e+00,3.161363e+00,3.991926e+00,1.956380e+00,6.405194e+00,1.795788e+01,2.824717e+01,3.247158e+01,2.759505e+01,2.368875e+01,2.534635e+01,2.485094e+01,2.179044e+01,1.817058e+01,1.690720e+01,1.205215e+01,3.598741e+00,-9.972115e-01,5.311425e-01,-3.488144e-01,1.423035e+00,8.676240e-01,1.490861e+00,-2.370641e+00,-4.503472e+00,-4.537667e+00,-3.073918e-01,6.281908e+00,7.365905e+00
-4.138734e+00,-5.733281e-01,2.897598e+00,3.449702e+00,-5.943234e+00,-4.347170e+00,-3.559548e+00,-1.429653e+01,-1.136020e+01,-1.053464e+01,-1.128330e+01,-9.097734e+00,-7.427704e+00,-8.000981e+00,-6.527005e+00,-7.173568e+00,-1.228640e+01,-1.379649e+01,-1.302180e+01,-5.295810e+00,4.061197e-01,2.490996e-01,1.519876e+00,2.344637e+00,-1.516526e+00,-1.911415e+00,-2.742029e+00,-2.256895e-01,1.236949e+00,2.586268e-01,1.345830e+00,-1.084315e+00
2.817744e+00,3.874297e+00,4.194541e+00,6.038392e+00,3.964475e+00,3.627353e+00,9.877633e+00,6.537409e-01,4.242619e+00,1.254589e+01,1.586192e+01,1.397326e+01,1.968153e+01,1.806781e+01,1.319649e+01,1.093892e+01,1.402391e+01,9.338228e+00,-6.521394e-01,-4.515630e+00,4.719168e-01,-2.748972e+00,-1.738094e+00,1.659878e+00,7.452518e-02,7.127965e-01,8.568649e-01,2.334738e+00,6.897882e+00,4.074815e+00,-3.126559e+00,-7.644605e+00
6.790331e+00,5.579804e+00,2.054091e+00,4.265819e+00,9.134593e+00,6.996675e+00,1.238411e+01,6.587277e+00,-1.241407e+01,-2.508022e+01,-3.236668e+01,-3.207122e+01,-2.322168e+01,-1.904348e+01,-1.639466e+01,-1.454852e+01,-8.885391e+00,-5.218527e+00,-6.659873e+00,-5.542192e+00,-3.278384e+00,-1.536874e+00,-3.718217e+00,2.153494e-01,-5.229766e-01,-1.106660e+00,-1.637668e+00,5.508761e-01,3.853142e+00,1.430227e+00,-3.609795e+00,-4.031646e+00
3.631510e+00,3.533008e+00,-5.011829e-01,-3.770030e+00,-6.004024e+00,-4.770443e+00,-1.612382e+00,-1.655320e+01,-2.433055e+01,-1.911299e+01,-1.569254e+01,-1.917833e+01,-2.301563e+01,-1.980026e+01,-1.441663e+01,-9.482790e+00,-7.631783e+00,-6.101142e+00,-9.475353e+00,-7.655274e+00,-8.377195e+00,-3.259288e+00,-1.858177e+00,-3.017227e+00,-3.941298e+00,-3.056574e+00,-5.271061e+00,-2.657875e+00,-1.670763e+00,-4.352281e+00,-4.476240e+00,2.510683e-01
-2.349756e-01,9.992609e-01,-1.777779e+00,-6.582876e+00,-9.099180e+00,-6.278232e+00,-8.096912e+00,-2.646628e+01,-3.221356e+01,-3.153211e+01,-3.205954e+01,-3.067271e+01,-2.954348e+01,-2.982749e+01,-2.469948e+01,-1.935480e+01,-1.422197e+01,-1.438578e+01,-1.880272e+01,-1.329437e+01,-1.251680e+01,-4.715446e+00,-1.748600e+00,-6.257404e+00,-4.524087e+00,-3.910149e+00,-6.507152e+00,-5.753510e+00,-3.522127e+00,-4.973052e+00,-6.316457e+00,-3.036625e+00
