Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.622716e+02,-4.467988e+02,-4.473518e+02,-4.456270e+02,-4.435707e+02,-3.764249e+02,-2.136402e+02,-1.140700e+02,-9.135106e+01,-1.032661e+02,-9.102863e+01,-7.812479e+01,-6.491573e+01,-5.927382e+01,-6.688143e+01,-9.867404e+01,-1.529350e+02,-2.272102e+02,-2.959074e+02,-3.780186e+02,-4.306298e+02,-4.491701e+02,-4.465966e+02,-4.421169e+02,-4.437061e+02,-4.453055e+02,-4.609108e+02
3.877915e+01,4.989200e+01,5.093111e+01,5.320074e+01,5.401207e+01,4.601255e+01,8.583147e+01,1.125169e+02,9.969411e+01,8.249634e+01,7.807841e+01,7.840771e+01,8.506757e+01,9.709976e+01,1.167803e+02,1.444484e+02,1.637010e+02,1.604561e+02,1.437102e+02,1.064559e+02,6.655495e+01,5.205087e+01,5.489605e+01,5.964470e+01,5.836066e+01,5.598840e+01,4.204483e+01
1.904544e+01,1.668820e+01,1.868958e+01,2.041827e+01,1.756715e+01,-9.433645e+00,-8.317788e+00,-3.252654e+01,-3.702730e+01,-3.375610e+01,-3.998505e+01,-4.655761e+01,-5.542604e+01,-6.088312e+01,-5.982502e+01,-4.814859e+01,-2.101359e+01,2.689771e+00,9.295220e+00,1.928705e+01,2.197551e+01,2.050603e+01,2.203433e+01,2.374256e+01,2.339905e+01,2.078837e+01,2.050921e+01
8.271467e+00,4.687081e+00,6.669744e+00,8.130734e+00,5.012575e+00,1.747603e+01,1.422362e+01,5.831029e+00,9.779419e+00,1.390407e+01,6.759830e+00,1.553429e+00,-7.084301e+00,-2.220928e+01,-3.181425e+01,-3.625998e+01,-2.968465e+01,-1.074580e+01,-9.275337e+00,1.038803e+00,7.314946e+00,5.495699e+00,5.798229e+00,6.257222e+00,6.004280e+00,3.329971e+00,7.158028e+00
4.456778e+00,4.842904e+00,8.863005e+00,9.784088e+00,9.785652e+00,1.072614e+01,-1.232652e+01,-1.555818e+01,-2.089524e+01,-1.891332e+01,-1.168362e+01,-1.231322e+01,-1.546571e+01,-1.717825e+01,-9.910950e+00,-3.617957e+00,-5.983437e+00,-2.079530e+00,5.381280e+00,1.278906e+01,1.252456e+01,9.275146e+00,8.282249e+00,7.466617e+00,8.542492e+00,6.074311e+00,6.407257e+00
5.231812e+00,1.004031e+01,1.383234e+01,1.372502e+01,1.509863e+01,1.426044e+01,-3.800786e+00,3.263050e+00,1.409364e+01,2.527156e+01,4.252966e+01,4.624963e+01,4.206626e+01,3.478784e+01,3.229863e+01,3.032353e+01,2.575056e+01,1.833113e+01,1.892875e+01,1.723788e+01,1.567547e+01,1.508657e+01,1.367798e+01,9.776973e+00,1.284268e+01,1.049886e+01,9.888425e+00
6.082585e+00,1.000382e+01,1.103607e+01,1.253116e+01,1.339877e+01,6.112693e+00,-2.209340e+01,-3.198089e+01,-3.409122e+01,-3.063842e+01,-3.585241e+01,-4.152981e+01,-4.356705e+01,-4.058130e+01,-3.993769e+01,-4.380281e+01,-3.496524e+01,-1.403049e+01,-2.324681e+00,3.176849e-01,7.263073e+00,1.340625e+01,1.286913e+01,9.524303e+00,1.255835e+01,1.049808e+01,1.144528e+01
7.410656e+00,9.166604e+00,7.818129e+00,1.234506e+01,1.448272e+01,2.015511e+01,1.310817e+01,1.682117e+01,2.441010e+01,2.672174e+01,2.196473e+01,2.225065e+01,2.073598e+01,1.747228e+01,1.758473e+01,1.115285e+01,2.553436e+00,-4.197018e+00,-5.741470e+00,-1.870681e+00,4.547678e+00,9.830475e+00,1.076185e+01,1.102995e+01,1.200013e+01,1.124148e+01,1.054095e+01
7.219067e+00,1.035188e+01,9.124249e+00,1.276174e+01,1.515862e+01,5.677785e+00,-5.664454e+00,2.601227e+00,1.207677e+01,1.905322e+01,1.287734e+01,1.263419e+01,1.363416e+01,1.331004e+01,1.571749e+01,1.397438e+01,1.531874e+01,1.462027e+01,1.772278e+01,1.863615e+01,9.724510e+00,7.475198e+00,8.790977e+00,9.490150e+00,9.415966e+00,1.022997e+01,6.653042e+00
-7.192858e-01,5.332477e-01,1.000181e+00,1.388576e+00,-9.592882e-02,-1.369874e+00,2.738070e-01,4.706919e+00,1.000189e+01,8.074553e+00,7.189174e+00,8.655544e+00,1.092172e+01,1.059060e+01,1.196399e+01,9.446575e+00,1.563153e+01,1.921102e+01,1.599096e+01,8.524435e+00,1.597134e+00,2.514300e+00,2.062901e+00,1.334748e+00,1.952885e+00,2.434652e+00,-1.116080e-01
