Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45,Coeff 46,Coeff 47
-5.010050e+02,-4.876978e+02,-4.855163e+02,-4.885845e+02,-4.913597e+02,-4.881233e+02,-3.107210e+02,-1.835027e+02,-1.342806e+02,-1.090458e+02,-1.007116e+02,-1.460193e+02,-1.689579e+02,-1.720541e+02,-1.567510e+02,-1.345201e+02,-1.259024e+02,-1.491618e+02,-1.462641e+02,-1.453615e+02,-1.633302e+02,-1.595992e+02,-1.556848e+02,-1.534832e+02,-1.499496e+02,-1.463697e+02,-1.419679e+02,-1.168066e+02,-9.572105e+01,-9.030758e+01,-7.671819e+01,-7.749201e+01,-9.009091e+01,-1.116357e+02,-1.516285e+02,-1.963978e+02,-2.530504e+02,-3.493236e+02,-4.167431e+02,-4.577809e+02,-4.774877e+02,-4.791894e+02,-4.868037e+02,-4.926482e+02,-4.918262e+02,-4.885258e+02,-4.980352e+02
2.502168e+01,3.964778e+01,4.233469e+01,3.869173e+01,3.526236e+01,3.728053e+01,3.473054e+01,4.933229e+01,7.568809e+01,1.013671e+02,9.893370e+01,7.893078e+01,6.479124e+01,5.616857e+01,5.264238e+01,5.488692e+01,5.674987e+01,5.854725e+01,5.949765e+01,5.756947e+01,5.456679e+01,5.682380e+01,5.404792e+01,5.301055e+01,6.034722e+01,6.603738e+01,6.626910e+01,6.943942e+01,6.699888e+01,6.539882e+01,6.736635e+01,6.619814e+01,6.935397e+01,7.432088e+01,8.702790e+01,1.096563e+02,1.279555e+02,1.365269e+02,9.745347e+01,6.294488e+01,4.595034e+01,4.506724e+01,3.790176e+01,3.079290e+01,3.249199e+01,3.650990e+01,2.741704e+01
1.618145e+01,2.197346e+01,2.393968e+01,2.257359e+01,2.059945e+01,1.789593e+01,-6.292172e+00,-1.705941e-01,-4.665975e+00,-2.207581e+01,-2.614337e+01,-6.614125e+00,3.489046e+00,-1.480486e+00,-7.233621e+00,-1.260459e+01,-1.480286e+01,-7.884120e-01,7.310784e-01,-3.913814e+00,-3.263475e+00,-4.488949e+00,-8.148123e+00,-9.695990e+00,-5.563976e+00,-4.862065e+00,-8.359917e+00,-2.907793e+01,-4.523161e+01,-5.290440e+01,-6.549847e+01,-7.665389e+01,-7.798857e+01,-6.795515e+01,-5.826661e+01,-4.380574e+01,-3.216497e+01,-9.606736e+00,7.443192e+00,1.049595e+01,1.351320e+01,1.563454e+01,1.590302e+01,1.224246e+01,1.367079e+01,1.517577e+01,1.516163e+01
8.439931e+00,8.039436e+00,9.348977e+00,1.085435e+01,1.132077e+01,6.913883e+00,-7.682035e+00,-6.455813e+00,-2.106198e+01,-4.127989e+01,-4.954762e+01,-3.873890e+01,-3.049406e+01,-2.734402e+01,-3.068648e+01,-3.590339e+01,-3.473552e+01,-3.398409e+01,-3.565498e+01,-3.764731e+01,-4.119169e+01,-3.926301e+01,-3.299769e+01,-3.372177e+01,-3.418630e+01,-3.497946e+01,-3.760804e+01,-4.107197e+01,-3.823008e+01,-3.115942e+01,-2.228787e+01,-2.031887e+01,-2.830321e+01,-2.834833e+01,-2.825925e+01,-2.790471e+01,-4.069529e+01,-4.479949e+01,-2.902831e+01,-1.766242e+01,-5.616327e+00,-2.214777e+00,2.719326e+00,2.417129e+00,1.335668e+00,-1.555669e-01,5.794639e+00
5.809045e+00,5.339899e+00,5.396440e+00,7.685934e+00,1.092806e+01,9.137665e+00,-2.248428e+01,-1.490320e+01,-1.228476e+01,-1.785695e+01,-2.102021e+01,-1.455471e+01,-9.188209e+00,-1.232393e+00,-4.692240e+00,-9.358487e+00,-1.325611e+01,-1.194407e+01,-1.615351e+01,-1.594310e+01,-1.069360e+01,-1.172716e+01,-1.134903e+01,-1.323421e+01,-1.082647e+01,-1.379121e+01,-1.833391e+01,-1.571169e+01,-1.720127e+01,-2.249141e+01,-2.825459e+01,-3.128972e+01,-3.154179e+01,-3.258500e+01,-3.120032e+01,-2.324614e+01,-1.913457e+01,-7.824396e+00,-1.017043e+01,-8.784298e+00,-9.385796e-01,7.360286e-01,4.404968e+00,4.210584e+00,1.493048e+00,-9.386856e-01,3.972437e+00
7.559503e+00,1.023716e+01,8.128869e+00,8.274282e+00,1.235537e+01,1.424182e+01,3.327563e+00,1.264788e+01,2.203129e+01,3.712746e+01,4.037402e+01,4.112852e+01,3.924741e+01,4.454128e+01,4.722295e+01,4.677616e+01,4.049730e+01,3.972280e+01,4.244915e+01,4.316473e+01,4.445247e+01,4.454690e+01,4.428090e+01,4.324279e+01,4.545088e+01,4.738302e+01,4.696373e+01,4.444115e+01,4.551419e+01,5.132397e+01,5.472114e+01,5.743083e+01,5.676812e+01,5.733499e+01,5.975459e+01,5.192759e+01,3.979425e+01,1.005760e+01,8.311760e+00,1.106126e+01,1.345529e+01,1.279910e+01,1.191323e+01,9.900249e+00,9.218683e+00,6.743118e+00,6.725762e+00
9.983831e+00,1.408803e+01,1.039976e+01,8.045197e+00,9.301968e+00,1.284208e+01,7.146564e+00,-1.286302e+01,-2.837925e+01,-3.707107e+01,-4.146626e+01,-3.928716e+01,-3.645898e+01,-3.531141e+01,-4.165718e+01,-4.659366e+01,-4.624139e+01,-4.092435e+01,-3.873115e+01,-4.225345e+01,-4.381240e+01,-4.143119e+01,-3.981192e+01,-3.664835e+01,-3.225886e+01,-3.253061e+01,-3.602306e+01,-3.996760e+01,-4.170325e+01,-3.969680e+01,-3.935895e+01,-3.741235e+01,-3.817770e+01,-3.871077e+01,-3.215108e+01,-2.678926e+01,-2.427022e+01,-3.581280e+00,7.562919e+00,1.854496e+01,2.006251e+01,1.934709e+01,1.554731e+01,1.245874e+01,1.453672e+01,1.184047e+01,8.737974e+00
1.008066e+01,1.250278e+01,9.621383e+00,6.450092e+00,3.464913e+00,6.885720e+00,7.097380e+00,1.768550e+01,2.394630e+01,2.719820e+01,2.561160e+01,2.375104e+01,2.570365e+01,3.254811e+01,3.635663e+01,3.614762e+01,3.272962e+01,2.906570e+01,3.255798e+01,3.897023e+01,3.350545e+01,3.333176e+01,3.748282e+01,3.872366e+01,3.445682e+01,3.528459e+01,3.455035e+01,3.454480e+01,3.484447e+01,3.717996e+01,3.915091e+01,3.816849e+01,3.820124e+01,4.116343e+01,3.889846e+01,2.903252e+01,2.230117e+01,9.621123e+00,3.536973e+00,1.374429e+01,1.503463e+01,1.610635e+01,1.379722e+01,1.053628e+01,1.164693e+01,1.013946e+01,7.946211e+00
7.453150e+00,7.766555e+00,7.545431e+00,4.180808e+00,-1.220660e-01,2.982011e+00,-1.159909e+01,-1.652769e+01,-1.475004e+01,-3.463369e+00,1.686969e+00,3.648997e+00,4.397464e+00,6.346033e+00,2.866616e+00,3.188360e+00,1.106038e+00,-5.746810e+00,-4.087853e+00,-6.900458e-01,-1.830837e+00,-3.675690e+00,-1.366187e+00,1.037153e+00,-3.069803e-01,-3.425539e+00,-6.805423e+00,-6.942668e+00,-8.979897e+00,-1.148779e+01,-1.324442e+01,-1.291566e+01,-1.469323e+01,-1.564150e+01,-1.062650e+01,-9.593416e+00,-8.549021e+00,-3.591590e+00,-1.000346e+00,5.338202e+00,5.286056e+00,7.969342e+00,9.713734e+00,7.343883e+00,4.999999e+00,5.448712e+00,5.559987e+00
3.497588e+00,3.941274e+00,5.680598e+00,1.783970e+00,-3.489530e-01,2.116098e+00,1.700009e+01,1.145143e+01,9.480359e+00,1.035823e+01,1.617256e+01,1.753855e+01,1.799409e+01,1.412355e+01,1.017031e+01,8.766329e+00,1.148987e+01,1.338167e+01,1.071301e+01,7.362772e+00,3.559523e+00,4.608274e+00,5.820157e+00,6.812753e+00,9.936504e+00,9.325666e+00,6.161135e+00,5.015284e+00,5.444893e+00,1.854443e+00,-1.735441e+00,-2.596967e+00,-7.879724e+00,-1.363066e+01,-1.984617e+01,-2.893999e+01,-3.157619e+01,-2.020842e+01,-1.029767e+01,-3.299308e+00,-2.280130e+00,1.675013e+00,4.896898e+00,4.117002e+00,8.657278e-01,2.442883e+00,3.015738e+00
